Frame,Left_Shoulder_X,Left_Shoulder_Y,Right_Shoulder_X,Right_Shoulder_Y,Right_Knee_X,Right_Knee_Y,Right_Foot_Index_X,Right_Foot_Index_Y,Hip_X,Hip_Y,Ankle_X,Ankle_Y,Wrist_X,Wrist_Y,Elbow_X,Elbow_Y
0,398.23,342.2,335.26,333.11,456.77,642.93,552.71,798.39,354.97,541.27,268.55,780.3,396.46,429.94,312.46,436.82
1,394.6,340.89,335.06,333.12,456.84,643.8,554.68,797.68,357.24,540.84,268.49,780.14,396.0,429.41,313.03,437.46
2,392.21,340.38,335.0,333.11,456.51,644.31,555.27,797.66,358.47,540.47,268.49,780.14,395.75,429.3,313.26,437.73
3,391.12,339.63,334.86,333.18,455.92,644.94,555.92,797.62,359.07,540.47,268.51,780.25,395.57,429.21,314.2,437.84
4,390.6,339.56,334.37,333.23,455.03,645.68,556.97,797.63,359.52,540.46,268.52,780.37,395.57,429.22,314.43,437.88
5,390.7,340.42,333.79,333.64,454.23,646.79,558.18,797.64,359.67,540.46,268.52,780.54,395.71,429.64,314.48,438.48
6,390.66,340.81,333.41,333.79,453.46,648.07,558.06,797.72,360.15,540.49,268.82,780.68,395.79,430.11,314.48,438.98
7,390.77,341.26,332.83,334.28,452.32,648.51,557.99,796.96,360.94,540.69,269.27,781.06,395.87,430.91,314.47,439.86
8,390.15,341.3,332.03,335.0,451.48,648.84,557.99,796.83,360.92,540.86,269.57,781.66,395.87,431.17,314.47,440.79
9,390.23,341.72,331.44,335.53,450.92,650.26,557.96,796.8,360.91,541.79,269.75,782.15,395.93,431.75,314.46,441.47
10,390.59,341.72,331.39,335.62,449.75,651.05,557.75,796.7,360.88,541.79,270.23,783.18,395.53,432.38,314.09,441.43
11,390.68,341.76,331.39,335.62,448.35,651.77,557.73,796.55,360.1,541.7,270.51,784.2,395.19,432.54,313.74,441.11
12,390.73,342.07,331.17,335.62,446.78,652.43,557.7,796.38,359.64,541.68,271.31,784.75,395.1,432.67,313.51,440.89
13,392.98,342.38,331.25,335.71,445.54,652.99,557.68,796.15,359.3,541.77,272.03,785.43,395.05,432.89,313.4,440.87
14,393.23,342.93,331.34,336.43,444.41,653.96,557.66,796.14,359.09,542.01,272.73,786.84,395.08,432.9,313.49,440.89
15,393.69,343.94,331.24,337.18,443.05,655.25,557.81,796.17,358.1,542.63,273.42,788.57,395.08,433.3,313.07,441.64
16,393.67,343.98,331.33,337.23,442.1,656.17,558.17,796.25,357.01,542.78,274.17,790.04,394.89,435.33,312.64,442.22
17,393.75,344.75,331.29,337.24,440.63,656.6,558.55,796.4,354.94,543.11,274.68,791.68,393.86,435.92,310.87,442.37
18,393.75,345.2,331.2,337.65,439.6,657.89,558.84,796.83,353.11,544.06,274.78,793.37,392.83,436.23,309.64,442.99
19,395.52,347.54,331.08,337.78,438.33,659.25,558.92,797.7,351.7,545.41,274.85,794.19,392.26,436.89,308.35,443.79
20,397.88,350.18,331.06,338.08,437.36,660.77,559.24,798.19,350.66,546.74,274.84,794.73,391.68,438.91,307.54,444.37
21,397.82,351.23,330.44,338.57,435.96,661.96,559.29,798.73,350.21,548.07,274.84,795.22,390.97,439.59,305.02,444.51
22,397.78,351.71,330.22,338.85,434.89,663.34,559.32,799.33,349.96,548.98,274.83,796.08,389.84,440.33,303.52,444.5
23,397.72,352.67,330.23,339.45,433.83,663.78,559.32,799.89,349.83,550.3,274.82,796.67,389.38,441.45,301.84,444.55
24,397.62,353.21,330.54,339.97,432.51,664.06,559.32,800.48,349.55,550.41,274.85,797.82,389.41,443.89,300.8,444.53
25,397.55,354.06,330.56,341.19,432.18,665.12,559.23,800.79,348.83,552.23,274.9,799.58,389.49,446.49,298.96,445.29
26,397.9,355.32,330.42,342.97,432.1,666.15,558.96,802.0,347.33,553.26,274.9,801.03,389.36,447.9,296.69,446.6
27,397.87,356.38,330.33,343.94,431.98,666.93,558.36,803.2,347.09,554.39,274.88,802.07,389.22,448.92,294.43,447.42
