Frame,Shoulder_X,Shoulder_Y,Elbow_X,Elbow_Y,Wrist_X,Wrist_Y,Hip_X,Hip_Y,Ankle_X,Ankle_Y,Elbow_Angle,Trunk_Lean_Angle,Stride_Length,Wrist_Hip_Distance,Mid_Sternum_X,Knee_X,Foot_X,Sternum_to_Knee_Dist,Toe_to_Knee_Dist
0,335.2561569213867,333.11066150665283,312.462100982666,436.8178117275238,396.4605903625488,429.94370698928833,354.9685764312744,541.2705945968628,268.55358123779297,780.3006076812744,72.93,76.38,254.17,118.81,201.06254196166992,214.1341724395752,214.1341724395752,-13.071630477905273,0.0
1,335.0562572479248,333.1161975860596,313.0331325531006,437.45603799819946,396.0021686553955,429.41333770751953,357.23596572875977,540.8401322364807,268.4856033325196,780.1436018943787,72.54,76.47,255.23,117.98,268.03553009033203,285.949161529541,285.949161529541,-17.913631439208984,0.0
2,335.0002956390381,333.1121098995209,313.25921058654785,437.7311038970947,395.7450199127197,429.29962277412415,358.4663200378418,540.4670906066895,268.4868049621582,780.1432800292969,72.42,76.31,256.01,117.25,334.9094181060791,357.85304260253906,357.85304260253906,-22.94362449645996,0.0
3,334.86494064331055,333.17957282066345,314.2049789428711,437.83690094947815,395.5708980560303,429.2145538330078,359.0749454498291,540.4685711860657,268.50937843322754,780.2482724189758,72.78,76.8,256.31,117.09,334.6153450012207,358.7933921813965,358.7933921813965,-24.17804718017578,0.0
4,334.3694400787353,333.2267904281616,314.43140029907227,437.87710189819336,395.5704402923584,429.2222142219544,359.51940536499023,540.4593658447266,268.5212230682373,780.3692936897278,73.12,76.65,256.59,116.93,334.28554916381836,359.3766117095947,359.3766117095947,-25.091062545776367,0.0
5,333.7857913970947,333.64389538764954,314.47543144226074,438.4789252281189,395.7096004486084,429.6394157409668,359.6703243255615,540.4591727256775,268.5245990753174,780.5423283576965,73.35,76.07,256.8,116.53,333.85088539123535,359.8722324371338,359.8722324371338,-26.021347045898438,0.0
6,333.4072780609131,333.7941098213196,314.47643280029297,438.9819037914276,395.7869911193848,430.11072278022766,360.152063369751,540.4873037338257,268.82065773010254,780.6844639778137,73.57,75.64,256.97,115.99,333.2838363647461,360.24148178100586,360.24148178100586,-26.957645416259766,0.0
7,332.82697677612305,334.2766499519348,314.4729423522949,439.858535528183,395.8663845062256,430.91126561164856,360.9444236755371,540.686023235321,269.27475929260254,781.0556387901306,73.87,75.37,257.26,115.2,332.69776153564453,360.52021408081055,360.52021408081055,-27.822452545166016,0.0
8,332.02969551086426,335.0003314018249,314.46664810180664,440.7864725589752,395.8739948272705,431.17043137550354,360.9211921691895,540.8582854270935,269.56615447998047,781.6558527946472,73.84,75.83,257.54,115.12,332.21899223327637,360.7613983154297,360.7613983154297,-28.54240608215332,0.0
9,331.43906593322754,335.53324341773987,314.463415145874,441.4713370800018,395.9333610534668,431.7517840862274,360.9130668640137,541.7947840690613,269.74605560302734,782.1466970443726,74.09,75.86,257.06,115.48,331.8156623840332,360.7500514984131,360.7500514984131,-28.934389114379883,0.0
10,331.3919448852539,335.6166386604309,314.0854740142822,441.4282071590424,395.5327892303467,432.3776185512543,360.8762454986572,541.7947840690613,270.225477218628,783.1789183616638,74.37,75.98,257.84,114.77,331.4841785430908,360.4884853363037,360.4884853363037,-29.00430679321289,0.0
11,331.39062881469727,335.62095165252686,313.73934745788574,441.10846638679504,395.1922130584717,432.5436687469482,360.095329284668,541.6981601715088,270.514612197876,784.2008399963379,74.5,76.16,258.52,114.66,331.32844161987305,360.16427993774414,360.16427993774414,-28.835838317871094,0.0
12,331.16955757141113,335.61686396598816,313.51301193237305,440.8884072303772,395.1012897491455,432.6717710494995,359.63659286499023,541.680908203125,271.30640029907227,784.7451138496399,74.73,75.96,258.62,114.63,331.30931854248047,359.8004837036133,359.8004837036133,-28.491165161132812,0.0
13,331.2510108947754,335.71290850639343,313.401575088501,440.8730864524841,395.0452995300293,432.8935360908508,359.3001651763916,541.770966053009,272.0332145690918,785.4303646087646,74.78,76.08,258.82,114.59,331.2792205810547,359.2448616027832,359.2448616027832,-27.965641021728516,0.0
14,331.34345054626465,336.4320838451385,313.49432945251465,440.8868622779846,395.0757122039795,432.8983318805695,359.0940856933594,542.0112061500549,272.7260398864746,786.8367862701416,74.71,76.32,259.61,114.89,331.2678737640381,358.62876319885254,358.62876319885254,-27.360889434814453,0.0
15,331.241455078125,337.180677652359,313.07250022888184,441.63774132728577,395.0766849517822,433.2954168319702,358.09813499450684,542.6312470436096,273.4232711791992,788.5742139816284,74.32,76.38,260.11,115.42,331.29180335998535,357.68869972229004,357.68869972229004,-26.396896362304688,0.0
16,331.33389472961426,337.2336566448212,312.636194229126,442.2206389904022,394.89380836486816,435.328574180603,357.01483726501465,542.7785325050354,274.1711711883545,790.0421118736267,75.11,76.7,260.77,113.93,331.28154373168945,356.45125579833984,356.45125579833984,-25.16971206665039,0.0
17,331.28920555114746,337.2423470020294,310.8669662475586,442.3721086978912,393.8586902618408,435.9220290184021,354.93627548217773,543.1110191345215,274.6755123138428,791.6763496398926,74.56,76.59,261.2,114.04,331.2279453277588,354.97249603271484,354.97249603271484,-23.744550704956055,0.0
18,331.1997127532959,337.65291810035706,309.6445369720459,442.99379110336304,392.82872200012207,436.23340129852295,353.1129455566406,544.0604567527771,274.78328704833984,793.3712267875671,73.79,77.06,261.33,114.91,331.1912612915039,353.4848213195801,353.4848213195801,-22.293560028076172,0.0
19,331.0754585266113,337.7761924266815,308.34583282470703,443.7947201728821,392.2553730010986,436.8885254859924,351.7002868652344,545.4093933105469,274.8515510559082,794.1911458969116,73.19,75.71,260.38,115.85,331.0121154785156,352.12296867370605,352.12296867370605,-21.11085319519043,0.0
20,331.0580348968506,338.0796468257904,307.5406837463379,444.3654191493988,391.6844272613525,438.9138615131378,350.659761428833,546.7411422729492,274.8361301422119,794.7259569168091,73.82,74.37,259.32,115.37,330.79925537109375,351.12721824645996,351.12721824645996,-20.32796287536621,0.0
21,330.43816566467285,338.56501936912537,305.01580238342285,444.5126402378082,390.9709453582764,439.5904219150543,350.20557403564453,548.0732774734497,274.84482765197754,795.2171230316162,73.23,73.97,258.38,115.89,330.6056613922119,350.4709053039551,350.4709053039551,-19.865243911743164,0.0
22,330.2249050140381,338.8496768474579,303.51988792419434,444.5039176940918,389.8362636566162,440.3261089324951,349.95752334594727,548.9796495437622,274.8340702056885,796.0768246650696,73.04,73.86,258.26,115.74,330.49938583374023,350.04182052612305,350.04182052612305,-19.542434692382812,0.0
23,330.2317428588867,339.4505023956299,301.84289932250977,444.54798102378845,389.3787288665772,441.45102739334106,349.8313808441162,550.3042531013489,274.8196506500244,796.6675758361816,72.86,73.61,257.53,115.81,330.4007205963135,349.6768112182617,349.6768112182617,-19.276090621948242,0.0
24,330.54408073425293,339.9729859828949,300.79565048217773,444.5311796665192,389.408769607544,443.8868057727814,349.5548629760742,550.4095029830933,274.84806060791016,797.8239727020264,73.7,73.68,258.45,113.73,330.396692276001,349.1008529663086,349.1008529663086,-18.704160690307617,0.0
25,330.5647087097168,341.19102001190186,298.95721435546875,445.2914571762085,389.4882488250733,446.4854800701141,348.8347148895264,552.2254014015198,274.9033641815185,799.5839953422546,73.87,74.17,258.17,113.29,330.41726303100586,348.52792739868164,348.52792739868164,-18.11066436767578,0.0
26,330.41802406311035,342.96539783477783,296.6871643066406,446.600900888443,389.3551540374756,447.8991758823395,347.3257827758789,553.2648324966431,274.8985004425049,801.0267877578735,72.77,75.03,258.13,113.44,330.4266471862793,347.9565124511719,347.9565124511719,-17.529865264892578,0.0
27,330.3277587890625,343.93688321113586,294.4343662261963,447.4218499660492,389.2191410064697,448.921902179718,347.0928955078125,554.3899440765381,274.8768997192383,802.0718836784363,71.78,75.01,258.0,113.57,330.2925682067871,347.35791778564453,347.35791778564453,-17.065349578857422,0.0
28,330.2786636352539,345.100200176239,292.05081939697266,448.77326488494873,389.1749668121338,451.1776614189148,346.9743061065674,556.6332149505615,274.7537326812744,803.033037185669,71.18,74.58,256.77,113.59,330.0853958129883,346.7933864593506,346.7933864593506,-16.707990646362305,0.0
