Frame,Shoulder_X,Shoulder_Y,Elbow_X,Elbow_Y,Wrist_X,Wrist_Y,Hip_X,Hip_Y,Ankle_X,Ankle_Y,Elbow_Angle,Trunk_Lean_Angle,Stride_Length,Wrist_Hip_Distance,Mid_Sternum_X,Knee_X,Foot_X,Sternum_to_Knee_Dist,Toe_to_Knee_Dist
0,335.2561569213867,333.11066150665283,312.462100982666,436.8178117275238,396.4605903625488,429.94370698928833,354.9685764312744,541.2705945968628,268.55358123779297,780.3006076812744,72.93,76.38,254.17,118.81,194.4067153930664,187.7508888244629,161.10519790649414,6.655826568603516,26.64569091796875
1,335.0562572479248,333.1161975860596,313.0331325531006,437.45603799819946,396.0021686553955,429.41333770751953,357.23596572875977,540.8401322364807,268.4856033325196,780.1436018943787,72.54,76.47,255.23,117.98,259.31370735168457,250.5918846130371,214.80707359313965,8.721822738647461,35.78481101989746
2,335.0002956390381,333.1121098995209,313.25921058654785,437.7311038970947,395.7450199127197,429.29962277412415,358.4663200378418,540.4670906066895,268.4868049621582,780.1432800292969,72.42,76.31,256.01,117.25,324.19379138946533,313.47816467285156,268.5113182067871,10.71562671661377,44.96684646606445
3,334.86494064331055,333.17957282066345,314.2049789428711,437.83690094947815,395.5708980560303,429.2145538330078,359.0749454498291,540.4685711860657,268.50937843322754,780.2482724189758,72.78,76.8,256.31,117.09,324.2480878829956,313.8808307647705,268.505521774292,10.367257118225098,45.375308990478516
4,334.3694400787353,333.2267904281616,314.43140029907227,437.87710189819336,395.5704402923584,429.2222142219544,359.51940536499023,540.4593658447266,268.5212230682373,780.3692936897278,73.12,76.65,256.59,116.93,324.2275199890137,314.169490814209,268.5725326538086,10.058029174804688,45.59695816040039
5,333.7857913970947,333.64389538764954,314.47543144226074,438.4789252281189,395.7096004486084,429.6394157409668,359.6703243255615,540.4591727256775,268.5245990753174,780.5423283576965,73.35,76.07,256.8,116.53,324.1315612792969,314.4122371673584,268.73012351989746,9.719324111938477,45.68211364746094
6,333.4072780609131,333.7941098213196,314.47643280029297,438.9819037914276,395.7869911193848,430.11072278022766,360.152063369751,540.4873037338257,268.82065773010254,780.6844639778137,73.57,75.64,256.97,115.99,323.8742036819458,314.4645709991455,268.94147872924805,9.409632682800293,45.52309226989746
7,332.82697677612305,334.2766499519348,314.4729423522949,439.858535528183,395.8663845062256,430.91126561164856,360.9444236755371,540.686023235321,269.27475929260254,781.0556387901306,73.87,75.37,257.26,115.2,323.5843677520752,314.47097396850586,269.18644523620605,9.113393783569336,45.284528732299805
8,332.02969551086426,335.0003314018249,314.46664810180664,440.7864725589752,395.8739948272705,431.17043137550354,360.9211921691895,540.8582854270935,269.56615447998047,781.6558527946472,73.84,75.83,257.54,115.12,323.30598735809326,314.39298248291016,269.52662086486816,8.913004875183105,44.86636161804199
9,331.43906593322754,335.53324341773987,314.463415145874,441.4713370800018,395.9333610534668,431.7517840862274,360.9130668640137,541.7947840690613,269.74605560302734,782.1466970443726,74.09,75.86,257.06,115.48,323.03061389923096,314.2455654144287,269.86541175842285,8.785048484802246,44.38015365600586
