Frame,Left_Shoulder_X,Left_Shoulder_Y,Right_Shoulder_X,Right_Shoulder_Y,Right_Knee_X,Right_Knee_Y,Right_Foot_Index_X,Right_Foot_Index_Y,Hip_X,Hip_Y,Ankle_X,Ankle_Y,Elbow_X,Elbow_Y,Wrist_X,Wrist_Y
0,653.8086318969727,333.45988512039185,662.3136520385742,344.70494985580444,664.9422454833984,587.7545428276062,671.6763496398926,777.4943947792053,557.8939819335938,500.10591745376587,460.6601142883301,711.8640446662903,640.8667945861816,455.36879539489746,676.1105346679688,557.2417974472046
1,653.8386154174805,333.5871183872223,662.6651000976562,347.7502763271332,662.0931816101074,595.3293800354004,672.8511428833008,780.2621126174927,562.4113655090332,500.04122257232666,460.6285285949707,714.1167783737183,640.8535766601562,458.291974067688,674.9694442749023,555.7804012298584
2,653.19580078125,333.5750484466553,663.5473823547363,349.4165074825287,660.0779342651367,599.5107293128967,674.1751098632812,781.5979170799255,565.5674171447754,500.3221786022186,460.5146884918213,715.5621457099915,640.8303451538086,459.6520793437958,673.949146270752,555.378520488739
3,653.6178588867188,333.8083040714264,664.4997596740723,350.5525302886963,659.2548179626465,600.8985471725464,674.9609756469727,782.3693633079529,567.1314811706543,500.5083131790161,460.0694274902344,717.0103454589844,640.9835243225098,460.67367911338806,672.8067398071289,555.3879189491272
4,653.8302040100098,334.20188069343567,665.229320526123,351.3415825366974,659.2434310913086,600.505678653717,675.4006576538086,782.8116059303284,569.3465423583984,500.9032738208771,459.8777389526367,717.4115180969238,641.0501861572266,461.3763749599457,672.6206588745117,555.3871464729309
5,654.5634841918945,334.8134243488312,665.6387329101562,351.48059606552124,658.6428451538086,602.0830750465393,675.7941055297852,783.2685899734497,569.344425201416,501.2706184387207,459.57263946533203,717.8791880607605,641.081714630127,461.37717962265015,672.1627235412598,555.3711819648743
6,655.3169631958008,335.75050234794617,665.9073257446289,351.7600393295288,658.4937858581543,602.6935887336731,676.8425559997559,783.8603711128235,568.8367652893066,501.2926661968231,459.0414333343506,718.4022188186646,641.1010551452637,462.10118293762207,671.8668365478516,555.5845141410828
7,657.9341697692871,338.3362376689911,665.9222030639648,352.62344241142273,658.59375,603.6878299713135,677.1851921081543,784.3493485450745,568.6746597290039,501.40815138816833,458.8490581512451,718.8912606239319,641.220817565918,463.70609879493713,671.8595695495605,556.0863661766052
8,658.4230613708496,338.7606167793274,666.0360145568848,353.49801421165466,658.6616134643555,603.9567804336548,677.1140670776367,784.6325898170471,568.4589385986328,501.835298538208,458.33069801330566,719.1006660461426,641.4907836914062,464.31020736694336,671.8895530700684,556.6458320617676
9,658.5136985778809,338.9495515823364,666.1574363708496,354.7117352485657,658.7228393554688,604.3493914604187,676.977596282959,784.8360729217529,568.2610702514648,502.3157465457916,458.3115291595459,719.321916103363,641.5541839599609,465.09684562683105,671.898136138916,556.9491577148438
10,659.6957015991211,339.8706007003784,666.1953163146973,355.302711725235,658.5481452941895,604.7060179710388,676.8076515197754,785.0857758522034,568.0758476257324,502.7096128463745,458.31507682800293,719.2602467536926,641.564884185791,465.5686354637146,671.8647193908691,557.1959638595581
11,662.2607231140137,341.66602849960327,666.1936569213867,355.31050086021423,658.3566856384277,604.5813918113708,676.7654800415039,785.3600692749023,568.0121040344238,503.1002604961395,458.3052062988281,719.2185974121094,641.5667724609375,465.9898602962494,671.7600631713867,557.8749704360962
12,663.061351776123,342.4372172355652,666.3919258117676,355.41690945625305,658.1196212768555,605.07004737854,676.7270851135254,785.9857106208801,567.6592254638672,503.26624631881714,458.29962730407715,719.1664552688599,641.5720367431641,466.710387468338,671.6465377807617,559.2458581924438
13,663.9911270141602,342.95445442199707,666.7532730102539,356.01760625839233,658.132438659668,605.4568648338318,676.7746925354004,786.4813184738159,567.5423812866211,503.49300026893616,458.2240104675293,719.139289855957,641.7807197570801,467.71846890449524,671.641902923584,560.3325390815735
14,664.511775970459,343.58299255371094,667.4249839782715,356.64533972740173,658.1486892700195,605.8948588371277,676.7539215087891,786.7722201347351,567.4542045593262,504.1017758846283,458.17946434020996,719.1090989112854,642.0070838928223,468.9322543144226,671.6531181335449,561.2108445167542
15,665.2649116516113,344.1628646850586,668.2095336914062,357.29450941085815,658.3216667175293,606.09699010849,676.7633056640625,786.9918608665466,567.3865699768066,504.4891405105591,458.1748294830322,719.1580867767334,642.1674156188965,469.55841064453125,671.6871070861816,561.9781064987183
