Frame,Left_Shoulder_X,Left_Shoulder_Y,Right_Shoulder_X,Right_Shoulder_Y,Right_Knee_X,Right_Knee_Y,Right_Foot_Index_X,Right_Foot_Index_Y,Hip_X,Hip_Y,Ankle_X,Ankle_Y,Elbow_X,Elbow_Y,Wrist_X,Wrist_Y
1,654.2822456359863,476.7128920555115,621.1786079406738,483.8399827480316,607.4661254882812,667.892382144928,625.521297454834,811.5389013290405,547.9332733154297,590.7996439933777,416.61126136779785,742.0260858535767,615.7174301147461,568.9744234085083,665.7551193237305,624.4804430007935
2,658.9258003234863,478.82883310317993,621.3586235046387,484.0978932380676,570.0790214538574,661.3661813735962,529.4556999206543,800.2060317993164,543.8410377502441,588.5922932624817,501.25980377197266,756.3689088821411,616.9977951049805,568.9686298370361,667.7841567993164,625.4477119445801
3,660.4425430297852,481.35270595550537,621.5789794921875,484.4090402126312,588.5211753845215,658.5209584236145,585.1791000366211,802.130012512207,543.0204391479492,587.8162121772766,439.46545600891113,751.5666174888611,617.1667098999023,568.9762258529663,668.5200119018555,626.6573452949524
4,662.383918762207,483.29129934310913,621.5862464904785,485.1831579208374,591.8120956420898,655.6486988067627,586.1208343505859,803.1675124168396,541.6123580932617,587.4937033653259,428.8685131072998,750.4393815994263,617.318286895752,568.9836931228638,668.8437080383301,627.1998167037964
5,663.5398292541504,485.5641174316406,621.3472366333008,485.3993225097656,557.8927230834961,655.1499366760254,448.0111885070801,783.898286819458,539.7304344177246,587.4501872062683,530.1742172241211,765.4212355613708,617.2854423522949,569.0085411071777,668.8181304931641,627.367057800293
6,663.68408203125,486.75707817077637,621.3415718078613,485.4216277599335,561.4596748352051,652.9677557945251,492.1476745605469,786.7847084999084,538.3977699279785,587.5108909606934,520.0907135009766,767.6099181175232,617.2760009765625,568.8201856613159,668.7894630432129,627.7060461044312
7,663.7552642822266,487.5609040260315,621.5683364868164,485.4131305217743,608.7149620056152,648.8069415092468,625.5159759521484,789.6401023864746,538.2318305969238,587.5306534767151,429.944429397583,750.8981037139893,617.2917366027832,568.6462497711182,668.8127517700195,628.3378672599792
8,663.5065269470215,487.7318787574768,621.727466583252,485.516996383667,605.1339912414551,650.4127264022827,610.1470184326172,798.6447286605835,538.2775497436523,587.7741765975952,419.0244483947754,745.9315323829651,617.2871589660645,568.578851222992,668.8554954528809,628.7862253189087
9,663.2736968994141,487.3963987827301,621.8635940551758,485.61941385269165,634.819450378418,650.6032705307007,637.6252555847168,798.0684614181519,538.4094429016113,587.8055906295776,417.01197624206543,743.8963150978088,617.2180366516113,568.496904373169,668.8453102111816,628.9048647880554
10,663.4152603149414,487.8500032424927,621.8379592895508,485.6749999523163,606.0270309448242,651.6364574432373,600.0717544555664,802.0463275909424,537.9188919067383,587.7610445022583,443.23150634765625,751.8845558166504,617.1801567077637,568.4531950950623,668.8375854492188,629.0469360351562
11,663.3849906921387,487.86847829818726,621.8163299560547,485.6762230396271,635.1155662536621,651.8769550323486,631.1690139770508,801.2129545211792,537.894172668457,587.7773308753967,421.06218338012695,747.6332974433899,617.0417404174805,568.3512282371521,668.7466049194336,629.3502616882324
12,662.9983520507812,487.8613007068634,621.8269157409668,485.69939732551575,638.5161209106445,652.6361060142517,631.0282516479492,801.3390612602234,538.0052375793457,588.04518699646,417.5650119781494,745.7761359214783,616.9199180603027,568.334105014801,668.7384223937988,629.576210975647
13,662.9063987731934,488.6095726490021,621.643180847168,485.82289695739746,583.1984710693359,652.6285099983215,549.4604873657227,801.105580329895,537.8313446044922,588.0599927902222,476.6844177246094,759.3814373016357,616.897029876709,568.3630728721619,668.7222290039062,629.9869108200073
14,663.0768013000488,489.39566373825073,621.5499687194824,485.8232831954956,625.3442001342773,652.7246832847595,590.8405494689941,803.8541793823242,537.6778793334961,588.066623210907,473.772668838501,757.3587083816528,616.8581771850586,568.4117388725281,668.7127876281738,630.251612663269
15,663.310604095459,490.09504437446594,621.5012741088867,485.8301067352295,565.6450653076172,652.0730996131897,509.2196846008301,799.0215039253235,537.4230194091797,588.1357598304749,515.6641960144043,763.1914186477661,616.8508529663086,568.5104870796204,668.7345314025879,630.5795931816101
16,663.3828735351562,490.4283034801483,621.463794708252,485.89625000953674,544.899730682373,651.0605764389038,446.19229316711426,786.7740869522095,537.1830368041992,588.2325124740601,540.7937622070312,770.6509637832642,616.8362045288086,568.6206293106079,668.7932968139648,630.770845413208
17,663.4128570556641,490.6463348865509,621.4652824401855,486.02145552635193,538.6712265014648,651.3380241394043,442.0554542541504,784.5151090621948,537.0802688598633,588.4099245071411,593.2281875610352,769.5225048065186,616.8285369873047,568.8778638839722,668.9109420776367,631.0990190505981
