Frame,Left_Shoulder_X,Left_Shoulder_Y,Right_Shoulder_X,Right_Shoulder_Y,Right_Knee_X,Right_Knee_Y,Right_Foot_Index_X,Right_Foot_Index_Y,Hip_X,Hip_Y,Ankle_X,Ankle_Y,Elbow_X,Elbow_Y,Wrist_X,Wrist_Y
1,586.739330291748,438.593670129776,534.1541862487793,439.8314666748047,525.8791923522949,608.444094657898,508.6612129211426,747.4304580688477,485.2964401245117,545.2507138252258,445.58332443237305,720.0733423233032,539.2021751403809,519.0632879734039,591.349983215332,578.4075164794922
2,594.3625831604004,441.0124862194061,534.0151405334473,440.1280653476715,522.7655410766602,610.2146100997925,513.6661720275879,757.223846912384,480.7098197937012,544.1152381896973,437.13807106018066,705.6973028182983,539.9131393432617,523.3431279659271,591.910228729248,581.8235993385315
3,598.2122611999512,443.03988218307495,534.0434074401855,440.8493649959564,569.6133613586426,603.104739189148,579.6014785766602,747.6894307136536,478.05773735046387,543.9389848709106,371.97418212890625,704.6519494056702,540.3449821472168,526.3593900203705,591.990795135498,583.8254070281982
4,599.0417861938477,443.4817063808441,534.1375350952148,441.858412027359,570.5385589599609,598.513913154602,584.1570854187012,744.7665739059448,476.61426544189453,542.8714227676392,367.7343463897705,704.9271440505981,540.2924537658691,526.4665067195892,592.50732421875,584.4635367393494
5,599.3477439880371,443.4304654598236,534.305362701416,442.3520886898041,558.4816360473633,603.4537053108215,583.9282035827637,743.3127093315125,476.75963401794434,542.6203680038452,367.06226348876953,704.172112941742,540.3789710998535,527.0750248432159,593.8066864013672,584.2070746421814
6,599.0854454040527,443.80321741104126,534.3190956115723,442.75123357772827,556.6330146789551,601.7341732978821,585.9126091003418,741.8039345741272,475.85474967956543,542.780270576477,366.8551826477051,704.1158509254456,540.3722763061523,527.6812255382538,594.6660804748535,584.3869972229004
7,600.6157493591309,444.99942898750305,534.2629623413086,442.8737998008728,557.6905632019043,596.8469738960266,586.270694732666,740.7673358917236,475.14018058776855,542.7126145362854,366.45395278930664,704.1854381561279,540.351448059082,527.863529920578,594.6024513244629,584.6484804153442
8,600.263671875,444.81844425201416,534.4098472595215,442.84589409828186,570.2940559387207,598.0413508415222,586.1634635925293,740.9470653533936,475.14598846435547,542.6743125915527,365.27332305908203,704.5922756195068,540.3476142883301,527.5923585891724,594.5519256591797,584.5083403587341
9,600.058650970459,445.1366078853607,534.5839691162109,442.8263568878174,572.0936393737793,598.2284832000732,585.5391883850098,740.6054377555847,475.0015068054199,542.5072002410889,365.63733100891113,704.4765329360962,540.347785949707,527.403005361557,594.5712089538574,584.4608974456787
10,599.736156463623,445.4329490661621,534.6091461181641,442.8748619556427,535.3689765930176,599.5076394081116,539.732608795166,740.6542325019836,474.8301029205322,542.5206542015076,389.3344974517822,715.6584477424622,540.3450965881348,527.3426556587219,594.528923034668,584.4172525405884
11,599.600715637207,445.939918756485,534.6378707885742,443.2264995574951,538.6218452453613,599.8210072517395,575.5325317382812,740.7973337173462,474.62611198425293,542.531533241272,372.3540687561035,710.0541973114014,540.3539085388184,527.2732615470886,594.1453742980957,584.3722558021545
12,599.5371437072754,446.16899013519287,534.6585273742676,443.5969662666321,539.3029403686523,601.891565322876,582.1294212341309,740.5845165252686,474.59275245666504,542.5408029556274,368.75341415405273,707.6564311981201,540.7644653320312,527.6604008674622,594.4890403747559,584.3451547622681
13,599.4791221618652,447.0842134952545,534.7148323059082,443.8236880302429,519.4030952453613,603.7134504318237,506.7675590515137,743.0100274085999,474.686336517334,542.513701915741,422.4052333831787,712.0979118347168,541.2511253356934,527.6492321491241,594.7088241577148,584.3090415000916
14,599.6708106994629,448.38693022727966,534.9181365966797,443.8660132884979,528.8627815246582,602.7651071548462,575.3578948974609,741.6643738746643,474.7591781616211,542.1095037460327,377.78772354125977,709.0141868591309,541.2966156005859,527.6313364505768,594.6906280517578,584.2870903015137
15,600.3650093078613,450.7200336456299,534.9668312072754,443.7142860889435,509.83863830566406,604.4031429290771,486.9550895690918,742.9357409477234,474.67294692993164,541.716570854187,438.5562515258789,714.6726393699646,541.2023735046387,527.395441532135,594.6209335327148,584.2634010314941
16,600.2998924255371,450.4088222980499,535.1043891906738,443.7054991722107,490.74920654296875,608.1618189811707,403.78286361694336,743.3710956573486,474.71363067626953,541.4521908760071,480.2348327636719,718.7786078453064,541.1386299133301,527.2854602336884,594.6508026123047,584.2515563964844
17,599.2331886291504,449.5322871208191,535.3628540039062,443.773638010025,505.8445930480957,608.0124092102051,473.0152416229248,743.3582854270935,474.7455024719238,541.3694071769714,446.11870765686035,719.5032548904419,541.1321067810059,527.2523725032806,595.1215553283691,584.2292189598083
18,598.787727355957,449.34454321861267,535.4569816589355,443.9377248287201,457.6875686645508,634.7161388397217,396.9624710083008,743.3563542366028,474.715518951416,541.2871384620667,539.611873626709,723.0732536315918,541.1386299133301,527.2539818286896,595.2594566345215,584.205915927887
19,598.1581878662109,448.9952230453491,535.4794120788574,444.1088283061981,504.9993324279785,624.9516534805298,486.4687728881836,746.7056822776794,474.7164058685303,541.3226079940796,442.4868965148926,722.8435707092285,541.1368560791016,527.260000705719,595.4300880432129,584.1856384277344
20,598.0706977844238,448.8918077945709,535.5237579345703,444.193639755249,498.8191223144531,622.2956228256226,410.94935417175293,746.0134792327881,474.7243881225586,541.3366413116455,463.753080368042,722.6389932632446,541.1229515075684,527.2646033763885,595.6404304504395,584.122166633606
21,597.6846885681152,448.7898087501526,535.5122566223145,444.2206120491028,550.3133010864258,608.979549407959,575.4864120483398,744.7641921043396,474.6394157409668,541.370952129364,375.902795791626,710.8074259757996,540.6484222412109,527.3615169525146,595.652904510498,584.0478801727295
22,597.1976852416992,448.7487065792084,535.539665222168,444.2891049385071,554.1831207275391,604.2882370948792,582.65625,743.9435648918152,474.490270614624,541.5223574638367,369.1703224182129,706.8962502479553,539.9725341796875,527.3751962184906,595.6491279602051,583.9315581321716
23,597.0940589904785,448.7105655670166,535.535945892334,444.60697889328003,543.350772857666,604.3766212463379,578.0498886108398,743.0779409408569,474.4781970977783,541.6351389884949,391.22878074645996,707.9670310020447,539.6569633483887,527.4732685089111,595.6145095825195,583.7050938606262
24,597.0941162109375,448.69720816612244,535.5038452148438,444.6916937828064,523.3873558044434,604.5246148109436,496.38696670532227,744.0514540672302,474.48580741882324,541.6409969329834,430.0384998321533,713.6767244338989,539.3722343444824,527.4739444255829,595.4639053344727,583.5716485977173
25,597.0904541015625,448.9701819419861,535.5045318603516,444.6915328502655,461.41393661499023,630.7875823974609,396.1106014251709,743.4179592132568,474.49049949645996,541.6323065757751,537.9368019104004,719.380624294281,539.0581512451172,527.4659943580627,595.4086875915527,583.5074687004089
26,597.0524024963379,449.0178179740906,535.5325126647949,444.7385251522064,520.1994895935059,617.7320909500122,560.9515571594238,743.4440302848816,474.4943046569824,541.6357827186584,418.00695419311523,715.9590697288513,538.9957809448242,527.4934816360474,595.3406524658203,583.498649597168
27,596.7798042297363,448.9961886405945,535.5181503295898,444.9030303955078,523.7928199768066,612.1989727020264,534.118537902832,745.2743482589722,474.40887451171875,541.7562246322632,414.6422481536865,715.8122992515564,538.6346626281738,527.4898767471313,595.2835464477539,583.4759902954102
28,596.6536903381348,448.98154377937317,535.4843330383301,445.13322830200195,522.0214462280273,610.3111696243286,506.9611930847168,745.4506659507751,474.37256813049316,541.9416189193726,415.3553295135498,717.9187774658203,538.5467147827148,527.497022151947,595.2349090576172,583.4665274620056
29,595.8699989318848,448.36172819137573,535.4913711547852,445.4571855068207,503.03638458251953,610.3348588943481,459.9971294403076,745.4159045219421,474.3757438659668,541.9627976417542,456.5684509277344,722.4879741668701,538.549633026123,527.7539026737213,595.239200592041,583.4156084060669
30,595.3080940246582,447.73322224617004,535.5361747741699,445.62169075012207,508.78000259399414,609.740309715271,462.5204372406006,746.6470384597778,474.3098831176758,542.1966648101807,435.5273151397705,721.5845632553101,538.553581237793,527.7791690826416,595.213508605957,583.3018612861633
31,595.0531196594238,447.21009492874146,535.616340637207,445.7637941837311,508.65800857543945,609.7322630882263,473.430118560791,746.5493845939636,474.305477142334,542.5910782814026,441.4957523345947,723.8042736053467,538.6538887023926,527.9073357582092,595.210075378418,583.268129825592
32,594.9654006958008,446.8705916404724,535.6157684326172,445.91050028800964,542.8320121765137,606.9720125198364,575.9228897094727,744.8035883903503,474.30956840515137,542.6587343215942,373.9057731628418,711.6268944740295,538.6471939086914,527.9956555366516,595.0976943969727,583.1903028488159
33,594.9527549743652,446.7345714569092,535.6367111206055,445.9441351890564,556.3521194458008,601.4794492721558,583.6586380004883,743.4876108169556,474.4288158416748,542.690019607544,368.28386306762695,708.322434425354,538.6462783813477,528.0275201797485,594.8581123352051,583.1384181976318
34,594.8367118835449,446.40034675598145,535.6784820556641,446.04037284851074,561.6012954711914,595.5580973625183,584.6716690063477,742.7716541290283,474.45539474487305,542.7617955207825,367.66387939453125,707.2372341156006,538.5890007019043,528.0374658107758,594.708366394043,583.1294703483582
35,594.7069931030273,445.971622467041,535.7925796508789,446.150997877121,562.7647590637207,594.2142462730408,584.967155456543,742.3567056655884,474.45719718933105,542.7939820289612,367.90371894836426,706.7708516120911,538.5819625854492,528.0808210372925,594.5965576171875,583.1215524673462
36,594.6665382385254,445.87844252586365,535.8052253723145,446.2327516078949,562.7223587036133,594.0445590019226,584.8400115966797,742.0793223381042,474.45061683654785,542.7948188781738,367.88872718811035,706.640625,538.549976348877,528.0612194538116,594.4750213623047,583.0927133560181
37,594.9214553833008,445.9750986099243,535.8075714111328,446.23751521110535,559.7738456726074,595.4847121238708,584.4875907897949,741.9355130195618,474.45164680480957,542.7458310127258,367.7659320831299,706.4983606338501,538.4134483337402,528.0575501918793,594.3996047973633,583.047137260437
38,594.9674034118652,445.9787356853485,535.8063697814941,446.27382159233093,556.0737991333008,598.8203287124634,582.6219749450684,741.8300700187683,474.4157409667969,542.7592849731445,368.1177806854248,706.4301252365112,538.3983421325684,528.06920170784,594.3330001831055,583.0272459983826
39,594.9854850769043,445.9828233718872,535.7706069946289,446.28985047340393,557.2012138366699,598.5732007026672,583.0638885498047,741.7467069625854,474.39562797546387,542.8090453147888,367.87038803100586,706.549859046936,538.3793449401855,528.0689120292664,594.1304969787598,582.9701471328735
40,594.9898910522461,446.152446269989,535.6738471984863,446.29181385040283,560.6284332275391,594.3151187896729,584.0535163879395,741.6730642318726,474.29286003112793,542.978732585907,367.77148246765137,706.564793586731,538.2880783081055,528.0563914775848,593.887939453125,582.933840751648
41,594.9770164489746,446.14555835723877,535.5618095397949,446.301212310791,560.5680656433105,594.6112990379333,583.9991569519043,741.664309501648,474.178991317749,542.9010343551636,367.96460151672363,706.434953212738,538.282413482666,528.0819153785706,593.8322639465332,582.8757762908936
42,594.9524688720703,446.1403441429138,535.4907417297363,446.31492376327515,560.1694107055664,595.0865650177002,583.7994575500488,741.6698455810547,474.1691493988037,542.9068279266357,367.84770011901855,706.4182806015015,538.308277130127,528.1509876251221,593.8120651245117,582.8460359573364
43,594.949836730957,446.1276948451996,535.4895401000977,446.30993485450745,560.3986358642578,595.2854776382446,583.6479949951172,741.6684293746948,474.16860580444336,542.8998112678528,367.7870178222656,706.4095902442932,538.3066177368164,528.1522750854492,593.7469482421875,582.7648615837097
44,594.9319267272949,446.10719203948975,535.4280853271484,446.3110291957855,561.3631439208984,593.8684344291687,583.2968330383301,741.6514992713928,474.2846488952637,542.8990387916565,367.6681137084961,706.3777899742126,538.3574867248535,528.1845581531525,593.7439155578613,582.7592611312866
45,594.9105262756348,446.053569316864,535.3165626525879,446.3353943824768,560.5250358581543,593.9181303977966,583.1940650939941,741.6536235809326,474.3397521972656,542.9021286964417,367.70310401916504,706.3972306251526,538.4755897521973,528.3466172218323,593.8138389587402,582.7494764328003
46,594.9361610412598,446.00516080856323,535.2084732055664,446.3021779060364,557.1966934204102,595.8143019676208,582.8215599060059,741.665210723877,474.3628406524658,542.7282571792603,367.76713371276855,706.2936544418335,538.4988784790039,528.2935738563538,593.8156127929688,582.7294564247131
47,595.0555801391602,446.0850155353546,535.0777816772461,446.28135323524475,543.8520240783691,599.6369004249573,582.392635345459,741.7493462562561,474.4266128540039,542.6765656471252,387.34225273132324,708.184289932251,538.5274314880371,528.3133685588837,593.9029312133789,582.7230191230774
48,595.0646209716797,446.0852086544037,535.0189590454102,446.30945205688477,545.9114456176758,600.500271320343,582.3095512390137,741.8143630027771,474.49130058288574,542.6580262184143,376.7603874206543,707.4123930931091,538.5338401794434,528.3287858963013,593.9105987548828,582.6713275909424
49,595.0658798217773,446.08952164649963,534.9728965759277,446.29496812820435,550.642261505127,600.0468921661377,582.4211883544922,741.9367361068726,474.4976234436035,542.3598504066467,372.5701904296875,706.9662880897522,538.5325813293457,528.2996249198914,593.8753509521484,582.5833296775818
50,595.0880813598633,446.0990810394287,534.9290657043457,446.29255414009094,541.1156845092773,602.682774066925,580.3355598449707,742.1715688705444,474.5021438598633,542.3248958587646,389.89354133605957,708.6028432846069,538.5764122009277,528.2899689674377,593.9035034179688,582.5795316696167
51,595.1436996459961,446.0792541503906,534.9050331115723,446.292200088501,483.6226272583008,611.5753269195557,398.63101959228516,740.962450504303,474.591007232666,542.2094106674194,530.9537315368652,719.3801736831665,538.5843658447266,528.2913208007812,593.9532852172852,582.5700044631958
52,595.290412902832,446.11082911491394,534.8271560668945,446.2430191040039,492.46301651000977,610.0802636146545,403.5637092590332,740.9319376945496,474.61721420288086,542.1133661270142,476.152925491333,723.7357807159424,538.4039497375488,527.9973614215851,593.9511680603027,582.4770498275757
53,595.345516204834,446.1173629760742,534.8230934143066,446.21710896492004,457.4553108215332,631.6154193878174,390.972318649292,740.92698097229,474.7808361053467,541.8621182441711,539.3548965454102,724.3896174430847,538.4015464782715,527.8663945198059,593.9512252807617,582.4014759063721
54,595.5341148376465,446.57437920570374,534.7712516784668,445.9967279434204,455.19272804260254,634.5790886878967,389.8806667327881,740.9182906150818,474.85485076904297,541.8274855613708,541.4546012878418,723.6026573181152,538.4023475646973,527.5920367240906,593.9104270935059,582.2644901275635
55,595.8275985717773,447.25077867507935,534.6453666687012,445.9259498119354,475.27350425720215,624.4985318183899,393.2102680206299,740.4912400245667,474.88712310791016,541.7200469970703,537.9715919494629,722.3126220703125,538.3976554870605,527.5857603549957,593.9230728149414,582.2371959686279
56,595.8960914611816,447.57930636405945,534.616813659668,445.8883559703827,486.1984062194824,615.7882833480835,402.1628665924072,740.5063033103943,474.9505805969238,541.7109060287476,504.2113494873047,723.0202746391296,538.3590316772461,527.5964462757111,593.9287376403809,582.2286987304688
57,596.0567092895508,447.8655409812927,534.5510101318359,445.850955247879,484.1318893432617,613.1627011299133,394.19809341430664,740.1835370063782,475.0100612640381,541.7003488540649,535.3685760498047,722.2704577445984,538.3423805236816,527.6000833511353,593.9080810546875,582.202627658844
58,596.3717651367188,448.48114013671875,534.3209838867188,445.6849694252014,477.4998950958252,612.8319525718689,391.19665145874023,740.1958966255188,475.00988960266113,541.3554382324219,541.4334869384766,722.6510310173035,538.4540748596191,527.7761113643646,593.906078338623,582.1942591667175
