Frame,Left_Shoulder_X,Left_Shoulder_Y,Right_Shoulder_X,Right_Shoulder_Y,Right_Knee_X,Right_Knee_Y,Right_Foot_Index_X,Right_Foot_Index_Y,Hip_X,Hip_Y,Ankle_X,Ankle_Y,Elbow_X,Elbow_Y,Wrist_X,Wrist_Y
1,371.5555000305176,308.17078471183777,331.86784744262695,277.53434658050537,379.82789039611816,594.9065136909485,495.76663970947266,746.1180210113525,313.43470573425293,468.81036400794983,282.1629238128662,730.8164262771606,294.7580909729004,361.93432331085205,343.3666706085205,443.4989261627197
2,371.33800506591797,306.9483411312103,334.8875427246094,278.5953426361084,391.8608093261719,593.0916452407837,494.9150848388672,746.1417102813721,323.29562187194824,468.9625096321106,280.91325759887695,729.3026947975159,294.4969367980957,361.88610792160034,344.1427803039551,444.2292380332947
3,371.93793296813965,306.9187617301941,335.98156929016113,279.5910966396332,395.09711265563965,591.0911893844604,493.5944366455078,746.9255805015564,326.53032302856445,469.711811542511,280.1971435546875,728.4166646003723,294.87656593322754,362.3577690124512,346.41148567199707,444.66639518737793
4,374.5448112487793,307.27548480033875,337.55845069885254,279.75354194641113,395.8571147918701,589.9503707885742,492.9129409790039,747.5914549827576,327.09568977355957,469.89617586135864,280.11082649230957,727.7484083175659,295.4377269744873,362.3587989807129,347.77273178100586,444.0095329284668
5,376.50275230407715,307.18916058540344,340.3615379333496,279.80310916900635,396.7264938354492,589.8368811607361,492.3515510559082,748.559947013855,329.34943199157715,470.11008739471436,279.9668312072754,727.6831984519958,296.32121086120605,361.2078094482422,349.01275634765625,442.73208260536194
6,379.81184005737305,307.3262107372284,342.1313953399658,280.199099779129,399.2974376678467,589.6865701675415,490.8698844909668,748.6828994750977,330.7459545135498,470.42866945266724,279.64940071105957,728.0598449707031,298.66501808166504,360.6575810909271,351.0897445678711,441.9908916950226
7,380.579309463501,307.3311674594879,345.00500679016113,280.9392285346985,401.49487495422363,589.6954536437988,490.57788848876953,748.7098073959351,335.0470447540283,470.5032455921173,279.2269706726074,728.0746507644653,301.814546585083,360.2649700641632,353.77604484558105,441.80031538009644
8,380.72081565856934,306.8416106700897,347.9538059234619,281.72486901283264,402.8671360015869,589.7182416915894,488.8300895690918,748.6947441101074,337.8112506866455,470.50334215164185,279.1295528411865,728.0848217010498,305.4484748840332,359.3448221683502,356.7462158203125,441.41584753990173
9,382.2791576385498,306.8153464794159,349.5036220550537,283.07251811027527,404.34096336364746,589.7692894935608,488.7549018859863,748.6796164512634,339.2219352722168,470.9377634525299,278.97634506225586,728.1047129631042,307.0114231109619,359.9420428276062,360.5669116973877,441.32801055908203
10,383.5216426849365,306.4624536037445,352.470645904541,284.37533140182495,404.58669662475586,590.3696322441101,488.3821678161621,748.6406064033508,340.12965202331543,471.8170666694641,278.9823532104492,728.1184244155884,309.15990829467773,361.18428111076355,365.7762622833252,441.33283853530884
