Frame,Left_Shoulder_X,Left_Shoulder_Y,Right_Shoulder_X,Right_Shoulder_Y,Right_Knee_X,Right_Knee_Y,Right_Foot_Index_X,Right_Foot_Index_Y,Hip_X,Hip_Y,Ankle_X,Ankle_Y,Elbow_X,Elbow_Y,Wrist_X,Wrist_Y
1,333.64734649658203,278.2161855697632,294.2443656921387,266.4603853225708,321.4138698577881,584.6344470977783,254.16930198669434,751.7301893234253,280.97697257995605,449.6592307090759,327.7358150482178,717.3142504692078,262.034912109375,354.7892725467682,302.08834648132324,441.93771958351135
2,334.60641860961914,278.4429395198822,293.14501762390137,267.5820851325989,322.02778816223145,585.4087901115417,256.65696144104004,750.1011657714844,285.09716033935547,452.95162081718445,327.2914695739746,717.3209452629089,263.1140613555908,354.8299562931061,302.0873165130615,441.1648893356323
3,335.5052661895752,278.893518447876,293.1530570983887,268.260737657547,324.59383964538574,585.4089188575745,261.93943977355957,747.5984072685242,287.52854347229004,453.99813294410706,327.40153312683105,717.7561712265015,264.13455963134766,355.9621810913086,303.0004405975342,440.71598410606384
4,337.9892063140869,278.8130843639374,293.35378646850586,268.39175283908844,328.24639320373535,584.6651530265808,267.2739887237549,745.1673603057861,289.55334663391113,453.8198518753052,327.40264892578125,717.7566862106323,264.607458114624,356.2288784980774,303.56051445007324,440.41571617126465
5,340.52699089050293,279.2767632007599,293.76611709594727,268.37936103343964,330.4152774810791,581.953375339508,273.0025005340576,743.479950428009,290.66187858581543,453.7092590332031,327.37732887268066,717.6331543922424,265.0609016418457,355.3648638725281,303.68579864501953,436.5650188922882
6,342.4296283721924,280.0049829483032,294.5339584350586,268.37752640247345,334.0401077270508,581.1759424209595,276.36672019958496,741.0972476005554,291.4723777770996,453.70166301727295,327.37226486206055,717.3387765884399,265.78290939331055,355.15748620033264,304.48957443237305,434.96422290802
7,345.2058219909668,280.8198809623718,295.145902633667,268.2683336734772,336.27121925354004,580.4145383834839,279.7240734100342,739.2557287216187,291.2152290344238,453.2043492794037,327.3573303222656,716.9887161254883,266.4491844177246,355.14480471611023,305.3467082977295,434.4863820075989
8,345.7950210571289,281.21200919151306,297.14956283569336,267.83825755119324,339.0300464630127,580.1597499847412,285.466833114624,738.5623669624329,292.1719551086426,452.6393795013428,326.5250301361084,716.3077139854431,267.0563793182373,354.9218487739563,306.5358638763428,434.23925399780273
9,346.91991806030273,283.76681327819824,300.3838062286377,267.630558013916,341.56834602355957,579.36274766922,291.4738655090332,737.3377990722656,294.27815437316895,452.0055305957794,319.6472454071045,712.5930690765381,267.17016220092773,354.3899667263031,307.1571350097656,433.0654442310333
10,347.22484588623047,285.19779324531555,301.3864231109619,267.51724541187286,343.7428379058838,579.1489005088806,292.66056060791016,737.0801782608032,296.1979579925537,451.99265599250793,320.32567977905273,712.58296251297,267.2701835632324,354.2776036262512,307.8889560699463,432.53491401672363
11,348.4299659729004,286.59929037094116,303.9016628265381,267.288721203804,345.9851360321045,579.2154622077942,299.95076179504395,737.166759967804,299.2206001281738,452.8209114074707,321.0233402252197,712.6218438148499,267.2376537322998,353.2681703567505,308.60280990600586,431.7081391811371
12,349.9189853668213,287.65079140663147,305.1243782043457,266.82666778564453,348.2958698272705,579.2687630653381,314.55153465270996,737.5071001052856,299.6655464172363,452.80736088752747,321.41650199890137,712.1098852157593,267.2296714782715,352.1278989315033,309.51879501342773,431.08697175979614
13,352.29294776916504,290.1770782470703,305.8235263824463,265.8902817964554,348.9912414550781,579.2849206924438,319.6391487121582,737.7686476707458,300.06720542907715,452.79213666915894,321.79821968078613,710.3887438774109,267.15256690979004,351.0316586494446,310.0970935821533,430.2860105037689
14,354.30089950561523,292.2988772392273,306.5833854675293,265.0428432226181,351.055326461792,578.9912509918213,331.4310550689697,736.4958000183105,299.96057510375977,452.6252818107605,322.05419540405273,707.1848344802856,267.134313583374,350.1046872138977,311.0279846191406,429.6971905231476
15,355.30531883239746,292.4813747406006,307.4263000488281,264.56258833408356,353.4788703918457,578.6386156082153,351.1431312561035,734.4996571540833,300.8716106414795,452.48430490493774,320.7583236694336,702.557315826416,267.0783805847168,349.36105012893677,312.0286560058594,429.28401231765747
16,357.23124504089355,292.3144555091858,308.4540367126465,264.2767560482025,354.8042392730713,577.9112005233765,361.25481605529785,733.3722925186157,301.5028667449951,452.0970368385315,319.0141010284424,700.5171418190002,267.1189785003662,348.9956045150757,313.1883144378662,429.15233731269836
17,359.26051139831543,292.91792035102844,309.42094802856445,263.9999681711197,354.97424125671387,577.7512335777283,368.9491367340088,733.695638179779,302.34277725219727,451.8826425075531,317.8989315032959,699.9967503547668,267.3269748687744,348.28009843826294,314.47717666625977,428.88821482658386
18,360.3181457519531,292.6044237613678,310.7710075378418,263.9520263671875,356.4374828338623,576.9742512702942,374.57056045532227,733.9558982849121,302.86322593688965,451.69963002204895,318.96623611450195,700.0342154502869,267.50475883483887,347.12543964385986,315.3359127044678,428.1958508491516
19,362.3919868469238,292.554566860199,312.3457431793213,263.95950973033905,356.6719150543213,576.6787147521973,382.7570629119873,734.0718984603882,303.0171775817871,451.73680543899536,320.82850456237793,700.0127792358398,267.6171684265137,346.6603124141693,316.1545658111572,427.58543372154236
20,364.69608306884766,293.1195366382599,313.95069122314453,263.73349606990814,357.5822353363037,576.1180901527405,390.4482650756836,734.1324090957642,303.46601486206055,451.708642244339,324.51281547546387,700.5332350730896,268.23434829711914,346.16335272789,316.9291305541992,426.86442375183105
21,366.93843841552734,294.2594540119171,315.8495807647705,263.40356826782227,360.85819244384766,574.0613722801208,394.20756340026855,734.5296549797058,304.25042152404785,451.72248244285583,327.8925132751465,700.8804631233215,269.20984268188477,345.57456493377686,317.8807067871094,426.473228931427
22,369.77763175964355,296.2691795825958,317.1616458892822,263.11437249183655,364.52104568481445,571.4034748077393,398.15134048461914,735.3034830093384,304.9639320373535,451.7169785499573,329.0383529663086,704.4441533088684,270.22364616394043,344.35189604759216,318.47691535949707,425.87806820869446
23,372.0952033996582,297.7082061767578,317.9827308654785,263.02761375904083,367.1205711364746,570.5818819999695,410.82112312316895,735.4647374153137,307.3560619354248,451.7120862007141,330.4435729980469,710.0101017951965,271.329402923584,343.7873125076294,319.24098014831543,425.44828176498413
24,373.5183334350586,299.0872371196747,318.12509536743164,262.8191900253296,369.97172355651855,570.2504253387451,421.9761657714844,736.6519689559937,309.04263496398926,451.6647398471832,332.2577476501465,716.9914841651917,272.7388286590576,343.594708442688,320.2053737640381,424.9657738208771
25,376.26729011535645,300.97832322120667,318.73847007751465,262.63495445251465,369.2573833465576,570.5524635314941,422.5697422027588,737.6111268997192,310.18346786499023,451.80050253868103,337.03248023986816,716.8068623542786,274.6380043029785,343.65100264549255,321.5455627441406,424.6438443660736
26,377.9497718811035,301.95045232772827,319.5267105102539,262.5878655910492,371.39410972595215,570.8054494857788,433.92388343811035,738.2388281822205,311.88989639282227,452.12413787841797,338.9589500427246,717.7585530281067,276.5804672241211,343.72432351112366,323.2405185699463,424.15769934654236
27,379.23874855041504,302.26481795310974,321.4622211456299,262.5987607240677,373.08228492736816,572.3926305770874,441.14155769348145,738.489625453949,314.49740409851074,452.98380732536316,338.78414154052734,718.2117390632629,277.5490093231201,343.6409282684326,324.0172004699707,423.9474892616272
28,380.81640243530273,302.33176589012146,322.5561046600342,262.655553817749,375.33056259155273,573.3739328384399,446.8959903717041,738.4439206123352,316.8196678161621,453.47291350364685,338.5524559020996,718.0556988716125,278.8835048675537,343.458913564682,325.0367832183838,423.6260426044464
29,381.93549156188965,302.4353098869324,323.9717102050781,262.7833825349808,376.91110610961914,574.3467378616333,462.93142318725586,737.0954990386963,317.8995895385742,453.6993134021759,335.5242919921875,719.1032409667969,279.55206871032715,343.0798852443695,325.262975692749,422.51068353652954
30,381.7335033416748,302.20919966697693,326.0152816772461,262.898867726326,377.64864921569824,574.5835661888123,467.5055408477783,735.4250192642212,319.2228412628174,453.8340139389038,330.2046489715576,719.9519991874695,280.7138729095459,342.8440546989441,326.19996070861816,422.359117269516
31,382.18591690063477,302.14991211891174,328.02886962890625,262.9818767309189,377.92001724243164,574.7390913963318,468.92589569091797,734.3117523193359,319.6377754211426,453.89188528060913,328.39653968811035,720.5982398986816,281.88720703125,342.77002573013306,326.9885730743408,421.9694674015045
32,382.36764907836914,301.74729108810425,329.3465995788574,263.1431955099106,378.8650417327881,574.7739171981812,472.4838924407959,733.7795805931091,321.09137535095215,453.9061439037323,326.58130645751953,720.8777475357056,283.28298568725586,342.72222876548767,328.22476387023926,421.98391914367676
33,382.72570610046387,301.43508195877075,330.77359199523926,263.1473636627197,379.99059677124023,574.9838376045227,476.51241302490234,733.3093357086182,323.74237060546875,453.90788197517395,325.7937526702881,721.5187740325928,284.5495319366455,342.62338399887085,329.46919441223145,422.0230257511139
34,383.3302402496338,301.3837444782257,332.1125793457031,263.2842367887497,380.41165351867676,575.2547192573547,477.3409080505371,732.8112173080444,326.1441135406494,454.2354440689087,325.6245517730713,721.6664457321167,286.29395484924316,342.6979601383209,330.94470977783203,422.0983099937439
35,383.8125514984131,300.936963558197,333.4519100189209,263.2812434434891,381.6306495666504,575.314199924469,481.4768600463867,732.02805519104,327.5107669830322,454.20357942581177,324.76993560791016,721.4855575561523,288.2992458343506,342.81994700431824,332.2241020202637,422.2554123401642
