Frame,Left_Shoulder_X,Left_Shoulder_Y,Right_Shoulder_X,Right_Shoulder_Y,Right_Knee_X,Right_Knee_Y,Right_Foot_Index_X,Right_Foot_Index_Y,Hip_X,Hip_Y,Ankle_X,Ankle_Y,Elbow_X,Elbow_Y,Wrist_X,Wrist_Y
1,572.1930885314941,482.55632042884827,523.7196922302246,473.70264887809753,575.5494117736816,681.5956592559814,670.3577041625977,794.1156363487244,500.0042152404785,605.4078769683838,485.1697540283203,790.9865927696228,524.227294921875,556.4845776557922,599.7972679138184,584.7782564163208
2,572.1760368347168,479.9001610279083,524.308032989502,478.8608908653259,573.7985801696777,680.3044652938843,665.3792953491211,796.7443084716797,490.4693412780762,603.2978582382202,485.2393341064453,791.0461378097534,527.1915435791016,559.7948312759399,604.8951530456543,590.9897375106812
3,570.6804656982422,478.34152936935425,526.875114440918,480.85413694381714,573.8168907165527,680.449948310852,664.5730018615723,797.3849487304688,489.97798919677734,602.5956773757935,485.1881217956543,790.9699845314026,530.7072257995605,562.0746660232544,607.2213363647461,594.4391012191772
4,570.699291229248,478.56091260910034,528.1426048278809,480.7968771457672,574.2839241027832,681.3466000556946,664.1277694702148,797.2635412216187,490.71475982666016,602.2273993492126,484.63817596435547,791.1197805404663,531.3479232788086,562.2316074371338,607.415657043457,594.3901133537292
5,571.1259269714355,478.86356234550476,530.7592391967773,480.5400609970093,574.3055534362793,681.3485956192017,664.3251800537109,797.1849417686462,491.31322860717773,602.0291948318481,484.5790672302246,791.0330700874329,531.6012382507324,562.0585083961487,607.9852294921875,593.877317905426
6,570.5165863037109,478.9221739768982,533.4134101867676,481.02253675460815,574.9176406860352,681.1059093475342,664.5466232299805,797.1358251571655,491.52963638305664,599.5060300827026,484.3996238708496,790.6355667114258,533.5308837890625,561.892876625061,610.5485343933105,595.3512668609619
7,569.7757530212402,478.81611943244934,536.5294075012207,481.76488637924194,576.1823844909668,680.9666061401367,664.5942306518555,796.8892765045166,491.7711639404297,599.2836213111877,484.41003799438477,789.8248529434204,535.1800918579102,562.038037776947,613.077392578125,596.8057751655579
8,576.9332885742188,479.69358801841736,538.4482955932617,481.83318614959717,576.5202713012695,680.610044002533,664.7955322265625,797.6054906845093,491.9699478149414,599.3088555335999,484.7066116333008,788.7435150146484,536.1769866943359,562.263343334198,615.2903938293457,598.9634299278259
9,579.6374702453613,479.91400122642517,541.2991905212402,481.64029240608215,576.5307998657227,680.4172468185425,664.8762130737305,798.2699489593506,492.0157814025879,598.2293200492859,484.7153091430664,788.0854940414429,537.0168685913086,562.2399115562439,616.146297454834,599.4155859947205
10,583.2320022583008,481.2859833240509,540.8509254455566,481.45325660705566,576.5031051635742,679.2033648490906,664.3619728088379,798.7461161613464,491.8768501281738,597.2117757797241,484.522762298584,788.114333152771,537.5759696960449,562.1718049049377,616.548957824707,599.9384880065918
