Frame,Left_Shoulder_X,Left_Shoulder_Y,Right_Shoulder_X,Right_Shoulder_Y,Right_Knee_X,Right_Knee_Y,Right_Foot_Index_X,Right_Foot_Index_Y,Hip_X,Hip_Y,Ankle_X,Ankle_Y,Elbow_X,Elbow_Y,Wrist_X,Wrist_Y
1,640.6379127502441,329.4016170501709,649.5434761047363,338.4157705307007,634.3585395812988,609.0177869796753,655.1347732543945,768.9119911193848,579.8616600036621,497.7900981903076,479.7759532928467,696.1388111114502,611.5286064147949,437.0110273361206,649.3914413452148,524.2980372905731
2,645.3611183166504,332.3852741718292,648.6294937133789,338.41599583625793,633.2216262817383,609.0141177177429,655.0754928588867,770.2137422561646,579.7040176391602,496.53321504592896,479.78376388549805,694.8794174194336,611.5272331237793,434.94149923324585,646.9659233093262,523.688907623291
3,646.0772323608398,332.86948800086975,648.3035087585449,338.42809796333313,633.2036018371582,609.0369701385498,655.0748062133789,771.3495397567749,579.9988746643066,496.45146131515503,478.9717197418213,694.7067046165466,611.5398216247559,433.9015531539917,645.5660820007324,523.6729109287262
4,646.347484588623,332.8754425048828,647.8594779968262,338.3788526058197,633.1694984436035,609.0347814559937,655.0815582275391,771.970739364624,579.9607086181641,496.0936439037323,478.6086845397949,694.6129131317139,611.4087867736816,433.00947189331055,644.545955657959,523.5991716384888
5,646.8589210510254,333.1835961341858,647.3114204406738,338.38528990745544,631.6304969787598,609.0190744400024,655.0331497192383,772.5112152099609,579.4599151611328,495.4231023788452,478.1970691680908,694.6186423301697,611.1645126342773,432.62909173965454,643.6535453796387,523.6093747615814
6,647.0204544067383,333.6822295188904,646.4194679260254,338.3661711215973,630.919361114502,608.9938402175903,655.0111198425293,773.3429145812988,578.5859298706055,494.473375082016,477.7848243713379,694.6228909492493,610.5192375183105,432.59323596954346,643.0571365356445,523.6019396781921
7,646.8708229064941,333.7558400630951,646.1313056945801,338.31647515296936,630.637264251709,609.0078091621399,654.8750495910645,773.8328576087952,578.1714820861816,493.9375340938568,477.09611892700195,694.6306157112122,610.140438079834,432.37233996391296,642.345027923584,523.5744524002075
8,646.7485427856445,333.7060475349426,645.9389877319336,338.3233308792114,630.867919921875,609.1197538375854,654.8349380493164,773.9734482765198,578.0772972106934,493.61937046051025,476.42712593078613,694.6452927589417,609.9695205688477,432.30461955070496,641.6912269592285,523.5147786140442
9,646.6875457763672,333.6838388442993,645.8858299255371,338.3663320541382,630.959644317627,609.1198825836182,654.8480415344238,774.0795350074768,577.8707313537598,493.5512316226959,475.8805274963379,694.6317744255066,609.8479843139648,432.11610317230225,641.4084434509277,523.3004808425903
10,646.6622543334961,333.66565346717834,645.8552742004395,338.3831977844238,631.0381507873535,609.2399382591248,654.8419761657715,774.2017793655396,577.8755950927734,493.50478649139404,475.60967445373535,694.5827221870422,609.668140411377,431.71789169311523,640.8642196655273,522.7681159973145
11,646.5692710876465,333.6595058441162,645.6899070739746,338.3154773712158,631.1065864562988,609.2344665527344,654.825325012207,774.2491579055786,577.5827980041504,492.8500485420227,475.3128719329834,694.5454502105713,609.3830680847168,431.30452036857605,640.6912994384766,522.3189854621887
12,646.5173149108887,333.482962846756,645.7046127319336,338.2405471801758,631.3092041015625,609.2333078384399,654.5788764953613,774.1616749763489,577.3906517028809,492.5180125236511,475.18117904663086,694.2152810096741,609.3723678588867,431.1426544189453,640.268611907959,522.2192394733429
13,646.5004920959473,333.3842468261719,645.7130813598633,337.97919273376465,631.3320922851562,609.1759514808655,654.4932746887207,774.0836548805237,577.2832489013672,492.1476423740387,475.1525688171387,693.9984726905823,609.3540000915527,431.1379551887512,639.5760154724121,522.3363018035889
14,645.8115577697754,333.3099603652954,645.7391738891602,337.9806411266327,631.2945556640625,609.0594363212585,654.5280075073242,774.0342164039612,577.2284889221191,492.1648943424225,475.0901126861572,693.8601994514465,609.3015289306641,431.1534368991852,638.7911796569824,522.4192464351654
15,645.3354835510254,332.9238188266754,645.7480430603027,337.9789996147156,630.7210350036621,609.2870593070984,654.5233726501465,773.9668822288513,577.0267868041992,492.0915734767914,474.9916362762451,693.7839818000793,609.0740776062012,431.17567777633667,638.3857154846191,522.7972447872162
16,644.7520637512207,332.78509497642517,645.684757232666,337.9777121543884,630.7415771484375,609.5632195472717,654.4465255737305,773.6503601074219,577.035026550293,492.10341811180115,474.8733901977539,693.7770295143127,609.0297889709473,431.2648022174835,638.3701515197754,522.9887545108795
17,643.9172172546387,332.541378736496,645.6872177124023,337.9708242416382,630.7553672790527,609.5649576187134,654.4250679016113,773.3463907241821,576.9870185852051,492.04882979393005,474.8006343841553,693.8027787208557,608.9259910583496,431.3621985912323,638.433723449707,523.5419762134552
18,643.0264091491699,332.5375485420227,645.6564331054688,337.96515941619873,630.7044410705566,610.0644278526306,654.419002532959,773.2446813583374,576.9377517700195,492.23103761672974,474.3820381164551,693.9402151107788,608.9081954956055,431.3723695278168,638.2260704040527,523.6865258216858
19,642.3795318603516,332.75265097618103,645.5425643920898,337.98447132110596,630.7101058959961,610.4404306411743,654.0842628479004,773.172390460968,577.2014236450195,493.22807908058167,473.9731693267822,694.1160821914673,608.5961151123047,431.413117647171,637.3950576782227,524.1190803050995
20,641.5790176391602,332.9645025730133,645.3789138793945,338.14823627471924,630.6986045837402,611.4263677597046,653.5602951049805,773.160674571991,578.0687141418457,495.9679877758026,473.74892234802246,694.2548060417175,608.3397674560547,431.6705131530762,636.8400764465332,524.3238508701324
21,640.9866142272949,332.96340823173523,645.2969741821289,338.14881563186646,630.7048416137695,612.1257162094116,653.5067939758301,773.1870675086975,578.4832763671875,496.11894249916077,473.5832405090332,694.4606065750122,607.7847290039062,431.7741537094116,636.1610984802246,524.8811602592468
22,640.4162979125977,332.84966111183167,645.1962089538574,338.19571137428284,630.7000923156738,612.4184203147888,653.4865951538086,773.1958866119385,578.6495018005371,496.04912996292114,473.4932327270508,694.5309019088745,607.4776840209961,431.78561210632324,635.1674652099609,525.106143951416
23,640.0937461853027,332.65313029289246,645.1342391967773,338.21383237838745,630.7033538818359,612.5334548950195,653.4115791320801,773.3019089698792,579.2955780029297,495.9935438632965,473.4297466278076,694.7247934341431,607.3768043518066,431.6110324859619,634.5913696289062,525.0657498836517
24,639.1749000549316,332.4681544303894,645.1622772216797,338.3037292957306,630.6947708129883,612.5402784347534,653.4040260314941,773.3991122245789,579.7743988037109,495.9492230415344,473.3609390258789,694.8139500617981,607.3758888244629,431.3290786743164,634.4326972961426,524.7797727584839
25,639.2085456848145,332.56529331207275,645.241641998291,338.35899353027344,630.6964302062988,612.6013040542603,653.3068084716797,773.907208442688,580.3229141235352,495.92196106910706,473.10376167297363,694.8497414588928,607.3711395263672,431.33538722991943,634.1095161437988,524.9592769145966
26,639.2517471313477,332.7434456348419,645.241584777832,338.4520125389099,630.6805229187012,612.46258020401,652.9595375061035,773.915319442749,580.6746482849121,495.92077016830444,472.85322189331055,694.9958038330078,607.4602890014648,431.39042615890503,633.929386138916,525.4018414020538
27,639.5486640930176,333.05243611335754,645.1284027099609,338.7417232990265,630.2926254272461,612.367115020752,652.3879623413086,774.0273284912109,580.6224632263184,496.06242299079895,472.7734851837158,695.323977470398,607.5460624694824,431.64875507354736,633.8471603393555,525.8031105995178
28,639.5954704284668,333.2309424877167,644.7759819030762,339.27775740623474,630.080509185791,612.3256587982178,652.1950149536133,774.0295171737671,579.6450233459473,496.11884593963623,472.68805503845215,695.5481886863708,607.5159072875977,432.93811440467834,634.4167327880859,525.989180803299
29,639.675235748291,333.87760162353516,644.3654823303223,340.0673568248749,630.0716400146484,612.7536106109619,652.1905517578125,774.1600012779236,579.5489501953125,497.3290264606476,472.1597957611084,695.7556629180908,607.5164222717285,433.97915482521057,635.1458358764648,526.5297853946686
30,640.0383567810059,334.4239354133606,644.1263580322266,340.38066029548645,630.2110862731934,613.3020687103271,652.2078323364258,774.5626544952393,579.5641708374023,497.7408528327942,471.7228889465332,696.0934925079346,607.3877906799316,434.97355699539185,635.7928848266602,527.0924699306488
31,640.056037902832,334.687317609787,644.0960884094238,340.7531225681305,630.4792213439941,614.0469932556152,652.2066307067871,775.1783180236816,579.6264266967773,498.20144176483154,471.5902519226074,696.6589450836182,607.3830413818359,435.9309124946594,636.8822479248047,527.7110624313354
32,640.0685691833496,334.93277192115784,644.055061340332,340.98447918891907,630.6017875671387,614.6390318870544,652.0955085754395,776.4883732795715,579.6533203125,498.61027479171753,471.59008026123047,697.3805022239685,607.4357414245605,436.4519798755646,637.3004150390625,528.1780886650085
33,640.030689239502,335.231591463089,644.0521430969238,341.77913188934326,630.6145477294922,615.6902432441711,652.0065307617188,777.5371384620667,579.6978950500488,499.42423939704895,471.54444694519043,698.1646943092346,607.4959945678711,437.4151933193207,637.2891998291016,529.1190934181213
34,640.0756645202637,336.07001781463623,644.004077911377,342.2364056110382,630.5302619934082,615.6520056724548,651.983585357666,778.3576369285583,578.6373710632324,499.3769896030426,471.47046089172363,698.7369704246521,607.5099563598633,438.23289155960083,637.2740936279297,530.1276254653931
35,640.1125144958496,336.38171195983887,643.941707611084,343.28272461891174,630.5279731750488,615.801351070404,652.0689010620117,779.0490674972534,577.8357696533203,499.85389709472656,471.4609909057617,699.6586632728577,607.5494384765625,439.1832947731018,637.2627639770508,531.0549187660217
36,640.2014923095703,336.89669609069824,643.7090492248535,343.48952293395996,630.6254768371582,616.0352826118469,652.6918601989746,779.5459628105164,577.1066665649414,500.27663469314575,471.4774417877197,700.2028727531433,607.5750160217285,439.46354269981384,637.104549407959,531.8964993953705
37,640.2627182006836,337.41885781288147,643.5028839111328,343.6285364627838,630.7039833068848,616.2649655342102,653.0937767028809,779.7583937644958,576.6671562194824,500.6796419620514,471.5213871002197,700.8850979804993,607.5771331787109,439.6214175224304,636.9668769836426,532.7595806121826
