Frame,Left_Shoulder_X,Left_Shoulder_Y,Right_Shoulder_X,Right_Shoulder_Y,Right_Knee_X,Right_Knee_Y,Right_Foot_Index_X,Right_Foot_Index_Y,Hip_X,Hip_Y,Ankle_X,Ankle_Y,Elbow_X,Elbow_Y,Wrist_X,Wrist_Y
1,601.040096282959,423.26326847076416,565.8000755310059,431.15919828414917,580.6803703308105,618.3015990257263,631.2864875793457,756.1496543884277,513.6150741577148,560.966420173645,444.0853500366211,713.833794593811,588.9946746826172,473.7752616405487,662.3249244689941,488.44423055648804
2,601.0320854187012,425.2971661090851,563.6726188659668,430.75812220573425,579.3063354492188,619.5224332809448,632.0634841918945,753.843104839325,509.44684982299805,560.9414434432983,440.37365913391113,711.9808173179626,589.9004173278809,473.82959246635437,663.0282211303711,487.63370990753174
3,605.7591819763184,428.0162823200226,561.2563133239746,427.30409145355225,579.5678329467773,621.5765762329102,632.215518951416,756.0536742210388,508.8051223754883,558.2734394073486,429.9881172180176,708.5394358634949,588.4113693237305,473.5211169719696,664.2683029174805,486.9751739501953
4,607.0901298522949,429.5113778114319,559.8473739624023,426.2100076675415,579.5483207702637,622.0394825935364,630.9724044799805,755.6904172897339,508.9302635192871,557.1514177322388,431.4852046966553,707.2385215759277,586.7601585388184,470.92984557151794,663.8144302368164,486.67574286460876
5,607.6274871826172,431.6713500022888,557.673225402832,424.9059069156647,579.4932174682617,622.0213294029236,630.4269790649414,755.4823637008667,509.01947021484375,556.4412546157837,431.9003963470459,705.7869100570679,585.5825614929199,470.1372528076172,663.944034576416,486.71385169029236
6,607.2147560119629,432.22511887550354,556.882209777832,424.142507314682,578.7508964538574,623.514654636383,629.5025253295898,755.4869985580444,508.6724281311035,552.383759021759,432.58509635925293,705.6390452384949,585.3781700134277,470.0991761684418,663.9340782165527,487.1100676059723
7,606.9589233398438,432.42345213890076,555.2882766723633,424.0291142463684,578.8310050964355,623.7341022491455,629.5378875732422,755.4158020019531,507.6979637145996,551.7864418029785,433.22954177856445,705.7619333267212,585.4537010192871,470.17088770866394,663.9352798461914,487.1644628047943
8,606.4288902282715,433.02189588546753,555.0448608398438,424.00381565093994,578.9897346496582,623.8572478294373,629.0782356262207,754.4462156295776,506.97458267211914,551.6231274604797,439.1847324371338,705.8635139465332,585.4167366027832,470.90670347213745,664.4907188415527,488.0242931842804
9,606.8796157836914,435.4025387763977,552.9992294311523,424.1408336162567,579.5830535888672,623.8992834091187,629.1094207763672,754.6625733375549,506.484375,551.6796469688416,443.01026344299316,705.9471988677979,585.1713752746582,471.3257074356079,664.4850540161133,488.4641218185425
10,607.1234893798828,439.12696838378906,552.3225975036621,424.3180203437805,579.5903205871582,624.4252753257751,629.0719985961914,755.7247924804688,506.24731063842773,551.9415807723999,443.04041862487793,705.974235534668,584.0839576721191,471.84210777282715,664.2672157287598,489.2629909515381
11,606.3906669616699,439.9784302711487,552.5984001159668,425.5970799922943,580.1801490783691,624.72332239151,628.1679725646973,756.169867515564,506.32701873779297,552.1057319641113,442.94179916381836,706.0307550430298,584.153995513916,473.7959897518158,663.7454223632812,490.1100432872772
12,606.1227607727051,441.3545000553131,552.2500991821289,426.05905294418335,579.4683265686035,625.8453440666199,627.9622077941895,756.1519718170166,505.8820152282715,552.159161567688,440.98114013671875,706.0462689399719,584.2077827453613,475.04897832870483,663.493766784668,490.75602650642395
13,605.0527954101562,442.3728811740875,551.8949317932129,426.55421018600464,580.5371475219727,627.913327217102,627.8752899169922,756.3513994216919,506.15455627441406,553.5588884353638,439.3249225616455,706.0806441307068,581.2774085998535,474.9662911891937,661.3643074035645,490.77495217323303
14,603.376407623291,442.00695276260376,551.1591911315918,426.53605699539185,578.1917953491211,629.3375158309937,626.2109184265137,757.8744006156921,506.2105178833008,553.7175035476685,437.2792053222656,705.965416431427,578.2602310180664,474.8792266845703,659.0244483947754,490.75000762939453
15,599.7211074829102,441.69036626815796,550.6668663024902,426.46032214164734,578.9483070373535,629.2258286476135,626.3105392456055,756.5657615661621,506.2533187866211,551.8779158592224,434.9359703063965,706.0300469398499,577.0913314819336,474.8198103904724,657.7527236938477,490.7261896133423
16,595.5717086791992,441.44529819488525,550.1999473571777,426.9089376926422,579.4128227233887,629.0439105033875,626.5854263305664,756.6273665428162,506.29383087158203,551.8653631210327,431.5395927429199,705.9497737884521,575.5159378051758,474.7945761680603,657.2514152526855,490.71489214897156
17,593.9892768859863,440.24487018585205,546.9784927368164,426.66287183761597,581.4682388305664,628.9729714393616,626.8310737609863,755.3416442871094,505.4439926147461,551.2191224098206,428.2438087463379,705.9593653678894,573.0167198181152,474.21830892562866,654.3046188354492,490.2825629711151
18,592.3144340515137,440.0001883506775,544.3573379516602,426.1323094367981,579.0208053588867,627.1593904495239,625.9798049926758,753.1646776199341,504.1175651550293,550.8037877082825,425.4997444152832,705.9833765029907,570.908145904541,473.915079832077,652.5636863708496,489.7871160507202
19,589.6200942993164,439.8396420478821,543.4347152709961,426.058634519577,578.9863014221191,625.6590485572815,625.5902481079102,750.5761742591858,503.0907440185547,550.882773399353,426.3629150390625,705.992968082428,570.0560188293457,473.8997268676758,650.5200004577637,489.39897894859314
20,587.2246170043945,439.7277617454529,540.8853149414062,426.3322842121124,577.0666694641113,625.6210041046143,625.2243804931641,750.8698439598083,502.6269721984863,550.9385204315186,424.18161392211914,706.4950776100159,567.0439910888672,473.9343595504761,646.0697364807129,489.0959429740906
21,585.703239440918,440.110684633255,537.3109245300293,426.7535412311554,572.2603797912598,625.9190511703491,623.4291458129883,750.9127807617188,500.83362579345703,551.0336637496948,422.32601165771484,706.6141033172607,565.6437492370605,474.1585385799408,643.3585166931152,488.92512917518616
22,585.2578353881836,440.80198645591736,533.203182220459,427.1967816352844,573.0711936950684,626.1312246322632,622.8897285461426,751.1579775810242,498.5654640197754,551.1875152587891,421.7405033111572,708.0438923835754,562.8476715087891,474.7117280960083,639.0645217895508,488.8142466545105
23,584.1598320007324,441.46074771881104,530.6103515625,427.6166546344757,572.9719734191895,626.0338282585144,621.4762687683105,751.2302684783936,497.09815979003906,551.2164187431335,422.1823310852051,709.4931864738464,562.3360633850098,474.82486367225647,638.2805442810059,488.82911682128906
24,581.6514015197754,441.5721130371094,528.427677154541,427.6434659957886,569.7375297546387,625.431489944458,619.8696327209473,751.1982107162476,494.65662002563477,551.8876361846924,421.5531349182129,710.2477025985718,560.0323677062988,474.85408902168274,634.0530395507812,488.65196228027344
25,579.942569732666,441.61295771598816,526.4699363708496,428.04714918136597,569.0536308288574,625.3732967376709,618.5441207885742,751.2045192718506,492.2430610656738,551.859827041626,419.35678482055664,711.6744017601013,558.1547927856445,474.9085485935211,633.4819793701172,488.61929297447205
26,576.2638664245605,441.24632120132446,524.6478652954102,428.67159962654114,569.611701965332,626.2372469902039,615.4607391357422,751.770293712616,491.2507438659668,551.8663930892944,415.6666946411133,712.4000144004822,555.6358909606934,475.22854685783386,630.3815460205078,488.28471422195435
27,574.9871063232422,440.81605195999146,522.8931999206543,429.19891119003296,569.8123168945312,626.9447064399719,613.769645690918,754.1329765319824,490.49097061157227,551.676299571991,413.4096622467041,713.0609321594238,554.8948860168457,475.36102652549744,630.7751083374023,488.31735134124756
28,574.5267105102539,440.859375,520.0296020507812,429.29418325424194,568.0888938903809,626.9927930831909,613.4880638122559,754.6014833450317,487.16772079467773,551.6739821434021,412.43971824645996,713.9802432060242,551.466121673584,475.2319264411926,628.2042503356934,488.3389484882355
29,573.9636039733887,441.4794158935547,517.9641151428223,429.44220900535583,565.2341651916504,627.6418662071228,613.1857109069824,754.7400784492493,484.90339279174805,551.9987440109253,412.7093982696533,714.7014784812927,548.726921081543,475.29433608055115,625.0441932678223,488.4335124492645
30,572.7862358093262,442.43950724601746,515.4422378540039,430.2201569080353,564.8725318908691,628.202555179596,612.8134346008301,754.8143005371094,483.06535720825195,552.5741744041443,412.4052143096924,715.7332491874695,547.1034049987793,475.28010964393616,623.9029884338379,488.5080885887146
31,571.226921081543,444.0375030040741,513.8565444946289,431.6083610057831,560.1141929626465,628.1735873222351,612.6202583312988,754.6186709403992,480.83593368530273,553.2827281951904,409.8289203643799,715.5848693847656,546.1408424377441,475.4289400577545,622.5710678100586,488.7983465194702
