Frame,Left_Shoulder_X,Left_Shoulder_Y,Right_Shoulder_X,Right_Shoulder_Y,Right_Knee_X,Right_Knee_Y,Right_Foot_Index_X,Right_Foot_Index_Y,Hip_X,Hip_Y,Ankle_X,Ankle_Y,Elbow_X,Elbow_Y,Wrist_X,Wrist_Y
1,510.15380859375,432.6639175415039,409.4738960266113,431.54356956481934,537.4152946472168,724.3171334266663,666.4896583557129,884.9732565879822,448.65726470947266,606.998405456543,427.3175239562988,853.4948515892029,418.055477142334,528.0930840969086,525.8293533325195,556.8567824363708
2,506.5312385559082,431.9017732143402,409.509801864624,431.47095680236816,537.484302520752,725.3562426567078,665.8020973205566,883.3301997184753,448.62547874450684,606.8826627731323,427.32550621032715,853.1622362136841,418.8083267211914,527.9468929767609,525.8315277099609,556.8726181983948
3,504.3469047546387,431.54295802116394,409.5303153991699,431.362681388855,551.7652702331543,723.2835602760315,665.7848167419434,882.451765537262,448.6150932312012,606.7095637321472,427.3105716705322,852.8994655609131,419.2288112640381,527.9327309131622,526.5977668762207,557.0992112159729
4,502.72647857666016,431.2743616104126,409.9610710144043,431.0258173942566,548.9810371398926,724.3296217918396,665.870475769043,881.9452786445618,450.1633071899414,606.7150354385376,427.2264575958252,852.697012424469,418.9559555053711,527.3246955871582,525.6015586853027,557.0886540412903
5,501.31444931030273,431.16756677627563,409.945650100708,430.75796127319336,547.0400619506836,724.4626808166504,668.5924530029297,881.8747901916504,450.699405670166,606.7799234390259,427.1857738494873,852.5406503677368,418.82351875305176,527.0996153354645,525.542049407959,557.0101189613342
6,500.5931282043457,430.7774019241333,409.66169357299805,430.86440205574036,545.691032409668,724.4601702690125,668.606128692627,881.560971736908,450.7503890991211,606.8936061859131,427.1700668334961,852.5008678436279,418.92419815063477,527.1071791648865,525.1517486572266,556.8959856033325
7,500.3815269470215,430.6645882129669,408.97027015686035,431.23963236808777,545.6088638305664,724.7871208190918,669.60205078125,881.5914845466614,451.0414409637451,607.7023243904114,427.1441173553467,852.3708343505859,418.9668560028076,527.2739374637604,524.9428367614746,556.8927669525146
8,499.6556854248047,430.6579899787903,408.57327461242676,431.22527718544006,545.1045799255371,726.2698245048523,668.4304618835449,879.2779183387756,451.9016647338867,608.1186890602112,427.1478080749512,852.1719217300415,418.6453056335449,527.2272348403931,523.8325309753418,556.8267202377319
9,499.4871711730957,430.6191086769104,407.514123916626,431.23766899108887,544.4579887390137,726.4933276176453,666.14501953125,879.1601800918579,451.17353439331055,607.853729724884,427.1946430206299,852.0796751976013,418.55587005615234,527.1873879432678,523.7700462341309,555.7495665550232
10,499.57088470458984,430.2173888683319,406.138973236084,431.3069021701813,544.3606567382812,726.4098358154297,664.8256301879883,879.0803575515747,450.4895210266113,607.6356339454651,427.1919822692871,851.6734170913696,418.48114013671875,527.0466363430023,523.4375953674316,554.3703746795654
11,499.3197441101074,430.1551079750061,405.21188735961914,431.42093896865845,544.3075561523438,727.3857307434082,665.5577659606934,879.1163420677185,450.3782272338867,607.6151633262634,427.1821975708008,851.4534544944763,418.4798526763916,527.0482134819031,523.3218383789062,553.9831066131592
12,499.3636894226074,430.20132780075073,404.5949363708496,431.5335273742676,543.9244651794434,727.7708745002747,665.4681015014648,879.0810012817383,450.3212070465088,607.7617406845093,427.25998878479004,851.2242865562439,418.22513580322266,527.0835542678833,523.0727005004883,553.9851665496826
13,499.41112518310547,430.37243127822876,403.92714500427246,431.53568387031555,543.2323837280273,727.239089012146,665.1191139221191,878.9512252807617,449.96649742126465,607.7365708351135,427.25998878479004,851.2259602546692,418.1549549102783,527.1246242523193,522.7804756164551,553.9085626602173
14,499.4248580932617,430.4777777194977,403.690824508667,431.4281165599823,543.1541633605957,727.0542740821838,664.9203872680664,878.6712670326233,449.86613273620605,607.7336740493774,427.30456352233887,851.1806416511536,417.77034759521484,527.047666311264,521.5888023376465,553.9260077476501
15,499.4266891479492,430.3289794921875,403.4735584259033,431.25842928886414,542.1179008483887,724.3816995620728,664.1301155090332,878.558099269867,448.5182189941406,607.1182680130005,427.1744441986084,851.180899143219,417.1020698547363,526.9847416877747,521.114616394043,553.6152148246765
16,499.0073776245117,430.3284966945648,403.0598258972168,430.6974506378174,541.6759300231934,723.6382555961609,663.3821868896484,878.509304523468,447.40662574768066,606.0395050048828,427.1801948547363,851.0323905944824,416.93541526794434,526.570919752121,520.4618453979492,553.4275031089783
17,498.5424613952637,430.4139840602875,403.0582523345947,429.48826789855957,541.2729835510254,723.35533618927,663.1083869934082,878.1769466400146,447.125301361084,605.2729511260986,427.0727062225342,851.025116443634,416.5293502807617,526.0562252998352,520.045223236084,552.5833797454834
18,498.526554107666,430.4072570800781,403.05121421813965,428.73722791671753,540.531005859375,722.3136520385742,661.354923248291,877.2025966644287,447.0120334625244,605.0236344337463,426.96805000305176,850.8307099342346,415.70051193237305,525.2629244327545,519.8587989807129,552.1661138534546
19,498.1376838684082,430.19585609436035,402.7431392669678,428.7339127063751,539.1940498352051,721.8885970115662,661.2273788452148,876.5891861915588,446.2475395202637,605.000331401825,426.9760036468506,850.4330778121948,415.70446014404297,525.2539765834808,519.8793411254883,551.7199444770813
20,497.3785400390625,430.25923132896423,402.39203453063965,428.22221159935,548.7934684753418,719.0474939346313,661.0923957824707,875.6772780418396,446.0922431945801,604.765305519104,426.9473075866699,850.1495146751404,415.02711296081543,524.1459238529205,519.9036598205566,551.0712575912476
21,497.3165702819824,430.2587163448334,401.53764724731445,428.1417453289032,541.2245750427246,718.9496469497681,660.9276008605957,875.0224757194519,444.929895401001,604.1005897521973,426.88525199890137,849.844708442688,414.54434394836426,523.7920653820038,519.9065208435059,550.552282333374
22,497.10731506347656,430.1421046257019,399.64330673217773,428.09481739997864,538.6588096618652,719.124162197113,660.7269287109375,874.1092157363892,443.3960437774658,603.1705284118652,426.8979263305664,849.2261481285095,414.1915225982666,522.8328108787537,519.8014640808105,550.0685834884644
23,496.8727111816406,429.43419456481934,398.51683616638184,428.082811832428,537.9023551940918,719.2400336265564,660.7258415222168,873.7464737892151,442.83413887023926,603.0119132995605,426.8847370147705,849.0950846672058,413.7912940979004,522.4932754039764,519.0324783325195,549.6847915649414
24,496.40647888183594,429.2164206504822,397.435941696167,428.06398272514343,536.9550704956055,719.0407991409302,660.5766105651855,873.3127284049988,442.66897201538086,603.0339288711548,426.8661689758301,848.7963938713074,413.41197967529297,522.4014794826508,517.9736137390137,549.4759011268616
25,496.22732162475586,428.6977994441986,396.5251636505127,428.00997376441956,536.0214042663574,718.9831852912903,660.5936050415039,872.750494480133,441.9950580596924,603.0500864982605,426.8411636352539,848.4650015830994,413.0939197540283,522.2611784934998,517.430248260498,549.2449951171875
26,496.03443145751953,428.43650937080383,395.1170825958252,428.0137073993683,535.5536270141602,719.0428590774536,660.5182456970215,871.9999051094055,441.5067386627197,603.1465172767639,426.8393325805664,848.1907725334167,411.22424125671387,521.6132318973541,514.9744606018066,548.4688496589661
27,496.0257911682129,428.2397210597992,394.83601570129395,428.01650762557983,534.9551582336426,718.3858680725098,660.428409576416,870.417230129242,440.8669853210449,603.1796050071716,426.88754081726074,847.512538433075,411.2899589538574,521.576281785965,514.9593544006348,548.1865739822388
28,495.8744430541992,428.1508219242096,394.7702980041504,427.9498493671417,534.7784614562988,718.5543322563171,660.3594017028809,870.3481578826904,440.74636459350586,603.2058048248291,427.0799160003662,847.0820116996765,411.1977481842041,521.443190574646,514.8201942443848,547.5573921203613
29,495.20565032958984,428.1197941303253,394.9171257019043,427.18796253204346,534.7356605529785,720.3208565711975,660.1745223999023,869.8305344581604,441.2031841278076,603.250994682312,427.66468048095703,846.3368940353394,411.12945556640625,521.2115442752838,514.7611427307129,546.969473361969
30,495.2002143859863,428.07698607444763,394.9708843231201,427.1312177181244,534.5365333557129,720.5706238746643,659.8491668701172,869.540855884552,441.2077045440674,603.2615518569946,427.941370010376,846.0988426208496,410.9777355194092,521.0456550121307,514.7011756896973,546.4519143104553
31,495.19174575805664,428.0791747570038,395.0156021118164,427.1418070793152,534.364013671875,721.3492798805237,656.3025283813477,870.8553528785706,440.846586227417,603.2729458808899,428.2763957977295,845.9478235244751,411.02148056030273,520.8878767490387,514.7273826599121,545.7993650436401
32,495.1944351196289,427.88418889045715,394.85029220581055,427.22864627838135,532.8793716430664,720.5517625808716,656.4644622802734,870.7384514808655,440.5016899108887,603.2170701026917,428.6318778991699,845.7581162452698,411.22647285461426,520.8936059474945,514.7295570373535,545.3939437866211
33,495.10820388793945,427.88512229919434,394.8039722442627,426.998770236969,532.7558326721191,720.5585861206055,656.5938949584961,870.0046634674072,440.51645278930664,603.2190656661987,429.0398597717285,844.9938154220581,410.1675796508789,520.1330709457397,514.4222259521484,544.8723936080933
34,494.9454116821289,427.6109254360199,393.6042881011963,427.0034372806549,532.1883773803711,719.8688292503357,656.685619354248,868.9885997772217,440.3421878814697,603.2500290870667,429.3706798553467,844.8700261116028,410.20594596862793,519.7654366493225,514.2388916015625,544.3951320648193
35,494.4833564758301,427.5461983680725,393.1443500518799,426.93214416503906,532.1613121032715,720.0587940216064,656.1495780944824,868.235821723938,440.3564929962158,603.257110118866,429.83917236328125,844.6591401100159,409.84663009643555,519.172979593277,513.8081932067871,544.0790605545044
36,494.2279243469238,427.5658965110779,392.7688980102539,426.93195104599,531.7830848693848,720.1184034347534,655.4623603820801,867.0737600326538,440.01806259155273,603.2823443412781,430.34090995788574,844.1961693763733,409.77267265319824,518.8734197616577,513.698902130127,543.5672307014465
37,494.0276527404785,427.5821828842163,392.30257987976074,426.82769894599915,531.2446403503418,719.7933197021484,654.4723320007324,866.4947891235352,439.47086334228516,603.2197737693787,430.79936027526855,843.6645126342773,409.6593189239502,518.634467124939,513.5272407531738,543.2840538024902
38,493.5637092590332,427.4899685382843,392.30066299438477,426.77159786224365,531.0933494567871,719.8488736152649,654.5451164245605,865.8081865310669,439.0513515472412,603.0370187759399,431.25758171081543,843.4339284896851,409.46986198425293,517.8466057777405,513.3164405822754,543.056173324585
39,493.26221466064453,427.4845612049103,392.28389739990234,426.406409740448,530.9337043762207,719.3929195404053,653.9053916931152,865.547411441803,439.0088367462158,602.2302317619324,431.4408016204834,843.4297442436218,408.4166622161865,516.7447650432587,513.0817222595215,542.4639415740967
40,493.260440826416,427.48414278030396,392.08065032958984,426.3607692718506,530.7944869995117,716.4446997642517,654.2224502563477,864.0940618515015,438.7547206878662,601.5784549713135,431.74821853637695,843.4381127357483,408.103723526001,515.4585599899292,513.2149314880371,542.2038745880127
41,493.24167251586914,427.5272727012634,391.9247531890869,426.3551366329193,530.797061920166,715.4582476615906,654.2037963867188,861.6436386108398,438.2749271392822,600.9056925773621,432.0029640197754,843.5822439193726,408.1223201751709,515.2513432502747,513.9385986328125,541.8737697601318
42,493.0253791809082,427.57896423339844,391.781702041626,426.25362038612366,530.4495620727539,715.6417107582092,654.5787620544434,861.2529587745667,437.78529167175293,600.5785489082336,432.2391986846924,844.3889665603638,408.1363105773926,515.0777614116669,514.105339050293,541.5262842178345
43,492.6482963562012,427.5823438167572,391.730375289917,426.0303747653961,530.0722503662109,715.7507586479187,655.652904510498,861.1074757575989,437.58670806884766,600.3016805648804,432.37452507019043,844.7598838806152,407.7836036682129,514.8521018028259,513.9525032043457,540.7917881011963
44,492.40917205810547,427.6367390155792,391.6724967956543,425.78614354133606,529.6463584899902,715.8215689659119,655.9074783325195,860.8241701126099,437.5880241394043,600.3173875808716,432.4829292297363,844.7616219520569,407.62939453125,514.8961329460144,513.7672805786133,540.0566482543945
45,492.4596977233887,428.2297110557556,391.46910667419434,425.580632686615,529.4417381286621,715.8339285850525,656.0053825378418,860.6953597068787,437.43041038513184,600.3073453903198,432.5306797027588,844.8229050636292,407.2141742706299,514.8178231716156,512.918758392334,539.318128824234
46,492.47400283813477,428.5091543197632,391.42333030700684,425.37917733192444,529.4498062133789,715.8683681488037,654.594612121582,860.8122611045837,437.0236873626709,600.2691721916199,432.5748538970947,844.8877286911011,406.5134525299072,514.6928751468658,511.85062408447266,539.2868113517761
47,492.95190811157227,428.78087282180786,391.40393257141113,424.9545729160309,529.4981002807617,717.608950138092,654.6360397338867,860.5406713485718,437.0166492462158,600.2389812469482,432.72494316101074,845.1786303520203,405.6060791015625,514.0164113044739,511.1264991760254,539.088317155838
48,493.1949234008789,429.0147078037262,391.39068603515625,424.7808623313904,529.5067977905273,717.6335406303406,654.6763229370117,860.3907465934753,436.98655128479004,600.2465772628784,432.7447700500488,845.2616715431213,405.0920104980469,513.7030112743378,510.2610969543457,539.0958166122437
49,493.33316802978516,429.2068934440613,391.3656234741211,424.5645046234131,529.4872856140137,717.924313545227,653.8189888000488,860.4365801811218,437.15715408325195,600.2672410011292,432.870454788208,845.1597690582275,404.5930480957031,513.3212149143219,510.2137756347656,539.1130363941193
50,493.33826065063477,429.2452597618103,391.3282585144043,424.32114243507385,529.281177520752,717.8280758857727,651.7186546325684,860.617983341217,437.1811866760254,600.3159713745117,433.1088638305664,845.1321530342102,403.98754119873047,513.0773377418518,509.2837142944336,539.1192162036896
51,493.44160079956055,429.4832146167755,391.03726387023926,424.26713347435,528.9284133911133,717.9115676879883,651.8622779846191,860.6598901748657,437.18642234802246,600.3189325332642,433.5135841369629,845.0795602798462,402.31767654418945,512.5391149520874,508.47816467285156,538.6249279975891
52,493.47639083862305,430.0583875179291,390.93478202819824,423.55523228645325,528.420581817627,717.3098731040955,651.4702033996582,860.7050156593323,437.08359718322754,599.6916818618774,433.85573387145996,845.1053094863892,400.86193084716797,510.8373177051544,507.91133880615234,538.0687129497528
53,493.5336685180664,430.17123341560364,390.9291744232178,423.09123158454895,528.0596923828125,716.3809061050415,650.9042358398438,860.7198858261108,437.09057807922363,599.4173884391785,434.11391258239746,845.1741886138916,400.10501861572266,510.16162633895874,507.82470703125,537.997065782547
54,493.52657318115234,430.1980769634247,390.928258895874,422.82212018966675,527.9822158813477,716.8794751167297,652.0937919616699,859.9946594238281,436.9554805755615,598.974244594574,434.2559623718262,845.2756404876709,399.2863655090332,509.45390939712524,506.6507148742676,537.7269887924194
55,493.50013732910156,430.1627039909363,390.89893341064453,422.4278998374939,527.8620529174805,716.9424319267273,651.9091987609863,859.856321811676,436.91951751708984,598.9517140388489,434.3397903442383,845.5393767356873,398.90971183776855,509.0314292907715,505.85208892822266,537.6396024227142
56,493.5516357421875,430.13898253440857,390.90588569641113,422.3010849952698,527.8808784484863,717.6741600036621,651.67236328125,859.8672652244568,436.92203521728516,598.8828992843628,434.5905590057373,845.6849884986877,399.04712677001953,508.8923513889313,505.8648490905762,537.6437222957611
57,493.5555839538574,430.12411236763,390.9807300567627,422.2372591495514,527.867259979248,717.7152943611145,653.0517196655273,858.7694478034973,437.0616817474365,598.8679647445679,434.8275661468506,845.995717048645,399.08995628356934,508.42960596084595,505.55774688720703,537.6422095298767
58,493.6981773376465,430.31678080558777,391.0898494720459,422.15025901794434,527.8643989562988,718.7543392181396,652.1717262268066,858.8151526451111,436.97882652282715,598.4890651702881,434.9301338195801,846.3846588134766,398.4635639190674,507.86083817481995,504.60216522216797,537.5584602355957
59,493.9409065246582,430.315557718277,391.1147117614746,422.13239550590515,527.8269195556641,719.8735284805298,651.6583442687988,858.8306665420532,437.0031452178955,598.5382461547852,435.05290031433105,846.4779353141785,397.61693000793457,507.5255513191223,503.8593292236328,537.56068110466
60,494.14621353149414,430.42112946510315,391.68439865112305,421.5213990211487,527.7982521057129,719.849259853363,651.1631011962891,858.8277697563171,437.01172828674316,598.5521507263184,435.41582107543945,846.4747166633606,397.03539848327637,506.25972032546997,503.69190216064453,537.8061997890472
61,494.1964530944824,430.60011863708496,391.7991256713867,420.7243323326111,527.5592994689941,720.7347750663757,651.1581802368164,858.7440848350525,437.0262622833252,598.4861040115356,435.5790138244629,846.4748454093933,395.4854393005371,505.7700026035309,503.06894302368164,538.504775762558
62,494.2514991760254,431.0603857040405,391.80922508239746,419.60121631622314,527.5586700439453,721.7683482170105,651.1642456054688,858.7112545967102,437.1546936035156,598.4176111221313,435.8797073364258,846.4288830757141,394.4779300689697,505.48080682754517,502.45227813720703,538.7337183952332
63,494.25418853759766,431.1429440975189,391.82690620422363,418.95410656929016,527.5637054443359,722.1323776245117,652.2675704956055,858.0606365203857,437.29960441589355,598.3193778991699,436.1362838745117,846.4004302024841,393.6792469024658,505.4795837402344,502.47241973876953,539.8251307010651
64,494.2837142944336,431.6564154624939,392.4901485443115,418.1046724319458,527.4991607666016,722.108108997345,651.7880058288574,858.0901193618774,437.7658939361572,598.3203434944153,436.41740798950195,846.3847231864929,392.4383068084717,505.08652210235596,502.33137130737305,540.7301187515259
65,494.25161361694336,432.01452255249023,392.4898338317871,418.1506669521332,527.5538063049316,722.8998970985413,652.4692153930664,857.9217195510864,440.18571853637695,599.5414352416992,436.4297389984131,846.4116954803467,392.557897567749,505.13464093208313,502.3840141296387,542.154757976532
66,494.52953338623047,432.6634669303894,392.46045112609863,418.18745613098145,527.545337677002,723.0430626869202,651.9597816467285,858.2285857200623,441.113977432251,599.6638083457947,436.430139541626,846.4197421073914,392.60610580444336,505.17030358314514,501.4189338684082,542.7261972427368
67,494.9806594848633,432.8033494949341,392.9036235809326,418.1967258453369,527.544994354248,723.3371186256409,651.8219947814941,858.453311920166,441.7525577545166,599.6563410758972,436.4440727233887,846.4308786392212,391.97007179260254,504.70266580581665,500.5419158935547,543.6425471305847
68,495.6618118286133,433.4873127937317,393.5140800476074,417.96855568885803,527.1224212646484,722.6606869697571,651.6390037536621,858.6116695404053,441.8621635437012,599.5822477340698,436.4460754394531,846.4835357666016,390.7701587677002,503.9608311653137,497.9286003112793,544.1323614120483
69,495.67949295043945,433.14462304115295,394.3908977508545,417.98967003822327,526.4511108398438,723.1324768066406,657.2874641418457,868.5061240196228,441.97909355163574,599.569308757782,436.44850730895996,846.5429520606995,390.4006004333496,503.8476312160492,496.376953125,545.6722283363342
70,495.67508697509766,433.300244808197,395.42853355407715,417.8767919540405,526.4416122436523,724.1028356552124,657.7964973449707,872.975800037384,442.8375720977783,599.880359172821,436.55694007873535,846.5332961082458,388.67669105529785,503.20164799690247,490.5279350280762,546.501739025116
71,495.68384170532227,433.635950088501,396.43309593200684,417.8212058544159,526.3942909240723,724.2463874816895,658.5953521728516,873.4199738502502,443.1211853027344,599.8807454109192,436.5896987915039,846.5356135368347,387.1848392486572,502.1028006076813,484.8896026611328,546.3402915000916
72,496.00582122802734,434.5061445236206,397.46941566467285,417.5449812412262,526.377124786377,724.2123341560364,658.7568855285645,875.5814909934998,443.17837715148926,599.8772692680359,436.7208194732666,846.6321730613708,386.5132141113281,501.6476833820343,479.0940856933594,546.2900161743164
73,496.40647888183594,434.60392713546753,397.60265350341797,417.5502920150757,526.4042472839355,726.0126543045044,659.3538665771484,877.0033621788025,443.53222846984863,600.2514052391052,436.73051834106445,846.8902444839478,386.2757205963135,501.6661584377289,478.934326171875,549.7082233428955
74,497.02857971191406,435.1594662666321,397.9073238372803,417.5379967689514,526.4640998840332,726.1564636230469,659.3782997131348,877.3873472213745,443.70311737060547,600.4623556137085,436.8028450012207,846.9018959999084,386.11547470092773,501.74585223197937,479.7150135040283,553.2614207267761
75,497.1283149719238,435.61065673828125,398.9535140991211,417.2274935245514,526.4531707763672,726.4566349983215,659.7249412536621,877.2310495376587,443.8449954986572,600.6593370437622,436.98174476623535,846.873185634613,385.6692123413086,501.8404805660248,479.9625492095947,556.443121433258
76,497.10302352905273,435.7908046245575,399.33674812316895,417.05671191215515,526.076717376709,727.3998284339905,653.2686996459961,867.31116771698,443.84531021118164,600.4987263679504,437.1291160583496,846.8726062774658,385.3259754180908,502.2029972076416,477.6481246948242,557.9932236671448
77,496.66975021362305,436.4690387248993,399.65864181518555,416.88145637512207,525.9856796264648,727.8398823738098,652.0354843139648,861.3173317909241,443.99462699890137,600.4961514472961,437.21134185791016,847.0644378662109,384.4181728363037,502.49093770980835,475.4245948791504,560.5669856071472
78,496.69275283813477,437.6334822177887,399.5937252044678,416.88786149024963,524.8889350891113,727.7885127067566,650.5693244934082,859.625608921051,443.5166931152344,600.4333233833313,437.2160053253174,847.4429512023926,383.35704803466797,502.5136613845825,470.4020404815674,561.9080686569214
79,495.83295822143555,438.0760145187378,400.20761489868164,416.7536437511444,524.8346900939941,728.8115930557251,650.1130485534668,860.060384273529,444.3995761871338,600.366632938385,437.2895622253418,847.8371071815491,382.51702308654785,502.56580352783203,468.4867000579834,564.0353393554688
80,495.6155204772949,438.6999177932739,400.71264266967773,416.5250873565674,524.8116874694824,728.8773822784424,649.9705123901367,860.2443623542786,444.8078441619873,600.3571057319641,437.3437213897705,848.0454182624817,382.22439765930176,502.601820230484,466.7350101470947,565.9076285362244
81,495.5760955810547,438.72573137283325,401.23449325561523,416.4601993560791,525.0119018554688,728.9512181282043,648.8024139404297,860.5494904518127,444.98785972595215,600.4384732246399,437.3715877532959,848.5300183296204,381.5913391113281,502.6110899448395,463.04683685302734,567.2563076019287
82,495.0905227661133,438.68881344795227,402.1292495727539,415.8820652961731,525.0955581665039,729.3319201469421,648.8798332214355,860.5919766426086,445.12928009033203,600.3173232078552,437.376651763916,848.9977526664734,380.8576011657715,502.3183536529541,461.12683296203613,567.8767991065979
83,494.1519355773926,438.59299421310425,403.61077308654785,415.666286945343,525.4167366027832,729.5029592514038,648.5945320129395,860.7934641838074,448.2627010345459,601.8435430526733,437.3822021484375,849.0840125083923,379.59792137145996,502.06350088119507,457.16877937316895,570.4206919670105
84,494.00224685668945,438.4367609024048,404.33441162109375,415.7045567035675,525.6492805480957,731.5810489654541,648.7218475341797,860.8492112159729,450.1881980895996,604.3893027305603,437.34572410583496,849.1886830329895,378.4980869293213,501.9673275947571,453.84570121765137,572.2474050521851
85,493.9815330505371,438.34972858428955,404.49663162231445,415.64053773880005,525.7181167602539,731.8864989280701,648.2742118835449,860.9523367881775,450.8147621154785,605.0430750846863,437.3451805114746,849.2352890968323,377.9817008972168,501.9112265110016,451.10358238220215,575.0483393669128
86,494.06009674072266,438.3200526237488,404.84012603759766,415.7326877117157,525.7159423828125,732.5573301315308,648.281135559082,861.0752892494202,451.29366874694824,605.9815049171448,437.29559898376465,849.2464900016785,377.44028091430664,501.9610834121704,448.1186771392822,578.088870048523
