Frame,Left_Shoulder_X,Left_Shoulder_Y,Right_Shoulder_X,Right_Shoulder_Y,Right_Knee_X,Right_Knee_Y,Right_Foot_Index_X,Right_Foot_Index_Y,Hip_X,Hip_Y,Ankle_X,Ankle_Y,Elbow_X,Elbow_Y,Wrist_X,Wrist_Y
1,646.8670463562012,413.332314491272,594.4858932495117,425.908420085907,491.9076919555664,650.2151012420654,449.99719619750977,796.6789054870605,497.1437072753906,538.6916506290436,594.9921798706055,793.7698888778687,501.44325256347656,457.4528396129608,532.0472145080566,547.9568910598755
2,657.396068572998,426.77671551704407,594.924373626709,424.1390311717987,498.6334991455078,653.9504742622375,449.37280654907227,793.1170177459717,497.1012496948242,539.9185037612915,594.8713302612305,793.3913111686707,501.9879341125488,459.4252610206604,531.6011238098145,549.1566753387451
3,662.0195388793945,432.6289629936218,596.6546630859375,423.17330718040466,498.41320037841797,654.987781047821,447.47225761413574,790.3879880905151,497.16379165649414,540.7590866088867,594.8696136474609,793.2296061515808,502.68882751464844,459.79363560676575,531.5502548217773,549.3143248558044
4,660.465259552002,431.8994879722595,599.4268226623535,423.17604303359985,498.2350730895996,655.5901193618774,444.3295097351074,786.9751238822937,497.7806854248047,540.9328293800354,594.836597442627,793.2296705245972,503.59119415283203,459.758198261261,531.0363006591797,549.307050704956
5,659.124813079834,429.02536153793335,600.2895355224609,423.32937955856323,498.04195404052734,656.6759634017944,441.67287826538086,786.0596752166748,499.03907775878906,540.9832978248596,594.781436920166,793.2160234451294,503.92438888549805,459.6107518672943,530.7040214538574,549.3443870544434
6,658.297061920166,427.27702260017395,601.0588645935059,424.1762387752533,498.1428337097168,656.8114686012268,440.059289932251,786.1976909637451,500.2342987060547,541.0870671272278,594.788761138916,793.1654906272888,504.40589904785156,459.528032541275,530.5098724365234,549.6652865409851
7,657.0756912231445,426.37621879577637,603.7251091003418,425.07646322250366,498.0956840515137,657.5770568847656,437.1497440338135,785.8324384689331,500.52234649658203,541.325569152832,594.8230934143066,792.9397988319397,505.0187301635742,459.5120680332184,530.2863693237305,549.7723388671875
8,657.9432106018066,428.8381326198578,604.6247291564941,425.1734733581543,498.02587509155273,657.9719853401184,435.1710319519043,785.8282542228699,501.2784004211426,541.3175868988037,594.7871589660645,793.0273461341858,505.3750991821289,459.4438326358795,530.0767707824707,549.6855640411377
9,658.6493110656738,429.36203241348267,604.5061111450195,425.65903902053833,497.9462242126465,657.9255080223083,434.49045181274414,785.9102654457092,502.3080825805664,541.3114714622498,594.7334861755371,793.0268311500549,505.5868721008301,459.4302177429199,530.0728797912598,549.8672890663147
10,660.6818389892578,432.05984115600586,604.3187141418457,425.90803384780884,497.8651428222656,657.8217387199402,433.4608840942383,785.9145784378052,503.42308044433594,540.8553886413574,594.6666526794434,793.0594682693481,505.9233856201172,459.3141210079193,530.0323104858398,550.2000975608826
11,661.4865303039551,431.6807806491852,604.4671440124512,426.21399879455566,497.8242874145508,657.7424955368042,432.4122619628906,785.5642604827881,504.5248031616211,540.7715749740601,594.6631622314453,793.0435037612915,506.2126350402832,458.9010715484619,529.9359512329102,550.1388144493103
12,662.6128005981445,434.0938675403595,604.7183418273926,426.45604133605957,497.5576400756836,657.7197074890137,430.338077545166,784.8754692077637,504.8491859436035,539.704270362854,594.6994972229004,793.0406713485718,506.5645980834961,458.61982583999634,529.7441482543945,550.020432472229
13,663.673038482666,436.71919226646423,605.262393951416,426.5486741065979,497.40245819091797,657.7061891555786,428.8179016113281,784.4339346885681,505.12378692626953,539.3944108486176,594.6870231628418,793.1672930717468,506.8516159057617,458.2957720756531,529.6929359436035,549.4074726104736
14,663.5108184814453,436.0222578048706,606.3379669189453,427.27081060409546,496.3286590576172,657.7323889732361,427.1543884277344,784.3808913230896,505.3410530090332,539.3593597412109,594.6696281433105,793.2303786277771,507.18286514282227,458.0683100223541,529.6164321899414,548.607702255249
15,663.8105964660645,437.5131690502167,606.8945503234863,428.1168329715729,495.9837341308594,657.6905465126038,425.9483528137207,784.0652704238892,505.8548927307129,539.2525005340576,594.5942115783691,793.2920479774475,507.4793243408203,457.91555285453796,529.6277618408203,548.4143900871277
16,663.698673248291,437.0636522769928,608.4087181091309,428.98229598999023,494.93093490600586,657.7558851242065,425.37211418151855,783.7816429138184,506.85447692871094,540.05690574646,594.4355392456055,793.3401989936829,507.5335121154785,457.8482508659363,529.6267318725586,548.2472777366638
17,663.6337280273438,436.4694893360138,609.4272994995117,430.24935007095337,494.08069610595703,657.8561782836914,424.32552337646484,783.3581972122192,507.67112731933594,541.0078883171082,594.3263626098633,793.3707118034363,507.59971618652344,457.7966237068176,529.6584320068359,548.151490688324
18,668.697509765625,439.45008873939514,609.477424621582,431.8140971660614,493.34781646728516,657.9035568237305,423.3560371398926,783.1355309486389,508.28041076660156,541.5525484085083,594.177074432373,793.3729004859924,507.63044357299805,457.7746081352234,529.6871566772461,548.1357836723328
19,668.1098556518555,439.2167365550995,609.4048690795898,432.55107164382935,492.57442474365234,658.0766558647156,422.6115417480469,782.9243230819702,508.1777572631836,541.6045618057251,594.0609169006348,793.3750247955322,507.79306411743164,457.7168011665344,529.8516082763672,548.0348467826843
20,671.9711494445801,440.2360188961029,609.722957611084,433.942848443985,491.46297454833984,658.1169533729553,421.7536926269531,782.9566383361816,508.22221755981445,541.7370414733887,594.0011787414551,793.1694173812866,507.8778648376465,457.7048921585083,530.1566505432129,547.8760385513306
21,673.6092567443848,443.7304759025574,609.7333717346191,434.40662384033203,490.64077377319336,658.0876636505127,420.8544731140137,782.9805850982666,507.8898811340332,541.7211413383484,593.7075805664062,793.0808401107788,507.91385650634766,457.69681334495544,530.5277252197266,547.8838920593262
