Frame,Left_Shoulder_X,Left_Shoulder_Y,Right_Shoulder_X,Right_Shoulder_Y,Right_Knee_X,Right_Knee_Y,Right_Foot_Index_X,Right_Foot_Index_Y,Hip_X,Hip_Y,Ankle_X,Ankle_Y,Elbow_X,Elbow_Y,Wrist_X,Wrist_Y
1,554.0203857421875,347.3376131057739,510.72418212890625,333.2339358329773,601.3008499145508,651.9073390960693,715.2676963806152,828.0044889450073,451.5149974822998,531.837694644928,323.71673583984375,791.4189863204956,401.4831733703613,406.913777589798,450.8938694000244,514.4223153591156
2,554.315242767334,346.1706268787384,510.7262420654297,333.5535800457001,604.91455078125,653.350260257721,714.0915870666504,829.5921206474304,457.2942924499512,533.890872001648,323.726806640625,791.7662143707275,404.28422927856445,406.932510137558,451.5157127380371,514.4787061214447
3,558.3704566955566,345.9341526031494,512.354621887207,333.702152967453,612.3906898498535,655.6762504577637,713.9266777038574,832.8690934181213,461.6426467895508,534.0846025943756,324.96439933776855,791.5561008453369,410.2449417114258,406.93798184394836,454.53206062316895,513.7029469013214
4,564.2622184753418,344.9558436870575,517.7752304077148,333.7027966976166,619.7490119934082,656.6404938697815,713.7165069580078,837.0917057991028,472.8436088562012,534.0586602687836,325.49360275268555,791.1827373504639,416.5617370605469,406.1257874965668,460.1205539703369,512.1293485164642
5,575.079174041748,343.02388072013855,526.6061782836914,331.39402627944946,625.4578971862793,657.1341061592102,714.4797706604004,840.0883984565735,481.28997802734375,532.3698663711548,326.5433406829834,789.6314764022827,423.32427978515625,403.89049887657166,467.3986530303955,511.1522305011749
6,586.9626617431641,343.1153869628906,535.9290504455566,330.62103509902954,630.4528999328613,657.4838447570801,715.2054405212402,842.0479774475098,489.1960144042969,532.3584723472595,327.5244998931885,788.307774066925,429.40598487854004,401.7347753047943,473.9121150970459,508.54901790618896
7,593.6991119384766,342.9675543308258,540.8950996398926,329.36524629592896,635.9996795654297,657.9808044433594,715.286979675293,846.7499756813049,497.73393630981445,532.1578860282898,328.7976264953613,787.2883629798889,435.26055335998535,399.1685450077057,480.7923889160156,507.2449493408203
8,599.099063873291,343.0208230018616,548.4034538269043,328.9456629753113,639.9252891540527,658.534734249115,715.0899696350098,849.257562160492,503.7898635864258,531.847608089447,332.2679042816162,784.1297721862793,444.10706520080566,398.1947422027588,487.0287895202637,507.2396385669708
9,602.0260620117188,340.4384994506836,555.6552886962891,328.13929438591003,644.8029327392578,659.1818118095398,713.664379119873,852.7633810043335,509.97241973876953,531.8104326725006,337.49218940734863,780.507824420929,450.68066596984863,398.4127736091614,492.659854888916,507.36902832984924
10,608.7911796569824,340.0515854358673,563.1327438354492,327.157187461853,649.6239280700684,659.4906735420227,712.0528221130371,853.8096356391907,519.2294311523438,532.5338244438171,343.0634021759033,775.82674741745,458.7263774871826,398.53620886802673,497.93535232543945,507.3867952823639
11,620.0077629089355,342.16269850730896,570.4601669311523,327.00671553611755,504.4654083251953,664.0891599655151,480.8283233642578,851.295804977417,519.4973373413086,532.5510764122009,515.8756256103516,792.8134989738464,466.0994052886963,399.10645723342896,503.89760971069336,508.63489151000977
12,621.0979270935059,342.6530921459198,572.3321914672852,327.0899498462677,634.6101951599121,663.6285710334778,664.5272827148438,853.5414576530457,526.6341018676758,532.8582000732422,411.24040603637695,775.4484272003174,471.3992214202881,401.15155577659607,507.87986755371094,509.5799517631531
13,627.3268890380859,343.3229899406433,579.5089530944824,327.0634603500366,657.7846527099609,663.5800337791443,698.811092376709,854.6891641616821,537.3809051513672,534.3566429615021,383.7990474700928,768.8639044761658,478.51658821105957,403.10221910476685,514.7208595275879,511.22751474380493
14,631.1349105834961,341.84247493743896,583.5285758972168,326.98431372642517,664.0874290466309,665.7229471206665,709.5021629333496,858.4089589118958,545.8167457580566,534.7469365596771,376.00367546081543,764.4399976730347,484.3535614013672,403.75126004219055,522.0912551879883,511.8398630619049
15,639.8666381835938,341.8561542034149,590.9049797058105,326.4413273334503,669.6433639526367,668.7272357940674,710.236988067627,860.5695104598999,554.0655899047852,534.9038779735565,373.97732734680176,759.6050047874451,493.63935470581055,405.55373668670654,530.5547332763672,514.9500775337219
16,642.227668762207,340.76451659202576,597.3588180541992,326.17002725601196,675.4373931884766,671.1361384391785,709.1357803344727,861.8273591995239,563.2270431518555,535.2286398410797,373.76529693603516,754.0714359283447,502.8889846801758,406.282696723938,537.2779655456543,517.9683995246887
17,648.7997245788574,339.953738451004,600.4819679260254,325.878803730011,680.2321815490723,672.2607350349426,710.6018257141113,861.3077402114868,572.8841400146484,535.6729102134705,378.9810848236084,749.5937132835388,511.4068794250488,408.00718545913696,545.7725143432617,521.4812672138214
18,656.2078285217285,337.4485659599304,606.2618064880371,325.90110898017883,684.1997337341309,672.6230907440186,709.3127632141113,860.4356145858765,579.5169067382812,535.6462275981903,387.80224800109863,744.2868661880493,519.8815155029297,410.7068932056427,552.018985748291,522.6035141944885
19,662.5984954833984,335.64270973205566,611.9784736633301,326.093487739563,688.6241912841797,673.0082988739014,709.8512077331543,860.5621719360352,586.6561889648438,534.3954598903656,398.86402130126953,738.5299229621887,527.6340293884277,414.93571758270264,560.3839874267578,527.1745455265045
20,672.03369140625,332.36937403678894,618.3797836303711,326.13388180732727,692.2206687927246,673.2995867729187,710.7440185546875,861.6298627853394,591.1992645263672,529.9536895751953,410.2203941345215,734.1615056991577,536.2981224060059,417.6492655277252,568.9369010925293,530.0633490085602
21,687.6569938659668,329.7398328781128,626.7436408996582,325.8575928211212,695.4763412475586,673.6824774742126,710.167236328125,862.2958016395569,595.960521697998,526.5880751609802,423.42089653015137,731.8946743011475,547.6932907104492,420.7793068885803,577.8889846801758,531.130782365799
22,693.2355308532715,329.9540984630585,634.1103172302246,326.6391134262085,697.6259422302246,674.1000008583069,709.8112106323242,862.1179389953613,600.4961013793945,526.3907396793365,439.5932865142822,729.7726821899414,556.6913795471191,423.197865486145,585.8530426025391,534.7147178649902
23,704.1633796691895,319.1309344768524,641.6391563415527,326.63312673568726,699.7499656677246,674.627537727356,709.3476676940918,862.1157503128052,603.1697845458984,523.660454750061,452.0517826080322,727.7001285552979,569.1228675842285,426.52183055877686,595.4861640930176,539.5736575126648
24,705.1966667175293,317.91032552719116,648.8848686218262,326.5801477432251,697.5773048400879,674.9123883247375,709.0038871765137,861.9649243354797,608.4143257141113,524.2188584804535,465.90611457824707,727.6676845550537,582.6462936401367,427.9462444782257,607.0014381408691,543.7767648696899
25,710.9313011169434,315.7875609397888,656.0326766967773,326.35358691215515,697.8945350646973,674.8369431495667,708.610782623291,861.7297053337097,615.9730339050293,523.246021270752,481.1734199523926,728.4516835212708,591.9454765319824,431.8202769756317,617.6715660095215,545.9089922904968
26,710.7982635498047,315.36401867866516,662.5615310668945,325.98437547683716,699.7918510437012,674.8797512054443,708.3368682861328,860.5099654197693,626.8377113342285,523.0157589912415,497.6454162597656,729.8899054527283,601.2339019775391,437.74465441703796,629.176025390625,547.9012084007263
27,711.7997932434082,316.30515217781067,666.3225173950195,324.9741053581238,709.3108177185059,680.608241558075,706.2550163269043,860.4430818557739,633.9159393310547,525.7713747024536,516.0840797424316,730.6175136566162,610.700855255127,441.0030233860016,641.4545059204102,550.9052395820618
