Frame,Left_Shoulder_X,Left_Shoulder_Y,Right_Shoulder_X,Right_Shoulder_Y,Right_Knee_X,Right_Knee_Y,Right_Foot_Index_X,Right_Foot_Index_Y,Hip_X,Hip_Y,Ankle_X,Ankle_Y,Elbow_X,Elbow_Y,Wrist_X,Wrist_Y
1,513.9948463439941,394.8067259788513,478.1106662750244,399.75990772247314,508.1166458129883,672.4794745445251,573.8935661315918,850.7553291320801,393.0732250213623,554.0743231773376,287.92837142944336,798.4132432937622,435.3864097595215,509.57921147346497,514.8744964599609,584.8311710357666
2,513.9867210388184,394.9816918373108,472.0580863952637,398.764990568161,506.1016273498535,675.0608325004578,572.1195602416992,850.4352021217346,392.17403411865234,553.9583230018616,287.47767448425293,797.483503818512,434.98071670532227,509.57196950912476,510.8280372619629,584.2953944206238
3,513.8544845581055,395.42760372161865,467.34094619750977,398.60180497169495,506.0503578186035,676.353120803833,572.3032379150391,850.6299948692322,391.50964736938477,554.045741558075,287.32160568237305,797.250280380249,434.41205978393555,509.7294580936432,509.14209365844727,584.1443109512329
4,512.5142097473145,394.80411887168884,463.159875869751,398.6582601070404,506.54977798461914,677.4313688278198,573.054370880127,851.0737180709839,391.4175224304199,554.9156785011292,286.37560844421387,797.273325920105,434.2107582092285,510.3551959991455,508.4098434448242,584.0816760063171
5,510.5745506286621,394.4783592224121,459.97572898864746,400.47213077545166,508.1195640563965,677.3379635810852,573.545036315918,851.1653852462769,390.20888328552246,557.4365901947021,285.73153495788574,797.2477054595947,431.70135498046875,512.1758580207825,507.2040367126465,583.7551760673523
6,507.55176544189453,394.4613003730774,456.617488861084,401.827472448349,508.8838005065918,677.2508025169373,576.0922622680664,850.5259037017822,389.35901641845703,559.8316526412964,284.84350204467773,797.6633620262146,429.44183349609375,513.3641839027405,506.42812728881836,583.2972264289856
7,504.36824798583984,394.21343207359314,454.44997787475586,402.85637855529785,508.97729873657227,677.1988534927368,576.115550994873,849.5914006233215,388.8607120513916,562.6200985908508,284.46003913879395,797.9443502426147,427.7724552154541,513.889274597168,505.49571990966797,581.9419813156128
8,497.78223037719727,392.22437024116516,454.9973773956299,404.18832063674927,509.49010848999023,677.1653151512146,575.0517082214355,848.4223866462708,388.8404846191406,566.3361597061157,284.20000076293945,798.8283848762512,426.18544578552246,514.2159998416901,502.38664627075195,581.5397143363953
9,492.9397201538086,391.0763096809387,453.83912086486816,404.14222955703735,511.2367630004883,676.6933965682983,573.6134719848633,848.4287595748901,389.0631580352783,567.6746034622192,283.87956619262695,798.8782739639282,421.29149436950684,514.2081141471863,499.05309677124023,580.9697556495667
10,491.81482315063477,392.20126032829285,450.6276226043701,404.1925370693207,511.2894058227539,676.6614675521851,572.984504699707,848.893404006958,392.3543643951416,570.4004788398743,283.8409423828125,798.705689907074,418.45808029174805,514.6015620231628,497.3828315734863,580.3849911689758
11,489.34736251831055,391.83552503585815,448.3132266998291,403.6303675174713,511.8743705749512,676.7884755134583,572.8388214111328,848.5754656791687,394.2982864379883,572.4002909660339,283.3058452606201,798.4753632545471,415.55262565612793,514.620680809021,496.9164276123047,579.4529986381531
12,488.9797782897949,391.58141255378723,444.85204696655273,403.5966682434082,512.8890037536621,676.687023639679,572.5683975219727,848.7998056411743,396.23897552490234,572.4660158157349,283.17395210266113,799.0082430839539,415.81000328063965,515.1325750350952,496.9222640991211,579.0346384048462
13,488.06779861450195,390.8627200126648,439.2067337036133,403.8097107410431,514.3246650695801,676.2646079063416,572.5736618041992,849.0074729919434,395.9384822845459,571.700234413147,283.443603515625,799.1598415374756,414.00707244873047,515.452573299408,496.0026168823242,578.1475782394409
14,487.7244186401367,390.91769456863403,437.7224922180176,403.7868583202362,514.3796539306641,676.2550806999207,571.7217636108398,849.8376274108887,395.7077407836914,571.8159770965576,284.7213935852051,799.0838170051575,411.27991676330566,515.6284081935883,495.428524017334,577.7955222129822
15,486.68140411376953,390.84025382995605,435.8469486236572,403.9914035797119,514.5661354064941,676.2452960014343,572.0843124389648,849.917643070221,395.58237075805664,572.3548436164856,285.0590229034424,799.3861126899719,409.77965354919434,515.9702289104462,495.6851577758789,577.7357840538025
16,485.55965423583984,390.83072662353516,432.7445411682129,404.1130042076111,515.7342910766602,676.3823461532593,572.1412467956543,849.7301244735718,395.45382499694824,572.8348088264465,284.9897861480713,799.9938583374023,407.3404598236084,516.0700714588165,494.2372512817383,576.6821908950806
17,483.658447265625,390.83227157592773,429.00970458984375,404.5008194446564,516.5856170654297,675.3180027008057,572.867431640625,849.5294737815857,392.3192882537842,572.5714588165283,284.6397113800049,800.5796527862549,405.2966022491455,516.6194951534271,493.2616424560547,576.5345191955566
18,483.5127067565918,390.8126699924469,426.87618255615234,405.8422565460205,517.3087692260742,674.9200487136841,573.3332633972168,849.4893050193787,391.97839736938477,572.6662802696228,284.32751655578613,801.1946725845337,405.02614974975586,517.1473860740662,493.2772636413574,576.4841794967651
19,482.73937225341797,390.6200337409973,426.5119743347168,405.7990622520447,517.2586441040039,675.1903510093689,573.5574531555176,849.3006277084351,389.92249488830566,572.4997472763062,284.1430950164795,801.7657256126404,404.5821475982666,517.2332918643951,493.10171127319336,576.1852312088013
20,481.2700080871582,390.49206018447876,425.969295501709,406.67566180229187,517.3443031311035,675.3593301773071,573.5224342346191,849.4817733764648,390.00163078308105,573.0965495109558,284.1408348083496,802.1562123298645,404.17585372924805,517.6380050182343,492.65602111816406,575.9152507781982
21,480.35144805908203,390.206823348999,424.8607349395752,407.0320951938629,517.3859024047852,675.5101561546326,573.4330558776855,850.4234862327576,390.0325298309326,573.4990739822388,284.1606330871582,802.7131032943726,403.94591331481934,517.7559685707092,492.26125717163086,575.4738450050354
22,480.0528144836426,389.6267580986023,424.20681953430176,407.4528694152832,517.346305847168,675.505006313324,573.4896469116211,850.3238368034363,390.3230953216553,573.5163259506226,284.32677268981934,802.8818249702454,403.10729026794434,517.9531109333038,491.7619514465332,575.390739440918
23,478.94845962524414,389.20865535736084,421.61413192749023,408.4309208393097,516.8120384216309,675.5955147743225,573.7959480285645,850.3563451766968,390.3445816040039,573.4722948074341,284.5056438446045,802.8653454780579,402.72425651550293,518.3400249481201,491.2451362609863,575.069260597229
24,476.9798755645752,388.418573141098,419.20220375061035,408.7062442302704,516.353645324707,676.0929250717163,573.998851776123,850.3934240341187,390.1640224456787,573.4162259101868,284.6963882446289,802.8900003433228,402.53382682800293,518.6621797084808,491.05098724365234,574.5724940299988
25,475.23656845092773,388.2261621952057,418.01207542419434,408.78036975860596,516.0801887512207,676.734402179718,574.0047454833984,850.3838324546814,390.0632572174072,573.3877086639404,284.70829010009766,803.0341958999634,401.391019821167,518.6687779426575,490.15920639038086,573.6945748329163
26,474.0658664703369,387.81861662864685,416.4579391479492,408.42297077178955,515.7277679443359,676.9602227210999,573.9048957824707,850.5054974555969,389.72339630126953,573.3878374099731,284.7439384460449,803.1272792816162,400.7483196258545,518.6667501926422,489.4819450378418,573.2460236549377
27,473.8526916503906,387.67284393310547,413.2009792327881,408.3129572868347,515.3267669677734,677.827262878418,573.9157676696777,851.7554926872253,389.6055221557617,573.736674785614,284.91671562194824,803.260338306427,399.76412773132324,518.6557102203369,488.0306625366211,573.1376194953918
28,473.5882759094238,387.5989758968353,411.2871837615967,408.04860949516296,514.921932220459,678.0551433563232,573.9255523681641,852.3340129852295,389.5382881164551,574.483916759491,285.7621192932129,803.3382940292358,398.9523124694824,518.5735380649567,487.4989700317383,572.9781031608582
29,473.88256072998047,387.7369272708893,411.16209983825684,407.92118310928345,514.5658493041992,680.2230334281921,574.3965339660645,852.9222536087036,390.4603672027588,576.1305141448975,286.01122856140137,803.7509894371033,398.1623840332031,518.3833479881287,487.3653030395508,572.6595854759216
30,472.71586418151855,387.79141902923584,410.77454566955566,407.1322274208069,514.4748687744141,680.9164595603943,574.793815612793,853.580596446991,390.4679775238037,576.6735649108887,286.16283416748047,804.0072584152222,397.2201347351074,518.1403076648712,487.3773765563965,572.5258827209473
