Frame,Left_Shoulder_X,Left_Shoulder_Y,Right_Shoulder_X,Right_Shoulder_Y,Right_Knee_X,Right_Knee_Y,Right_Foot_Index_X,Right_Foot_Index_Y,Hip_X,Hip_Y,Ankle_X,Ankle_Y,Elbow_X,Elbow_Y,Wrist_X,Wrist_Y
1,500.95104217529297,383.5547089576721,475.2352237701416,366.52498841285706,501.50625228881836,679.6736741065979,601.9184303283691,839.0050649642944,407.2265625,553.3259224891663,287.1302604675293,807.8885650634766,411.1044502258301,458.3607244491577,468.1608009338379,535.4707145690918
2,503.93394470214844,383.6221718788147,475.0103759765625,366.34101033210754,501.77696228027344,674.9290609359741,600.8060646057129,841.8183588981628,407.4283504486084,552.8213667869568,287.01650619506836,805.4277777671814,410.8239555358887,459.1620397567749,469.83312606811523,539.29363489151
3,506.10815048217773,383.56491208076477,475.05741119384766,365.93278884887695,502.0041275024414,672.7115392684937,600.0613403320312,842.5810503959656,408.0025577545166,552.0593190193176,286.70928955078125,804.6030950546265,410.80907821655273,459.74191188812256,471.3010311126709,541.0591292381287
4,507.1123695373535,383.55046033859253,475.3647708892822,365.8979308605194,502.00464248657227,672.4938297271729,599.8968887329102,842.8118276596069,408.26525688171387,551.7250299453735,286.45251274108887,803.9245390892029,410.8117389678955,459.94571685791016,472.8376579284668,541.5999269485474
5,507.50301361083984,383.54057908058167,476.1852550506592,365.9507167339325,502.7987480163574,671.7891383171082,599.5711898803711,843.1298303604126,408.8353443145752,550.9453439712524,286.3591003417969,803.3581852912903,410.8087348937988,460.268611907959,474.2895698547363,541.8168640136719
6,508.5894012451172,383.59066128730774,476.89146995544434,366.0473084449768,503.543701171875,671.0421538352966,598.9990425109863,843.1697416305542,409.18055534362793,550.0084590911865,286.3523769378662,802.6198267936707,410.84012031555176,460.325710773468,475.1528263092041,541.6895341873169
7,508.6094856262207,383.5990619659424,477.5635814666748,366.22124433517456,504.3723678588867,670.886242389679,596.9491195678711,843.2264542579651,409.41304206848145,550.0354957580566,286.3447666168213,802.4355912208557,410.85296630859375,460.54686427116394,476.9263172149658,541.5819668769836
8,508.47564697265625,383.58911633491516,478.9248275756836,367.00881600379944,505.8559799194336,670.79998254776,594.9198532104492,843.198516368866,409.74340438842773,550.62251329422,286.201229095459,802.1313643455505,410.85262298583984,460.7958912849426,477.48579025268555,541.5105772018433
9,508.5091781616211,383.59153032302856,480.6715393066406,367.6754629611969,506.10620498657227,671.2288999557495,593.7704658508301,843.4188008308411,409.8094654083252,550.821361541748,285.87833404541016,801.966826915741,410.9083557128906,460.96818566322327,477.8811264038086,541.4613962173462
10,509.47425842285156,383.4369385242462,482.0102119445801,368.1914448738098,506.8959617614746,670.8939671516418,593.2520484924316,843.5279130935669,410.2155590057373,550.5616164207458,285.2637577056885,801.6400694847107,411.2048149108887,461.15612268447876,478.61297607421875,541.4330720901489
11,510.2295112609863,383.28736782073975,482.79504776000977,368.7987720966339,508.1631088256836,670.6011986732483,593.0300903320312,843.4774446487427,411.18773460388184,550.567216873169,284.6886348724365,801.3658404350281,411.3738441467285,461.2128674983978,479.0712261199951,541.263062953949
12,511.0074234008789,383.20828557014465,483.2083511352539,369.39200162887573,508.93054962158203,670.3550362586975,592.9559326171875,843.4619307518005,412.1164798736572,550.575520992279,284.11900520324707,801.2134695053101,411.5837001800537,461.29764676094055,479.8289108276367,541.113588809967
13,511.2605667114258,383.1335163116455,484.13503646850586,370.18266320228577,510.3988838195801,670.4220485687256,592.1187973022461,843.6025214195251,412.77892112731934,551.3541126251221,283.68335723876953,801.231107711792,411.87621116638184,461.93609833717346,480.9308052062988,541.0727763175964
14,511.4196968078613,383.1227660179138,484.9423599243164,371.1830520629883,510.9575843811035,670.2277708053589,591.9086265563965,843.6508011817932,413.0145835876465,551.4593625068665,283.2224178314209,801.2465572357178,412.23466873168945,462.7316200733185,482.5590705871582,541.1415910720825
15,511.4896774291992,383.1273686885834,486.3781929016113,372.3987364768982,511.46106719970703,670.2521681785583,591.3198852539062,843.7772297859192,413.98890495300293,552.673180103302,283.1512928009033,801.2388968467712,412.9151916503906,463.2729649543762,484.53569412231445,541.2116932868958
16,511.8058204650879,383.1410479545593,488.6065864562988,373.21630597114563,512.6655006408691,670.3433847427368,591.1978340148926,843.9334630966187,416.26301765441895,553.9744162559509,283.0778217315674,800.9600973129272,413.7026882171631,463.63139390945435,485.690975189209,541.1995267868042
17,512.1071434020996,383.1524097919464,490.20910263061523,373.635470867157,513.8767433166504,670.0732755661011,591.2614631652832,844.2651772499084,417.5185489654541,554.2396974563599,283.08091163635254,800.5859613418579,414.91061210632324,464.01180624961853,486.33447647094727,541.1894845962524
18,512.3567962646484,383.253732919693,491.4617729187012,374.26716327667236,515.1175689697266,670.059757232666,591.2775421142578,844.5367670059204,418.2338047027588,555.1320362091064,283.0836009979248,800.1950240135193,415.82396507263184,464.81807827949524,487.28708267211914,541.1788630485535
19,513.4122848510742,383.6777901649475,492.4249076843262,374.8252773284912,515.5713844299316,669.9998259544373,591.3080978393555,844.8139572143555,418.4193706512451,555.3227090835571,283.04789543151855,800.1598119735718,416.491756439209,465.3737783432007,488.2145690917969,541.1975312232971
20,516.6846656799316,384.277263879776,493.2089424133301,375.2740216255188,515.8617210388184,669.9442076683044,591.2432670593262,845.0912117958069,418.3386039733887,555.2892351150513,283.0337905883789,800.1604557037354,417.22025871276855,465.80247044563293,488.94744873046875,541.3390231132507
21,518.6334800720215,385.34717559814453,494.7572708129883,375.8795142173767,516.2734222412109,671.200897693634,591.2252998352051,845.0891518592834,418.70967864990234,555.6420636177063,282.918062210083,800.1780939102173,417.87431716918945,466.10267400741577,489.8306465148926,541.3806080818176
22,521.4373970031738,386.7460012435913,496.42261505126953,376.3430321216583,517.6694297790527,671.3402009010315,591.1849594116211,845.0872206687927,418.82723808288574,555.8467054367065,282.91820526123047,800.1828575134277,418.84883880615234,466.50925397872925,490.95062255859375,541.7820382118225
23,523.3105659484863,387.68919467926025,497.3752212524414,377.1395194530487,517.855110168457,671.4383697509766,591.203727722168,845.0854182243347,418.7901020050049,555.9674692153931,282.9130554199219,800.1878142356873,419.69432830810547,467.1595823764801,491.9418525695801,542.2189378738403
24,524.5941352844238,388.70171785354614,498.3860206604004,378.4749376773834,518.6375999450684,672.4004888534546,590.4988861083984,846.2581014633179,418.972749710083,556.8894839286804,282.7905750274658,800.0769639015198,420.3779125213623,468.4031403064728,492.978572845459,542.8851985931396
25,525.8160209655762,389.8066806793213,500.6201934814453,379.2886447906494,519.9557876586914,673.7669348716736,589.9916839599609,848.0332517623901,419.70763206481934,558.6330270767212,282.70508766174316,800.4719567298889,421.7278575897217,468.95893692970276,494.81998443603516,543.8732600212097
26,528.2486343383789,391.023588180542,502.17796325683594,380.5669641494751,520.0733184814453,675.6663250923157,589.2953681945801,849.8023509979248,420.49344062805176,560.7047438621521,282.15688705444336,800.7209515571594,423.10933113098145,469.84944105148315,495.56922912597656,544.697105884552
27,529.3441200256348,392.3340940475464,503.83872985839844,381.841903924942,520.2580833435059,677.3007559776306,589.2341423034668,850.0987887382507,421.89937591552734,563.6283731460571,281.8772506713867,801.3894009590149,424.1725158691406,471.008380651474,496.80891036987305,545.9754252433777
28,529.1928863525391,392.93102502822876,505.7526969909668,383.1182599067688,520.2304458618164,678.8240146636963,589.2610359191895,850.2827024459839,422.58084297180176,564.1552019119263,281.85155868530273,802.4135112762451,425.44836044311523,472.26529598236084,498.68242263793945,547.2832274436951
29,529.3990516662598,393.90318632125854,508.20716857910156,384.1811227798462,520.4766654968262,679.8873925209045,589.8072052001953,850.7270050048828,422.81201362609863,564.6716666221619,281.841459274292,803.5457038879395,426.4570713043213,472.5994563102722,499.6771430969238,548.0852508544922
30,530.8166313171387,395.18794298171997,509.1288185119629,386.020131111145,521.0624885559082,679.9013614654541,590.8795738220215,850.9593915939331,423.0073356628418,565.157618522644,281.82881355285645,803.7794423103333,427.260103225708,473.81147146224976,500.92477798461914,549.6714019775391
31,530.9004592895508,396.1083483695984,511.1699867248535,388.66798639297485,521.1485481262207,679.8669219017029,591.9972038269043,851.7862629890442,424.61697578430176,566.3630676269531,281.8256664276123,803.760130405426,428.5414981842041,474.59762692451477,502.5032615661621,550.4590702056885
32,531.7611694335938,397.3444068431854,513.2089233398438,390.8667755126953,521.6477394104004,679.7413945198059,592.8330230712891,852.9219317436218,426.3036060333252,568.0975985527039,281.84377670288086,803.7417840957642,429.39056396484375,475.25774002075195,504.4911575317383,550.8792328834534
33,535.6539916992188,398.589928150177,514.1461372375488,391.82960271835327,521.6814994812012,679.6584177017212,594.0026092529297,854.5600962638855,426.89043045043945,567.953531742096,281.88852310180664,803.7278151512146,430.90304374694824,475.92631816864014,505.3664016723633,551.1292576789856
34,538.2528305053711,399.42413806915283,515.2672004699707,392.84621357917786,521.7325973510742,679.6543622016907,594.4455528259277,856.1878967285156,427.42764472961426,567.7021551132202,282.19101905822754,804.0627479553223,432.3266887664795,476.88032627105713,506.2517738342285,551.2784099578857
35,540.505542755127,400.11865854263306,517.0745658874512,393.88110637664795,521.9779014587402,680.1882076263428,594.3985748291016,857.7900767326355,428.88195991516113,567.6754403114319,282.5893020629883,804.3540358543396,433.8720989227295,477.27837681770325,506.9754409790039,551.4910340309143
36,541.6234016418457,400.2230715751648,519.133358001709,394.8670756816864,522.2733306884766,680.6313514709473,593.3461761474609,858.9802050590515,430.2356815338135,567.6095223426819,282.62017250061035,804.9424052238464,435.3885269165039,478.2737123966217,508.2945442199707,552.3111462593079
37,542.8982162475586,400.4506301879883,521.1448287963867,395.4110276699066,522.3956680297852,681.9226098060608,592.0601463317871,859.3329691886902,430.8611583709717,567.6041150093079,282.8148937225342,805.1197528839111,436.29246711730957,478.5650324821472,509.2441749572754,552.6314663887024
38,544.3441200256348,400.6158435344696,522.9035568237305,396.3850235939026,522.8816986083984,682.3300266265869,592.1006011962891,859.178409576416,432.10453033447266,567.9002952575684,283.2476234436035,805.3704857826233,437.5749206542969,478.89626383781433,510.06248474121094,553.3878493309021
39,544.654541015625,401.114798784256,525.2992057800293,397.0422077178955,523.3978271484375,683.1865739822388,591.6455841064453,859.3168115615845,433.3252143859863,568.1539249420166,283.4722709655762,806.0116410255432,439.18338775634766,479.0072751045227,511.05297088623047,554.0098857879639
40,545.4634666442871,402.0595371723175,527.3161125183105,397.83406019210815,524.5028686523438,684.336211681366,591.0843658447266,859.3611645698547,433.80927085876465,568.6081409454346,283.55441093444824,806.291663646698,440.91490745544434,479.22128319740295,511.51405334472656,555.0038051605225
41,546.9332313537598,403.370236158371,528.6831092834473,398.2669687271118,525.5879402160645,685.2185082435608,591.0924911499023,859.4189715385437,434.26926612854004,569.1243481636047,283.8493251800537,806.4256882667542,442.05041885375977,479.50851559638977,511.6778755187988,555.6540369987488
42,547.6447105407715,404.5529294013977,529.8300361633301,398.91172885894775,526.7005348205566,685.5106329917908,590.9723281860352,859.3500280380249,435.0538730621338,569.3555116653442,284.2884635925293,806.5881013870239,443.2566547393799,479.86578583717346,512.6161766052246,556.418981552124
43,548.7907218933105,405.3153955936432,531.3510131835938,399.45210814476013,528.0373191833496,686.0368824005127,590.9759902954102,859.3036150932312,436.62837982177734,569.3929123878479,284.85912322998047,806.6246008872986,444.46300506591797,480.0946319103241,513.8057327270508,556.965959072113
