Frame,Left_Shoulder_X,Left_Shoulder_Y,Right_Shoulder_X,Right_Shoulder_Y,Right_Knee_X,Right_Knee_Y,Right_Foot_Index_X,Right_Foot_Index_Y,Hip_X,Hip_Y,Ankle_X,Ankle_Y,Elbow_X,Elbow_Y,Wrist_X,Wrist_Y
0,566.8648338317871,427.3707175254822,543.6867141723633,414.8560881614685,559.3333625793457,621.5483808517456,624.2554092407227,749.3151068687439,515.5695533752441,550.0093603134155,451.7780113220215,735.9912443161011,480.5558395385742,467.6699638366699,509.6655464172363,524.4756424427032
1,575.1458930969238,431.2423360347748,555.509204864502,420.78802943229675,559.8807907104492,628.1498336791992,631.5693855285645,741.5006732940674,522.1483612060547,551.777880191803,456.5101718902588,730.5416822433472,488.43692779541016,461.3805592060089,519.0800857543945,522.9968333244324
2,581.6068267822266,433.5850954055786,552.081127166748,422.5501763820648,544.4393920898438,631.5043759346008,628.2013320922852,741.8671488761902,520.7470893859863,550.4010057449341,488.1845283508301,734.5362854003906,489.2240524291992,460.33549547195435,518.7243461608887,521.5437090396881
3,578.7760162353516,434.19702529907227,554.7037124633789,423.2933306694031,504.0402030944824,640.9518241882324,537.5807762145996,757.0033049583435,519.0067863464355,552.435257434845,578.2737922668457,730.0803852081299,489.64582443237305,459.9962818622589,521.0030937194824,521.7979180812836
4,579.3267631530762,433.1678295135498,556.6835975646973,424.0214538574219,493.0963325500488,643.568651676178,508.73388290405273,757.3674631118774,516.1993789672852,553.3004307746887,581.7891883850098,732.3962688446045,491.3568305969238,459.18357253074646,519.7928237915039,521.2903368473053
5,579.7250747680664,436.3113570213318,564.0620613098145,424.265878200531,493.7361145019531,642.3737597465515,528.6527824401855,755.3757619857788,517.3005294799805,551.2925720214844,529.5003890991211,740.9565281867981,494.4682502746582,457.30252861976624,520.594539642334,519.6861612796783
6,583.4243202209473,437.5037384033203,562.8979110717773,424.7604238986969,563.9806365966797,633.0177211761475,621.5884780883789,747.3345422744751,519.6692848205566,551.3264322280884,469.5687675476074,729.769721031189,494.1884422302246,456.94509744644165,522.6331329345703,520.543030500412
7,586.0898208618164,438.3065986633301,562.4172019958496,425.3261983394623,574.8752403259277,629.4536447525024,631.7827606201172,745.7991170883179,519.3724822998047,549.2561316490173,457.85099029541016,728.805091381073,494.9799156188965,456.9164836406708,524.0815544128418,520.8756136894226
8,589.0327262878418,438.51210951805115,561.5301704406738,426.42520666122437,578.3161354064941,626.9326686859131,631.5274429321289,744.6573328971863,518.697395324707,548.2535219192505,455.647029876709,727.1707892417908,496.0887908935547,457.21948742866516,525.3751945495605,519.8358607292175
9,590.5019187927246,439.2891561985016,562.8687858581543,426.68514490127563,578.9211845397949,625.5021071434021,631.8446731567383,745.1970362663269,518.9016151428223,547.2185969352722,453.99195671081543,728.2276010513306,497.2789192199707,457.004417181015,526.684398651123,519.3806791305542
10,589.2897605895996,438.7430155277252,566.4725303649902,426.8410885334015,579.781665802002,625.3586196899414,631.1615753173828,745.787079334259,520.1287078857422,547.1452116966248,454.725923538208,727.4269938468933,499.7907829284668,457.795432806015,529.0427398681641,520.311770439148
11,592.1432876586914,439.06169414520264,565.550479888916,427.9381334781647,580.1980590820312,624.0745711326599,632.5441360473633,746.2685894966125,519.9477767944336,547.36407995224,455.07036209106445,726.0881638526917,500.9366798400879,458.2043945789337,531.1960601806641,520.2322375774384
12,594.6909713745117,440.84566354751587,566.6693115234375,427.882000207901,538.5629653930664,625.8367824554443,559.9169540405273,748.3112096786499,519.3661880493164,546.3805246353149,505.2426338195801,723.994882106781,503.8901710510254,458.5267102718353,533.9487075805664,520.5520105361938
13,594.7937393188477,441.604460477829,568.0521011352539,429.0492117404938,575.5471801757812,623.7800645828247,622.9252052307129,745.7507729530334,519.5486068725586,546.2039494514465,473.42193603515625,724.1651487350464,505.05054473876953,458.6458969116211,537.1311378479004,520.9445893764496
14,595.0448226928711,441.6449511051178,569.3581008911133,429.378479719162,574.8495483398438,625.14728307724,624.9401664733887,746.420316696167,519.499626159668,546.2978053092957,464.0328025817871,724.3849182128906,506.3350296020508,460.0894618034363,541.1144256591797,521.001398563385
15,599.1250991821289,443.14777135849,569.7091484069824,429.91238951683044,510.6310844421387,627.7955889701843,499.72543716430664,747.6533818244934,519.5119285583496,545.8925127983093,532.9518699645996,722.0248103141785,509.2788505554199,460.8460056781769,544.8782730102539,521.0965418815613
16,598.6948585510254,443.29570055007935,573.8058471679688,430.668740272522,528.1125068664551,628.9726495742798,545.0567436218262,753.0860781669617,521.1096954345703,545.0568222999573,481.190185546875,722.6607513427734,511.1886405944824,461.1238396167755,547.7168083190918,521.8526029586792
17,602.4991035461426,443.89169812202454,572.4542999267578,432.15343952178955,508.4282684326172,630.3461122512817,495.4712677001953,750.7874464988708,520.7901763916016,543.6914706230164,573.1578254699707,722.6911997795105,512.5376129150391,462.9193317890167,550.8594703674316,523.1334328651428
18,603.9798545837402,443.99237751960754,575.5666351318359,431.82291626930237,507.0544624328613,630.782368183136,493.6163520812988,750.1450037956238,521.5008544921875,542.7804636955261,580.9439849853516,723.5721445083618,514.563045501709,464.1240084171295,553.6910820007324,525.9980320930481
19,604.9451637268066,443.76768350601196,576.6676712036133,431.70652985572815,506.3235855102539,631.9568538665771,493.3798599243164,749.4282746315002,521.7242431640625,542.7787256240845,584.7298622131348,723.9818143844604,515.8965110778809,465.5301082134247,557.0893478393555,529.203132390976
20,605.8605766296387,443.60955119132996,577.6674842834473,431.56700134277344,514.2281341552734,632.1368408203125,552.015495300293,756.0704755783081,522.3636245727539,542.7663016319275,470.0050163269043,724.0898966789246,516.7413711547852,466.26933574676514,556.6170501708984,528.8240396976471
21,606.0597038269043,443.57720375061035,581.7469024658203,431.42731189727783,508.96814346313477,632.938220500946,497.6711654663086,752.1335506439209,523.3341407775879,541.9688487052917,574.5744895935059,723.9555501937866,519.5218276977539,466.41761898994446,557.7632904052734,529.237185716629
22,606.313362121582,443.9068579673767,585.82763671875,431.32627844810486,507.59084701538086,633.7962484359741,492.3460578918457,750.0561690330505,523.6578369140625,540.8092331886292,585.7158851623535,724.9759912490845,523.0813980102539,466.30921483039856,559.9592399597168,529.2355442047119
23,606.3380813598633,443.8171863555908,587.596549987793,431.43484354019165,507.8639030456543,634.1770792007446,489.96070861816406,748.505744934082,523.791675567627,539.1762185096741,586.3932037353516,725.8828139305115,525.1900291442871,466.46876335144043,561.7430305480957,529.2653810977936
24,606.3547325134277,444.05710458755493,590.8686447143555,431.34774684906006,508.1755256652832,634.6433329582214,492.0168685913086,748.019278049469,525.3766250610352,538.2632482051849,584.8293113708496,725.8751535415649,528.4948539733887,466.6591787338257,564.0356826782227,529.2885231971741
25,606.935977935791,444.0004241466522,593.0247116088867,431.32038831710815,509.15719985961914,635.2092361450195,496.15304946899414,748.0577731132507,528.1341361999512,538.6696672439575,545.2506637573242,720.2201771736145,532.5514984130859,467.0504057407379,565.9616088867188,529.2449426651001
26,606.8033409118652,443.9627981185913,595.2665519714355,431.29798650741577,553.4381675720215,633.2078790664673,617.2552871704102,748.0600905418396,530.9407997131348,539.0759897232056,464.6806526184082,720.9815168380737,535.7782745361328,467.4951910972595,569.8487091064453,529.4436621665955
27,608.939323425293,444.2092502117157,596.546573638916,431.46780252456665,521.7643547058105,634.2595410346985,516.631965637207,748.0203080177307,531.0646820068359,539.1429376602173,484.59508895874023,718.5508561134338,539.015007019043,468.6392283439636,574.2075347900391,530.379388332367
28,610.6904411315918,444.2438507080078,598.3883857727051,431.44060492515564,521.1331558227539,634.2668795585632,550.9354019165039,754.0021061897278,531.4593887329102,539.2817258834839,464.73175048828125,719.0926194190979,539.7940063476562,469.25559997558594,575.9119033813477,530.6258404254913
29,612.8414726257324,444.3087065219879,598.6079978942871,431.417076587677,513.8143157958984,634.3287420272827,497.6677894592285,750.3048419952393,530.8121109008789,538.9868009090424,579.173641204834,724.2627382278442,542.5345802307129,470.19750595092773,578.2711601257324,530.9759974479675
30,613.3054733276367,444.2979884147644,601.6572189331055,431.6492700576782,512.028865814209,634.3380761146545,493.15052032470703,748.3033561706543,530.7327461242676,539.051399230957,586.4534568786621,727.2235107421875,544.3371391296387,470.4879891872406,579.5035171508789,531.1649644374847
31,614.2761039733887,444.78522777557373,603.0223274230957,431.64270401000977,511.6721534729004,634.2926931381226,492.8140640258789,747.8148937225342,530.7536888122559,539.1533660888672,587.1840476989746,728.4705448150635,546.2940788269043,470.4559314250946,581.5215682983398,531.1788368225098
