Frame,Left_Shoulder_X,Left_Shoulder_Y,Right_Shoulder_X,Right_Shoulder_Y,Right_Knee_X,Right_Knee_Y,Right_Foot_Index_X,Right_Foot_Index_Y,Hip_X,Hip_Y,Ankle_X,Ankle_Y,Elbow_X,Elbow_Y,Wrist_X,Wrist_Y
1,565.3693199157715,356.6559934616089,519.4929885864258,370.11555433273315,514.4570159912109,648.2219839096069,558.4054183959961,833.805205821991,427.4370861053467,518.0944097042084,297.345027923584,745.7201957702637,514.1438484191895,489.5243775844574,544.3416023254395,588.7422180175781
2,564.5439720153809,356.6795217990875,520.6222343444824,370.8530116081238,513.9748191833496,648.2208251953125,555.9737777709961,833.4984683990479,428.909912109375,518.2340025901794,296.0625743865967,745.6966996192932,514.8514938354492,489.6371912956238,546.4925193786621,589.1897392272949
3,564.2550086975098,356.6905617713928,520.605640411377,371.19579792022705,513.7593841552734,648.2190227508545,554.7005081176758,833.4308767318726,428.9326572418213,518.2047772407532,295.41772842407227,745.666766166687,514.9054527282715,489.8714768886566,546.8778419494629,589.496476650238
4,563.536262512207,356.6809058189392,520.1877593994141,371.72317385673523,512.8533554077148,648.2215332984924,553.882942199707,833.4270143508911,428.9105701446533,518.292099237442,295.28889656066895,745.5951833724976,515.0078773498535,491.2083113193512,547.5897789001465,590.3323602676392
5,563.2348251342773,356.2624168395996,519.4639778137207,372.06425428390503,511.9160842895508,648.1552934646606,552.7855682373047,833.4260487556458,428.455753326416,518.1052243709564,295.1741409301758,745.584819316864,514.9974632263184,491.6762065887451,548.1471633911133,590.5638456344604
6,561.4322662353516,356.1555254459381,518.224983215332,372.0581066608429,511.5487289428711,648.1432557106018,552.4021339416504,833.3393383026123,427.87038803100586,517.96466588974,294.3519401550293,745.5335140228271,514.2107391357422,492.19910860061646,548.3518409729004,590.7433176040649
7,558.9013481140137,356.3173270225525,515.5566215515137,371.99437737464905,511.1469841003418,647.9913353919983,551.9826507568359,833.3420419692993,427.0799446105957,517.6723158359528,293.0412483215332,745.2927589416504,513.1598281860352,492.413889169693,548.3278656005859,590.9191203117371
8,557.6114273071289,356.4902651309967,514.0410232543945,371.1043882369995,511.0162925720215,647.7097678184509,551.8200874328613,833.3429431915283,426.2812328338623,517.522519826889,292.02409744262695,745.198323726654,512.753791809082,492.40365386009216,548.2404327392578,590.7356572151184
9,555.8819389343262,356.49625182151794,513.4519386291504,370.2865934371948,510.98310470581055,647.3159980773926,551.8681526184082,833.3091473579407,426.1973190307617,516.9065022468567,290.28425216674805,745.2115845680237,511.03031158447266,492.36963272094727,547.1921539306641,589.3001389503479
10,555.6131172180176,356.4591407775879,511.99533462524414,369.75831627845764,510.33411026000977,647.2355961799622,552.0950317382812,833.1711316108704,425.37943840026855,516.7453765869141,289.193172454834,745.2279353141785,510.41175842285156,492.2914516925812,546.3000869750977,588.3972430229187
