Frame,Left_Shoulder_X,Left_Shoulder_Y,Right_Shoulder_X,Right_Shoulder_Y,Right_Knee_X,Right_Knee_Y,Right_Foot_Index_X,Right_Foot_Index_Y,Hip_X,Hip_Y,Ankle_X,Ankle_Y,Wrist_X,Wrist_Y,Elbow_X,Elbow_Y
1,633.13,440.47,600.88,432.09,595.48,667.02,648.43,831.68,521.31,574.58,476.36,735.63,613.67,573.41,546.37,516.18
2,634.5,441.07,600.31,440.98,595.34,670.34,647.97,820.48,521.1,574.45,475.18,735.57,615.24,573.52,545.04,523.9
3,635.62,444.64,599.94,441.51,596.89,670.12,647.2,819.35,521.04,573.3,473.31,735.57,615.36,574.69,544.96,525.91
4,635.75,445.09,600.22,441.76,599.66,667.84,646.27,815.64,517.08,568.54,467.98,735.64,615.49,575.93,543.84,528.81
5,636.5,447.88,599.53,441.65,600.93,667.99,646.66,817.46,516.36,568.89,468.74,734.45,615.47,576.07,543.4,528.82
6,637.9,448.21,599.53,445.07,600.91,663.58,648.2,815.56,513.63,568.5,467.46,734.45,616.32,577.56,543.44,532.57
7,639.05,448.09,599.69,445.43,600.84,663.76,646.47,816.22,512.75,568.75,467.16,734.46,616.32,579.88,543.45,533.57
8,639.41,448.1,602.02,446.41,600.67,664.19,646.51,818.05,511.0,568.8,465.89,734.72,618.12,581.42,543.68,534.87
9,639.47,450.69,602.78,446.01,600.65,664.32,647.79,818.73,510.4,568.92,464.56,736.04,618.84,582.16,544.02,535.18
10,639.15,452.06,606.13,447.25,600.73,663.1,648.14,818.78,510.32,568.91,461.82,736.74,618.73,582.01,544.25,536.06
11,639.09,451.85,608.83,450.99,601.23,660.07,650.03,818.35,510.33,568.98,460.95,736.75,619.6,583.63,544.38,538.66
12,639.41,452.42,609.07,452.47,604.58,657.08,650.82,818.6,508.94,569.24,460.9,737.11,619.57,583.72,544.82,540.39
13,641.06,453.89,609.81,453.02,607.35,654.94,650.96,818.73,508.99,568.34,460.14,737.24,619.45,584.74,546.53,542.44
14,641.1,455.81,609.69,452.93,607.69,655.17,650.61,819.98,508.74,568.41,456.77,737.44,619.43,584.68,546.52,541.63
15,641.07,455.45,614.11,452.4,608.8,655.76,650.88,821.78,511.81,568.39,456.1,737.53,619.28,585.18,548.04,540.94
16,642.41,456.56,613.24,454.31,607.67,658.2,651.03,821.71,511.71,570.16,453.4,737.95,619.7,588.8,549.97,543.11
17,642.32,456.67,613.34,456.46,608.14,665.07,650.5,824.04,513.02,571.46,454.27,739.07,620.2,590.35,550.14,543.93
18,642.53,458.29,612.9,457.71,609.04,664.77,649.92,826.14,512.89,572.16,454.67,739.54,620.74,590.68,550.47,545.02
19,642.46,459.03,613.32,458.75,609.42,664.49,647.74,825.94,512.03,572.37,454.76,739.8,621.28,594.61,551.29,546.76
20,642.44,460.36,615.12,459.72,609.14,664.56,647.2,825.88,511.74,573.32,454.06,740.33,622.7,596.65,552.54,548.39
21,642.9,460.77,615.15,461.5,606.19,664.54,643.85,825.12,511.71,573.29,453.33,741.39,623.32,599.84,553.02,549.28
22,642.88,460.91,615.7,463.06,608.84,664.91,642.75,825.04,513.69,574.66,452.28,743.21,623.2,600.31,553.14,549.03
23,643.78,462.17,615.5,464.52,609.65,664.3,641.47,825.02,513.65,574.65,451.31,745.59,623.53,601.49,553.08,551.11
24,644.59,463.3,615.67,465.81,610.11,664.89,641.64,825.47,513.71,575.13,450.42,748.51,625.05,603.73,553.78,551.97
25,645.48,465.41,616.08,465.67,611.08,666.56,641.9,826.34,513.69,579.47,450.16,748.48,624.91,605.12,553.68,552.07
26,645.66,467.37,616.81,467.7,613.21,664.36,643.24,826.33,514.05,581.08,449.97,750.14,625.02,606.23,554.1,553.13
27,645.89,467.52,617.09,469.12,616.6,665.7,643.02,826.45,514.79,582.49,448.67,751.48,624.93,607.07,554.11,552.93
28,645.84,470.56,617.0,471.3,621.96,661.05,643.26,826.41,516.89,584.13,448.73,753.02,625.65,608.66,554.03,557.48
29,645.81,470.16,619.02,470.82,622.17,660.59,643.65,825.76,516.84,584.0,447.76,753.66,625.92,610.08,556.47,557.35
30,646.09,472.68,616.95,472.42,620.94,660.73,647.73,826.3,511.91,583.55,444.55,753.82,626.06,612.19,556.26,561.13
31,645.15,476.35,616.91,473.79,616.5,662.52,651.26,826.29,507.73,583.61,444.12,755.41,626.7,614.52,557.38,561.32
32,644.92,478.53,617.21,477.72,616.34,666.03,651.18,826.64,505.88,584.56,438.95,755.46,626.28,615.23,557.2,561.78
33,644.66,478.42,617.6,477.54,617.57,665.26,649.89,826.21,506.46,588.21,439.89,755.33,626.26,615.4,557.38,562.53
34,644.72,478.28,617.12,478.77,618.94,665.21,649.88,825.63,506.65,587.78,440.56,757.51,625.9,616.08,557.44,565.73
35,645.85,480.35,617.01,478.19,624.18,663.44,649.79,825.49,507.43,587.36,442.41,759.83,625.98,618.7,557.69,566.19
36,645.59,483.48,616.46,479.57,625.29,663.21,649.35,823.79,508.02,590.75,442.41,760.1,625.64,619.81,557.64,566.68
