Frame,Shoulder_X,Shoulder_Y,Elbow_X,Elbow_Y,Wrist_X,Wrist_Y,Hip_X,Hip_Y,Ankle_X,Ankle_Y,Elbow_Angle,Trunk_Lean_Angle,Stride_Length,Wrist_Hip_Distance,Mid_Sternum_X,Knee_X,Foot_X,Sternum_to_Knee_Dist,Toe_to_Knee_Dist
1,700.7872581481934,417.6572799682617,641.7495346069336,517.4365818500519,716.9960403442383,590.562686920166,606.2655258178711,588.9775657653809,522.2979927062988,806.1525535583496,103.57,168.3,232.84,110.74,400.7509517669678,382.5468978881836,310.6396179199219,18.20405387878418,71.90727996826172
2,697.4186325073242,420.01606822013855,636.2415504455566,521.1765897274017,716.9914054870605,590.9632158279419,608.0151557922363,591.5098071098328,517.1048355102539,806.0382270812988,99.67,127.81,233.0,108.98,533.5561294555664,509.033145904541,412.9998893737793,24.52298355102539,96.03325653076172
3,696.5691375732422,421.3485252857208,634.7434043884277,524.4497644901276,716.5874290466309,591.2124681472778,609.5336723327637,592.5093913078308,513.7952613830566,806.0107398033142,98.26,120.32,233.98,107.06,666.3230266571045,635.4598503112793,514.6631240844727,30.863176345825195,120.79672622680664
4,695.6205368041992,423.11408400535583,632.4312400817871,525.7220005989075,715.528507232666,591.3423085212708,609.6196746826172,593.9143967628479,511.8013572692871,805.5187368392944,96.67,108.75,233.12,105.94,664.8128242492676,633.4657745361328,511.1098937988281,31.347049713134766,122.35588073730469
5,695.5354499816895,423.2008588314056,632.1335220336914,527.7313077449799,715.3499221801758,594.4643998146057,609.9490356445312,593.8426852226257,508.3161735534668,805.149621963501,97.49,102.65,234.48,105.4,664.281852722168,632.6391334533691,508.33059310913086,31.642719268798828,124.30854034423828
6,695.6556129455566,427.0521032810211,631.7791557312012,530.2383470535278,715.2957916259766,595.0507736206055,608.8251113891602,594.9797058105469,504.5318412780762,805.0824165344238,96.05,117.42,234.56,106.47,663.8732242584229,631.9946708679199,505.56356048583984,31.87855339050293,126.43111038208008
7,696.2421226501465,428.2552671432495,632.1083450317383,533.2371962070465,715.1603507995605,596.4411664009094,608.7033462524414,596.9831228256226,503.2083320617676,804.8118567466736,95.85,116.1,233.07,106.46,663.8559150695801,631.8277359008789,502.9727554321289,32.02817916870117,128.85498046875
8,695.7051658630371,433.1066429615021,631.5210914611816,538.1266486644745,714.9398231506348,597.598078250885,604.7992515563965,597.3584818840027,499.9600982666016,804.718644618988,94.05,130.93,232.36,110.14,663.8624496459961,631.7548942565918,500.56076431274414,32.1075553894043,131.19412994384766
9,696.2821197509766,432.5215244293213,631.596565246582,537.8658413887024,714.6485137939453,599.3972396850586,602.1230506896973,597.176821231842,498.8473320007324,804.2419624328613,94.98,121.35,231.39,112.55,663.9144515991211,631.7802658081055,498.5298500061035,32.134185791015625,133.25041580200195
10,695.9650039672852,432.0957612991333,631.7693138122559,538.265243768692,713.9105415344238,600.9564828872681,599.0420150756836,597.1147656440735,496.25621795654297,804.5702004432678,96.19,117.36,231.52,114.93,663.8822765350342,631.7499389648438,496.5451469421387,32.13233757019043,135.20479202270508
11,696.0487747192383,433.0090856552124,631.9060134887695,538.9097142219543,713.9192390441895,601.561975479126,598.1807327270508,597.0715713500977,494.37726974487305,804.4250392913818,96.17,121.69,231.88,115.83,664.2117118835449,632.4811363220215,494.60652923583984,31.730575561523438,137.87460708618164
