Frame,Shoulder_X,Shoulder_Y,Elbow_X,Elbow_Y,Wrist_X,Wrist_Y,Hip_X,Hip_Y,Ankle_X,Ankle_Y,Elbow_Angle,Trunk_Lean_Angle,Stride_Length,Wrist_Hip_Distance,Mid_Sternum_X,Knee_X,Foot_X,Sternum_to_Knee_Dist,Toe_to_Knee_Dist
0,918.5483551025392,314.9186110496521,928.9258575439452,292.6706314086914,938.6692810058594,261.0076689720154,908.4564971923828,412.0839071273804,841.0965728759766,372.343955039978,172.1,72.78,78.21,154.07,291.2128448486328,284.90369415283203,284.90369415283203,6.309150695800781,0.0
2,268.754940032959,214.85657215118408,218.6416244506836,282.6223039627075,282.56473541259766,328.84955406188965,258.0287170410156,360.2393388748169,242.3077774047852,533.5482358932495,89.39,71.26,174.02,39.84,345.0009422302246,336.5608100891113,336.5608100891113,8.440132141113281,0.0
3,268.760929107666,213.5948610305786,219.85761642456052,282.59855031967163,282.7390480041504,331.28751039505005,258.0332565307617,359.3170237541199,242.2254943847656,533.541669845581,92.43,70.21,174.94,37.36,398.809024810791,388.189453125,388.189453125,10.619571685791016,0.0
4,268.940486907959,213.0608010292053,220.79999923706052,282.5846242904663,283.2309913635254,332.5046110153198,258.2855796813965,358.65041971206665,242.22936630249023,533.1466770172119,93.95,69.86,175.23,36.14,268.9206657409668,258.0834312438965,258.0834312438965,10.837234497070312,0.0
5,269.04041290283203,212.61025428771973,221.4236068725586,282.57747888565063,283.38720321655273,332.83010244369507,258.14321517944336,358.4539103507996,242.20378875732425,533.1377077102661,94.8,69.8,175.41,35.97,268.99263763427734,258.0115623474121,258.0115623474121,10.981075286865234,0.0
6,269.106559753418,212.52751350402832,221.7881393432617,282.86550521850586,284.00753021240234,333.1896901130676,257.92638778686523,358.3546042442322,242.2036361694336,533.1492948532104,95.04,70.06,175.5,36.24,269.0832862854004,257.90046310424805,257.90046310424805,11.182823181152344,0.0
7,269.1147994995117,212.46668100357056,222.2042465209961,283.0624008178711,284.69167709350586,333.9516091346741,257.6693725585937,358.10949325561523,242.09585189819336,533.2377433776855,95.56,70.51,175.82,36.25,269.20750427246094,257.7012252807617,257.7012252807617,11.506278991699219,0.0
8,269.21417236328125,212.48363256454468,222.47114181518555,283.2162094116211,285.057373046875,334.2040157318115,257.4777603149414,358.0391335487366,242.12825775146484,533.2125091552734,95.71,71.18,175.84,36.45,269.39286041259766,257.5342826843262,257.5342826843262,11.858577728271484,0.0
9,269.5615768432617,212.5122356414795,223.15900802612305,283.7094783782959,286.24475479125977,335.3575801849365,257.28939056396484,357.78696298599243,242.1005630493164,533.433780670166,96.21,71.53,176.3,36.63,269.57918548583984,257.4021110534668,257.4021110534668,12.177074432373047,0.0
10,269.9671936035156,212.49047756195068,223.65219116210935,283.99550914764404,286.98841094970703,335.98259925842285,257.3085021972656,357.4107885360718,242.02564239501956,533.5666036605835,96.45,71.48,176.82,36.61,269.89286041259766,257.37570571899414,257.37570571899414,12.517154693603516,0.0
11,270.0381851196289,212.4979019165039,224.06513214111328,284.37453746795654,287.6577377319336,336.3364791870117,257.2655296325684,356.900053024292,242.3794174194336,533.2416915893555,96.65,72.2,176.97,36.7,270.23490142822266,257.2415008544922,257.2415008544922,12.993400573730469,0.0
12,270.6831741333008,212.4800705909729,225.25585174560547,284.6122455596924,288.55587005615234,336.58774852752686,257.53734588623047,357.2222828865051,242.3969268798828,533.266110420227,97.19,71.08,176.69,37.25,270.557186126709,256.98180389404297,256.98180389404297,13.575382232666016,0.0
13,270.92437744140625,212.48785972595212,225.88586807250977,285.32283782958984,289.3998336791992,336.79837703704834,256.80673599243164,357.009551525116,242.45555877685547,533.2676553726196,97.29,71.82,176.84,38.35,270.8836555480957,256.69953536987305,256.69953536987305,14.184120178222656,0.0
14,271.17300033569336,212.55311250686648,226.4733123779297,285.7775044441223,290.4524612426758,336.97214126586914,255.99090576171875,356.7194867134094,242.45031356811523,533.2932329177856,97.26,71.72,177.09,39.72,271.23998260498047,256.3055305480957,256.3055305480957,14.934452056884766,0.0
15,271.5995407104492,212.5613307952881,226.97494506835935,286.13940954208374,290.9477233886719,336.93999767303467,255.897159576416,356.63957834243774,242.43379592895508,533.3159351348877,97.22,71.89,177.19,40.21,271.53196716308594,255.74338150024414,255.74338150024414,15.788585662841797,0.0
16,271.81982040405273,212.56778955459595,227.35599517822263,286.50723695755005,292.1836280822754,337.30548620224,255.29550552368164,356.4327907562256,242.2054672241211,533.6672401428223,97.06,71.92,177.72,41.55,271.80640029907227,255.16280364990234,255.16280364990234,16.643596649169922,0.0
17,272.1430969238281,212.59817361831665,228.0588150024414,287.13489532470703,292.66881942749023,337.4036765098572,254.72660064697263,356.2316679954529,242.1706771850586,533.8203191757202,97.28,72.77,178.03,42.36,272.03430557250977,254.69125747680664,254.69125747680664,17.343048095703125,0.0
18,272.2965431213379,212.8318476676941,228.78250122070312,287.79004096984863,293.56571197509766,337.6409339904785,253.90384674072263,355.03649711608887,241.97919845581052,533.8849496841431,97.44,73.79,179.25,43.31,272.24401092529297,254.24402618408203,254.24402618408203,17.999984741210938,0.0
19,272.31252670288086,213.4212040901184,229.37423706054688,288.8054823875427,293.96942138671875,337.6717472076416,253.63317489624023,354.5974516868592,241.92304611206052,533.8870096206665,97.44,75.03,179.67,43.74,272.4567565917969,253.93435287475586,253.93435287475586,18.522403717041016,0.0
20,272.64806747436523,213.4165906906128,230.30757904052732,288.89472484588623,294.0565490722656,337.7378582954407,253.66100311279297,354.6260118484497,241.92739486694336,534.023265838623,98.17,74.94,179.78,43.78,272.6793098449707,253.76012420654297,253.76012420654297,18.919185638427734,0.0
21,272.88354873657227,213.53477954864505,230.89862823486328,289.18588399887085,294.189567565918,337.76684761047363,253.7471389770508,354.81417417526245,241.92371368408203,534.0864372253418,98.48,74.79,179.66,43.89,273.0078010559082,253.86420440673828,253.86420440673828,19.143596649169922,0.0
22,273.25586318969727,213.61058950424197,231.8004035949707,289.4696402549744,295.4139709472656,337.906858921051,253.8554573059082,354.8884177207947,241.7527198791504,534.5169639587402,98.63,74.64,180.04,44.89,273.45569610595703,254.19679260253906,254.19679260253906,19.25890350341797,0.0
23,273.9389991760254,213.670756816864,233.1488800048828,289.6880793571472,295.98575592041016,337.9752230644226,254.4242477416992,355.2297019958496,241.7763328552246,534.5143461227417,99.32,74.34,179.73,45.0,273.95016860961914,254.55662536621094,254.55662536621094,19.393543243408203,0.0
