Frame,Left_Shoulder_X,Left_Shoulder_Y,Right_Shoulder_X,Right_Shoulder_Y,Right_Knee_X,Right_Knee_Y,Right_Foot_Index_X,Right_Foot_Index_Y,Hip_X,Hip_Y,Ankle_X,Ankle_Y,Wrist_X,Wrist_Y,Elbow_X,Elbow_Y
1,592.21,493.39,583.39,503.04,595.42,744.12,630.74,915.45,465.55,645.33,369.89,855.42,589.26,629.08,503.05,587.55
2,594.88,493.71,583.48,503.43,591.56,742.02,627.08,917.39,465.57,639.4,369.3,855.77,589.18,630.21,498.7,590.0
3,598.32,494.52,583.04,503.4,582.77,740.43,625.13,917.56,463.67,636.0,368.65,855.4,588.79,630.63,497.86,590.03
4,598.04,494.52,582.93,503.34,583.96,738.42,621.41,917.69,459.01,636.46,367.74,853.96,588.76,631.18,496.93,590.44
5,601.76,498.85,580.62,501.37,584.33,736.8,622.06,917.73,452.55,634.91,367.54,853.18,588.63,631.32,496.07,590.62
6,601.5,498.56,580.68,500.88,585.04,735.2,621.52,917.72,453.21,634.74,367.55,852.56,588.08,631.27,495.04,590.76
7,600.79,493.63,580.85,500.91,583.85,734.96,620.74,914.95,454.2,634.43,367.42,849.82,588.32,631.05,494.66,590.94
8,600.48,492.67,580.9,500.92,583.51,734.05,613.37,914.91,454.78,631.72,367.69,847.45,589.02,630.53,494.82,591.49
9,601.62,493.16,580.44,499.47,581.54,729.41,614.41,914.5,450.83,628.6,370.32,846.89,589.4,629.9,494.76,591.0
10,606.15,495.99,577.59,496.24,563.57,727.75,615.7,915.15,449.34,624.92,375.13,847.14,589.41,628.71,494.52,590.49
11,605.74,496.95,577.34,495.85,564.3,728.28,617.63,914.88,450.14,625.54,375.05,847.16,589.34,628.15,494.65,589.59
12,605.31,496.91,577.5,496.09,566.29,728.12,619.03,913.73,448.97,626.06,374.79,845.63,589.24,627.14,494.64,589.56
13,605.7,496.91,577.0,495.93,571.49,727.66,622.71,913.08,448.12,624.29,374.63,845.19,588.6,626.52,493.36,589.58
14,604.71,496.7,577.48,495.17,578.9,724.66,625.5,909.27,448.62,624.49,374.79,845.05,588.54,625.8,493.4,588.26
15,605.48,497.28,578.09,492.46,581.83,725.02,625.83,908.21,449.43,624.76,376.24,843.31,588.37,624.36,493.65,584.01
16,607.13,497.43,577.74,490.18,583.78,725.43,626.78,908.55,449.72,620.72,377.74,841.81,588.88,623.34,493.99,583.49
17,605.52,496.31,578.94,489.81,585.09,725.48,627.75,908.47,449.76,620.95,377.44,840.66,588.72,622.72,494.05,582.83
18,605.8,495.67,578.56,488.95,587.32,725.69,627.68,908.57,449.96,621.56,377.38,839.85,589.15,622.51,494.07,583.0
19,604.71,491.97,580.82,489.35,588.48,725.86,627.67,906.77,451.35,621.75,377.35,839.46,589.83,622.6,494.12,582.91
20,604.69,491.0,580.88,488.54,588.36,725.43,626.72,906.99,450.88,622.08,377.35,837.81,591.07,622.54,494.41,582.53
21,604.67,491.35,580.01,488.32,588.3,723.79,626.67,907.11,447.41,622.34,377.35,837.35,591.06,621.97,494.47,582.6
22,604.14,489.65,581.02,488.29,587.92,723.58,626.19,907.14,450.59,622.31,377.81,837.23,591.17,621.74,496.15,582.13
23,603.22,487.74,582.39,488.39,588.35,723.71,626.17,907.26,457.53,622.36,377.76,835.88,591.29,620.35,496.2,581.75
24,603.21,487.43,582.42,488.49,588.48,723.31,627.13,906.88,457.08,621.44,377.94,835.22,591.31,619.54,496.15,581.55
25,601.84,487.39,581.76,487.8,588.81,723.22,627.09,906.57,455.96,621.56,378.49,835.4,591.2,619.51,495.72,581.59
26,602.53,488.27,581.06,486.23,588.71,722.95,627.85,906.74,452.77,617.54,378.41,835.49,591.2,618.84,495.71,580.32
27,602.61,488.39,580.1,485.74,588.71,721.82,624.69,906.8,451.55,617.13,378.39,835.41,591.31,618.42,495.7,580.1
28,602.56,488.49,580.08,485.54,588.82,722.53,624.5,905.99,451.56,617.33,377.75,834.9,590.45,617.7,495.48,577.87
29,603.03,488.51,574.19,485.63,585.24,722.59,604.47,903.7,449.57,617.55,377.74,834.23,590.38,617.15,494.71,578.49
30,603.03,487.23,573.58,485.32,585.09,720.27,617.75,903.73,447.21,617.73,377.42,832.14,590.54,616.84,494.73,577.48
31,602.61,486.91,573.07,484.97,585.17,720.33,625.99,903.18,445.87,617.78,377.28,832.12,590.51,616.06,494.39,577.55
32,602.8,486.83,573.29,484.32,585.24,719.42,626.13,903.29,446.12,616.7,378.15,832.03,590.81,616.05,494.69,577.22
33,602.41,486.26,573.38,484.39,586.65,718.14,627.7,903.11,445.35,616.68,378.38,831.86,591.24,615.98,494.5,577.16
34,601.6,485.22,573.49,484.38,586.62,718.1,627.63,900.76,447.38,616.67,378.22,831.84,591.47,615.83,494.41,577.04
35,600.64,485.4,573.72,483.06,587.67,718.22,630.27,900.95,447.41,616.87,378.98,831.73,591.27,615.6,493.91,576.43
36,597.27,485.2,574.78,482.28,587.45,716.74,630.05,900.72,449.06,616.92,381.0,831.76,591.22,615.28,493.28,576.22
37,596.37,484.2,574.75,481.69,587.42,715.98,629.82,900.23,449.59,615.86,380.89,830.7,590.9,614.77,492.62,576.03
38,593.69,481.31,574.74,481.41,587.45,716.16,630.32,899.94,451.04,615.91,380.81,830.23,590.59,614.25,492.4,575.85
39,594.15,481.57,574.42,480.68,587.46,715.95,630.74,899.39,450.52,614.69,379.11,829.68,590.6,613.98,491.56,575.34
40,594.44,481.74,574.45,479.14,587.46,715.86,631.2,899.24,450.31,613.93,378.97,828.98,590.42,613.15,491.14,574.03
41,594.72,481.46,572.58,479.19,586.5,713.79,632.58,899.27,442.39,612.32,378.02,829.05,590.27,612.92,491.11,573.15
42,594.38,481.61,571.0,479.28,585.64,712.3,633.66,898.93,440.63,611.66,377.93,829.11,590.1,612.07,490.25,572.59
43,593.03,479.92,571.14,478.69,585.51,713.46,633.99,897.62,441.33,610.37,377.73,829.72,589.53,610.15,489.95,571.27
44,589.92,474.98,572.43,478.71,584.79,713.04,633.84,897.1,441.77,610.34,377.38,829.74,588.6,610.24,489.0,570.75
45,589.73,474.48,572.49,478.51,584.62,713.25,632.75,895.13,442.51,609.72,377.05,830.15,588.3,610.23,488.16,570.5
46,589.45,474.69,572.17,478.57,579.21,713.36,625.49,894.15,443.1,609.74,376.35,830.16,588.31,609.5,487.17,570.28
47,588.5,475.11,570.04,476.54,579.33,710.74,630.04,893.41,442.75,609.32,376.18,830.15,587.51,608.8,486.97,569.04
48,588.57,475.18,568.42,476.62,579.53,711.0,632.3,893.0,442.88,609.24,376.4,830.04,586.81,608.81,485.98,568.83
49,588.77,474.81,565.06,477.69,579.28,711.08,632.38,890.91,442.65,609.3,376.38,830.14,586.06,608.86,483.83,569.4
50,586.6,473.18,565.6,477.82,581.25,711.11,632.35,891.14,443.12,609.32,375.65,830.41,584.72,608.72,483.38,569.43
51,586.39,470.94,565.72,477.84,581.95,711.27,631.53,890.7,443.74,608.55,375.27,830.42,583.47,608.17,481.47,569.02
52,586.11,471.34,565.62,477.32,581.99,712.16,631.88,890.87,443.78,610.47,373.37,831.0,583.28,607.62,481.54,568.53
53,584.48,471.56,565.58,477.36,581.77,712.23,631.84,890.41,443.66,615.87,372.01,832.92,582.76,606.3,481.65,567.5
54,584.66,472.91,564.47,475.02,581.03,711.62,632.21,889.41,443.45,615.49,372.11,832.65,582.1,605.86,481.47,566.23
55,582.47,472.94,563.44,473.53,581.08,711.55,632.03,889.17,441.72,616.86,372.73,831.87,580.59,604.56,480.39,564.2
56,583.33,475.4,558.99,472.06,580.48,711.46,632.14,889.39,440.94,613.58,372.95,832.3,579.27,604.1,479.65,563.45
57,585.87,479.4,553.24,470.84,579.3,712.77,631.84,889.67,437.33,612.81,372.79,833.38,576.07,603.24,477.46,562.7
