Frame,Shoulder_X,Shoulder_Y,Elbow_X,Elbow_Y,Wrist_X,Wrist_Y,Hip_X,Hip_Y,Ankle_X,Ankle_Y,Elbow_Angle,Trunk_Lean_Angle,Stride_Length,Wrist_Hip_Distance,Mid_Sternum_X,Knee_X,Foot_X,Sternum_to_Knee_Dist,Toe_to_Knee_Dist
1,583.3934783935547,503.03791522979736,503.0516624450684,587.554407119751,589.2615509033203,629.076611995697,465.54931640625,645.3260350227356,369.88612174987793,855.4179954528809,72.17,177.2,230.85,124.77,349.9822196960449,278.95803451538086,278.95803451538086,71.02418518066406,0.0
2,583.4770774841309,503.4293675422669,498.695011138916,590.0004529953003,589.1845321655273,630.2058434486389,465.5682563781738,639.3984389305115,369.30201530456543,855.7748794555664,69.55,171.37,236.82,123.96,466.5688705444336,370.7601070404053,370.7601070404053,95.80876350402832,0.0
3,583.0405426025391,503.3960223197937,497.8594207763672,590.0253009796143,588.786678314209,630.6349539756775,463.67259979248047,635.9999299049377,368.6495304107666,855.3986835479736,69.55,162.16,239.09,125.23,582.6937522888184,461.27105140686035,461.27105140686035,121.42270088195801,0.0
4,582.9332542419434,503.3360266685486,496.93336486816406,590.4397988319397,588.7626457214355,631.1814165115356,459.01036262512207,636.4598751068115,367.7368354797363,853.9609122276306,69.29,163.21,235.88,129.86,582.1504898071289,458.80246353149414,458.80246353149414,123.34802627563477,0.0
5,580.6244087219238,501.371169090271,496.0719108581543,590.6228756904602,588.6262321472168,631.3243246078491,452.5547218322754,634.9075198173523,367.53787994384766,853.1782007217407,70.29,140.61,234.24,136.12,581.6260414123535,456.5295925140381,456.5295925140381,125.09644889831543,0.0
6,580.6771659851074,500.8783292770386,495.0419425964356,590.7637882232666,588.0821800231934,631.2663888931274,453.20637702941895,634.7357726097107,367.547664642334,852.5600910186768,69.91,139.94,234.06,134.92,581.198055267334,454.7505168914795,454.7505168914795,126.44753837585449,0.0
7,580.8548355102539,500.9119641780853,494.655876159668,590.9439039230347,588.3233642578125,631.0500955581665,454.2039012908936,634.4254302978516,367.4209499359131,849.8152899742126,69.43,153.55,232.22,134.16,580.699390411377,453.1134510040283,453.1134510040283,127.58593940734863,0.0
8,580.9006118774414,500.9168243408203,494.81712341308594,591.4928126335144,589.0221977233887,630.5336952209473,454.7772216796875,631.7154550552368,367.69214630126953,847.4497103691101,68.97,156.8,232.65,134.25,580.0915946960449,452.4708881378174,452.4708881378174,127.62070655822754,0.0
9,580.4399299621582,499.4730985164642,494.75881576538086,590.9988141059875,589.3979644775391,629.9017453193665,450.8250331878662,628.5983204841614,370.3234004974365,846.892626285553,69.23,151.71,232.66,138.58,579.4239807128906,451.85683250427246,451.85683250427246,127.56714820861816,0.0
10,577.5854301452637,496.2357795238495,494.516830444336,590.4906535148621,589.4107246398926,628.709557056427,449.3419075012207,624.9178576469421,375.1266002655029,847.1428442001343,70.55,135.4,234.29,140.12,578.7530479431152,450.8099784851074,450.8099784851074,127.94306945800781,0.0
