Frame,Shoulder_X,Shoulder_Y,Elbow_X,Elbow_Y,Wrist_X,Wrist_Y,Hip_X,Hip_Y,Ankle_X,Ankle_Y,Elbow_Angle,Trunk_Lean_Angle,Stride_Length,Wrist_Hip_Distance,Mid_Sternum_X,Knee_X,Foot_X,Sternum_to_Knee_Dist,Toe_to_Knee_Dist
1,583.3934783935547,503.03791522979736,503.0516624450684,587.554407119751,589.2615509033203,629.076611995697,465.54931640625,645.3260350227356,369.88612174987793,855.4179954528809,72.17,177.2,230.85,124.77,324.9517192840576,299.9212188720703,221.567533493042,25.030500411987305,78.35368537902832
2,583.4770774841309,503.4293675422669,498.695011138916,590.0004529953003,589.1845321655273,630.2058434486389,465.5682563781738,639.3984389305115,369.30201530456543,855.7748794555664,69.55,171.37,236.82,123.96,432.93838119506836,399.3078918457031,295.11490058898926,33.630489349365234,104.19299125671387
3,583.0405426025391,503.3960223197937,497.8594207763672,590.0253009796143,588.786678314209,630.6349539756775,463.67259979248047,635.9999299049377,368.6495304107666,855.3986835479736,69.55,162.16,239.09,125.23,540.6080131530762,498.522274017334,368.6224765777588,42.08573913574219,129.8997974395752
4,582.9332542419434,503.3360266685486,496.93336486816406,590.4397988319397,588.7626457214355,631.1814165115356,459.01036262512207,636.4598751068115,367.7368354797363,853.9609122276306,69.29,163.21,235.88,129.86,539.5354099273682,496.9203300476074,368.15478515625,42.61507987976074,128.76554489135742
5,580.6244087219238,501.371169090271,496.0719108581543,590.6228756904602,588.6262321472168,631.3243246078491,452.5547218322754,634.9075198173523,367.53787994384766,853.1782007217407,70.29,140.61,234.24,136.12,538.8692722320557,496.1125030517578,367.77857208251953,42.75676918029785,128.33393096923828
6,580.6771659851074,500.8783292770386,495.0419425964356,590.7637882232666,588.0821800231934,631.2663888931274,453.20637702941895,634.7357726097107,367.547664642334,852.5600910186768,69.91,139.94,234.06,134.92,538.3510494232178,495.50404357910156,367.5870952606201,42.84700584411621,127.91694831848145
7,580.8548355102539,500.9119641780853,494.655876159668,590.9439039230347,588.3233642578125,631.0500955581665,454.2039012908936,634.4254302978516,367.4209499359131,849.8152899742126,69.43,153.55,232.22,134.16,537.8842620849609,495.0691337585449,368.10440826416016,42.815128326416016,126.96472549438477
8,580.9006118774414,500.9168243408203,494.81712341308594,591.4928126335144,589.0221977233887,630.5336952209473,454.7772216796875,631.7154550552368,367.69214630126953,847.4497103691101,68.97,156.8,232.65,134.25,537.4248561859131,494.75811767578125,369.6221523284912,42.666738510131836,125.13596534729004
9,580.4399299621582,499.4730985164642,494.75881576538086,590.9988141059875,589.3979644775391,629.9017453193665,450.8250331878662,628.5983204841614,370.3234004974365,846.892626285553,69.23,151.71,232.66,138.58,537.0523509979248,494.680721282959,371.12271308898926,42.37162971496582,123.55800819396973
10,577.5854301452637,496.2357795238495,494.516830444336,590.4906535148621,589.4107246398926,628.709557056427,449.3419075012207,624.9178576469421,375.1266002655029,847.1428442001343,70.55,135.4,234.29,140.12,536.7153453826904,494.6776428222656,372.59634590148926,42.037702560424805,122.08129692077637
