Frame,Left_Shoulder_X,Left_Shoulder_Y,Right_Shoulder_X,Right_Shoulder_Y,Right_Knee_X,Right_Knee_Y,Right_Foot_Index_X,Right_Foot_Index_Y,Hip_X,Hip_Y,Ankle_X,Ankle_Y,Elbow_X,Elbow_Y,Wrist_X,Wrist_Y
1,578.0534934997559,385.32358288764954,566.8751907348633,393.3187437057495,528.0714797973633,668.0639362335205,563.2082748413086,822.6787161827087,483.44261169433594,550.2790832519531,353.04030418395996,748.9393615722656,500.41053771972656,476.397625207901,570.1516914367676,527.40931391716
2,571.9328498840332,382.62364983558655,566.8628311157227,393.9927613735199,527.4457168579102,668.58722448349,575.064754486084,822.3173904418945,485.811710357666,551.2657928466797,353.2093620300293,748.9412927627563,500.408992767334,476.5775799751282,570.0912666320801,527.4584949016571
3,570.6394386291504,382.36042857170105,566.9550132751465,394.5090329647064,526.9122505187988,668.9100551605225,575.3754043579102,821.628406047821,487.4128532409668,551.7100310325623,353.16015243530273,748.8067531585693,500.4188919067383,476.62251234054565,569.681568145752,527.5261187553406
4,569.9567413330078,382.3631000518799,566.9886016845703,395.01725792884827,526.5519905090332,669.4426131248474,575.9631156921387,821.3178062438965,488.4551811218262,551.7189145088196,352.20322608947754,748.7916254997253,500.44755935668945,476.71427607536316,569.6312141418457,527.5677037239075
5,568.9951515197754,382.36660838127136,567.2652626037598,396.08932614326477,526.1984825134277,669.9592065811157,578.6401748657227,821.2527894973755,489.94022369384766,551.9397139549255,351.6330814361572,748.8322448730469,500.47611236572266,476.87559485435486,569.5837211608887,527.6203608512878
6,568.3196067810059,382.2089910507202,567.6935005187988,397.00934529304504,525.9127807617188,670.4977512359619,580.6170845031738,821.4469385147095,490.8017921447754,552.1242070198059,351.32680892944336,748.8309574127197,500.4755401611328,476.97418212890625,569.3506622314453,527.746274471283
7,566.9776153564453,381.25417828559875,568.5839080810547,397.97484397888184,525.7483863830566,670.8067417144775,580.924015045166,821.7003107070923,490.84991455078125,552.3483538627625,350.9245204925537,748.8384246826172,500.4853820800781,477.1766996383667,569.1150856018066,528.1760931015015
8,566.7279052734375,381.2956988811493,568.8561630249023,398.3929467201233,525.446605682373,671.0300517082214,580.5294227600098,821.7551565170288,490.6940460205078,552.8091359138489,350.32928466796875,749.4251847267151,500.3229331970215,477.20566749572754,568.4210014343262,528.8936913013458
9,566.9047164916992,381.0911214351654,568.9186477661133,398.80345344543457,525.3266716003418,671.0207176208496,580.5747413635254,821.7576026916504,490.0759506225586,552.8329539299011,350.0892734527588,750.1357984542847,500.0745964050293,477.3992693424225,567.4011039733887,529.9022877216339
10,566.850414276123,380.89076042175293,568.9222526550293,399.4512712955475,525.1791000366211,670.9779095649719,580.7580757141113,821.7603707313538,489.68679428100586,552.828962802887,350.10523796081543,751.5339159965515,499.54931259155273,477.5130808353424,566.0222053527832,530.2434647083282
11,567.0197868347168,380.90209007263184,568.927001953125,399.9963176250458,524.9919319152832,670.9090948104858,580.5499076843262,821.7477536201477,488.86619567871094,552.6813554763794,350.28940200805664,753.9096665382385,499.3586540222168,477.5658988952637,565.2968215942383,530.2390873432159
12,567.1430397033691,380.9195029735565,569.0182685852051,400.8722412586212,524.9003791809082,670.8940315246582,580.2854347229004,821.6674160957336,488.60721588134766,552.6775574684143,351.05732917785645,756.3593816757202,499.25989151000977,477.6924240589142,564.4804573059082,530.2363836765289
