Frame,Shoulder_X,Shoulder_Y,Elbow_X,Elbow_Y,Wrist_X,Wrist_Y,Hip_X,Hip_Y,Ankle_X,Ankle_Y,Elbow_Angle,Trunk_Lean_Angle,Stride_Length,Wrist_Hip_Distance,Mid_Sternum_X,Knee_X,Foot_X,Sternum_to_Knee_Dist,Toe_to_Knee_Dist
1,286.3985252380371,215.76899647712708,262.4161148071289,264.76728081703186,293.8140678405762,302.60044980049133,251.16694450378415,302.7103292942047,176.11351490020752,417.5810108184815,114.23,166.99,137.22,42.65,165.3750400543213,158.65876007080078,103.79948902130127,6.716279983520508,54.85927104949951
2,286.8728828430176,216.61099219322205,264.3783760070801,266.50933134555817,294.5622539520264,304.19073009490967,250.76376914978027,302.82007813453674,173.17282676696777,416.7562940120697,117.04,174.24,137.85,43.82,221.2218074798584,212.7047824859619,137.10458850860596,8.517024993896484,75.60019397735596
3,287.1851921081543,217.94524085521695,266.4993095397949,269.138028383255,295.589075088501,305.92544770240784,249.63226318359372,303.473247051239,169.71110343933103,414.5610558986664,119.66,164.32,136.85,46.02,277.4394006729126,267.3354606628418,169.41925048828125,10.1039400100708,97.91621017456055
4,288.23756217956543,220.8222119808197,270.23011207580566,271.23452520370483,298.2144069671631,309.71994853019714,248.31058502197263,303.8953881263733,166.52549743652344,413.0722932815552,124.32,169.66,136.41,50.24,278.8879623413086,269.6114044189453,166.25473594665527,9.276557922363281,103.35666847229004
5,289.0225410461426,223.0793797969818,273.1533908843994,273.0467529296875,299.59447860717773,313.58274841308594,246.60186767578125,303.88395595550537,161.57330989837646,412.50996112823486,129.26,169.27,137.95,53.87,280.14711570739746,271.57266426086426,163.42801666259766,8.574451446533203,108.1446475982666
6,289.5044231414795,224.7950220108032,273.7958335876465,274.960563659668,299.64237213134766,315.8069589138031,245.27584075927732,304.0276746749878,160.29094219207764,411.9293375015259,130.29,159.83,137.35,55.63,281.1788091659546,273.130428314209,161.52594566345215,8.048380851745605,111.60448265075684
7,289.6581172943115,226.3416314125061,274.1846752166748,276.8070225715637,299.5297622680664,317.2180480957031,243.42390060424805,304.0180389881134,159.0392303466797,412.2473478317261,130.86,153.79,137.24,57.64,281.8068723678589,273.82823753356934,160.43035411834717,7.978634834289551,113.39788341522217
8,289.71330642700195,228.16790437698364,274.2881298065185,280.5030760765076,299.3038845062256,320.39811873435974,242.1686553955078,304.03531789779663,160.20074844360352,413.4116654396057,131.49,168.05,136.68,59.43,282.04079246520996,273.90730476379395,160.68516540527344,8.133487701416016,113.22213935852051
9,291.02914810180664,229.2673362493515,273.7191581726074,280.263555765152,299.0430164337158,321.2101948261261,241.9357681274414,304.0847702026367,161.04753971099854,417.52829217910767,129.52,158.36,139.33,59.62,282.07633209228516,273.7002010345459,161.95856380462646,8.376131057739258,111.74163722991943
10,290.9664058685303,229.98050773143768,273.54872703552246,280.45960116386414,296.7083072662353,322.0224668979645,240.1651954650879,304.1018531322479,162.8473663330078,420.68383264541626,131.84,149.94,139.89,59.32,281.95919609069824,273.2292537689209,164.34088325500488,8.729942321777344,108.88837051391602
11,290.8953380584717,230.52018785476685,272.76031494140625,281.072692155838,293.8490867614746,323.492644071579,238.0384397506714,304.7967658042908,166.65793418884277,425.2269773483277,133.83,147.83,140.0,58.86,281.66766357421875,272.43289375305176,166.81232357025146,9.234769821166992,105.6205701828003
12,290.8414936065674,231.7734640836716,271.8299388885498,282.720427274704,289.77413177490234,326.36607122421265,236.05021476745603,305.4545729160309,170.95082759857178,428.322874546051,137.19,148.94,139.05,57.65,281.17543029785156,271.5348930358887,169.10729598999023,9.64053726196289,102.42759704589844
13,290.77978134155273,232.6898342370987,270.30632972717285,283.07867884635925,286.8831253051758,328.8301286697388,234.63456630706787,306.1880283355713,172.55795001983645,429.3347523212433,137.97,145.79,137.91,56.94,280.447322845459,270.5390796661377,170.94550895690918,9.908243179321289,99.59357070922852
14,290.5968189239502,232.8375542163849,269.229154586792,282.905987739563,282.996768951416,329.44207644462585,232.77557373046875,306.60246086120605,172.52240180969238,429.5959284305573,140.41,143.68,136.96,55.17,279.5935392379761,269.4515075683594,171.97363185882568,10.1420316696167,97.47787570953369
15,288.6643981933594,232.84714090824127,268.5696601867676,283.18130707740784,280.587215423584,329.63407158851624,229.65136528015137,306.57159399986267,172.03843116760254,429.8065416812897,143.73,162.96,136.04,55.91,278.6588373184204,268.3204822540283,172.17852115631104,10.33835506439209,96.14196109771729
16,287.7953624725342,232.8852263689041,267.32245445251465,283.24986743927,278.91357421875,330.1705017089844,228.99850845336917,306.6915338039398,171.7985486984253,429.891597032547,144.0,160.7,135.83,55.16,277.6739730834961,267.23704719543457,172.16281127929688,10.436925888061523,95.0742359161377
17,287.149600982666,233.02433955669403,266.17481231689453,283.0634250640869,277.96122550964355,330.3960747718811,226.90179347991943,306.64828753471375,171.97527408599854,429.3557548522949,143.28,176.79,134.44,56.31,276.6556520462036,266.24915885925293,172.26245784759521,10.406493186950684,93.98670101165771
18,286.3483142852783,233.65258634090424,264.8891544342041,283.3849630355835,276.5779781341553,331.5367441177368,225.67291259765625,306.71155643463135,172.47940063476562,429.9967403411865,143.02,179.41,134.27,56.64,275.70358657836914,265.2982807159424,172.62611961364746,10.405305862426758,92.67216110229492
19,285.3530502319336,234.2424863576889,264.2897129058838,283.4829857349396,276.0713768005371,332.5545666217804,223.8242483139038,306.3198902606964,173.02063465118408,430.37690901756287,143.34,171.17,134.06,58.46,274.73872089385986,264.4467029571533,173.257493019104,10.292017936706543,91.18920993804932
20,283.8981342315674,234.9645749330521,263.81526947021484,284.1100239753723,275.6923484802246,332.92271518707275,222.24141597747803,305.9191436767578,173.85673999786377,430.6863942146301,144.1,144.73,133.82,59.88,273.5913133621216,263.5710754394531,173.86695384979248,10.020237922668457,89.70412158966064
21,282.4045944213867,236.2698838710785,263.06456565856934,285.32363057136536,275.8919048309326,334.2006685733795,221.4983081817627,305.7721586227417,174.955415725708,431.6774654388428,143.78,134.78,134.23,61.37,272.4294719696045,262.7875328063965,174.3979253768921,9.641939163208008,88.3896074295044
22,280.0536632537842,237.1263167858124,261.79667472839355,285.9082717895508,276.0567569732666,334.2851686477661,220.36954879760745,305.8889627456665,175.02257823944092,432.1376919746399,143.06,132.49,134.15,62.51,271.21780586242676,261.9692974090576,174.79073524475098,9.24850845336914,87.17856216430664
23,278.6476135253906,238.3304020166397,260.9714412689209,286.22837257385254,276.1096000671387,334.3973345756531,219.03732776641849,305.8998069763184,175.13425827026367,431.82141280174255,142.3,141.02,133.36,63.79,270.08367919921875,261.14088249206543,175.00186443328857,8.94279670715332,86.13901805877686
24,277.3275661468506,238.8906437158585,260.19853591918945,286.3263952732086,275.5887508392334,334.46870398521423,217.93900966644287,306.2336916923523,174.98468399047852,432.0241868495941,142.42,145.56,132.92,64.19,268.9697513580322,260.27327728271484,174.87352180480957,8.696474075317383,85.39975547790527
25,276.69894218444824,239.44993817806244,259.6731948852539,286.5188150405884,274.5574951171875,334.6871564388275,216.06462478637692,306.40981245040894,174.91238594055176,431.87925958633423,142.94,144.24,132.05,64.97,268.0277166366577,259.62099266052246,174.6159725189209,8.406723976135254,85.00502014160156
26,275.6033420562744,239.52774226665497,258.7265396118164,286.5971417427063,273.99038314819336,334.63322925567627,213.4548139572144,306.80049872398376,174.313702583313,431.7504026889801,142.65,136.2,130.94,66.63,267.1145124435425,259.01899909973145,174.2940216064453,8.095513343811035,84.72497749328613
27,273.894739151001,239.622367978096,258.53525161743164,286.7576494216919,273.1830883026123,334.7000584602356,211.66543006896973,307.0805215835572,173.73483180999756,431.7077443599701,144.96,119.23,130.27,67.43,266.15764904022217,258.3226833343506,174.00044918060303,7.834965705871582,84.32223415374756
28,272.52553939819336,240.1245995759964,257.9614734649658,287.3126976490021,272.1474838256836,335.2976670265198,210.1140117645264,307.7809216976166,173.52450370788574,431.66743779182434,146.38,110.81,129.18,67.86,265.17762565612793,257.60943603515625,173.7464017868042,7.56818962097168,83.86303424835205
29,271.24051094055176,240.3207756280899,256.7169570922852,287.70968794822693,271.7665386199951,335.2517423629761,208.29156875610352,308.3535101413727,173.5168218612671,431.0980830192566,145.4,109.77,127.58,68.94,264.36128997802734,256.9928226470947,173.62511444091797,7.368467330932617,83.36770820617676
30,270.46494483947754,241.1194760799408,256.1069583892822,289.0377469062805,271.60712242126465,335.3870666027069,207.37531185150144,308.90846037864685,173.64214897155762,430.4628462791443,144.83,116.84,126.15,69.48,263.5930280685425,256.27833366394043,173.63848400115967,7.314694404602051,82.63984966278076
31,270.5230522155762,241.258131980896,255.6434726715088,289.4227170944214,271.3856792449951,335.4391646385193,206.986985206604,309.5651569366455,173.70726585388184,430.4282884597778,143.95,114.73,125.36,69.4,262.9682865142822,255.59246635437012,173.7306089401245,7.375820159912109,81.8618574142456
32,269.7845649719238,242.29393565654755,254.96280670166016,291.1080150604248,271.19922637939453,335.9995696544647,205.1107692718506,310.4680697917938,173.80167961120603,430.3577029705048,143.23,121.48,123.91,70.85,262.60653018951416,255.19611740112305,173.9830083847046,7.410412788391113,81.21310901641846
33,269.7074604034424,242.52739691734317,254.53213691711423,291.2774398326874,270.8976173400879,336.0254390239716,204.76617336273196,311.1663467884064,173.98512840270996,430.4164643287658,142.62,118.52,123.16,70.65,262.3758659362793,254.94220733642578,174.19154834747314,7.433658599853516,80.75065898895264
34,269.60469245910645,242.65388572216037,254.7352123260498,291.2287061214447,270.7775688171387,335.98330330848694,204.2860221862793,311.6355230808258,174.77881908416748,430.4110748767853,143.26,109.57,122.39,70.81,262.150239944458,254.80326461791992,174.38090801239014,7.346975326538086,80.42235660552979
35,269.42785263061523,242.9582917690277,254.8374080657959,291.07505774497986,270.87550163269043,336.1306149959564,204.48534965515137,312.21363162994385,174.6848487854004,430.8331832885742,143.54,105.08,122.31,70.57,261.9971036911011,254.6953411102295,174.5483636856079,7.301762580871582,80.14697742462158
36,268.9615058898926,243.00954055786133,254.9487590789795,291.3354825973511,270.9068012237549,336.40864539146423,204.0264844894409,312.78746128082275,174.6540641784668,431.05849504470825,144.33,102.57,121.86,70.93,261.9151096343994,254.67527389526367,174.66387176513672,7.239835739135742,80.01140213012695
