Frame,Left_Shoulder_X,Left_Shoulder_Y,Right_Shoulder_X,Right_Shoulder_Y,Right_Knee_X,Right_Knee_Y,Right_Foot_Index_X,Right_Foot_Index_Y,Hip_X,Hip_Y,Ankle_X,Ankle_Y,Wrist_X,Wrist_Y,Elbow_X,Elbow_Y
1,677.24,422.83,658.2,410.8,642.95,611.02,691.67,777.27,553.05,534.57,502.51,737.08,650.66,554.12,608.36,483.13
2,680.47,425.17,656.85,411.38,639.12,611.45,690.47,778.33,546.32,530.1,503.46,733.57,649.44,557.31,606.36,484.13
3,681.93,427.29,656.46,412.62,636.32,611.95,689.84,779.02,542.05,527.22,503.46,733.65,649.14,558.47,605.36,484.61
4,683.05,427.48,656.03,413.72,636.79,609.43,688.1,779.13,540.02,525.31,503.76,733.37,649.88,559.4,604.2,485.32
5,683.86,427.81,654.02,414.06,634.42,608.91,688.05,779.25,538.89,523.88,503.76,733.38,650.1,559.32,604.0,486.15
6,684.26,428.14,652.51,414.89,632.92,609.06,688.11,779.24,538.33,523.24,503.66,732.78,650.16,559.31,602.95,486.92
7,684.29,428.39,651.54,415.66,630.37,609.2,688.16,779.23,537.14,523.38,503.85,732.57,650.02,559.21,601.65,487.08
8,684.21,428.31,651.32,416.79,631.02,611.34,688.21,779.23,537.11,523.63,503.85,732.52,649.49,559.2,600.39,487.08
9,684.12,428.27,651.18,417.63,631.21,611.92,688.23,779.14,537.08,523.77,503.84,732.54,648.72,559.12,599.26,487.21
10,684.1,428.23,650.77,418.58,631.78,612.54,688.28,778.85,536.96,523.88,503.82,732.67,648.19,559.04,598.31,487.4
11,684.08,428.19,650.3,419.44,632.18,612.92,688.31,778.7,536.75,523.99,504.08,732.93,648.03,559.16,597.82,487.61
12,684.0,427.96,650.22,420.62,632.45,613.56,688.33,778.64,536.82,524.07,504.38,733.24,648.02,559.34,597.92,488.26
13,684.01,427.95,650.14,421.24,634.1,614.17,688.61,778.89,536.91,524.08,504.41,733.4,647.89,559.45,597.74,488.61
14,683.96,427.93,650.16,421.85,634.17,615.67,688.71,779.32,536.97,524.09,504.6,733.46,647.77,559.55,597.66,488.73
15,683.94,428.03,650.21,422.04,634.01,616.7,688.76,779.95,536.98,524.11,504.78,733.55,647.69,559.92,597.69,488.9
16,683.95,428.29,650.26,422.12,632.6,617.06,688.9,780.36,536.8,524.13,504.78,733.6,647.67,560.49,597.73,489.19
17,683.95,429.57,650.41,422.17,631.95,617.42,688.97,780.61,536.78,524.26,505.03,733.64,647.67,560.74,597.73,489.44
18,683.95,430.12,650.46,422.32,632.06,617.37,688.96,780.69,536.68,524.47,505.54,733.53,647.67,561.08,597.75,489.8
19,683.96,430.11,650.49,422.46,630.45,617.3,688.96,781.15,536.53,524.57,506.06,733.21,647.62,561.08,597.63,489.98
20,683.97,430.11,650.52,422.84,630.13,617.26,688.96,781.79,536.45,524.71,506.32,733.11,647.66,561.07,597.64,490.18
21,683.97,430.75,650.54,422.93,630.13,617.25,688.98,782.63,536.21,524.95,506.62,733.11,647.66,561.08,597.65,490.38
22,683.98,431.37,650.42,422.91,629.93,617.74,688.94,783.29,536.06,525.19,506.9,733.12,647.68,561.07,597.65,490.53
23,683.87,432.39,650.34,422.94,629.99,617.71,688.97,783.61,536.03,525.43,507.13,733.13,647.76,561.03,597.6,490.75
24,683.64,433.43,650.35,423.08,630.17,617.61,689.04,783.98,536.06,525.84,507.25,733.22,647.88,561.03,597.56,491.1
25,683.57,434.37,649.94,423.48,630.25,617.56,689.09,784.09,535.88,526.6,507.88,733.21,648.14,561.05,597.34,491.84
26,683.31,435.28,649.8,423.83,630.37,617.54,689.11,784.26,535.67,527.26,508.16,733.27,648.3,561.04,597.23,492.1
27,683.18,436.69,649.46,424.03,630.63,617.51,689.26,784.28,535.33,527.74,508.17,733.34,648.31,561.22,597.23,492.39
28,683.21,437.36,649.24,424.15,632.02,617.31,689.63,784.28,535.25,527.98,508.71,733.37,648.24,561.24,597.18,492.39
29,683.23,437.98,649.17,424.18,632.07,616.61,690.13,784.24,535.11,528.18,508.81,733.38,647.85,561.48,597.18,492.46
30,683.3,438.57,649.33,424.17,632.34,615.47,690.49,784.13,535.06,528.22,508.97,733.58,647.71,561.47,597.33,492.46
31,683.4,438.53,649.62,424.2,632.35,615.32,691.19,784.11,535.05,528.32,508.96,733.64,647.7,561.04,597.38,492.44
