Frame,Shoulder_X,Shoulder_Y,Elbow_X,Elbow_Y,Wrist_X,Wrist_Y,Hip_X,Hip_Y,Ankle_X,Ankle_Y,Elbow_Angle,Trunk_Lean_Angle,Stride_Length,Wrist_Hip_Distance,Mid_Sternum_X,Knee_X,Foot_X,Sternum_to_Knee_Dist,Toe_to_Knee_Dist
1,658.1996726989746,410.8015537261963,608.3600807189941,483.13068866729736,650.6636238098145,554.1176462173462,553.0450630187988,534.5740306377411,502.514877319336,737.0776033401489,114.64,98.06,208.71,99.56,394.3015480041504,328.283203125,328.283203125,66.01834487915039,0.0
2,656.8500137329102,411.3822627067566,606.3585090637207,484.1293394565582,649.4372177124023,557.3080372810364,546.3228607177734,530.1045477390289,503.46473693847656,733.5717844963074,114.75,102.67,207.93,106.64,525.506664276123,436.28663635253906,436.28663635253906,89.22002792358398,0.0
3,656.4580535888672,412.6244366168976,605.3586387634277,484.6137142181397,649.1385841369629,558.465850353241,542.0480918884277,527.218576669693,503.4591293334961,733.6476159095764,113.97,105.03,210.0,111.56,656.3116607666016,544.0656051635742,544.0656051635742,112.24605560302734,0.0
4,656.0255813598633,413.7197434902191,604.2026710510254,485.323748588562,649.8762130737305,559.4006109237671,540.0171661376953,525.3071808815002,503.7578773498535,733.3727431297302,112.45,109.13,211.2,115.03,655.1728248596191,541.1230087280273,541.1230087280273,114.0498161315918,0.0
5,654.0249824523926,414.05606031417847,604.0041160583496,486.15052342414856,650.1021766662598,559.3218183517456,538.8948440551758,523.8784861564636,503.75736236572266,733.3825278282166,113.04,111.6,212.43,116.72,654.1109046936035,539.2873420715332,539.2873420715332,114.82356262207031,0.0
6,652.5054931640625,414.89142894744873,602.9529762268066,486.9237077236176,650.1574516296387,559.3063688278198,538.3320808410645,523.2434785366058,503.660945892334,732.7799963951111,112.36,113.86,212.39,117.5,653.0827217102051,538.3004608154297,538.3004608154297,114.78226089477539,0.0
7,651.540412902832,415.6607508659363,601.6482353210449,487.0750164985657,650.0199508666992,559.2145085334778,537.1445274353027,523.3795309066772,503.8521194458008,732.5711703300476,111.22,115.48,211.82,118.43,652.1137962341309,537.7136650085449,537.7136650085449,114.40013122558594,0.0
8,651.317138671875,416.7940056324005,600.3893280029297,487.0811641216278,649.4883155822754,559.1979646682739,537.1136856079102,523.6293303966522,503.851203918457,732.5246286392212,109.83,117.61,211.53,117.87,651.4635200500488,537.3258361816406,537.3258361816406,114.1376838684082,0.0
9,651.1809539794922,417.6275074481964,599.2629432678223,487.21081137657166,648.7173843383789,559.1188502311707,537.0831871032715,523.7719810009003,503.8427925109863,732.5367951393127,108.75,119.15,211.39,117.1,651.0227966308594,537.0086860656738,537.0086860656738,114.01411056518555,0.0
10,650.7736015319824,418.5833179950714,598.3121681213379,487.39514350891113,648.1902694702148,559.0401220321655,536.9556999206543,523.8800632953644,503.8244819641113,732.666699886322,107.83,121.09,211.4,116.66,650.7591018676758,536.9446449279785,536.9446449279785,113.81445693969727,0.0
11,650.3018760681152,419.4402194023132,597.8156661987305,487.61465549468994,648.0325698852539,559.1556715965271,536.7463302612305,523.993649482727,504.0827178955078,732.9267024993896,107.34,122.84,211.47,116.71,650.5240173339844,536.9032173156738,536.9032173156738,113.62080001831055,0.0
12,650.2219390869141,420.6231379508972,597.916259765625,488.26115369796753,648.0240440368652,559.3385553359985,536.8243217468262,524.0739870071411,504.3760299682617,733.2382035255432,107.1,125.37,211.67,116.66,650.3192138671875,536.8806381225586,536.8806381225586,113.4385757446289,0.0
13,650.141716003418,421.2425673007965,597.7383613586426,488.6095404624939,647.8926658630371,559.4463801383972,536.9065475463867,524.0821623802185,504.41179275512695,733.3968186378479,106.82,126.56,211.82,116.48,650.2070503234863,536.8857765197754,536.8857765197754,113.32127380371094,0.0
14,650.1569366455078,421.85420751571655,597.6579666137695,488.7344241142273,647.7670669555664,559.5478320121765,536.9702911376953,524.0895330905914,504.6002769470215,733.4646677970886,106.59,127.72,211.86,116.33,650.1983985900879,536.8971519470215,536.8971519470215,113.3012466430664,0.0
15,650.2127838134766,422.0419836044312,597.689266204834,488.9008283615112,647.6945114135742,559.9181699752808,536.9813919067383,524.1057229042053,504.777717590332,733.551185131073,106.7,127.91,211.91,116.36,650.2354888916016,536.8888549804688,536.8888549804688,113.34663391113281,0.0
