Frame,Left_Shoulder_X,Left_Shoulder_Y,Right_Shoulder_X,Right_Shoulder_Y,Right_Knee_X,Right_Knee_Y,Right_Foot_Index_X,Right_Foot_Index_Y,Hip_X,Hip_Y,Ankle_X,Ankle_Y,Wrist_X,Wrist_Y,Elbow_X,Elbow_Y
1,636.82,501.3,606.67,506.66,597.07,670.67,661.01,806.33,516.44,610.86,498.93,768.78,609.51,635.27,561.67,579.7
2,636.3,502.94,606.52,506.71,598.6,670.42,661.01,807.11,513.62,609.71,498.91,766.92,605.98,632.63,564.31,578.04
3,636.31,504.31,606.05,506.52,599.02,670.43,661.04,808.51,512.79,608.16,499.19,764.57,605.51,632.07,565.75,577.99
4,636.55,505.18,606.3,505.54,600.08,670.44,661.05,809.41,512.83,607.05,499.25,764.25,605.44,630.86,567.18,576.94
5,636.44,505.63,605.95,504.9,600.67,669.74,660.88,808.46,512.33,605.64,499.14,763.62,605.21,630.36,567.12,576.94
6,636.34,505.57,605.93,504.63,600.68,668.33,660.73,808.46,511.91,604.16,499.23,762.62,605.32,629.83,567.17,576.52
7,636.08,505.5,605.81,504.56,600.63,668.19,659.46,808.44,511.57,603.65,499.41,762.29,605.41,629.98,567.13,576.44
8,636.13,505.62,605.76,504.51,600.65,668.24,659.38,808.4,511.51,603.36,499.42,762.37,606.29,630.11,567.04,576.42
9,636.28,505.68,605.81,504.32,601.01,668.27,659.39,810.16,511.52,603.22,499.17,762.49,607.37,630.74,566.96,576.41
10,636.47,505.73,605.82,504.0,601.44,668.27,659.29,810.84,511.57,603.24,498.98,762.62,607.82,631.41,566.92,576.42
11,636.9,505.76,605.85,503.88,601.46,668.25,659.23,810.74,511.6,603.15,499.23,762.71,608.13,631.67,566.9,576.43
12,637.47,505.72,605.95,503.77,601.49,668.26,659.81,809.57,511.74,602.91,499.7,762.76,608.19,631.68,567.05,576.37
13,637.83,505.74,606.58,503.14,601.55,668.22,660.58,808.61,511.77,602.5,500.02,762.68,608.42,631.69,567.27,576.03
14,638.23,505.76,607.68,502.45,601.61,668.13,661.11,808.26,511.88,601.99,500.36,762.33,608.43,631.58,567.36,575.35
15,638.98,505.74,607.83,502.48,601.61,667.92,661.21,807.04,511.97,601.77,501.15,761.95,608.46,631.59,567.42,575.33
16,639.79,505.77,607.81,502.59,601.58,667.94,661.25,806.77,512.19,601.67,501.98,761.73,608.65,631.59,567.41,575.34
17,640.38,505.89,607.85,502.6,601.02,667.58,661.35,806.37,512.34,601.41,502.69,760.86,609.3,631.52,567.53,575.34
18,641.38,506.2,608.01,502.61,600.57,667.39,661.61,806.24,512.6,601.03,502.85,760.56,609.59,631.28,567.67,575.32
19,641.77,506.2,608.85,502.63,600.27,667.41,661.69,806.22,512.79,600.37,502.98,760.19,609.69,630.62,568.05,574.84
20,641.72,506.18,610.1,502.42,600.26,667.14,661.7,805.99,512.9,599.63,502.95,760.08,609.8,629.84,568.23,574.15
21,641.68,506.03,610.91,502.1,600.26,666.92,661.69,805.63,513.17,599.09,502.94,760.05,609.79,629.4,568.23,573.83
22,641.64,505.78,611.0,501.83,601.26,665.66,661.79,805.59,513.52,598.85,502.9,759.7,609.78,629.17,568.22,573.64
23,641.63,505.47,611.31,501.69,601.22,665.24,661.52,805.24,513.62,598.61,502.39,759.3,609.78,629.0,568.2,573.3
24,641.61,505.13,611.71,501.48,601.27,665.38,661.57,805.29,513.65,598.56,501.81,759.05,609.78,628.94,568.17,573.01
25,641.55,504.89,612.31,501.17,601.26,665.93,660.53,805.3,513.68,598.37,501.38,758.85,609.77,628.83,568.1,572.5
26,641.47,504.69,612.6,501.04,601.25,666.25,659.47,805.17,513.68,598.11,501.11,758.46,609.77,628.77,567.87,572.31
27,641.44,504.45,612.54,501.05,601.24,666.52,658.88,805.18,513.66,598.11,500.98,758.29,609.77,628.77,567.7,572.21
28,641.43,504.36,612.54,501.06,601.2,667.11,658.39,805.22,513.66,598.11,500.87,758.01,609.76,628.78,567.66,572.18
29,641.28,504.37,612.55,501.23,600.49,667.42,657.77,805.15,513.64,597.99,500.87,757.75,609.78,628.54,567.38,572.16
30,641.26,504.5,612.54,501.51,600.28,667.53,657.65,805.12,513.5,597.96,500.87,757.49,609.81,628.33,567.02,572.2
31,641.23,504.68,612.52,501.7,600.14,667.77,657.63,805.1,513.36,597.97,500.88,757.29,609.82,628.18,566.6,572.22
32,641.19,504.7,612.51,501.86,599.46,667.51,657.52,804.96,513.1,597.95,500.89,757.25,609.87,628.24,566.57,572.45
33,641.13,504.71,612.5,501.88,599.25,667.43,657.51,804.94,513.04,597.95,500.91,757.19,609.87,628.26,566.48,572.53
34,640.95,504.86,612.48,501.85,599.12,667.38,657.36,804.92,513.06,597.93,500.92,757.14,609.82,628.26,566.26,572.52
35,640.7,505.11,612.47,501.84,598.99,667.38,657.3,804.91,513.09,597.93,500.93,756.78,609.82,628.33,566.03,572.52
36,640.47,505.15,612.65,501.82,598.8,667.36,657.07,804.9,513.09,597.9,500.92,756.66,609.82,628.35,565.94,572.41
37,640.19,505.3,612.7,501.76,598.85,667.36,657.06,804.94,513.07,597.88,500.76,756.57,609.88,628.37,565.85,572.38
38,640.0,505.4,612.78,501.74,598.93,667.26,657.05,804.94,513.0,597.76,500.63,756.39,609.98,628.4,565.86,572.3
39,639.8,505.71,612.77,501.72,598.93,666.37,657.04,804.93,512.81,597.72,500.57,756.15,610.23,628.59,565.78,572.3
40,639.24,505.77,612.89,501.7,599.1,666.12,656.97,804.82,512.65,597.64,500.39,756.06,610.32,628.6,565.64,572.14
41,638.97,505.97,613.06,501.7,599.36,666.02,656.95,804.82,512.48,597.58,500.27,756.02,610.39,628.48,565.48,571.92
42,638.57,506.0,613.18,501.77,599.38,666.03,656.82,804.78,512.42,597.45,500.2,756.01,610.39,628.26,565.17,571.79
43,638.57,506.28,613.19,501.83,600.44,664.91,656.97,804.85,512.34,597.44,500.13,756.0,610.38,628.16,565.01,571.77
44,638.58,506.4,613.22,501.89,600.32,664.99,657.05,804.85,512.31,597.47,500.02,756.08,610.43,628.0,564.73,571.76
45,638.64,506.41,613.26,501.99,600.26,665.4,656.96,804.4,512.3,597.48,499.93,756.16,610.5,627.76,564.52,571.73
46,638.67,506.38,613.28,502.22,600.18,665.55,657.06,803.95,512.33,597.49,499.8,756.63,610.5,627.67,564.37,571.7
47,638.67,506.37,613.29,502.32,600.17,665.61,656.84,803.87,512.35,597.53,499.75,756.88,610.53,627.66,564.34,571.68
48,638.69,506.3,613.3,502.42,600.08,665.63,656.71,803.79,512.33,597.56,499.71,756.94,610.62,627.65,564.3,571.67
49,638.69,506.22,613.34,502.63,599.99,665.7,656.7,803.59,512.28,597.57,499.64,756.92,610.64,627.65,564.27,571.69
50,638.69,506.13,613.34,502.74,599.92,665.74,656.67,803.28,512.13,597.62,499.57,756.92,610.64,627.64,564.19,571.69
51,638.64,506.12,613.33,502.77,599.94,665.76,656.84,802.72,511.98,597.64,499.55,756.95,610.6,627.64,563.96,571.72
52,638.64,506.11,613.19,502.78,599.67,665.6,656.88,802.13,511.91,597.64,499.54,756.95,610.6,627.66,563.7,571.79
53,638.61,506.22,613.1,502.78,599.39,665.52,656.47,802.05,511.79,597.62,499.55,756.76,610.6,627.67,563.36,571.93
54,638.56,506.59,612.92,502.97,599.56,663.9,656.49,801.83,511.65,597.64,499.55,756.67,610.53,627.76,563.16,572.2
55,638.51,507.31,612.26,503.57,599.57,663.22,656.53,801.82,511.38,597.71,499.53,756.57,610.48,627.82,562.95,572.63
56,638.46,508.2,611.93,503.67,599.6,662.46,656.13,801.78,511.35,597.74,499.46,756.24,610.3,627.82,562.7,572.77
57,638.42,508.84,611.56,503.67,599.62,661.87,656.18,801.72,511.34,597.76,499.28,756.09,609.93,627.83,562.52,572.81
58,638.24,508.97,611.34,503.72,599.68,661.98,655.89,801.73,511.33,598.32,499.05,755.97,609.67,627.83,562.15,572.97
59,638.02,509.12,610.9,504.02,599.43,662.0,655.57,801.73,511.33,598.65,498.99,755.44,609.18,627.84,561.62,573.16
60,637.74,509.1,610.3,504.29,597.16,664.43,654.57,802.08,511.23,598.74,498.99,754.71,609.1,627.81,561.04,573.18
61,637.46,509.09,609.46,504.48,596.43,665.25,654.01,802.36,511.13,598.96,498.99,754.45,609.03,627.88,560.73,573.57
62,636.99,509.02,608.75,504.5,597.06,664.88,654.04,802.45,511.08,599.07,498.99,754.21,609.03,628.26,560.65,574.05
63,636.48,508.54,607.96,504.51,597.62,664.28,654.11,802.48,511.0,599.27,498.99,753.95,608.95,628.36,560.58,574.52
64,636.24,507.51,607.35,504.39,598.14,663.93,654.14,802.48,510.93,599.31,498.99,753.56,608.87,628.48,560.56,575.28
65,635.97,506.54,606.7,504.42,598.25,663.75,654.16,802.43,510.82,599.4,499.05,752.96,608.84,628.61,560.47,576.17
66,635.83,506.29,606.15,504.55,597.58,664.34,654.06,802.47,510.58,599.57,499.21,752.08,608.73,628.68,560.3,576.9
67,635.14,506.3,605.69,504.49,597.03,664.57,652.5,802.45,510.34,599.64,499.36,751.26,608.64,628.68,560.02,577.06
68,634.25,506.22,605.5,504.37,596.78,664.68,652.58,802.45,510.28,599.79,499.44,750.8,608.5,628.68,559.65,577.03
69,633.39,506.12,605.0,504.37,596.73,665.04,651.75,802.49,510.11,600.0,499.59,750.21,608.24,628.68,559.38,577.02
70,632.99,505.82,604.31,504.37,597.18,664.66,652.04,802.89,509.95,600.38,499.59,750.27,607.92,628.67,559.05,576.99
71,632.33,505.82,603.9,504.35,597.86,663.92,654.18,803.29,509.76,600.53,499.58,750.39,607.84,628.63,558.76,576.91
72,632.07,505.54,603.26,504.6,598.8,663.56,655.14,803.53,509.25,600.58,499.52,750.5,607.6,628.46,558.47,576.89
73,631.78,505.4,602.49,504.87,598.84,663.03,655.39,803.56,508.66,600.62,499.52,750.54,607.4,628.44,558.27,576.88
74,630.99,504.7,601.33,505.12,604.15,660.2,655.63,803.68,508.09,600.6,499.52,750.56,607.28,628.44,557.97,577.02
75,629.49,504.07,600.3,505.28,606.91,657.39,655.66,803.66,507.77,600.61,499.56,750.44,607.3,628.43,557.64,577.3
76,627.76,503.98,598.86,505.6,608.5,655.79,657.42,803.71,507.18,600.91,499.55,750.67,607.33,628.44,557.38,578.45
77,626.77,503.99,598.06,505.76,608.38,655.89,657.34,803.79,506.77,601.05,499.58,750.69,607.27,628.44,556.77,579.04
78,626.44,503.97,596.44,506.39,606.42,657.79,658.05,803.67,506.15,601.73,499.67,750.71,607.02,628.44,556.04,579.49
79,625.1,503.56,595.35,507.11,604.8,658.72,659.03,803.5,505.42,602.51,499.69,751.24,607.05,628.44,555.28,579.86
80,624.06,503.27,593.41,507.55,603.8,659.04,659.91,803.25,504.91,602.89,499.71,751.7,607.05,628.51,554.67,580.04
81,623.89,503.34,592.45,508.07,604.84,658.17,661.27,801.4,504.51,603.1,499.71,751.82,606.87,628.49,554.01,580.55
82,623.51,503.28,592.24,507.74,607.16,657.3,661.05,801.03,504.21,603.11,499.72,751.84,606.73,628.24,553.03,580.52
83,623.05,502.89,591.25,508.22,605.44,657.57,661.19,800.76,503.99,603.12,499.61,752.35,606.01,628.17,552.36,580.66
84,622.08,502.41,589.52,508.79,606.93,656.61,661.09,800.73,503.71,603.11,499.61,752.54,605.16,628.12,551.16,580.96
85,621.65,502.42,586.63,508.8,606.94,655.09,660.99,800.74,503.05,602.85,499.61,752.62,604.55,628.05,549.4,581.23
86,621.22,502.83,584.16,508.57,605.01,655.18,660.91,800.84,502.79,602.74,499.61,752.61,603.94,627.87,547.36,581.25
87,620.97,503.04,582.53,508.69,602.07,656.94,660.89,801.33,502.11,602.71,499.61,752.61,602.63,627.62,545.8,581.29
88,619.36,502.94,581.71,508.77,600.93,659.28,660.59,801.92,501.57,602.89,499.65,752.65,601.5,627.32,545.54,581.77
89,618.3,502.63,581.53,508.82,600.71,660.69,660.54,802.64,500.66,603.32,499.69,752.68,600.52,627.16,544.92,582.1
90,617.51,502.64,580.1,508.7,600.57,661.35,660.65,803.64,499.54,603.52,499.62,752.85,598.36,626.82,542.94,581.96
91,615.85,502.75,579.02,508.49,600.07,661.26,660.68,803.96,498.41,603.63,499.51,752.99,596.64,626.56,542.21,581.75
92,614.29,502.59,576.45,508.46,599.84,663.41,660.49,804.15,497.85,603.89,499.27,753.11,595.51,626.46,541.29,581.72
93,612.53,501.79,575.6,508.17,599.89,663.57,660.33,804.22,497.16,604.38,499.16,753.48,594.72,626.16,540.87,581.05
94,611.82,501.77,573.1,507.47,599.91,663.4,660.54,804.22,496.24,604.79,499.19,753.74,593.03,626.11,540.32,581.02
