Frame,Shoulder_X,Shoulder_Y,Elbow_X,Elbow_Y,Wrist_X,Wrist_Y,Hip_X,Hip_Y,Ankle_X,Ankle_Y,Elbow_Angle,Trunk_Lean_Angle,Stride_Length,Wrist_Hip_Distance,Mid_Sternum_X,Knee_X,Foot_X,Sternum_to_Knee_Dist,Toe_to_Knee_Dist
1,606.6689872741699,506.66327476501465,561.6680717468262,579.7021865844727,609.5117568969727,635.2671074867249,516.4374732971191,610.8640050888062,498.9312744140625,768.7831163406372,107.63,140.97,158.89,96.22,363.84761810302734,308.57020568847656,308.57020568847656,55.27741241455078,0.0
2,606.5174102783203,506.70711278915405,564.3061065673828,578.0434226989746,605.976505279541,632.6328992843628,513.6245727539062,609.7065138816833,498.9145088195801,766.923508644104,112.03,139.25,157.9,95.16,485.1085968017578,411.13710021972656,411.13710021972656,73.97149658203125,0.0
3,606.0516929626465,506.5150237083435,565.7470321655273,577.9887700080872,605.5080413818359,632.0688629150391,512.7889823913574,608.1597590446472,499.1868209838867,764.5691299438477,114.26,136.7,157.0,95.75,606.2986335754395,513.604076385498,513.604076385498,92.6945571899414,0.0
4,606.3048934936523,505.54237961769104,567.1804618835449,576.9381380081177,605.4389190673828,630.8561396598816,512.83447265625,607.047393321991,499.2465591430664,764.2529296875,115.92,133.32,157.79,95.62,606.150993347168,512.6992263793945,512.6992263793945,93.45176696777344,0.0
5,605.9501838684082,504.9001944065094,567.1192359924316,576.9380736351013,605.214672088623,630.3596305847168,512.3348808288574,605.6449627876282,499.1435623168945,763.6169242858887,116.18,131.53,158.52,96.11,606.008960723877,512.2883834838867,512.2883834838867,93.72057723999023,0.0
6,605.9307861328125,504.6342372894287,567.1694755554199,576.5229320526123,605.3216743469238,629.8315787315369,511.9132232666016,604.1611647605896,499.22847747802734,762.6159882545471,116.08,131.61,158.96,96.87,605.950984954834,512.0330200195312,512.0330200195312,93.91796493530273,0.0
7,605.8072471618652,504.5619142055512,567.1339988708496,576.44362449646,605.4120826721191,629.9800229072571,511.5703582763672,603.6537766456604,499.4080352783203,762.2869777679443,116.15,131.79,159.1,97.46,605.852222442627,511.7709846496582,511.7709846496582,94.08123779296875,0.0
8,605.7618141174316,504.50957894325256,567.0425033569336,576.4197421073914,606.2860679626465,630.1100564002991,511.5121650695801,603.3554077148438,499.41747665405273,762.3736882209778,115.54,131.54,159.48,98.48,605.8267822265625,511.6174964904785,511.6174964904785,94.20928573608398,0.0
9,605.8110809326172,504.32241439819336,566.9626808166504,576.4074468612671,607.3726844787598,630.7382726669312,511.5242958068848,603.2168126106262,499.1746330261231,762.4858260154724,115.04,131.09,159.75,99.72,605.8105430603027,511.554988861084,511.554988861084,94.25555419921875,0.0
10,605.8229827880859,504.0026092529297,566.9159317016602,576.4213514328003,607.8247261047363,631.4092326164246,511.567440032959,603.2445573806763,498.9849472045898,762.6238417625427,115.11,130.29,159.88,100.29,605.8386611938477,511.5894241333008,511.5894241333008,94.24923706054688,0.0
11,605.8495903015137,503.88290762901306,566.8952751159668,576.4294624328613,608.1296539306641,631.6656303405762,511.6006851196289,603.1452298164368,499.22664642333984,762.7054023742676,115.02,130.06,160.04,100.65,606.001350402832,511.64197540283203,511.64197540283203,94.359375,0.0
12,605.9478378295898,503.7676477432251,567.048397064209,576.3687586784363,608.1877326965332,631.6787624359131,511.7425346374512,602.9116201400757,499.7024917602539,762.760055065155,115.18,129.99,160.3,100.64,606.3752288818359,511.7126770019531,511.7126770019531,94.66255187988281,0.0
13,606.5752601623535,503.1350219249725,567.2672080993652,576.0325384140015,608.4170150756836,631.6868734359741,511.7749214172363,602.4957060813904,500.02201080322266,762.6849961280823,115.19,128.88,160.62,100.95,606.7765502929688,511.7922821044922,511.7922821044922,94.98426818847656,0.0
14,607.6804733276367,502.4468421936035,567.3614501953125,575.3526949882507,608.4283447265625,631.579692363739,511.87780380249023,601.988832950592,500.3627586364746,762.3348712921143,114.91,127.72,160.76,100.98,607.1690711975098,511.910831451416,511.910831451416,95.25823974609375,0.0
15,607.82958984375,502.4773228168488,567.4223899841309,575.3282976150513,608.4581565856934,631.5879964828491,511.9654655456543,601.7691922187805,501.1497116088867,761.9453501701355,114.88,128.01,160.54,101.0,607.5495758056641,512.030330657959,512.030330657959,95.51924514770508,0.0
16,607.8121948242188,502.5914883613586,567.4139213562012,575.3443908691406,608.6473846435547,631.5854215621948,512.193431854248,601.6693496704102,501.97998046875,761.7253232002258,114.71,128.31,160.38,100.99,607.8364105224609,512.1948738098145,512.1948738098145,95.64153671264648,0.0
17,607.8503608703613,502.59599447250366,567.5304794311523,575.3357005119324,609.3020439147949,631.5245890617371,512.340030670166,601.407995223999,502.6893997192383,760.8647203445435,114.37,128.24,159.75,101.53,608.0706939697266,512.3773040771484,512.3773040771484,95.69338989257812,0.0
18,608.0094337463379,502.6145017147064,567.6666641235352,575.3192853927612,609.5879745483398,631.2842845916748,512.5976371765137,601.033730506897,502.8477287292481,760.5626177787781,114.14,127.97,159.83,101.6,608.5240058898926,512.5641403198242,512.5641403198242,95.95986557006836,0.0
19,608.8518905639648,502.63127088546753,568.0546188354492,574.8440194129944,609.686279296875,630.6173801422119,512.7899551391602,600.3742289543152,502.9756736755371,760.1898336410522,113.8,128.32,160.12,101.51,609.1430740356445,512.7584838867188,512.7584838867188,96.38459014892578,0.0
20,610.0961494445801,502.4243116378784,568.2266235351562,574.1452503204346,609.8024368286133,629.8446464538574,512.8996467590332,599.6298837661743,502.9452323913574,760.0810432434082,112.99,128.23,160.76,101.5,609.7724761962891,512.9948959350586,512.9948959350586,96.77758026123047,0.0
21,610.9075355529785,502.0974898338318,568.2268524169922,573.8349080085754,609.7880744934082,629.4043350219727,513.1651496887207,599.085738658905,502.9369926452637,760.0471830368042,112.46,127.94,161.29,101.27,610.4321365356445,513.1993789672852,513.1993789672852,97.23275756835938,0.0
22,610.997371673584,501.830438375473,568.2231330871582,573.643012046814,609.7788047790527,629.1662836074829,513.5220909118652,598.8517427444458,502.90483474731445,759.6989893913269,112.41,127.78,161.2,100.92,611.0047302246094,513.3710746765137,513.3710746765137,97.6336555480957,0.0
23,611.3077354431152,501.6863715648651,568.2042503356934,573.2959771156311,609.781608581543,629.0005874633789,513.6200523376465,598.6145925521851,502.3912811279297,759.3048977851868,112.22,128.1,161.08,100.85,611.4475250244141,513.5266799926758,513.5266799926758,97.92084503173828,0.0
24,611.7148590087891,501.48298501968384,568.1716918945312,573.0068778991699,609.7817230224609,628.9405274391174,513.6484336853027,598.5571074485779,501.8083763122559,759.047212600708,112.02,128.33,160.93,100.82,611.7850799560547,513.6302375793457,513.6302375793457,98.15484237670898,0.0
25,612.3101234436035,501.17347955703735,568.0989646911621,572.502965927124,609.7735977172852,628.8291621208191,513.6776733398438,598.3744168281555,501.37916564941406,758.8472056388855,111.71,128.18,160.94,100.81,612.0928573608398,513.6584014892578,513.6584014892578,98.43445587158203,0.0
26,612.5953102111816,501.0447335243225,567.8656196594238,572.313129901886,609.7722244262695,628.7725782394409,513.6829376220703,598.1140923500061,501.10708236694336,758.4568476676941,111.3,128.35,160.84,100.86,612.3395690917969,513.6673622131348,513.6673622131348,98.67220687866211,0.0
27,612.5362586975098,501.0502052307129,567.6995658874512,572.2113561630249,609.7716522216797,628.7697458267212,513.6629104614258,598.1091356277466,500.9817695617676,758.2943058013916,111.14,128.81,160.69,100.88,612.5070877075195,513.6661262512207,513.6661262512207,98.84096145629883,0.0
28,612.5412940979004,501.0646891593933,567.6624298095703,572.1827745437622,609.7584915161133,628.7750887870789,513.6648559570312,598.1086206436157,500.8678436279297,758.0064296722412,111.1,129.03,160.41,100.87,612.5520858764648,513.6308898925781,513.6308898925781,98.92119598388672,0.0
29,612.5524520874023,501.2310290336609,567.3801040649414,572.1614027023315,609.7763442993164,628.53755235672,513.6422538757324,597.9924273490906,500.86721420288086,757.7501606941223,110.56,129.4,160.27,100.87,612.5376892089844,513.565601348877,513.565601348877,98.97208786010742,0.0
30,612.5351142883301,501.5088951587677,567.0150947570801,572.1962928771973,609.8101043701172,628.3337473869324,513.5014915466309,597.9620432853699,500.8686447143554,757.4924755096436,109.9,129.8,160.03,100.98,612.5321044921875,513.453369140625,513.453369140625,99.0787353515625,0.0
31,612.5233268737793,501.7013704776764,566.5989303588867,572.2174715995789,609.8186874389648,628.1828570365906,513.3564949035645,597.9668712615967,500.8786582946777,757.2918248176575,109.25,129.92,159.81,101.08,612.52294921875,513.3289833068848,513.3289833068848,99.19396591186523,0.0
32,612.5083351135254,501.8612730503082,566.5700912475586,572.4522399902344,609.8739051818848,628.2357716560364,513.101749420166,597.9467868804932,500.88626861572266,757.2523641586304,109.12,130.32,159.77,101.4,612.5082893371582,513.2119789123535,513.2119789123535,99.29631042480469,0.0
33,612.4955177307129,501.8806171417236,566.480827331543,572.527813911438,609.8723030090332,628.2581090927124,513.0429267883301,597.9491686820984,500.9128761291504,757.1873474121094,109.02,130.35,159.7,101.46,612.4944076538086,513.1300621032715,513.1300621032715,99.36434555053711,0.0
34,612.4791526794434,501.8508768081665,566.2597274780273,572.5220847129822,609.818058013916,628.2626795768738,513.0572319030762,597.925865650177,500.9153366088867,757.1419644355774,108.81,129.94,159.68,101.41,612.520191192627,513.0766868591309,513.0766868591309,99.4435043334961,0.0
35,612.465705871582,501.84489011764526,566.0279273986816,572.524209022522,609.818000793457,628.3341979980469,513.0919075012207,597.9275393486023,500.9268379211426,756.7835998535156,108.58,129.36,159.32,101.39,612.5584602355957,513.0707130432129,513.0707130432129,99.48774719238281,0.0
36,612.6522445678711,501.8226170539856,565.9370040893555,572.4078869819641,609.8170280456543,628.3451414108276,513.0896186828613,597.9031419754028,500.9161949157715,756.6643166542053,108.39,129.19,159.23,101.4,612.6160926818848,513.0614776611328,513.0614776611328,99.55461502075195,0.0
37,612.6996803283691,501.7584693431854,565.8526611328125,572.3757648468018,609.8825454711914,628.3723068237305,513.0718803405762,597.8842163085938,500.75963973999023,756.567177772522,108.26,128.69,159.16,101.5,612.6737365722656,513.0111122131348,513.0111122131348,99.66262435913086,0.0
38,612.7836799621582,501.7363893985748,565.8579254150391,572.2969079017639,609.9831962585449,628.3972191810608,512.9967498779297,597.7595901489258,500.6336975097656,756.3871908187866,108.19,128.44,159.11,101.71,612.7579193115234,512.9235076904297,512.9235076904297,99.83441162109375,0.0
39,612.7673721313477,501.7184293270111,565.7827377319336,572.2996759414673,610.2339935302734,628.5940718650818,512.8054046630859,597.7151727676392,500.5677795410156,756.1492037773132,108.05,127.77,158.91,102.2,612.8396301269531,512.801513671875,512.801513671875,100.03811645507812,0.0
40,612.8866195678711,501.69873118400574,565.6398582458496,572.1366190910339,610.3218269348145,628.5987710952759,512.6538848876953,597.6388907432556,500.39159774780273,756.0595965385437,107.79,127.47,158.89,102.46,612.9355545043945,512.6716461181641,512.6716461181641,100.26390838623047,0.0
41,613.0607986450195,501.6970574855805,565.4800987243652,571.9206476211548,610.3908348083496,628.4819984436035,512.4796485900879,597.5778651237488,500.2668571472168,756.0225820541382,107.43,127.01,158.91,102.67,613.0161437988281,512.5397644042969,512.5397644042969,100.47637939453125,0.0
42,613.1793022155762,501.769026517868,565.1672744750977,571.79119348526,610.3900909423828,628.2644176483154,512.4225425720215,597.4519515037537,500.1975631713867,756.014084815979,106.88,127.01,159.03,102.7,613.1063003540039,512.4398002624512,512.4398002624512,100.66650009155273,0.0
43,613.1866264343262,501.8257069587708,565.0128936767578,571.7664098739624,610.3836822509766,628.1596183776855,512.3373413085938,597.436888217926,500.1325035095215,756.0033988952637,106.62,126.57,159.04,102.75,613.1816139221191,512.3691329956055,512.3691329956055,100.81248092651367,0.0
44,613.2181549072266,501.8881165981293,564.7253608703613,571.7596507072449,610.4280281066895,627.9990720748901,512.3055839538574,597.4693322181702,500.0218963623047,756.0791015625,106.14,126.46,159.08,102.76,613.2248725891113,512.3396530151367,512.3396530151367,100.88521957397461,0.0
45,613.2631874084473,501.9943642616272,564.521598815918,571.7307472229004,610.4964637756348,627.7587676048279,512.3005485534668,597.4751901626587,499.92902755737305,756.1616277694702,105.68,126.73,159.17,102.76,613.2473258972168,512.326114654541,512.326114654541,100.92121124267578,0.0
46,613.2770919799805,502.2155499458313,564.3707084655762,571.6997838020325,610.4984664916992,627.6714134216309,512.3322486877441,597.4904465675354,499.79787826538086,756.6302633285522,105.37,127.35,159.63,102.7,613.2694244384766,512.3246269226074,512.3246269226074,100.94479751586914,0.0
47,613.2915687561035,502.3245656490326,564.3371772766113,571.679699420929,610.5291366577148,627.6616287231445,512.354850769043,597.5341558456421,499.74735260009766,756.8831205368042,105.26,127.61,159.85,102.69,613.2933769226074,512.3202095031738,512.3202095031738,100.9731674194336,0.0
48,613.297119140625,502.4189043045044,564.3042755126953,571.6706228256226,610.6181144714355,627.6472091674805,512.3299026489258,597.5620937347412,499.7055816650391,756.9377732276917,105.12,128.0,159.87,102.79,613.3085060119629,512.2862319946289,512.2862319946289,101.02227401733398,0.0
49,613.3379173278809,502.6304662227631,564.2705726623535,571.6918015480042,610.6411743164062,627.6462435722351,512.2834968566895,597.5729084014893,499.63605880737305,756.9175601005554,104.96,128.73,159.85,102.85,613.3197326660156,512.2156105041504,512.2156105041504,101.10412216186523,0.0
50,613.3388328552246,502.736713886261,564.1872596740723,571.6915440559387,610.638542175293,627.6385188102722,512.1306610107422,597.6203513145447,499.5723724365234,756.9241905212402,104.82,129.22,159.8,102.98,613.3002777099609,512.1272048950195,512.1272048950195,101.1730728149414,0.0
51,613.3332252502441,502.7733743190765,563.9590072631836,571.7223787307739,610.6012344360352,627.6385188102722,511.9791412353516,597.6427531242371,499.5468521118164,756.9534802436829,104.56,129.35,159.8,103.08,613.2609672546387,512.0200309753418,512.0200309753418,101.24093627929688,0.0
52,613.1942939758301,502.7789103984833,563.7029457092285,571.785786151886,610.601749420166,627.6595687866211,511.9128227233887,597.641658782959,499.5425605773926,756.9458842277527,104.34,129.41,159.78,103.15,613.1774482727051,511.89420318603516,511.89420318603516,101.28324508666992,0.0
53,613.1005668640137,502.7808737754822,563.3590507507324,571.9307541847229,610.6007766723633,627.6692247390747,511.7940330505371,597.623119354248,499.5522880554199,756.7610049247742,103.99,129.2,159.61,103.27,612.9623336791992,511.7435188293457,511.7435188293457,101.21881484985352,0.0
54,612.9203224182129,502.9677486419678,563.1641578674316,572.2033739089966,610.5327987670898,627.7624368667603,511.65435791015625,597.642560005188,499.5491409301758,756.67236328125,103.85,128.89,159.49,103.36,612.6822052001953,511.6167526245117,511.6167526245117,101.0654525756836,0.0
55,612.2632598876953,503.5741424560547,562.950382232666,572.6313257217407,610.4843330383301,627.8232049942017,511.3772392272949,597.710280418396,499.5303726196289,756.5743231773376,103.73,128.89,159.31,103.58,612.3554992675781,511.5017395019531,511.5017395019531,100.853759765625,0.0
56,611.9325828552246,503.667129278183,562.7005004882812,572.7722382545471,610.2995109558105,627.8241062164307,511.3453102111816,597.7424025535583,499.4601631164551,756.2394547462463,103.69,127.22,158.94,103.43,612.0033187866211,511.409122467041,511.409122467041,100.59419631958008,0.0
57,611.5607643127441,503.6730194091797,562.5242042541504,572.8122138977051,609.9347877502441,627.828483581543,511.3377571105957,597.7597832679749,499.2784881591797,756.0900449752808,103.9,125.93,158.79,103.08,611.598804473877,511.3437309265137,511.3437309265137,100.25507354736328,0.0
58,611.3396644592285,503.7194645404816,562.1496391296387,572.9699921607971,609.6704864501953,627.8252005577087,511.33094787597656,598.3209872245789,499.04932022094727,755.973207950592,103.71,125.55,158.13,102.67,611.2063407897949,511.3133010864258,511.3133010864258,99.89303970336914,0.0
59,610.8977508544922,504.0238523483277,561.6156578063965,573.1638836860657,609.1752433776855,627.8407788276672,511.32740020751953,598.6522507667542,498.9890670776367,755.4448986053467,103.5,125.82,157.28,102.11,610.7120704650879,511.2703056335449,511.2703056335449,99.44176483154297,0.0
60,610.3009414672852,504.2863011360169,561.0376167297363,573.1825518608093,609.0970802307129,627.8127765655518,511.2250900268554,598.741729259491,498.99003982543945,754.7134280204773,103.1,126.42,156.45,102.1,610.1504516601562,511.2183837890625,511.2183837890625,98.93206787109375,0.0
61,609.4612312316895,504.4807398319245,560.731143951416,573.5721373558044,609.0335655212402,627.8777933120728,511.1303329467773,598.9560914039612,498.987922668457,754.4456362724304,103.15,126.8,155.96,102.09,609.4741172790527,511.15258026123047,511.15258026123047,98.32153701782227,0.0
62,608.7526702880859,504.5041072368622,560.6512069702148,574.0501713752747,609.0349388122559,628.2579803466797,511.0781478881836,599.0671348571777,498.9872360229492,754.213764667511,103.58,126.84,155.62,102.21,608.7652015686035,511.0734329223633,511.0734329223633,97.69176864624023,0.0
63,607.9579925537109,504.51035141944885,560.584545135498,574.5236349105835,608.9456176757812,628.3620071411133,511.0019302368164,599.2721629142761,498.98569107055664,753.9497709274292,103.98,127.62,155.14,102.17,608.0447731018066,510.9930725097656,510.9930725097656,97.05170059204102,0.0
64,607.3531723022461,504.3937397003174,560.5582237243652,575.2809834480286,608.8708877563477,628.4767842292786,510.9316635131836,599.3111085891724,498.9930152893066,753.5561299324036,104.32,129.29,154.71,102.19,607.3815536499023,510.8829460144043,510.8829460144043,96.49860763549805,0.0
65,606.6987991333008,504.4246065616608,560.4714202880859,576.1704254150391,608.8445663452148,628.6146068572998,510.8232879638672,599.4015526771545,499.0480613708496,752.9583621025085,104.52,131.13,154.01,102.28,606.7690658569336,510.73514556884766,510.73514556884766,96.03392028808594,0.0
66,606.145133972168,504.5529985427856,560.3024482727051,576.8986129760742,608.7287521362305,628.6781430244446,510.5797004699707,599.5652532577515,499.2146873474121,752.0845627784729,104.56,131.83,152.94,102.38,606.2773704528809,510.5917510986328,510.5917510986328,95.68561935424805,0.0
67,605.6902313232422,504.4895267486572,560.0152015686035,577.056713104248,608.635196685791,628.6838722229004,510.3391456604004,599.6430802345276,499.35619354248047,751.2612962722778,104.53,131.53,152.02,102.5,605.8069610595703,510.4274139404297,510.4274139404297,95.37954711914062,0.0
68,605.4995155334473,504.3656086921692,559.654483795166,577.0325088500977,608.5039901733398,628.6755681037903,510.2849578857422,599.7920393943787,499.4361305236816,750.8003854751587,104.34,131.25,151.4,102.38,605.3293190002441,510.2527770996094,510.2527770996094,95.07654190063477,0.0
69,605.0011253356934,504.3652546405792,559.3768501281738,577.0173811912537,608.2399749755859,628.6768555641174,510.109977722168,599.9954581260681,499.5861625671387,750.2094411849976,104.47,131.24,150.58,102.24,604.8794631958008,510.08841705322266,510.08841705322266,94.79104614257812,0.0
70,604.3105888366699,504.3654155731201,559.0472030639648,576.9923400878906,607.9214286804199,628.672993183136,509.9501037597656,600.3847861289978,499.5874214172363,750.2651238441467,104.67,131.61,150.24,101.97,604.3926200866699,509.8696632385254,509.8696632385254,94.52295684814453,0.0
71,603.8958549499512,504.3545687198639,558.7598419189453,576.9112944602966,607.8388595581055,628.6319875717163,509.7579002380371,600.5298185348511,499.5762634277344,750.386917591095,104.62,131.44,150.2,102.03,603.7897338867188,509.54533767700195,509.54533767700195,94.2443962097168,0.0
