Frame,Left_Shoulder_X,Left_Shoulder_Y,Right_Shoulder_X,Right_Shoulder_Y,Right_Knee_X,Right_Knee_Y,Right_Foot_Index_X,Right_Foot_Index_Y,Hip_X,Hip_Y,Ankle_X,Ankle_Y,Wrist_X,Wrist_Y,Elbow_X,Elbow_Y
0,1124.5,406.48,1157.59,407.58,1141.9,577.97,1128.59,661.35,1147.48,521.53,1087.14,642.31,1141.1,448.5,1157.9,442.87
1,1113.37,403.4,1157.09,404.77,1137.94,565.11,1135.08,647.8,1145.71,504.8,1080.16,637.25,1141.63,471.96,1152.35,451.76
2,1110.76,407.94,1157.11,408.4,1140.76,570.3,1132.66,647.23,1147.22,506.26,1082.16,636.38,1130.0,479.26,1146.17,453.67
3,1110.25,410.2,1156.91,410.87,1141.0,573.97,1132.15,650.39,1145.36,508.1,1080.76,636.83,1135.75,478.78,1146.4,452.69
4,1114.14,410.83,1156.63,408.18,1136.67,571.9,1129.18,648.14,1139.83,508.12,1080.47,635.22,1128.02,477.33,1144.68,453.67
5,1114.54,410.68,1155.59,406.93,1136.43,570.72,1127.68,648.34,1139.1,506.82,1080.47,635.04,1126.25,478.81,1143.04,452.95
6,1114.18,410.46,1153.11,408.3,1135.2,569.11,1124.7,646.77,1137.9,506.77,1080.87,633.42,1123.14,479.49,1141.18,455.39
7,1116.46,410.33,1152.43,407.75,1132.91,568.82,1122.72,645.91,1136.96,506.22,1079.96,633.62,1120.16,480.25,1138.6,455.76
8,1115.98,410.56,1152.33,408.39,1131.18,568.86,1117.07,646.44,1136.2,506.3,1079.42,634.7,1120.81,481.8,1138.03,456.65
9,1112.52,410.83,1152.62,408.43,1134.38,570.38,1126.22,648.63,1138.34,506.43,1079.38,635.79,1127.4,478.69,1138.2,456.27
10,1110.35,410.88,1153.38,408.55,1135.69,570.65,1128.43,649.37,1140.19,506.8,1079.54,635.31,1130.22,478.99,1138.78,454.24
11,1110.55,410.59,1153.4,408.77,1136.4,570.01,1130.39,648.72,1140.73,505.35,1079.4,635.84,1131.61,479.09,1139.98,453.17
12,1111.1,410.64,1153.54,409.34,1137.08,570.4,1131.21,648.48,1141.12,505.53,1079.65,635.86,1128.8,478.08,1140.69,453.86
13,1111.2,410.69,1153.59,410.69,1137.42,569.79,1132.06,647.38,1141.19,505.33,1079.65,636.42,1129.05,478.11,1142.0,454.84
14,1110.85,410.6,1154.04,411.06,1137.61,569.79,1131.69,647.51,1141.62,505.08,1079.94,636.21,1129.47,478.5,1142.07,453.92
15,1110.42,410.55,1154.29,411.33,1137.77,569.71,1131.8,647.31,1142.25,504.78,1080.24,636.04,1129.81,478.42,1142.25,453.35
16,1110.77,410.58,1154.42,411.62,1138.06,569.36,1131.34,647.67,1143.17,504.14,1080.28,635.96,1129.84,478.34,1142.46,453.28
17,1110.08,410.61,1155.53,411.94,1138.39,569.44,1131.24,647.7,1144.12,504.39,1080.6,635.95,1129.93,477.06,1142.83,453.15
18,1110.02,410.62,1156.09,412.08,1138.91,569.24,1131.18,647.84,1144.8,504.33,1080.79,635.9,1130.11,477.2,1143.31,453.24
19,1110.17,410.62,1156.23,412.38,1139.46,569.12,1130.74,648.16,1145.39,504.47,1080.77,636.08,1130.25,477.39,1143.47,453.66
20,1110.35,410.8,1156.32,413.06,1139.8,569.21,1130.15,648.33,1145.66,504.61,1080.7,636.17,1129.71,477.51,1143.63,454.02
21,1110.56,410.81,1156.51,413.25,1139.91,569.17,1130.1,648.47,1145.84,504.71,1080.77,636.12,1128.82,477.62,1145.6,459.48
22,1110.67,410.77,1156.69,413.27,1140.02,568.99,1130.09,648.51,1146.32,504.56,1080.84,635.88,1128.73,477.69,1145.47,456.31
23,1110.5,410.77,1157.02,413.68,1140.17,569.08,1130.16,648.62,1146.79,504.6,1080.88,635.76,1128.82,477.45,1145.38,456.21
24,1110.42,411.13,1157.7,413.75,1140.75,569.12,1130.87,648.7,1147.15,504.69,1080.91,635.82,1128.92,477.01,1145.29,455.07
25,1110.22,411.48,1158.35,414.23,1140.97,569.36,1131.07,648.75,1147.14,505.0,1080.95,635.84,1129.0,477.05,1145.31,455.32
26,1110.19,411.81,1158.45,414.37,1140.97,569.4,1131.19,648.8,1147.19,505.1,1080.95,635.88,1129.04,477.1,1145.31,455.63
27,1110.14,412.53,1158.48,414.43,1141.04,569.44,1131.21,649.06,1147.25,505.14,1080.95,635.91,1129.25,476.71,1145.0,455.52
28,1110.16,413.17,1158.46,414.43,1141.04,569.83,1131.28,649.49,1147.31,505.59,1080.94,635.95,1129.33,476.39,1144.9,455.49
29,1110.18,413.63,1158.45,415.03,1140.96,571.14,1130.85,649.8,1147.3,506.44,1080.73,636.34,1129.81,479.42,1147.74,460.63
30,1110.22,413.71,1158.32,415.51,1140.48,572.13,1130.61,650.17,1147.25,506.98,1080.56,636.54,1130.17,481.07,1148.74,462.85
31,1110.23,413.67,1158.14,415.78,1140.19,572.23,1130.61,650.54,1146.96,506.97,1080.49,636.61,1130.49,481.06,1147.63,461.91
