Frame,Shoulder_X,Shoulder_Y,Elbow_X,Elbow_Y,Wrist_X,Wrist_Y,Hip_X,Hip_Y,Ankle_X,Ankle_Y,Elbow_Angle,Trunk_Lean_Angle,Stride_Length,Wrist_Hip_Distance,Mid_Sternum_X,Knee_X,Foot_X,Sternum_to_Knee_Dist,Toe_to_Knee_Dist
0,1157.5933456420898,407.5816798210144,1157.9019927978516,442.8745722770691,1141.102638244629,448.5024154186249,1147.4822616577148,521.5310597419739,1087.1379089355469,642.3095154762268,108.02,86.83,135.01,73.31,692.8218841552734,691.2844619750977,649.8917541503906,1.5374221801757812,41.39270782470703
1,1157.0922088623047,404.7682893276215,1152.3496627807615,451.7553126811981,1141.633415222168,471.95653080940247,1145.705909729004,504.7964251041413,1080.1635360717771,637.2459983825684,157.82,85.3,147.78,33.09,923.1535491943359,920.564826965332,866.0444641113281,2.5887222290039062,54.520362854003906
2,1157.1109771728516,408.4016954898834,1146.170654296875,453.67127895355225,1130.0018692016602,479.2620956897736,1147.2236251831057,506.2609434127808,1082.157325744629,636.3834643363953,161.3,84.8,145.48,32.02,1153.2845077514648,1149.5012283325195,1082.1382141113281,3.7832794189453125,67.3630142211914
3,1156.9148254394531,410.8681797981262,1146.401824951172,452.6937103271485,1135.7493209838867,478.7810683250427,1145.3625869750977,508.09515595436096,1080.7635498046875,636.8267369270325,171.9,84.04,144.03,30.85,1151.5983352661133,1146.5295181274414,1080.8050918579102,5.068817138671875,65.72442626953125
4,1156.6275787353516,408.1760036945343,1144.6820068359375,453.66629004478455,1128.0241012573242,477.3250472545624,1139.8266220092771,508.1183302402496,1080.46875,635.2152228355408,159.56,76.88,140.27,32.98,1150.0831260681152,1144.2961349487305,1080.9463577270508,5.786991119384766,63.34977722167969
5,1155.5901718139648,406.9297742843628,1143.043441772461,452.9532301425934,1126.2483215332031,478.8054013252258,1139.1014099121094,506.8152916431427,1080.472297668457,635.0433468818665,162.24,75.4,141.0,30.82,1148.8574752807617,1142.7818298339844,1080.5065383911133,6.075645446777344,62.275291442871094
6,1153.107032775879,408.302561044693,1141.182746887207,455.392130613327,1123.1414794921875,479.4943857192993,1137.9024124145508,506.76923274993896,1080.8698654174805,633.4235286712646,157.39,78.06,138.9,31.01,1147.5610542297363,1141.1065521240234,1080.2380142211914,6.454502105712891,60.86853790283203
7,1152.4259948730469,407.7533626556397,1138.5991287231443,455.7615995407105,1120.1602935791016,480.25160551071167,1136.9597625732422,506.22193336486816,1079.9582290649414,633.6174201965332,159.09,76.97,139.57,30.93,1146.5122146606445,1139.8111267089844,1080.0200958251953,6.701087951660156,59.79103088378906
8,1152.327003479004,408.3891105651856,1138.0254364013672,456.6504621505737,1120.8094024658203,481.8024158477783,1136.198844909668,506.300436258316,1079.420928955078,634.6995306015015,162.12,77.24,140.39,28.93,1145.8654518127441,1138.9594345092773,1079.8344039916992,6.906017303466797,59.125030517578125
9,1152.616310119629,408.4326910972595,1138.2048797607422,456.2714338302612,1127.4006271362305,478.6858928203583,1138.3418655395508,506.4302444458008,1079.3791580200195,635.7932281494141,171.03,78.29,142.17,29.82,1145.7746772766113,1138.7189483642578,1079.5401763916016,7.055728912353516,59.17877197265625
10,1153.381004333496,408.54772567749023,1138.7849807739258,454.2363452911377,1130.222053527832,478.9932096004486,1140.1883697509766,506.8049597740173,1079.5438385009766,635.3117179870605,178.64,79.25,142.1,29.54,1146.0953979492188,1139.1371612548828,1079.4792022705078,6.9582366943359375,59.657958984375
11,1153.4017181396484,408.7703275680542,1139.9803161621094,453.1740617752075,1131.6123962402344,479.0884816646576,1140.732536315918,505.35215735435486,1079.3987274169922,635.835907459259,178.92,80.1,144.18,27.8,1146.6198234558105,1139.9330291748047,1079.5250930786133,6.686794281005859,60.407936096191406
12,1153.542137145996,409.34218525886536,1140.6901931762695,453.857638835907,1128.8041305541992,478.0804324150085,1141.1198043823242,505.5295693874359,1079.6533584594729,635.8559274673462,169.97,80.9,144.09,30.09,1147.1481170654297,1140.705825805664,1079.6366729736328,6.442291259765625,61.06915283203125
13,1153.5919189453125,410.6917977333069,1142.0047760009766,454.8436725139618,1129.0492630004885,478.1147432327271,1141.1897277832031,505.32631158828735,1079.6503829956057,636.4209294319153,165.6,82.54,144.82,29.8,1147.5850982666016,1141.3979415893555,1079.7759246826172,6.187156677246094,61.62201690673828
