Frame,Left_Shoulder_X,Left_Shoulder_Y,Right_Shoulder_X,Right_Shoulder_Y,Right_Knee_X,Right_Knee_Y,Right_Foot_Index_X,Right_Foot_Index_Y,Hip_X,Hip_Y,Ankle_X,Ankle_Y,Elbow_X,Elbow_Y,Wrist_X,Wrist_Y
1,566.4697265625,363.3014130592346,500.25157928466797,335.1171040534973,496.5755081176758,664.5157599449158,567.5103950500488,860.2668285369873,445.69896697998047,525.6478428840637,361.0058784484863,766.6728401184082,397.8296756744385,397.3725700378418,439.3571376800537,494.75178837776184
2,565.3007698059082,363.3116805553436,496.1260986328125,335.2328145503998,496.3212776184082,667.94677734375,564.6853065490723,859.8605704307556,447.31913566589355,528.6455011367798,360.22433280944824,767.1814513206482,393.12509536743164,395.194251537323,438.35500717163086,494.7743833065033
3,564.9251174926758,362.5689446926117,494.3011665344238,335.7037675380707,495.8821105957031,672.962658405304,564.4940757751465,859.8057889938354,450.67840576171875,530.6999659538269,359.34064865112305,767.7474188804626,389.5865535736084,394.0857803821564,438.1581687927246,495.13142824172974
4,564.631404876709,362.5843298435211,493.5112953186035,336.0054838657379,495.52133560180664,677.5046896934509,562.9003143310547,859.8426103591919,452.9934883117676,532.4525856971741,358.9877986907959,767.719030380249,388.5827922821045,393.3664119243622,437.9439353942871,495.79434156417847
5,565.1506233215332,363.64712834358215,492.69012451171875,336.22889041900635,495.30996322631836,677.9670810699463,563.001766204834,860.1299715042114,453.9580821990967,533.6327040195465,359.0010452270508,768.1764650344849,387.5390625,393.2918679714203,438.0355453491211,496.6680443286896
6,566.6301155090332,364.1021490097046,492.50261306762695,336.4344656467438,495.1420783996582,678.9832735061646,562.9883766174316,861.4326882362366,454.4997310638428,534.8565638065338,359.0203857421875,769.1084575653076,386.6854763031006,393.34893465042114,438.2680034637451,497.4636948108673
7,567.1789169311523,364.11866068840027,492.4618148803711,336.4978086948395,495.15913009643555,679.6786952018738,562.9735565185547,862.32914686203,454.7178554534912,537.1040189266205,358.93458366394043,771.2900590896606,385.3370475769043,393.39515447616577,438.4871578216553,498.33038091659546
8,567.8002738952637,364.49466347694397,492.5193214416504,336.575345993042,495.09498596191406,679.4240999221802,564.0194320678711,862.3509049415588,454.59099769592285,536.7185533046722,358.9241409301758,771.220600605011,383.95520210266113,393.4069347381592,438.11187744140625,498.30804347991943
9,567.9091644287109,364.53644156455994,492.5431823730469,336.83985471725464,495.0750160217285,679.7631525993347,564.0414619445801,862.9406905174255,454.64953422546387,537.5090861320496,358.82420539855957,771.2287759780884,383.3861446380615,393.582866191864,437.9963779449463,498.41699481010437
10,568.7065315246582,364.5727801322937,492.582950592041,336.9082188606262,495.0936698913574,679.4692254066467,563.8324356079102,863.7101411819458,454.82128143310547,537.6911008358002,358.93275260925293,770.6516718864441,383.4419631958008,393.6601459980011,437.7424621582031,498.42900037765503
11,569.0199851989746,364.5207345485687,492.63742446899414,337.03062415122986,495.0189399719238,679.2865991592407,563.6592292785645,863.7602233886719,454.7138786315918,537.535285949707,359.104585647583,770.4142642021179,383.47686767578125,393.69561553001404,436.8507957458496,498.2465672492981
12,569.1699600219727,364.49031829833984,492.7097511291504,337.09065198898315,495.00377655029297,679.3265748023987,563.5570907592773,864.0234446525574,454.6333408355713,537.3937296867371,359.2543315887451,770.4136204719543,383.7015151977539,393.8878333568573,436.847562789917,498.23800563812256
13,569.1977691650391,364.49092984199524,493.47009658813477,337.2158896923065,494.7187042236328,680.1517081260681,563.5563468933105,864.4308614730835,454.7544765472412,537.5454246997833,359.381160736084,770.4013252258301,383.82079124450684,394.1427505016327,437.06597328186035,498.37605357170105
14,569.424877166748,364.4892883300781,494.3510627746582,337.3447644710541,494.65192794799805,680.013370513916,563.5431289672852,864.6360182762146,454.74803924560547,537.6795780658722,359.7358989715576,770.2840375900269,383.9011859893799,394.35176968574524,437.3423480987549,498.64468216896057
15,570.4565048217773,364.46704745292664,494.56140518188477,338.22728633880615,494.2488670349121,681.418182849884,563.6673545837402,864.9599432945251,454.8866844177246,538.0255830287933,360.0614547729492,770.0653624534607,383.9607524871826,394.91232991218567,437.50865936279297,498.9299511909485
16,570.4977607727051,364.49607968330383,494.7624206542969,338.9597547054291,494.37829971313477,681.3241338729858,563.6629486083984,865.2104187011719,455.0160598754883,538.3813405036926,360.5133247375488,769.6647691726685,384.39425468444824,395.3152406215668,437.5755214691162,499.0265429019928
17,570.7555389404297,364.62575912475586,494.9751091003418,339.38674092292786,494.8813247680664,681.2356209754944,563.6176300048828,865.2539992332458,455.38599014282227,539.132798910141,360.9824466705322,769.3859052658081,385.1481056213379,395.85063099861145,438.1903266906738,499.66177582740784
18,572.1264839172363,364.5189964771271,495.35207748413086,339.61838722229004,494.8904228210449,682.0565700531006,563.5421562194824,865.2532267570496,456.2212657928467,539.3119490146637,361.4572334289551,768.4054398536682,386.06122970581055,396.0316479206085,438.8887023925781,500.49312114715576
19,573.4292221069336,364.5180308818817,496.146297454834,339.6325492858887,495.15621185302734,682.227029800415,563.5390090942383,865.2935242652893,456.60813331604004,539.2684328556061,361.9300174713135,767.952253818512,387.67181396484375,396.2010455131531,439.7046375274658,501.0453128814697
20,573.991870880127,364.79750633239746,497.2291946411133,339.62244272232056,495.33496856689453,682.343738079071,563.5566329956055,865.2904343605042,457.1803092956543,539.147025346756,362.2090530395508,766.9969582557678,389.75006103515625,396.4224886894226,440.49631118774414,501.6412138938904
21,574.2868995666504,364.894323348999,497.95841217041016,339.621444940567,495.9326934814453,682.8256988525391,563.5844993591309,865.2630114555359,457.7706527709961,539.140008687973,362.5294876098633,766.6114926338196,390.92960357666016,396.6267764568329,440.89653968811035,501.97975158691406
22,574.5255088806152,364.9788451194763,498.73729705810547,339.6471297740936,496.15522384643555,683.0799722671509,563.6556816101074,865.25799036026,458.4100914001465,539.1824948787689,362.87532806396484,766.3504600524902,392.3458957672119,397.1589159965515,441.39281272888184,502.4807024002075
23,575.0150871276855,365.0159239768982,499.2271041870117,339.75350618362427,496.340274810791,683.2705163955688,563.7100982666016,865.1918148994446,458.8539505004883,539.166305065155,363.0842399597168,766.3582491874695,393.26528549194336,397.37794518470764,441.8818759918213,502.8310203552246
24,575.2556419372559,365.0438940525055,499.5149803161621,339.8162376880646,496.43720626831055,683.3892846107483,563.9439010620117,865.1240301132202,458.8252258300781,539.1541707515717,363.18477630615234,766.5489220619202,394.2146873474121,397.7779269218445,442.5037479400635,503.598153591156
25,575.2923202514648,365.0263524055481,499.64481353759766,340.1161515712738,496.7442512512207,683.3687496185303,564.0987968444824,865.0883030891418,458.92627716064453,539.143613576889,363.31990242004395,766.5276145935059,394.8426818847656,398.6341202259064,443.126220703125,504.24700140953064
26,575.6035995483398,365.0039827823639,499.6260452270508,340.4536271095276,497.06640243530273,683.4569406509399,564.5426559448242,865.0829601287842,458.96544456481934,539.1321873664856,363.48278045654297,766.5542650222778,395.0541687011719,399.2755973339081,443.40803146362305,504.3831181526184
27,575.7254791259766,364.96368527412415,499.6270179748535,340.65006136894226,497.1263122558594,683.4973669052124,564.9108695983887,864.9405670166016,460.12584686279297,539.2429089546204,363.7939739227295,766.6404604911804,396.10779762268066,400.32912611961365,443.55010986328125,504.4132125377655
28,576.8950080871582,364.7630989551544,499.65688705444336,340.8610439300537,497.1097755432129,683.6937046051025,565.1693344116211,864.8582983016968,460.27936935424805,539.2333495616913,364.0507221221924,766.6452240943909,397.0769691467285,401.78913831710815,443.8876533508301,504.6783971786499
29,576.9998931884766,364.88762855529785,499.6346855163574,340.91054677963257,497.12562561035156,683.395528793335,565.5929374694824,864.7354102134705,460.3088665008545,539.022753238678,364.25562858581543,766.9025230407715,398.0211925506592,402.6709842681885,443.8876533508301,504.6630120277405
30,577.4379730224609,364.8968017101288,499.8732376098633,340.87446570396423,497.37585067749023,682.7342891693115,565.9341430664062,864.6868085861206,460.2913284301758,538.3345413208008,364.41224098205566,767.2755646705627,398.970308303833,403.15603494644165,444.0958499908447,504.82223868370056
31,577.4081611633301,364.892520904541,500.10915756225586,340.87050676345825,498.46961975097656,682.4968814849854,566.2445068359375,864.6095609664917,460.5640983581543,538.0614709854126,365.139684677124,767.1474623680115,399.7006416320801,403.75473618507385,444.378604888916,505.0609016418457
32,577.3877906799316,364.9377107620239,500.48120498657227,340.792293548584,498.9630317687988,682.4634075164795,566.3716506958008,864.6022868156433,460.9519672393799,537.8490078449249,365.6539249420166,767.10613489151,400.54882049560547,404.10202860832214,444.84423637390137,505.3947401046753
33,577.8235244750977,365.0860261917114,500.5257225036621,340.7785177230835,499.8644256591797,681.7437171936035,566.546516418457,864.583683013916,461.2203025817871,537.439466714859,366.155948638916,766.8242454528809,401.3038158416748,404.55933451652527,445.2996826171875,505.62960505485535
34,578.2604598999023,365.0869596004486,500.55198669433594,340.8093845844269,500.0726509094238,681.681854724884,566.6754341125488,864.5397806167603,461.29260063171387,537.4094367027283,366.3460636138916,766.8059635162354,401.3824939727783,404.95638728141785,445.68142890930176,505.775603055954
35,578.7710952758789,365.1362693309784,500.60571670532227,340.8774268627167,500.21862030029297,681.5021252632141,566.7434120178223,864.5129370689392,461.34653091430664,537.3787307739258,366.3977909088135,766.433436870575,401.66690826416016,405.31632900238037,446.315975189209,505.88043451309204
36,579.0553092956543,365.0596010684967,500.71741104125977,340.9632682800293,500.365047454834,681.4879631996155,566.8266677856445,864.371509552002,461.7286777496338,537.3244643211365,366.672306060791,765.5999994277954,402.05512046813965,405.60076117515564,446.68049812316895,506.0360562801361
37,579.5672035217285,364.8671579360962,500.77320098876953,341.3409447669983,500.4170036315918,681.5136480331421,566.8708419799805,864.182767868042,462.3933506011963,537.3631525039673,366.8294620513916,765.5660104751587,402.32316970825195,406.1112070083618,446.804723739624,506.27413988113403
38,579.5688056945801,364.7389590740204,501.14410400390625,341.5479040145874,500.7653045654297,681.8360924720764,567.4343490600586,864.1747856140137,463.7948513031006,537.7235770225525,367.0044994354248,765.6594157218933,402.58790016174316,406.46043062210083,447.0197010040283,506.80537819862366
39,579.5495796203613,364.2904722690582,501.29430770874023,342.1990692615509,501.22867584228516,681.9609761238098,567.8627586364746,864.0978598594666,464.9479866027832,538.6233508586884,367.1242046356201,765.7082748413086,403.09882164001465,407.0632517337799,447.5911045074463,507.27362751960754
40,579.5516395568848,363.8617479801178,501.5064811706543,342.7549946308136,501.2739372253418,683.1930756568909,567.8794097900391,864.0782904624939,466.4304542541504,539.4744908809662,367.19264030456543,765.8081817626953,403.71737480163574,407.631858587265,448.11713218688965,507.87232875823975
41,579.4125366210938,363.70506405830383,501.9537162780762,343.00736904144287,501.4540100097656,683.894612789154,567.89794921875,864.109833240509,466.77083015441895,540.1156783103943,367.3732852935791,765.8512473106384,404.4020748138428,408.1405985355377,448.95426750183105,508.6346662044525
42,579.1409683227539,363.4903156757355,502.91439056396484,343.1941795349121,501.5287399291992,684.2646932601929,567.9634666442871,864.1178154945374,467.8926086425781,540.5644226074219,367.79906272888184,765.8032250404358,405.52645683288574,408.5524892807007,449.48384284973145,509.12206649780273
43,579.133472442627,363.2881200313568,503.4312057495117,343.44401121139526,501.5287399291992,684.5526337623596,568.0890083312988,864.230146408081,469.50490951538086,540.6405115127563,368.22781562805176,765.765438079834,406.52029037475586,408.9930260181427,449.6956443786621,509.50634121894836
44,579.1215705871582,363.00491094589233,504.22725677490234,343.72525691986084,501.5792655944824,685.4989814758301,569.3122100830078,864.3323063850403,471.0128116607666,540.7802653312683,368.44639778137207,765.809018611908,407.52001762390137,409.3504250049591,449.8266792297363,509.8035192489624
