Frame,Left_Shoulder_X,Left_Shoulder_Y,Right_Shoulder_X,Right_Shoulder_Y,Right_Knee_X,Right_Knee_Y,Right_Foot_Index_X,Right_Foot_Index_Y,Hip_X,Hip_Y,Ankle_X,Ankle_Y,Elbow_X,Elbow_Y,Wrist_X,Wrist_Y
1,574.0827369689941,421.06196880340576,523.7822341918945,416.59274339675903,594.4934463500977,716.5484690666199,711.4038848876953,883.6058449745178,522.2231483459473,592.2780990600586,444.28253173828125,846.9183111190796,466.84736251831055,505.25344133377075,554.648323059082,531.595813035965
2,570.8706665039062,421.0650587081909,523.736686706543,416.24741435050964,599.0673065185547,717.476019859314,712.0477867126465,882.7064895629883,525.8143043518066,592.9296183586121,445.4787540435791,844.9496555328369,467.08133697509766,505.09154319763184,555.2294540405273,529.8363053798676
3,572.3934745788574,419.1423010826111,526.3048553466797,414.1990649700165,603.1633186340332,717.9348707199097,712.935848236084,882.5290775299072,531.3759613037109,592.4427652359009,447.15954780578613,842.7153325080872,469.2392349243164,504.1480278968811,559.0328407287598,529.9601912498474
4,574.4159317016602,413.1619191169739,530.4220390319824,411.1546719074249,604.4902610778809,715.9205102920532,713.829402923584,881.4569449424744,535.9690475463867,591.1481595039368,448.64187240600586,839.9844360351562,473.49409103393555,501.0916292667389,563.9807510375977,530.2775180339813
5,577.3575210571289,408.81361842155457,534.0878105163574,406.357079744339,605.7802963256836,715.6930160522461,714.3509674072266,880.7673168182373,540.640697479248,590.4770708084106,450.83178520202637,838.2235765457153,479.15900230407715,499.5282018184662,571.8411827087402,532.4530684947968
6,578.9345741271973,406.52480363845825,536.6389274597168,402.7158200740814,607.3686790466309,713.5696721076965,714.8459815979004,880.4827237129211,543.4332275390625,589.5389628410339,453.78467559814453,836.426796913147,481.5545082092285,496.49227380752563,575.7004737854004,532.2368717193604
7,584.0009880065918,405.4577887058258,539.2469215393066,400.14736890792847,608.8997840881348,711.1044430732727,715.5808639526367,878.7349319458008,545.2545547485352,588.3404016494751,457.87779808044434,832.8585362434387,485.7007598876953,494.84838008880615,583.7507057189941,532.452392578125
8,585.9128379821777,405.2052855491638,540.1481437683105,398.57669949531555,608.9634132385254,710.2373385429382,717.1929931640625,878.3960723876953,544.1671371459961,587.5650930404663,460.0370979309082,830.543167591095,488.86425018310547,494.0433955192566,590.0174331665039,532.4564802646637
9,587.4485206604004,404.8920464515686,540.732250213623,397.00992465019226,608.6335945129395,708.7764573097229,717.8922843933105,877.9405689239502,543.7516593933105,586.1027312278748,461.5403652191162,828.6403656005859,492.92118072509766,494.2376410961151,596.4975929260254,534.121584892273
10,590.2395057678223,405.1084041595459,541.6162490844727,397.37594962120056,608.419132232666,707.4985885620117,719.5754241943359,878.0129241943359,544.3416595458984,584.8314929008484,462.94200897216797,827.5715160369873,495.2612113952637,494.0855276584625,597.8473663330078,533.9603304862976
11,591.5460777282715,405.10302901268005,542.5222206115723,396.90335512161255,608.1418418884277,705.8655095100403,719.8555755615234,878.0408620834351,544.1333198547363,583.2624006271362,464.23593521118164,826.4796209335327,495.560245513916,493.7565493583679,595.9697341918945,532.1987950801849
12,591.9376945495605,404.62148666381836,543.9162254333496,396.5922725200653,607.9444313049316,705.6674981117249,717.9385757446289,878.0730485916138,545.610237121582,583.0201649665833,465.53887367248535,825.6738638877869,496.51113510131836,493.0683696269989,596.4815711975098,530.7953023910522
13,592.5454330444336,404.7406733036041,545.6960105895996,396.507203578949,606.4920043945312,703.6605405807495,716.7487907409668,878.2857370376587,547.2385025024414,582.5989723205566,467.47944831848145,822.2366666793823,498.68396759033203,492.8934359550476,600.9818458557129,530.8107841014862
14,591.9748878479004,404.58479404449463,547.9888916015625,396.3231289386749,605.8685302734375,703.8608694076538,716.5334701538086,878.6468696594238,549.0151405334473,582.5013184547424,469.73170280456543,821.0491132736206,501.2247848510742,493.01915645599365,604.7475814819336,531.3073253631592
15,591.5945434570312,404.16292548179626,550.0576972961426,396.24871373176575,602.9790115356445,704.1961240768433,714.8390007019043,878.552885055542,550.0241661071777,582.2140860557556,472.5352191925049,819.7678971290588,503.598575592041,493.1321310997009,608.7039184570312,533.6122977733612
16,591.4154434204102,404.196013212204,552.6115036010742,396.04188323020935,602.8114700317383,703.993992805481,714.7469329833984,878.5447096824646,551.6504287719727,581.543447971344,475.3531265258789,818.186445236206,506.41565322875977,493.1624186038971,612.2510719299316,534.9840223789215
17,590.3276252746582,403.7305963039398,555.0428581237793,396.1981165409088,602.7892684936523,703.9950227737427,713.3969306945801,878.0917167663574,551.8421173095703,580.8715224266052,479.0185546875,816.3635301589966,507.35950469970703,493.7739622592926,612.9183197021484,534.9104762077332
18,587.6144027709961,402.00156927108765,557.5582695007324,396.2640345096588,602.8106117248535,706.3079452514648,712.9478645324707,878.1067156791687,553.7349128723145,580.8904480934143,483.63304138183594,814.5930790901184,508.46168518066406,494.55928087234497,611.125373840332,534.2784297466278
19,585.5475997924805,400.81475615501404,560.636100769043,396.2850844860077,602.8131294250488,710.1651120185852,711.7369651794434,877.7082467079163,557.2666168212891,580.9567523002625,487.8339958190918,812.6080083847046,510.80543518066406,494.8521137237549,611.0781097412109,533.1231594085693
20,585.1048851013184,400.79219341278076,562.5088691711426,396.15241169929504,602.9019355773926,712.5448536872864,710.6040573120117,877.6423931121826,561.3481521606445,581.0157823562622,491.69483184814453,811.4359045028687,514.559383392334,494.86003160476685,613.0244064331055,532.0153963565826
21,583.8257789611816,400.3464424610138,565.1450157165527,395.8602225780487,603.4969711303711,713.8651442527771,710.0145721435547,877.6543664932251,567.0219612121582,580.9505724906921,495.1240539550781,810.8714818954468,518.1630706787109,494.87892508506775,617.4509811401367,532.5058543682098
22,583.8804244995117,400.36993861198425,566.6648483276367,395.16048789024353,604.1142082214355,713.969235420227,709.3447494506836,877.5301265716553,568.6428451538086,580.6206607818604,499.0880584716797,808.5776138305664,520.8223342895508,494.85153436660767,620.9485244750977,533.0965089797974
23,592.2255706787109,399.13278579711914,568.1191635131836,394.39602613449097,605.0323677062988,714.4463682174683,709.2017555236816,877.0173954963684,571.1120223999023,580.3484916687012,502.4447250366211,807.4815988540649,522.0325469970703,494.62326765060425,621.9889068603516,533.0813491344452
