Frame,Left_Shoulder_X,Left_Shoulder_Y,Right_Shoulder_X,Right_Shoulder_Y,Right_Knee_X,Right_Knee_Y,Right_Foot_Index_X,Right_Foot_Index_Y,Hip_X,Hip_Y,Ankle_X,Ankle_Y,Elbow_X,Elbow_Y,Wrist_X,Wrist_Y
1,587.9564666748047,298.61454606056213,535.1584053039551,299.6751880645752,559.1607856750488,618.9615511894226,587.9778099060059,771.037073135376,543.0254173278809,487.1842896938324,534.4289016723633,735.0807523727417,469.7043514251709,380.48887968063354,559.1541481018066,423.69566202163696
2,588.3607292175293,296.4591443538666,535.1541137695312,298.851535320282,564.6521186828613,618.2876944541931,587.980842590332,771.6992783546448,541.5398025512695,480.12965083122253,537.1753692626953,732.275698184967,471.1977195739746,380.14628648757935,559.7403717041016,423.8753271102905
3,588.6502647399902,294.3526339530945,534.8738479614258,298.812460899353,569.5244407653809,617.582037448883,589.0200805664062,771.4444255828857,541.0177803039551,476.86304211616516,537.5174331665039,727.5793647766113,472.8875255584717,379.9195647239685,560.1810264587402,423.8584613800049
4,588.7879371643066,293.44452381134033,534.8715591430664,298.299343585968,571.3698577880859,617.1027159690857,589.2450714111328,771.2298703193665,540.6686210632324,475.7307529449463,538.9931488037109,725.7456994056702,474.5939826965332,379.65145111083984,561.3725852966309,423.55188488960266
5,590.7035064697266,291.0981595516205,537.4753189086914,293.25462341308594,577.1163940429688,614.2138481140137,589.9133491516113,769.1118693351746,541.3607025146484,472.2466278076172,541.1026382446289,724.1889667510986,477.5796604156494,376.82479977607727,564.2398452758789,421.9390833377838
6,592.6435661315918,286.28199577331543,539.8016166687012,289.032461643219,580.9299087524414,613.5628437995911,590.826301574707,767.5071787834167,543.1339645385742,470.4346561431885,543.2888603210449,719.6807312965393,479.33698654174805,373.5132908821106,565.1610374450684,419.2156219482422
7,594.1374778747559,283.7102937698364,541.493968963623,286.042560338974,584.2040634155273,612.8168249130249,591.4998435974121,765.1220297813416,546.1981201171875,469.1105353832245,545.335750579834,717.4279975891113,480.74254989624023,371.3331377506256,566.9395637512207,417.4106025695801
8,596.052131652832,283.47230672836304,542.3098182678223,285.9039330482483,586.2700653076172,612.1806263923645,592.3952293395996,763.9468359947205,547.6667404174805,468.8875150680542,545.6247711181641,717.1184921264648,482.19274520874023,371.5699017047882,568.4554481506348,416.9588005542755
9,596.8497276306152,282.7383255958557,543.5493278503418,285.88829040527344,590.0030136108398,606.9698238372803,592.7399826049805,761.0506939888,548.2459259033203,467.0134234428406,546.441707611084,716.7236924171448,483.2845687866211,371.3818037509918,569.8302841186523,416.2197017669678
10,597.2066688537598,281.79336190223694,544.3094444274902,286.56633138656616,590.5512428283691,606.1587882041931,592.6888275146484,761.3601994514465,549.0388298034668,467.2883927822113,546.2261581420898,717.4454426765442,484.09961700439453,371.61383628845215,573.5247230529785,416.42595291137695
11,596.7746543884277,282.21967220306396,543.9792251586914,287.98884630203247,591.053466796875,603.5642337799072,591.7559051513672,761.7108392715454,548.9766883850098,466.9950771331787,546.049861907959,717.941243648529,484.6850395202637,371.86782002449036,573.119945526123,416.0414528846741
12,595.7530403137207,282.6748859882355,543.4711074829102,289.61368560791016,592.0360565185547,600.9157347679138,590.8881568908691,761.9705200195312,548.3102989196777,467.49847412109375,546.079044342041,718.170154094696,484.42834854125977,372.72781133651733,572.585391998291,414.71102356910706
13,593.7249755859375,282.9519474506378,543.112907409668,290.69495916366577,593.290843963623,599.6078681945801,590.4452705383301,762.1105313301086,546.2320518493652,467.43464827537537,545.9624290466309,718.5207939147949,484.1884231567383,374.64941024780273,571.5833473205566,414.78119015693665
14,592.4753952026367,283.10547709465027,541.9388008117676,291.38246297836304,593.2860374450684,597.4570369720459,590.3274536132812,762.2508001327515,544.024772644043,467.63861417770386,545.8178901672363,718.7851095199585,483.72859954833984,376.3839089870453,569.5000648498535,415.0541317462921
15,590.5985069274902,285.4478180408478,540.9790992736816,294.00646805763245,593.4098625183105,595.2221989631653,591.6196060180664,762.3404717445374,542.189998626709,467.8529119491577,544.3976211547852,718.8022327423096,482.67459869384766,377.6709187030792,563.9935111999512,415.30457496643066
16,587.9171562194824,288.584361076355,538.0500411987305,297.5278651714325,594.3705940246582,595.7093095779419,590.7190704345703,763.0310010910034,539.6686935424805,468.7240397930145,543.9739036560059,722.1274209022522,481.4211845397949,380.0450599193573,559.7249794006348,416.011358499527
17,587.6582908630371,293.6096727848053,535.6213760375977,300.522723197937,593.825626373291,596.3218188285828,588.4103965759277,764.1618418693542,536.9789886474609,469.9787986278534,542.2707939147949,728.1446242332458,479.45677757263184,382.6630461215973,554.99267578125,416.6077423095703
18,586.2103843688965,297.020058631897,534.2662239074707,302.618225812912,593.4258270263672,596.8272757530212,588.134822845459,766.0464906692505,536.5983009338379,471.95308685302734,542.2575759887695,731.2515878677368,477.4928569793701,385.25570154190063,552.798900604248,417.9701328277588
19,583.5963821411133,300.1388990879059,533.2622337341309,303.7556326389313,593.1569480895996,597.4445486068726,586.2777328491211,766.8036460876465,535.6574249267578,473.968026638031,541.5361976623535,734.0811681747437,474.7151184082031,387.12982535362244,550.2619171142578,420.7436442375183
20,579.7871589660645,301.00391149520874,532.3665046691895,304.42800879478455,592.9407119750977,600.2301621437073,584.1253852844238,767.6435852050781,533.4575843811035,477.0500135421753,540.1378440856934,735.1587080955505,471.2188911437988,389.55411314964294,548.3429718017578,423.6313533782959
21,577.8608322143555,302.74693965911865,531.0317802429199,306.82751297950745,593.7787055969238,602.9539132118225,582.982177734375,768.4140014648438,530.8107948303223,479.6087121963501,539.2074966430664,737.3800921440125,468.1227207183838,391.9441866874695,546.6670989990234,427.4840462207794
22,574.8320960998535,305.7294702529907,528.468132019043,310.51273941993713,594.1402816772461,606.9429802894592,581.799488067627,770.9862184524536,529.3276977539062,483.37411522865295,537.8133773803711,741.2695097923279,465.07378578186035,394.48965668678284,545.1132202148438,431.1250162124634
23,571.1581993103027,310.27381896972656,524.3747520446777,315.64874053001404,593.9810943603516,610.8934879302979,579.9612808227539,775.2794480323792,527.3684692382812,488.1728661060333,536.2088584899902,746.1328268051147,461.31053924560547,397.5605070590973,542.9179573059082,435.2485263347626
24,569.729175567627,313.1165313720703,522.2537612915039,317.9127073287964,593.8534927368164,611.3779592514038,579.3718528747559,778.2697033882141,525.1516914367676,490.41645884513855,533.7546730041504,751.7449307441711,458.86505126953125,400.5272340774536,540.1142692565918,437.9698634147644
25,567.5783157348633,317.80282258987427,519.1206550598145,320.14368295669556,594.0587425231934,613.6422157287598,579.4583702087402,782.9574108123779,521.887092590332,492.6152801513672,531.686897277832,756.721351146698,456.14965438842773,403.69715452194214,538.3572578430176,441.7825162410736
26,565.1218414306641,321.7621171474457,516.3804244995117,322.0968568325043,594.3995475769043,617.3152756690979,579.7719383239746,788.6926603317261,519.0827751159668,495.3557360172272,527.2705078125,762.8219175338745,453.9693832397461,406.3893949985504,536.828784942627,444.55615639686584
27,562.203540802002,324.1445302963257,514.9917984008789,324.1173326969147,594.3342018127441,621.6482877731323,582.6692962646484,792.2220396995544,517.935619354248,497.2167921066284,523.6133193969727,767.0520615577698,451.91920280456543,408.42116832733154,534.0279579162598,446.78600549697876
28,560.7539176940918,325.4359173774719,513.8544273376465,326.03564858436584,593.0929756164551,621.861298084259,584.7195053100586,796.1090755462646,516.1185836791992,498.1986737251282,520.0434494018555,771.5675067901611,449.95923042297363,410.6184124946594,531.9924545288086,449.24251198768616
29,557.9901123046875,328.2430958747864,511.49791717529297,329.0325343608856,593.1157493591309,627.4305295944214,592.3065948486328,800.8765411376953,515.2337837219238,500.416259765625,515.1523017883301,775.0766730308533,447.9394054412842,412.78157114982605,529.7684669494629,451.78643703460693
30,556.1311912536621,328.67597222328186,509.74966049194336,331.9314122200012,593.0801010131836,628.701446056366,602.6955986022949,802.435462474823,514.4666290283203,501.4206397533417,511.5165138244629,778.8342547416687,446.3220405578613,414.51980352401733,528.4396934509277,453.5879158973694
31,555.2902221679688,330.0640797615051,509.1680717468262,332.9652428627014,592.4526786804199,630.6366276741028,610.3550148010254,803.3574771881104,513.2901191711426,502.5639045238495,510.5401039123535,779.8866891860962,445.3458595275879,415.25256156921387,528.1518745422363,455.3603947162628
32,554.8855590820312,331.802054643631,508.7489318847656,334.4379687309265,592.1032905578613,629.6869325637817,612.3965263366699,803.758134841919,511.1996841430664,502.7363920211792,506.39997482299805,781.2803649902344,444.33566093444824,415.417742729187,526.1106491088867,456.03177309036255
33,553.1496047973633,331.0810446739197,508.4305000305176,334.17696833610535,591.6937065124512,631.4109063148499,618.1159400939941,806.4001965522766,510.81384658813477,503.0195689201355,503.30394744873047,782.6081228256226,443.58241081237793,415.44883489608765,526.6281509399414,458.6508536338806
34,552.0797538757324,331.47098422050476,506.98047637939453,334.21131134033203,591.0361289978027,632.8671526908875,622.8103637695312,807.8631377220154,508.98353576660156,503.35897564888,499.1832160949707,783.3889675140381,443.0005359649658,415.971736907959,527.2493934631348,461.2053680419922
35,549.0760231018066,331.50423288345337,505.568904876709,334.716671705246,590.4730224609375,634.5324182510376,626.6792106628418,808.7810969352722,507.6097869873047,504.2587172985077,495.2786064147949,783.1222057342529,441.721887588501,416.29138112068176,526.5387725830078,460.545254945755
36,547.880744934082,331.760630607605,504.78647232055664,335.46581268310547,589.4108963012695,633.6769652366638,628.2543754577637,807.2603487968445,507.4702262878418,504.68116521835327,491.6532325744629,783.3421683311462,440.83505630493164,416.50957345962524,525.9062576293945,460.4948830604553
37,548.5031318664551,332.58798480033875,504.0835762023926,335.67660212516785,589.4657135009766,633.2474040985107,632.0079231262207,806.3185715675354,507.30010986328125,505.15897393226624,487.6548385620117,783.936460018158,440.16271591186523,417.16286301612854,525.0629997253418,461.0888206958771
38,548.4538078308105,335.034738779068,503.9626121520996,336.3537096977234,589.4533538818359,633.0222272872925,638.7957000732422,805.7782244682312,505.99348068237305,506.9143295288086,487.05190658569336,784.3946671485901,439.44119453430176,418.23052167892456,524.4467926025391,462.34055399894714
39,548.4473419189453,337.78794050216675,504.1013717651367,336.59703969955444,589.4626235961914,633.1886315345764,645.8794212341309,805.5717158317566,505.8441352844238,509.2949080467224,486.52673721313477,785.7759833335876,439.57629203796387,419.2190980911255,524.6182823181152,463.493732213974
40,548.6335372924805,338.92956376075745,504.2629623413086,337.8610360622406,589.559326171875,634.1557717323303,652.5502395629883,803.8306832313538,505.4966354370117,511.2128698825836,485.72925567626953,786.8818473815918,439.93992805480957,420.17786979675293,524.413948059082,464.50342297554016
41,548.9053344726562,338.6196720600128,504.1189956665039,339.1231656074524,589.6344566345215,634.0834164619446,658.6647605895996,803.2489442825317,505.03761291503906,510.86657524108887,486.1859321594238,788.1548237800598,440.21092414855957,423.34173917770386,524.5965385437012,468.68422508239746
42,549.0844917297363,339.31599497795105,504.2586135864258,339.5894515514374,589.6759414672852,634.7742033004761,663.7593269348145,802.6673984527588,504.40332412719727,511.6549837589264,485.7052230834961,789.6127438545227,441.24735832214355,426.34663939476013,526.3157844543457,470.36165714263916
43,549.224681854248,339.7085416316986,504.4635200500488,340.5960524082184,590.4903602600098,636.8195915222168,668.8814735412598,802.0413064956665,504.6306037902832,512.8923940658569,485.9369659423828,791.4820718765259,442.2653102874756,427.9379081726074,527.9049110412598,471.09451174736023
44,550.4908561706543,342.6159167289734,507.08484649658203,340.39533734321594,591.6860389709473,639.1163563728333,676.5826034545898,801.5677785873413,505.2908706665039,515.3712058067322,486.39867782592773,793.1380033493042,443.6348819732666,428.12748670578003,528.5690689086914,471.24855637550354
45,553.0392837524414,345.7356584072113,509.6966743469238,340.5546283721924,594.6300315856934,641.6966199874878,690.2912521362305,798.8684248924255,507.17554092407227,516.5903985500336,486.81066513061523,794.2238473892212,445.5226707458496,427.68691778182983,529.1581535339355,470.84017395973206
46,559.5323753356934,351.79097056388855,511.9673538208008,340.6230890750885,596.0077285766602,643.0015254020691,696.2419509887695,798.8326334953308,507.3106384277344,518.3316564559937,487.0901298522949,795.5932545661926,447.35401153564453,427.787629365921,530.0069618225098,470.3571832180023
47,563.5260200500488,354.62798595428467,513.8936805725098,340.5703032016754,596.616153717041,644.711594581604,699.6964645385742,798.0070495605469,508.9435386657715,519.9502515792847,487.283992767334,796.6313338279724,449.68494415283203,428.22681427001953,532.4863815307617,470.435106754303
48,567.1218109130859,352.81907200813293,515.8400917053223,340.8574068546295,598.8763046264648,648.5884594917297,700.9060478210449,797.7818727493286,511.805477142334,520.9000754356384,487.4465560913086,796.8274140357971,451.60268783569336,428.7539327144623,535.3376197814941,470.6381070613861
49,571.1311912536621,354.05561327934265,517.9003715515137,341.048948764801,599.8722267150879,648.7693476676941,702.059440612793,797.7158904075623,514.3671798706055,521.3380694389343,487.59973526000977,796.9722533226013,454.74486351013184,428.8996088504791,539.9298477172852,470.8732295036316
50,570.7426071166992,353.84739875793457,521.4492988586426,340.6313931941986,602.3558807373047,647.8719878196716,704.7669410705566,796.5848565101624,518.2557106018066,520.777702331543,490.20830154418945,796.5863370895386,458.356990814209,428.756765127182,544.3229484558105,470.7761549949646
51,573.5252952575684,352.9054605960846,524.3946075439453,339.6627080440521,605.0031852722168,647.2345662117004,709.3063545227051,795.2804017066956,521.5097236633301,520.3802633285522,491.5161895751953,795.8681273460388,461.8453788757324,428.51147174835205,547.0291900634766,470.8020329475403
52,576.5491104125977,350.18048644065857,528.1212615966797,338.41792702674866,607.1934700012207,647.1354961395264,717.0465087890625,792.5713920593262,526.6728401184082,519.3267345428467,493.293399810791,792.1004390716553,465.60619354248047,427.5502860546112,551.6757774353027,470.81902742385864
53,575.8723068237305,349.9087679386139,532.1963310241699,335.72678089141846,610.4532623291016,646.5833044052124,723.1991958618164,788.4913015365601,535.2243232727051,518.8242709636688,496.51050567626953,787.596001625061,469.48957443237305,424.6926712989807,554.2839431762695,469.6555817127228
54,577.4169731140137,349.709951877594,536.1089515686035,333.5849940776825,613.1995582580566,644.6042203903198,728.0583000183105,785.1905107498169,538.5152435302734,516.0205686092377,499.45701599121094,783.9274477958679,472.8831481933594,422.12299704551697,556.9023513793945,468.6207854747772
55,580.0719451904297,347.4177896976471,538.3755683898926,331.6367769241333,616.8534278869629,641.22225522995,732.0022773742676,781.592059135437,540.5468559265137,512.4315798282623,502.5280952453613,779.9638724327087,476.76472663879395,419.58444714546204,559.4204521179199,466.23937010765076
56,582.0693969726562,341.7626202106476,541.4597511291504,328.0581843852997,619.6356582641602,636.5172958374023,733.6253929138184,774.9196028709412,543.6344146728516,509.1783607006073,504.79013442993164,775.469605922699,480.6269645690918,416.59184217453003,563.9015579223633,463.4170961380005
57,584.4384384155273,337.92492628097534,542.8059768676758,326.2206566333771,621.3969612121582,633.2499146461487,736.4370346069336,773.475136756897,546.3103294372559,507.47350573539734,506.78855895996094,773.3776116371155,483.1043243408203,414.9414789676666,566.8381118774414,461.0379660129547
58,587.3967933654785,334.99305725097656,545.562915802002,324.213570356369,624.8479843139648,630.7566833496094,742.2971534729004,770.8172392845154,548.8410758972168,504.72790002822876,508.4014320373535,770.523955821991,485.67638397216797,410.9322953224182,568.2729148864746,457.9950213432312
59,590.0011253356934,331.4050018787384,549.5747566223145,322.8126847743988,627.9116821289062,628.3590459823608,745.660572052002,767.3745703697205,551.6612434387207,502.0028614997864,510.6020164489746,767.741367816925,489.5551300048828,408.2870149612427,572.5366401672363,454.75757360458374
60,590.8858108520508,326.63679599761963,553.0741310119629,318.8867998123169,632.7870941162109,627.2562718391418,746.4182281494141,763.708655834198,557.867488861084,497.55478262901306,512.3248672485352,764.1698241233826,493.8435745239258,404.93205428123474,578.8134956359863,452.16620564460754
61,593.2518768310547,320.39151906967163,556.5011787414551,314.5002293586731,635.9805107116699,623.9468550682068,750.5416488647461,758.7987971305847,560.7194709777832,493.27857971191406,513.9809417724609,759.2403316497803,497.93066024780273,401.0299873352051,581.3187789916992,448.70457887649536
62,596.7374610900879,315.47712206840515,559.8095512390137,310.7936954498291,638.9488792419434,619.7291994094849,753.7680816650391,758.3902859687805,564.7069358825684,492.027747631073,516.6584014892578,754.6066331863403,502.0330238342285,398.04072976112366,585.3540229797363,446.6395568847656
63,601.2274932861328,312.28949904441833,563.8780403137207,308.11365365982056,642.5469589233398,613.0139350891113,758.3257484436035,755.0956106185913,566.9698333740234,488.070867061615,519.554615020752,750.584864616394,505.4403877258301,394.52651023864746,588.9840316772461,442.76031017303467
64,603.3201026916504,307.7346897125244,567.6000595092773,301.47863030433655,646.5331649780273,609.8788404464722,761.165943145752,753.0314254760742,571.0285377502441,483.6557471752167,522.0726585388184,744.7578191757202,510.102596282959,389.36981320381165,592.0115089416504,438.5329020023346
65,606.8221664428711,303.82657170295715,571.6446876525879,298.21430683135986,650.3525733947754,607.389407157898,763.5440254211426,751.9054770469666,576.8134117126465,481.22254371643066,525.1548385620117,740.0336122512817,514.6421241760254,385.2493929862976,596.6877937316895,434.63093161582947
