Frame,Left_Shoulder_X,Left_Shoulder_Y,Right_Shoulder_X,Right_Shoulder_Y,Right_Knee_X,Right_Knee_Y,Right_Foot_Index_X,Right_Foot_Index_Y,Hip_X,Hip_Y,Ankle_X,Ankle_Y,Wrist_X,Wrist_Y,Elbow_X,Elbow_Y
1,543.31,414.47,527.51,414.63,573.44,650.47,597.31,772.65,511.84,562.97,383.43,732.72,522.06,563.01,502.54,488.44
2,542.03,413.5,526.23,415.39,573.46,650.51,596.41,772.52,511.56,562.94,383.83,732.71,522.35,563.07,502.61,490.21
3,540.56,413.3,525.49,415.9,573.33,650.56,595.63,772.32,511.38,563.01,384.06,732.71,522.42,563.58,502.72,491.67
4,540.05,413.25,525.12,416.3,573.2,650.85,595.55,772.3,511.14,563.01,384.17,732.72,522.34,564.18,502.76,492.46
5,539.76,413.22,524.74,416.63,572.79,650.9,595.33,772.11,510.32,563.29,384.17,732.82,522.15,564.55,502.74,493.01
6,539.08,413.22,524.31,416.87,572.04,650.94,594.9,772.11,509.49,563.9,384.11,732.94,521.46,564.85,502.61,493.34
7,537.34,413.11,524.11,416.98,571.14,651.05,594.38,772.11,509.49,564.5,383.95,733.19,520.61,564.93,502.17,493.29
8,535.37,413.05,524.03,417.09,569.86,651.23,593.89,772.15,509.37,564.74,383.38,733.58,520.08,564.56,501.12,493.21
9,534.96,413.03,523.65,417.29,568.55,651.37,593.31,772.26,509.11,565.25,382.99,733.8,519.44,564.29,500.39,493.17
10,533.38,412.91,523.64,417.51,567.41,651.81,592.68,772.47,508.65,565.45,382.34,733.93,518.98,564.19,499.1,493.12
11,531.4,412.67,523.64,417.6,566.53,652.21,591.56,772.74,508.27,565.96,381.84,734.32,518.77,564.14,498.16,493.1
12,529.26,412.52,523.38,417.73,565.38,652.87,589.02,773.29,507.8,566.48,381.3,734.52,518.13,563.91,497.04,493.12
13,528.05,412.52,522.95,417.88,564.59,653.27,586.8,773.66,506.75,566.6,380.37,734.81,517.3,563.91,496.43,493.18
14,526.97,412.72,522.84,418.55,563.45,653.87,586.37,774.32,505.99,566.96,379.53,734.93,517.01,563.9,495.9,493.19
15,526.73,413.06,522.71,418.83,562.56,654.34,585.0,774.74,505.53,567.72,378.68,735.91,516.62,564.0,495.5,493.28
16,526.65,413.67,522.6,419.04,562.04,655.03,585.02,775.45,505.37,568.42,377.93,736.47,516.17,564.21,495.17,493.37
17,526.7,414.17,522.55,419.22,561.46,656.01,584.54,775.79,505.28,568.89,377.34,736.9,515.45,564.71,494.8,493.51
18,526.98,415.12,522.37,419.39,560.88,656.67,584.59,776.5,504.79,569.17,376.99,737.4,515.02,564.92,494.24,493.58
19,527.14,416.57,522.0,419.65,560.67,657.15,584.8,777.37,503.7,569.42,376.47,738.26,514.46,565.22,493.78,493.72
20,527.21,417.75,521.69,420.22,560.21,657.84,584.94,778.24,502.68,569.71,376.18,738.85,514.02,566.17,493.89,494.24
21,527.35,418.26,521.59,421.06,560.01,658.57,584.69,779.02,502.23,570.15,375.97,739.32,513.56,568.1,493.96,494.9
22,527.45,418.87,521.57,421.65,559.9,658.75,584.7,780.28,501.98,570.32,375.82,740.01,513.64,569.31,494.09,495.93
23,528.06,419.59,521.57,422.5,559.99,659.48,584.88,781.52,501.98,570.79,375.65,741.06,513.65,569.86,494.12,496.77
