Frame,Shoulder_X,Shoulder_Y,Elbow_X,Elbow_Y,Wrist_X,Wrist_Y,Hip_X,Hip_Y,Ankle_X,Ankle_Y,Elbow_Angle,Trunk_Lean_Angle,Stride_Length,Wrist_Hip_Distance,Mid_Sternum_X,Knee_X,Foot_X,Sternum_to_Knee_Dist,Toe_to_Knee_Dist
1,583.5629081726074,371.7607033252716,554.923095703125,450.4013228416443,575.1004600524902,532.2457230091095,568.733024597168,527.3221528530121,446.3529968261719,685.6721448898315,146.14,123.31,200.13,8.05,342.6715278625488,334.3025321960449,268.04209327697754,8.368995666503906,66.26043891906738
2,585.2986907958984,371.4578926563263,557.5542068481445,450.4015803337097,576.1814117431641,531.8619954586029,569.7759819030762,525.2286458015442,446.63354873657227,685.2568745613098,147.76,125.88,201.92,9.22,457.3847007751465,446.36038970947266,357.62129974365234,11.024311065673828,88.73908996582031
3,586.3410186767578,370.4954195022583,559.0353584289551,449.8703420162201,577.3639869689941,530.8272635936737,570.7913589477539,523.8153040409088,447.2239208221436,685.0351738929749,148.26,127.42,203.13,9.61,572.1834239959717,558.5280532836914,447.29868507385254,13.655370712280273,111.22936820983887
4,586.8424415588379,370.0046718120575,560.2892875671387,448.849128484726,578.1403541564941,527.5929057598114,570.897159576416,522.3501098155975,447.896032333374,684.231927394867,148.61,127.17,203.31,8.94,573.209415435791,559.7902336120605,447.7496223449707,13.419181823730469,112.04061126708984
5,587.1489143371582,368.9075303077698,560.8383178710938,447.8728795051575,578.6584281921387,526.1341488361359,570.5629920959473,520.5395543575287,448.386926651001,683.1130599975586,148.74,125.81,203.36,9.84,573.8583698272705,560.6044692993164,448.25589752197266,13.253900527954102,112.34857177734375
6,587.5119209289551,367.80961632728577,561.2339973449707,447.1885943412781,579.5589637756348,524.563479423523,569.1126251220703,518.1701123714447,448.6076831817627,681.9530582427979,148.36,125.66,203.34,12.25,574.2919921875,561.1814460754395,448.6747570037842,13.110546112060547,112.50668907165527
7,587.7170562744141,367.2796654701233,561.6253852844238,446.5491449832916,580.1502227783203,524.0247738361359,569.1113662719727,517.3386383056641,449.164924621582,680.9378957748413,148.33,128.0,202.86,12.91,574.559440612793,561.4904708862305,448.9562187194824,13.0689697265625,112.53425216674805
8,587.7923583984375,366.6999220848084,561.9202423095703,446.0401475429535,580.9846115112305,523.729977607727,568.6584663391113,516.3775169849396,449.3182182312012,680.7197999954224,148.15,127.96,203.1,14.35,574.7680377960205,561.6884422302246,449.13697814941406,13.079595565795898,112.55146408081055
9,587.9718017578125,365.8330428600311,561.8344116210938,445.6269371509552,581.5748405456543,522.8352570533752,568.6248779296875,516.1718130111694,449.3033409118652,680.4514288902283,147.52,125.6,203.04,14.56,574.9218349456787,561.8083076477051,449.29963874816895,13.113527297973633,112.50866889953613
10,588.2450294494629,365.4401421546936,561.8281745910645,445.2742373943329,582.7518081665039,522.3018300533295,568.7588310241699,516.1693668365479,449.2907238006592,680.2771067619324,146.49,125.41,202.99,15.28,575.017822265625,561.8550453186035,449.4348621368408,13.162776947021484,112.4201831817627
11,588.4505653381348,365.4012286663056,561.833324432373,444.9710083007813,583.6264228820801,521.6837847232819,568.7870407104492,516.200555562973,449.4209861755371,679.9164247512817,145.65,127.45,202.61,15.82,575.0766277313232,561.8449172973633,449.58411598205566,13.231710433959961,112.26080131530762
12,588.4432411193848,365.3818202018738,561.859073638916,444.9200248718262,585.0680923461914,521.9412767887115,568.7784004211426,516.086003780365,449.8410415649414,679.5612788200378,144.75,127.52,202.16,17.31,575.1231365203857,561.8485679626465,449.8689880371094,13.274568557739258,111.97957992553711
13,588.4310531616211,365.3279721736908,561.8696022033691,444.8863899707794,586.0482788085938,521.8264031410217,568.3132553100586,515.5340695381165,450.0644874572754,679.4178557395935,144.09,127.28,202.09,18.82,575.1659088134766,561.900764465332,450.26462745666504,13.265144348144531,111.63613700866699
14,588.4186363220215,365.1855790615082,561.8526649475098,444.7803676128388,586.8725395202637,521.5402972698212,568.1316947937012,514.9340164661407,450.7277011871338,678.9929294586182,143.49,125.81,201.74,19.87,575.215410232544,562.019645690918,450.8561267852783,13.195764541625977,111.16351890563965
15,588.4117698669434,364.7468769550324,562.0891571044922,444.6543574333191,588.0948829650879,521.3108396530151,567.9003524780273,514.551705121994,451.2689208984375,678.8085651397705,143.03,122.05,201.45,21.3,575.3230648040771,562.2438812255859,451.55005073547363,13.079183578491211,110.6938304901123
16,588.3511734008789,364.74941968917847,562.4277305603027,444.66047286987305,589.7391128540039,521.096123456955,566.4657211303711,513.4318721294403,452.3784828186035,678.8234996795654,142.36,119.69,200.92,24.5,575.5643577575684,562.7090377807617,452.5627098083496,12.85531997680664,110.14632797241211
17,588.398609161377,364.8151767253876,562.9802513122559,444.65786576271057,591.994743347168,521.0021388530731,566.4850616455078,513.4878444671631,453.310661315918,678.7810134887695,141.53,118.97,200.33,26.59,575.9148216247559,563.3649787902832,453.94939041137695,12.549842834472656,109.41558837890625
18,588.5181999206543,364.9525165557861,564.195384979248,444.6176326274872,593.8362693786621,521.0052609443665,566.5594482421875,513.4368288516998,455.1277828216553,678.5730886459351,141.81,118.5,199.22,28.31,576.5213871002197,564.400074005127,455.7139263153076,12.121313095092773,108.68614768981934
19,588.6435699462891,364.9544155597687,565.1323699951172,444.37697410583496,595.5576324462891,520.8076679706573,566.5950393676758,513.297107219696,457.6611042022705,678.1619381904602,141.8,115.84,197.6,29.92,577.4754638671875,565.7814903259277,457.84959983825684,11.693973541259766,107.9318904876709
20,589.3019485473633,364.8843455314636,567.2646331787109,444.1899383068085,597.9745674133301,520.6492459774017,567.3178482055664,513.2232069969177,460.0916004180908,677.6980018615723,142.59,114.7,196.34,31.54,578.7706432342529,567.5152702331543,460.3125228881836,11.255373001098633,107.2027473449707
