Frame,Shoulder_X,Shoulder_Y,Elbow_X,Elbow_Y,Wrist_X,Wrist_Y,Hip_X,Hip_Y,Ankle_X,Ankle_Y,Elbow_Angle,Trunk_Lean_Angle,Stride_Length,Wrist_Hip_Distance,Mid_Sternum_X,Knee_X,Foot_X,Sternum_to_Knee_Dist,Toe_to_Knee_Dist
1,495.26012420654297,435.8358657360077,440.1022624969482,498.1910455226898,431.78518295288086,573.7050032615662,485.291805267334,591.8126821517944,401.1373043060303,783.5883951187134,144.79,96.89,209.43,56.49,297.2139472961426,289.6541175842285,289.6541175842285,7.5598297119140625,0.0
2,495.2984619140625,435.8397603034973,440.21581649780273,496.6303861141205,431.63769721984863,573.7279200553894,482.2608947753906,588.8757276535034,401.1701488494873,783.062596321106,144.17,94.86,210.44,52.84,396.4062309265137,385.69539642333984,385.69539642333984,10.710834503173828,0.0
3,495.5111503601074,435.7648944854736,440.2416515350342,495.79495310783386,431.5751552581787,573.8065195083618,480.717887878418,587.3246598243713,401.13112449646,782.8624606132507,143.7,93.13,211.11,50.97,495.72380447387695,481.47088623046875,481.47088623046875,14.252918243408203,0.0
4,495.9614181518554,435.6089186668396,440.3160953521729,494.82555985450745,431.444091796875,573.580892086029,480.20639419555664,586.6362547874451,401.09859466552734,782.6302027702332,143.21,91.22,211.36,50.48,496.0301284790039,480.0916213989258,480.0916213989258,15.938507080078125,0.0
5,496.5878677368164,435.6239497661591,440.4446411132813,494.0671813488007,431.3744831085205,573.4618020057678,478.8774490356445,585.8670616149902,401.0684394836426,782.2726106643677,142.67,91.29,211.26,49.1,496.35594177246094,478.9796390533447,478.9796390533447,17.37630271911621,0.0
6,496.7917442321777,435.6850397586823,440.4500198364258,494.03785943984985,431.1859130859375,573.4687542915344,478.3954811096192,585.9065866470337,400.7164478302002,782.1113562583923,142.66,91.7,211.02,48.82,496.74810791015625,477.96228218078613,477.96228218078613,18.785825729370117,0.0
7,496.92752838134766,435.6855869293213,440.4189205169678,494.1060948371887,430.577917098999,573.5051894187927,476.70098304748535,585.8274078369141,400.6095886230469,782.0794916152954,143.02,92.37,210.49,47.74,497.1321029663086,476.7374897003174,476.7374897003174,20.39461326599121,0.0
8,497.471981048584,435.7604205608368,440.4410076141357,494.14188623428345,429.9926948547363,573.5172915458679,475.631103515625,585.9539008140564,400.1663303375244,782.0195603370667,143.17,92.55,210.09,47.3,497.52893829345703,475.69975090026855,475.69975090026855,21.829187393188477,0.0
9,497.8813934326172,435.9523165225983,440.4525375366211,494.1427230834961,429.8971652984619,573.4240794181824,474.0824317932129,586.0454392433167,451.9692993164063,778.7221169471741,142.96,92.2,193.94,45.95,497.97418212890625,474.35135650634766,474.35135650634766,23.622825622558594,0.0
10,498.5720443725586,436.2973558902741,440.5016613006592,494.1097319126129,429.6584987640381,573.4089517593384,473.6887550354004,586.0830974578857,465.1559829711914,776.2522530555725,142.66,92.7,190.36,45.82,498.4152488708496,473.28759384155273,473.28759384155273,25.127655029296875,0.0
11,499.0179634094238,436.432056427002,440.5935001373291,494.15759325027466,429.48283195495605,573.4092092514038,471.65350914001465,586.0991907119751,553.4073257446289,775.0364398956299,142.64,92.59,205.87,44.04,498.77613830566406,472.13547706604004,472.13547706604004,26.640661239624023,0.0
12,499.13286209106445,436.9840550422669,440.6695175170898,494.3687689304352,429.2470264434815,573.4728097915649,471.38216972351074,586.1734127998352,510.9547805786133,775.5076503753662,142.68,92.8,193.43,44.01,499.1436424255371,471.2892608642578,471.2892608642578,27.854381561279297,0.0
