Frame,Left_Shoulder_X,Left_Shoulder_Y,Right_Shoulder_X,Right_Shoulder_Y,Right_Knee_X,Right_Knee_Y,Right_Foot_Index_X,Right_Foot_Index_Y,Hip_X,Hip_Y,Ankle_X,Ankle_Y,Wrist_X,Wrist_Y,Elbow_X,Elbow_Y
1,507.3,390.88,482.91,377.01,525.27,601.65,566.64,785.0,396.24,514.37,207.14,734.58,531.66,542.11,470.0,466.33
2,504.23,388.5,480.65,376.98,525.27,600.77,566.84,785.13,396.21,515.55,207.06,734.5,529.57,540.92,465.18,465.28
3,503.81,386.59,473.86,376.04,524.83,600.67,567.53,785.3,395.32,515.39,206.91,734.51,525.7,538.37,458.09,463.84
4,504.5,385.63,471.92,371.87,521.88,598.42,567.53,785.8,392.27,511.41,206.93,734.52,520.77,534.73,452.52,460.97
5,506.0,383.58,472.51,368.54,519.46,596.88,567.71,786.89,392.23,508.26,207.66,734.15,516.22,530.77,448.26,456.93
6,510.93,383.65,469.58,362.5,515.5,591.81,568.57,787.26,390.72,504.19,209.96,733.51,513.23,526.16,448.22,451.13
7,512.68,377.35,470.5,359.44,515.97,591.2,568.82,787.25,390.83,502.84,213.14,732.36,511.69,522.56,447.71,446.58
8,514.9,374.87,471.04,357.7,515.71,591.52,568.82,787.24,390.99,500.95,216.7,730.81,510.76,518.52,447.86,442.98
9,515.67,374.29,472.86,356.41,515.71,591.7,569.12,787.24,391.66,500.71,218.58,729.47,509.61,516.51,447.0,440.57
10,515.86,373.55,473.35,355.99,515.52,591.4,569.42,787.23,392.55,501.01,218.89,728.93,509.03,515.12,446.48,440.3
11,515.48,374.34,473.73,356.88,517.32,591.6,570.26,787.24,395.76,501.66,218.44,728.96,509.26,515.24,445.69,441.05
12,515.26,375.5,473.62,357.64,517.69,590.68,570.4,787.22,396.87,502.01,218.05,729.05,509.14,515.42,445.96,441.94
13,514.26,381.01,471.93,358.07,517.79,589.28,570.91,787.26,396.65,504.15,216.65,729.44,509.31,516.41,445.48,442.75
14,512.56,383.65,470.34,359.09,517.97,588.87,571.68,787.27,396.32,506.31,215.87,729.49,509.68,516.66,445.69,444.11
15,511.0,385.27,469.21,361.02,519.23,588.35,572.6,787.31,396.3,508.32,214.28,729.55,509.93,517.07,443.74,445.42
16,510.85,387.21,468.66,361.42,519.62,588.39,573.34,787.37,396.29,509.11,213.25,729.76,509.78,517.34,443.18,445.51
17,510.87,387.0,467.69,362.14,519.74,588.49,573.83,787.47,396.19,509.07,213.11,729.78,509.78,517.36,442.13,445.86
18,511.13,383.04,467.89,361.8,519.67,590.92,574.4,787.61,396.32,507.55,213.16,729.82,509.27,516.04,442.45,445.4
19,511.21,375.76,469.57,360.74,519.27,593.46,574.75,787.7,396.34,506.21,214.05,729.72,508.18,513.77,442.69,444.51
20,511.49,371.33,471.01,357.57,517.44,593.89,574.81,787.57,396.12,502.86,215.02,729.45,507.41,511.88,442.85,440.66
21,511.95,368.42,471.23,355.67,516.02,594.38,574.55,787.29,395.19,501.05,216.17,728.95,507.21,511.13,443.51,438.32
22,512.24,368.69,470.68,353.85,514.44,596.37,574.05,787.24,394.27,500.39,216.67,728.79,506.65,510.24,443.56,436.16
