Frame,Shoulder_X,Shoulder_Y,Elbow_X,Elbow_Y,Wrist_X,Wrist_Y,Hip_X,Hip_Y,Ankle_X,Ankle_Y,Elbow_Angle,Trunk_Lean_Angle,Stride_Length,Wrist_Hip_Distance,Mid_Sternum_X,Knee_X,Foot_X,Sternum_to_Knee_Dist,Toe_to_Knee_Dist
1,482.90794372558594,377.0109987258911,469.9974632263184,466.330361366272,531.6634941101074,542.1144604682922,396.23971939086914,514.3717503547668,207.137188911438,734.5773553848267,132.64,92.62,290.26,138.24,287.48312187194824,237.5551929473877,237.5551929473877,49.92792892456055,0.0
2,480.6459045410156,376.9781363010407,465.1818752288818,465.2799546718597,529.5656776428223,540.918345451355,396.212968826294,515.5457210540771,207.0588254928589,734.4966316223145,129.66,95.32,289.34,135.75,381.86732482910156,316.00910568237305,316.00910568237305,65.85821914672852,0.0
3,473.8617610931397,376.0431826114655,458.0851078033447,463.8443398475647,525.7019805908203,538.3672428131104,395.3232765197754,515.3933823108673,206.91338539123532,734.510600566864,127.6,100.01,288.98,132.39,476.36992835998535,394.45544242858887,394.45544242858887,81.91448593139648,0.0
4,471.9210147857666,371.869912147522,452.5228500366211,460.97336769104,520.7686614990234,534.7268199920654,392.2695636749268,511.4137136936188,206.93472862243647,734.5181322097778,124.94,96.83,290.04,130.6,473.70384979248047,393.3508930206299,393.3508930206299,80.35295677185059,0.0
5,472.51301765441895,368.53970289230347,448.2644176483154,456.9252061843872,516.2228393554688,530.7713556289673,392.2316837310791,508.262654542923,207.65753746032715,734.1482448577881,122.04,95.7,291.71,126.02,471.6738338470459,392.273717880249,392.273717880249,79.40011596679688,0.0
6,469.5775508880615,362.5009989738464,448.2225608825684,451.1289954185486,513.2287216186523,526.1571621894836,390.7169723510742,504.19389367103577,209.96256351470947,733.5134625434875,125.55,92.01,291.99,124.46,471.1094169616699,391.40673065185547,391.40673065185547,79.70268630981445,0.0
7,470.4958248138428,359.4371008872986,447.70514488220215,446.57524824142456,511.6857719421387,522.556586265564,390.8270931243897,502.8374254703522,213.1409168243408,732.3582887649536,125.24,96.04,290.26,122.46,471.29676818847656,391.2850914001465,391.2850914001465,80.01167678833008,0.0
8,471.03967666625977,357.70092844963074,447.8592395782471,442.976861000061,510.7558250427246,518.5203337669373,390.9883403778076,500.9464681148529,216.70459270477292,730.8115983009338,125.01,97.82,288.47,121.05,471.4646759033203,391.3491325378418,391.3491325378418,80.11554336547852,0.0
9,472.8577709197998,356.4134359359741,447.0036220550537,440.56747555732727,509.6066093444824,516.5071320533752,391.6613674163818,500.7111847400665,218.57611656188965,729.4701290130615,123.42,96.71,286.86,119.0,472.2945671081543,392.3579692840576,392.3579692840576,79.93659782409668,0.0
10,473.3525562286377,355.9937560558319,446.4803695678711,440.29611110687256,509.0254783630371,515.1246893405914,392.55188941955566,501.0119998455048,218.89055728912356,728.9328718185425,122.43,96.68,286.54,117.33,472.92024421691895,393.5666084289551,393.5666084289551,79.35363578796387,0.0
11,473.72700691223145,356.8756663799286,445.6889247894287,441.0516893863678,509.2575073242188,515.2374386787415,395.7611560821533,501.65817618370056,218.4368705749512,728.9614534378052,120.98,95.61,288.29,114.31,473.0973415374756,394.69896697998047,394.69896697998047,78.39837455749512,0.0
12,473.624210357666,357.6374888420105,445.9648990631104,441.9420325756073,509.1380882263184,515.4203546047211,396.87028884887695,502.00756072998047,218.0486297607422,729.0474557876587,121.15,94.77,289.01,113.07,472.59290885925293,395.62994384765625,395.62994384765625,76.96296501159668,0.0
13,471.92516326904297,358.07194232940674,445.4782962799072,442.7543234825134,509.3147850036621,516.4104115962982,396.65013313293457,504.1492509841919,216.6535377502441,729.4418048858643,121.74,88.82,288.37,113.33,471.7643737792969,396.3797378540039,396.3797378540039,75.38463592529297,0.0
14,470.3356075286865,359.08778071403503,445.68875312805176,444.1137850284576,509.6797943115234,516.6565418243408,396.3162517547608,506.3101887702942,215.8692741394043,729.4925951957703,122.42,86.51,287.0,113.83,470.7505989074707,396.48486328125,396.48486328125,74.2657356262207,0.0
15,469.2098808288574,361.0161709785461,443.74420166015625,445.4210078716278,509.92652893066406,517.0709109306335,396.300859451294,508.31592321395874,214.28481101989743,729.5450592041016,120.48,86.21,286.48,113.96,469.56276512145996,396.34951972961426,396.34951972961426,73.2132453918457,0.0
16,468.6581325531006,361.4202404022217,443.1769180297852,445.50981044769287,509.7781562805176,517.3439812660217,396.2867832183838,509.1112518310547,213.2503080368042,729.7616744041443,120.31,84.67,286.69,113.79,468.7554531097412,396.28291511535645,396.28291511535645,72.47253799438477,0.0
17,467.6850414276123,362.1407997608185,442.1296119689941,445.8611905574799,509.776668548584,517.360589504242,396.19357109069824,509.0685725212097,213.10790061950684,729.7779607772827,119.61,86.02,286.76,113.89,468.6028347015381,396.2867832183838,396.2867832183838,72.3160514831543,0.0
18,467.8886032104492,361.8048369884491,442.45482444763184,445.4009878635407,509.27392959594727,516.0411357879639,396.3171100616455,507.5508177280426,213.1618022918701,729.8196744918823,119.67,90.0,288.01,113.28,468.9620532989502,396.2509517669678,396.2509517669678,72.71110153198242,0.0
19,469.5725154876709,360.7420063018799,442.6927185058594,444.5091640949249,508.1789016723633,513.7743043899536,396.3355922698975,506.2131464481354,214.05309677124023,729.7227931022644,118.82,96.88,288.42,112.1,469.4769058227539,396.0322494506836,396.0322494506836,73.44465637207031,0.0
20,471.005973815918,357.5699615478516,442.8488731384277,440.65911054611206,507.4076271057129,511.8812870979309,396.12170219421387,502.8604388237,215.02495765686035,729.4454097747803,119.09,98.49,290.06,111.65,470.07621002197266,395.64781379699707,395.64781379699707,74.42839622497559,0.0
21,471.2323951721192,355.67240595817566,443.5129451751709,438.31554651260376,507.213077545166,511.134045124054,395.1932716369629,501.0531342029572,216.16690635681152,728.9526343345642,120.28,100.23,289.81,112.47,469.8324565887451,394.87703132629395,394.87703132629395,74.95542526245117,0.0
22,470.68156242370605,353.84894371032715,443.5649585723877,436.1550271511078,506.6539764404297,510.2420926094055,394.2713928222656,500.39047837257385,216.66644096374512,728.7936973571777,121.35,97.89,289.33,112.81,468.67149925231934,393.5987663269043,393.5987663269043,75.07273292541504,0.0
23,466.6698360443115,353.7203586101532,443.6054134368897,436.2690317630768,505.9236145019531,510.0910413265228,392.4631977081299,500.120530128479,216.88344955444336,728.771231174469,124.22,97.37,288.29,113.9,466.6904983520508,391.91912841796875,391.91912841796875,74.77136993408203,0.0
24,463.767728805542,354.0467619895935,442.8353977203369,436.7786729335785,504.1592216491699,509.8141729831696,389.9442672729492,500.3392374515533,216.7926836013794,728.7812733650208,125.78,97.05,286.65,114.61,464.30700874328613,389.98805809020996,389.98805809020996,74.31895065307617,0.0
25,461.1009693145752,353.4861695766449,441.78791999816895,436.7555630207062,503.19299697875977,509.34048414230347,387.7235126495361,500.50705790519714,216.45745754241943,728.908281326294,126.71,95.82,285.48,115.81,461.2847156524658,388.03910064697266,388.03910064697266,73.24561500549316,0.0
26,459.3149471282959,353.6359655857086,441.2546825408936,437.02605843544006,502.9693222045898,508.60994696617126,385.53791999816895,501.1936283111572,215.0813055038452,729.287760257721,127.01,93.55,284.75,117.67,458.4714603424072,386.2894592285156,386.2894592285156,72.1820011138916,0.0
27,455.5700969696045,353.71060609817505,439.837589263916,437.1603727340698,502.2699737548828,508.228987455368,384.5266056060791,502.3941850662232,213.42063903808597,730.0292730331421,128.02,92.51,284.77,117.89,455.95438957214355,384.7909870147705,384.7909870147705,71.16340255737305,0.0
28,452.60355949401855,353.8227438926697,438.07519912719727,437.58414030075073,501.2375450134277,508.4139311313629,383.7149906158447,503.270366191864,212.40484714508057,730.3043389320374,128.44,92.23,284.41,117.64,453.79994773864746,383.360933303833,383.360933303833,70.43901443481445,0.0
29,451.1823749542236,353.38719606399536,435.7187747955322,437.88891434669495,499.079704284668,508.455902338028,382.4519062042236,503.5189425945282,211.50564193725583,730.6104326248169,127.71,92.17,284.24,116.73,451.9808177947998,382.0751495361328,382.0751495361328,69.90566825866699,0.0
30,450.3287601470947,351.6767406463623,433.11964988708496,437.9248988628388,496.0350608825684,508.7475764751434,380.57324409484863,503.4067404270172,210.68557262420651,731.1638474464417,127.1,90.99,284.14,115.59,450.7917022705078,380.51500511169434,380.51500511169434,70.27669715881348,0.0
31,450.2192974090576,350.65536618232727,430.7216548919678,437.7885890007019,494.05385971069336,511.0033679008484,379.109001159668,501.204217672348,210.63178539276123,731.4153528213501,126.53,92.88,285.27,115.36,450.21251678466797,378.8123016357422,378.8123016357422,71.40021514892578,0.0
32,449.6245193481445,348.64985704422,429.06606674194336,437.4175751209259,491.9812774658203,512.4561703205109,376.7258834838867,499.2546164989472,210.6543731689453,731.4826226234436,126.98,91.65,285.5,116.01,449.77342414855957,376.988977432251,376.988977432251,72.7844467163086,0.0
33,449.70763206481934,347.70753264427185,427.3906803131104,437.2179543972016,490.66967010498047,512.6767444610596,375.201473236084,497.21824049949646,210.69129467010495,731.5375971794128,126.02,91.93,286.3,116.5,449.5199718475342,375.40121269226074,375.40121269226074,74.11875915527344,0.0
34,448.9869117736816,346.09646916389465,423.9135360717773,436.1174976825714,488.6231231689453,512.5014567375183,373.3352851867676,495.6789529323578,210.7230520248413,731.5154528617859,124.17,90.99,286.46,116.51,449.3375816345215,373.968297958374,373.968297958374,75.36928367614746,0.0
35,449.0614986419678,344.80427742004395,422.1441650390625,435.1403474807739,486.97465896606445,511.757755279541,372.6344203948975,494.23847794532776,211.00846767425537,731.3682317733765,123.17,89.99,286.97,115.67,449.30585861206055,373.00247383117676,373.00247383117676,76.30338478088379,0.0
36,449.3073463439941,345.06988048553467,422.986421585083,434.218590259552,486.6241836547852,511.08248233795166,371.9444274902344,494.0009415149689,211.04560375213623,731.3761496543884,123.93,90.52,286.77,115.94,449.2855625152588,372.3643283843994,372.3643283843994,76.92123413085938,0.0
37,449.46590423583984,345.365674495697,422.56699562072754,434.10741806030273,486.3658332824707,509.5985555648804,371.8967628479004,494.3156611919403,210.8347749710083,731.4328622817993,122.94,90.06,286.65,115.48,449.32120513916016,372.0064888000488,372.0064888000488,77.31471633911133,0.0
