Frame,Shoulder_X,Shoulder_Y,Elbow_X,Elbow_Y,Wrist_X,Wrist_Y,Hip_X,Hip_Y,Ankle_X,Ankle_Y,Elbow_Angle,Trunk_Lean_Angle,Stride_Length,Wrist_Hip_Distance,Mid_Sternum_X,Knee_X,Foot_X,Sternum_to_Knee_Dist,Toe_to_Knee_Dist
1,482.90794372558594,377.0109987258911,469.9974632263184,466.330361366272,531.6634941101074,542.1144604682922,396.23971939086914,514.3717503547668,207.137188911438,734.5773553848267,132.64,92.62,290.26,138.24,283.0680055618286,278.652889251709,124.22187995910645,4.415116310119629,154.43100929260254
2,480.6459045410156,376.9781363010407,465.1818752288818,465.2799546718597,529.5656776428223,540.918345451355,396.212968826294,515.5457210540771,207.0588254928589,734.4966316223145,129.66,95.32,289.34,135.75,375.5123920440674,369.1574592590332,165.60882568359375,6.35493278503418,203.54863357543945
3,473.8617610931397,376.0431826114655,458.0851078033447,463.8443398475647,525.7019805908203,538.3672428131104,395.3232765197754,515.3933823108673,206.91338539123532,734.510600566864,127.6,100.01,288.98,132.39,467.5901355743408,458.8103427886963,207.14033317565918,8.779792785644531,251.6700096130371
4,471.9210147857666,371.869912147522,452.5228500366211,460.97336769104,520.7686614990234,534.7268199920654,392.2695636749268,511.4137136936188,206.93472862243647,734.5181322097778,124.94,96.83,290.04,130.6,464.0796060562134,454.4553623199463,207.70540809631348,9.62424373626709,246.7499542236328
5,472.51301765441895,368.53970289230347,448.2644176483154,456.9252061843872,516.2228393554688,530.7713556289673,392.2316837310791,508.262654542923,207.65753746032715,734.1482448577881,122.04,95.7,291.71,126.02,461.3169250488281,450.96001625061035,208.92182636260986,10.356908798217773,242.0381898880005
6,469.5775508880615,362.5009989738464,448.2225608825684,451.1289954185486,513.2287216186523,526.1571621894836,390.7169723510742,504.19389367103577,209.96256351470947,733.5134625434875,125.55,92.01,291.99,124.46,460.01212978363037,448.9148426055908,210.88006782531738,11.09728717803955,238.03477478027344
7,470.4958248138428,359.4371008872986,447.70514488220215,446.57524824142456,511.6857719421387,522.556586265564,390.8270931243897,502.8374254703522,213.1409168243408,732.3582887649536,125.24,96.04,290.26,122.46,459.55388259887695,447.81099700927734,213.208345413208,11.74288558959961,234.60265159606934
8,471.03967666625977,357.70092844963074,447.8592395782471,442.976861000061,510.7558250427246,518.5203337669373,390.9883403778076,500.9464681148529,216.70459270477292,730.8115983009338,125.01,97.82,288.47,121.05,459.4594316482544,447.4541873931885,215.45494937896729,12.005244255065918,231.9992380142212
9,472.8577709197998,356.4134359359741,447.0036220550537,440.56747555732727,509.6066093444824,516.5071320533752,391.6613674163818,500.7111847400665,218.57611656188965,729.4701290130615,123.42,96.71,286.86,119.0,459.6210136413574,446.94746017456055,217.14981079101562,12.673553466796875,229.79764938354492
10,473.3525562286377,355.9937560558319,446.4803695678711,440.29611110687256,509.0254783630371,515.1246893405914,392.55188941955566,501.0119998455048,218.89055728912356,728.9328718185425,122.43,96.68,286.54,117.33,459.75982761383057,446.5994110107422,218.1313533782959,13.160416603088379,228.4680576324463
11,473.72700691223145,356.8756663799286,445.6889247894287,441.0516893863678,509.2575073242188,515.2374386787415,395.7611560821533,501.65817618370056,218.4368705749512,728.9614534378052,120.98,95.61,288.29,114.31,459.6102819442749,446.1232223510742,218.12114238739014,13.487059593200684,228.00207996368408
12,473.624210357666,357.6374888420105,445.9648990631104,441.9420325756073,509.1380882263184,515.4203546047211,396.87028884887695,502.00756072998047,218.0486297607422,729.0474557876587,121.15,94.77,289.01,113.07,459.2265787124634,445.8602485656738,217.57977390289307,13.36633014678955,228.28047466278076
13,471.92516326904297,358.07194232940674,445.4782962799072,442.7543234825134,509.3147850036621,516.4104115962982,396.65013313293457,504.1492509841919,216.6535377502441,729.4418048858643,121.74,88.82,288.37,113.33,458.53869438171387,445.31301498413086,216.65862464904785,13.225679397583008,228.654390335083
14,470.3356075286865,359.08778071403503,445.68875312805176,444.1137850284576,509.6797943115234,516.6565418243408,396.3162517547608,506.3101887702942,215.8692741394043,729.4925951957703,122.42,86.51,287.0,113.83,457.7806062698364,444.81061363220215,215.62131214141846,12.969992637634277,229.1893014907837
