Frame,Left_Shoulder_X,Left_Shoulder_Y,Right_Shoulder_X,Right_Shoulder_Y,Right_Knee_X,Right_Knee_Y,Right_Foot_Index_X,Right_Foot_Index_Y,Hip_X,Hip_Y,Ankle_X,Ankle_Y,Wrist_X,Wrist_Y,Elbow_X,Elbow_Y
1,538.44,362.7,498.99,359.03,544.35,619.1,611.19,773.71,487.04,523.19,409.69,739.4,485.01,511.05,426.98,433.46
2,538.63,361.81,497.79,359.46,544.62,628.34,609.14,776.23,485.06,522.2,409.57,741.95,484.99,511.01,427.03,433.16
3,539.05,361.41,497.45,359.67,544.66,630.32,608.37,778.52,483.86,520.71,409.38,742.16,485.55,510.83,428.03,432.6
4,542.28,361.87,497.55,359.67,544.75,630.71,607.79,779.01,483.23,519.0,409.38,742.1,487.41,510.42,429.35,432.06
5,542.89,361.27,499.25,358.94,544.88,630.05,607.16,779.19,483.33,517.88,409.45,742.07,488.59,510.1,433.21,430.5
6,543.71,360.41,499.82,358.2,545.51,629.64,606.62,779.44,484.24,516.92,409.47,741.81,491.23,510.09,435.8,429.33
7,544.01,359.47,501.43,357.98,545.61,629.71,606.32,779.7,484.67,515.94,409.37,741.28,494.26,510.14,438.19,429.19
8,544.9,359.51,502.39,357.41,545.64,629.44,605.37,779.68,485.88,515.45,409.31,740.94,495.83,510.11,439.78,429.09
9,545.78,359.22,503.94,355.57,545.34,629.57,604.51,779.75,486.85,515.11,408.52,739.87,497.17,509.85,442.25,427.92
10,546.67,358.84,505.0,354.35,545.01,629.55,604.35,779.7,487.25,514.88,407.62,738.38,498.26,509.43,443.91,427.11
11,546.48,357.04,507.0,352.9,544.53,629.55,604.34,779.68,488.14,514.74,406.26,737.11,499.55,508.98,446.07,426.59
12,546.34,355.91,507.72,352.61,544.53,629.34,604.02,779.18,488.8,514.66,405.18,736.19,500.12,508.23,447.45,426.41
13,546.29,353.52,508.88,352.34,544.66,629.35,604.04,778.81,490.51,514.74,404.2,734.22,501.19,507.48,448.3,426.4
14,546.61,352.77,510.03,351.85,544.78,629.33,604.07,778.07,491.56,514.79,403.1,731.85,502.6,507.21,449.57,426.4
15,547.01,352.1,511.41,351.35,544.39,629.31,604.11,777.7,492.77,514.83,401.95,730.69,503.47,507.15,450.09,426.16
16,547.31,351.51,512.78,351.22,544.06,629.57,604.1,777.69,492.82,514.87,401.02,729.78,504.23,507.08,450.17,426.15
17,549.05,351.69,514.68,350.98,544.16,629.69,604.35,777.66,495.24,515.6,400.05,728.15,505.86,507.09,450.95,426.13
18,550.66,351.88,516.2,350.77,546.66,629.83,604.36,777.59,498.25,516.05,399.12,727.35,506.79,507.04,452.19,425.9
19,551.73,351.93,516.88,351.54,551.36,630.3,604.76,777.05,500.44,517.38,397.93,726.27,507.94,507.21,452.66,426.4
20,552.63,352.95,518.63,352.39,552.67,630.38,604.76,776.66,500.71,518.42,396.1,722.72,508.14,507.9,453.21,426.75
21,554.29,354.73,518.76,353.3,514.25,630.44,494.08,776.59,500.26,519.93,480.83,735.31,508.66,509.18,453.25,428.24
22,555.2,355.3,519.36,353.43,534.41,630.68,575.49,776.59,500.67,520.84,409.31,725.12,509.22,510.21,453.75,429.39
23,556.04,355.51,519.2,354.82,551.19,630.68,597.38,776.61,501.46,521.86,393.49,719.57,509.67,511.21,454.18,430.65
24,556.84,355.85,519.29,357.5,527.52,634.2,520.32,782.62,501.15,522.24,393.94,716.07,509.77,512.26,454.52,432.21
25,557.4,356.2,519.49,358.73,550.64,634.07,585.98,782.41,501.38,522.44,387.97,716.67,509.7,512.51,454.55,432.84
26,558.81,357.81,520.04,359.22,557.2,635.26,599.62,781.92,504.27,523.21,386.19,717.15,509.82,513.06,455.1,433.16
27,559.77,358.95,520.56,361.37,556.7,635.72,601.63,781.94,505.34,526.2,387.32,715.45,510.49,514.33,455.87,434.14
28,560.3,360.91,520.91,362.4,563.87,636.43,602.57,781.79,509.67,529.09,382.73,716.15,511.15,515.54,456.44,435.7
29,560.75,363.86,521.27,364.84,567.45,637.34,602.56,781.74,511.15,532.68,384.03,716.59,511.53,516.21,456.71,436.65
30,561.34,365.41,521.56,365.92,568.68,637.71,603.03,782.01,511.52,534.24,385.02,716.74,511.69,517.14,457.26,438.09
31,561.32,366.45,522.4,368.12,568.9,638.2,602.34,782.15,510.96,535.54,386.25,716.42,511.68,517.6,457.52,439.25
32,561.95,369.25,523.85,370.11,571.63,639.29,602.11,782.84,512.34,536.78,385.38,716.64,511.72,518.13,457.93,439.85
33,563.15,371.39,524.44,371.21,517.03,644.82,390.29,785.06,512.12,537.75,548.81,755.23,511.85,518.91,458.28,440.75
34,563.3,372.79,525.78,371.6,564.47,644.52,575.97,785.33,514.07,540.81,408.92,743.28,512.11,519.92,459.12,442.25
35,564.13,374.33,526.83,372.23,575.5,645.18,600.23,786.78,514.61,543.0,388.94,736.66,512.47,520.63,459.68,443.06
36,564.68,374.26,527.29,373.63,579.0,646.0,604.27,787.39,515.06,544.03,385.22,735.59,512.46,521.59,459.66,444.3
37,565.43,375.47,528.2,374.24,580.36,646.39,606.3,787.56,516.08,544.9,384.51,733.08,512.51,522.33,459.75,445.37
38,566.84,377.56,528.7,375.24,581.35,646.83,607.24,788.07,516.55,546.03,385.72,732.01,512.54,522.85,459.84,446.25
39,567.62,379.06,529.79,376.88,581.84,647.22,605.72,788.91,516.4,547.46,385.16,731.52,512.69,523.59,460.28,446.85
40,568.73,381.21,531.06,378.52,582.25,647.9,604.0,791.06,516.19,548.33,385.72,732.24,512.75,524.54,460.92,447.85
41,569.84,382.72,531.47,379.59,583.85,648.19,604.92,792.14,516.02,548.97,386.39,732.21,513.06,525.72,461.56,448.88
42,570.06,382.64,531.7,381.37,585.76,648.81,605.53,792.88,515.92,549.35,387.04,732.42,513.37,526.97,461.76,449.86
43,570.52,384.09,532.27,382.23,586.91,649.33,606.84,792.87,515.85,550.2,386.56,732.66,513.62,528.03,462.1,450.7
44,571.51,385.23,532.5,382.91,587.31,649.75,606.73,793.35,515.6,550.36,386.34,733.11,513.79,529.37,462.37,451.49
45,572.13,386.66,533.01,383.38,588.15,650.43,601.67,802.07,514.67,551.39,386.66,733.25,514.2,530.66,463.93,452.66
46,573.24,387.44,533.61,383.82,587.42,650.98,561.79,808.64,513.45,551.86,387.06,733.67,514.27,531.54,464.35,453.22
47,573.95,387.62,533.91,384.46,546.24,661.44,475.91,805.54,512.97,552.63,485.92,749.05,514.51,532.52,464.67,454.16
48,574.4,388.39,534.54,385.25,572.1,659.42,528.66,809.97,512.82,553.16,416.46,747.96,514.6,533.1,465.08,454.55
49,574.8,389.17,535.75,385.64,583.35,658.19,572.67,810.69,512.7,553.36,394.99,747.13,514.6,533.5,465.66,454.69
50,575.48,390.28,536.83,386.52,587.59,657.29,604.7,811.16,512.99,554.12,388.19,745.6,514.66,534.02,466.29,455.14
51,575.95,391.23,537.82,386.66,589.15,656.85,609.7,804.99,513.87,554.74,386.06,744.01,514.65,534.4,467.12,455.45
52,576.2,392.05,538.27,387.7,589.9,656.63,611.49,811.23,514.4,555.2,386.14,743.01,514.79,534.94,467.8,456.01
53,576.23,392.75,538.63,388.11,590.06,656.4,605.16,811.57,514.39,556.13,386.06,741.9,514.81,535.35,468.48,456.48
54,576.29,393.92,539.26,388.42,589.66,656.74,594.2,813.86,514.38,557.23,386.01,741.19,515.27,536.16,469.32,457.01
55,576.48,395.3,539.36,389.59,589.59,656.68,599.54,813.98,514.28,557.65,385.58,740.78,515.66,537.03,469.81,457.51
56,577.05,395.61,539.49,390.66,589.42,656.88,593.28,816.48,513.95,558.28,385.94,740.6,516.33,537.87,470.5,458.43
57,577.67,395.36,539.67,390.92,589.44,657.26,596.7,817.47,514.02,558.22,385.36,740.48,517.09,538.58,471.11,459.25
58,578.86,395.61,540.02,391.02,589.6,657.44,604.12,805.5,516.21,558.86,383.87,740.7,517.93,539.52,471.55,459.92
59,579.62,395.91,540.75,391.02,589.57,657.83,606.44,801.69,518.06,559.24,382.8,741.09,519.18,540.81,472.62,460.54
