Frame,Shoulder_X,Shoulder_Y,Elbow_X,Elbow_Y,Wrist_X,Wrist_Y,Hip_X,Hip_Y,Ankle_X,Ankle_Y,Elbow_Angle,Trunk_Lean_Angle,Stride_Length,Wrist_Hip_Distance,Mid_Sternum_X,Knee_X,Foot_X,Sternum_to_Knee_Dist,Toe_to_Knee_Dist
1,498.98855209350586,359.0273988246918,426.9837284088135,433.46030831336975,485.0115394592285,511.0505211353302,487.0418930053711,523.1906282901764,409.6868991851807,739.3999242782593,99.16,88.84,229.63,12.31,298.8445587158203,291.1933135986328,291.1933135986328,7.6512451171875,0.0
2,497.7880668640137,359.458955526352,427.029275894165,433.1620037555695,484.9889945983887,511.01312041282654,485.06458282470703,522.2002494335175,409.57408905029297,741.9498038291931,99.5,91.18,232.35,11.19,398.35453033447266,387.8399963378906,387.8399963378906,10.514533996582031,0.0
3,497.446174621582,359.6700346469879,428.0328369140625,432.5981283187866,485.54786682128906,510.82817673683167,483.86009216308594,520.7053792476654,409.3805122375488,742.1595311164856,100.09,92.43,233.64,10.02,498.2042427062988,484.505916595459,484.505916595459,13.698326110839844,0.0
4,497.5498580932617,359.6683609485626,429.3501663208008,432.0605170726776,487.408618927002,510.4237854480744,483.23341369628906,518.9996874332428,409.3799686431885,742.0992136001587,100.17,92.32,235.01,9.54,498.3710632324219,483.9456481933594,483.9456481933594,14.4254150390625,0.0
5,499.24856185913086,358.9371156692505,433.2057094573975,430.50429940223694,488.5936546325684,510.1025319099426,483.3296012878418,517.8819465637207,409.44926261901855,742.070631980896,102.47,92.66,236.05,9.39,499.09922790527344,483.86585998535156,483.86585998535156,15.233367919921875,0.0
6,499.8226547241211,358.19547414779663,435.798454284668,429.3308436870575,491.2343215942383,510.0895929336548,484.24055099487305,516.9248807430267,409.4726085662842,741.8094706535339,103.54,92.72,236.99,9.78,500.08827209472656,484.269287109375,484.269287109375,15.818984985351562,0.0
7,501.4288902282715,357.98365473747253,438.1930160522461,429.1891586780548,494.2606544494629,510.144921541214,484.665641784668,515.9403598308563,409.3716716766357,741.2798738479614,103.69,94.05,237.59,11.21,501.36633682250977,484.99275970458984,484.99275970458984,16.373577117919922,0.0
8,502.39139556884766,357.4079990386963,439.7761917114258,429.085099697113,495.82786560058594,510.10655522346497,485.8772277832031,515.445556640625,409.3146800994873,740.9417223930359,104.18,93.13,238.14,11.29,502.5175094604492,485.7776756286621,485.7776756286621,16.73983383178711,0.0
9,503.9401817321777,355.56506395339966,442.2467994689941,427.9154098033905,497.1727180480957,509.8513162136078,486.8507766723633,515.1099157333374,408.52063179016113,739.8738384246826,105.71,91.12,238.02,11.58,503.9526672363281,486.5569610595703,486.5569610595703,17.395706176757812,0.0
10,505.0044250488281,354.3536925315857,443.9113140106201,427.1110689640045,498.2647705078125,509.43453311920166,487.2541809082031,514.8828077316284,407.620267868042,738.3842468261719,106.55,90.16,237.26,12.28,505.21117401123047,487.38331604003906,487.38331604003906,17.827857971191406,0.0
11,506.9984436035156,352.8952896595001,446.06632232666016,426.5875232219696,499.5475959777832,508.9820873737335,488.13697814941406,514.7360372543335,406.2571334838867,737.1131372451782,107.43,90.66,236.97,12.78,506.50948333740234,488.30910873413086,488.30910873413086,18.200374603271484,0.0
12,507.7214241027832,352.6065123081207,447.4495124816895,426.4094352722168,500.1199722290039,508.2319486141205,488.7974166870117,514.6649050712585,405.1763534545898,736.1946630477905,107.99,91.78,236.79,13.02,507.7266082763672,489.25036239624023,489.25036239624023,18.476245880126953,0.0
13,508.88294219970703,352.3397183418274,448.29906463623047,426.3990390300751,501.1871910095215,507.481552362442,490.5061912536621,514.7352969646454,404.1985988616944,734.2247843742371,107.6,94.64,235.85,12.91,509.0078430175781,490.35336685180664,490.35336685180664,18.654476165771484,0.0
14,510.025806427002,351.8490993976593,449.5744800567627,426.39501571655273,502.5962448120117,507.2110569477081,491.55704498291016,514.7936511039734,403.0951595306397,731.8520593643188,107.69,95.03,234.39,13.39,510.1633758544922,491.29013442993164,491.29013442993164,18.873241424560547,0.0
15,511.4105987548828,351.3465070724488,450.0943279266357,426.1592173576355,503.4730339050293,507.15495586395264,492.7692031860352,514.8328864574432,401.9471740722656,730.6916069984436,107.28,95.3,234.19,13.17,511.55591583251953,492.57849884033203,492.57849884033203,18.9774169921875,0.0
16,512.7761077880859,351.22252464294434,450.16714096069336,426.1495292186737,504.22943115234375,507.0843064785004,492.8208160400391,514.8664569854736,401.02128982543945,729.7759652137756,106.38,96.47,233.69,13.81,513.0190887451172,494.1277885437012,494.1277885437012,18.891300201416016,0.0
17,514.6841239929199,350.9759759902954,450.9502601623535,426.1284470558167,505.8559799194336,507.0944130420685,495.2392387390137,515.599536895752,400.052661895752,728.1458473205566,105.56,95.54,232.89,13.6,514.3896789550781,495.9037399291992,495.9037399291992,18.485939025878906,0.0
18,516.1988067626953,350.7672142982483,452.1874809265137,425.8962857723236,506.7851257324219,507.0448780059815,498.2526397705078,516.0463178157806,399.1185665130615,727.3500037193298,105.64,94.35,233.4,12.4,515.8329162597656,497.4910583496094,497.4910583496094,18.34185791015625,0.0
19,516.8787574768066,351.53669714927673,452.6584053039551,426.4005517959595,507.9448699951172,507.2064220905304,500.4368019104004,517.3841500282288,397.9302978515625,726.2700176239014,105.0,95.01,232.68,12.65,517.0298767089844,498.9788017272949,498.9788017272949,18.051074981689453,0.0
20,518.6267852783203,352.38770842552185,453.2052612304688,426.7503225803375,508.1367874145508,507.9010391235352,500.70579528808594,518.423581123352,396.10347747802734,722.7222919464111,104.57,95.22,229.52,12.88,517.9656944274902,500.06420516967773,500.06420516967773,17.9014892578125,0.0
21,518.7609100341797,353.303736448288,453.2518100738525,428.2388520240784,508.6627578735352,509.1771697998047,500.2595329284668,519.9264657497406,480.8288383483887,735.3056716918945,104.44,94.04,216.25,13.64,518.5652503967285,500.7054862976074,500.7054862976074,17.859764099121094,0.0
22,519.3632125854492,353.4331262111664,453.753719329834,429.3908715248108,509.223747253418,510.2125775814056,500.6662559509277,520.8376979827881,409.3088436126709,725.1187062263489,104.72,93.38,223.78,13.64,519.0474243164062,500.8486747741699,500.8486747741699,18.198749542236328,0.0
23,519.1965866088867,354.8247742652893,454.1813278198242,430.6536769866944,509.6747589111328,511.20633602142334,501.45904541015625,521.8563687801361,393.4928512573242,719.5703959465027,104.83,95.0,225.27,13.45,519.2208709716797,500.9828910827637,500.9828910827637,18.237979888916016,0.0
24,519.2896270751953,357.49602913856506,454.5247077941895,432.2088325023651,509.7734069824219,512.2632443904877,501.1527442932129,522.2442162036896,393.93871307373047,716.0656070709229,104.47,98.78,221.5,13.19,519.4775619506836,501.78460693359375,501.78460693359375,17.692955017089844,0.0
25,519.4940185546875,358.7325382232666,454.5510292053223,432.8385293483734,509.7009086608887,512.5128185749054,501.3768768310547,522.4432253837585,387.97390937805176,716.6726446151733,104.08,100.14,224.91,12.96,519.7165603637695,502.72026443481445,502.72026443481445,16.996295928955078,0.0
26,520.0443649291992,359.21568989753723,455.0998592376709,433.1605875492096,509.8191261291504,513.057382106781,504.2681121826172,523.2107448577881,386.1862277984619,717.1459150314331,104.3,97.57,227.06,11.57,520.0583267211914,504.36193084716797,504.36193084716797,15.696395874023438,0.0
27,520.5582046508789,361.3721215724945,455.8695030212402,434.1366112232208,510.4867172241211,514.3340921401978,505.3445434570313,526.1993265151978,387.317361831665,715.4524540901184,104.11,98.81,223.04,12.93,520.4544067382812,506.3620147705078,506.3620147705078,14.092391967773438,0.0
28,520.9054183959961,362.404922246933,456.4385318756104,435.703901052475,511.1474418640137,515.540281534195,509.6673774719238,529.0891599655151,382.7292823791504,716.1509013175964,104.25,96.03,226.06,13.63,520.8682250976562,508.39029693603516,508.39029693603516,12.477928161621094,0.0
29,521.2700271606445,364.843887090683,456.7100715637207,436.6506028175354,511.53093338012695,516.214234828949,511.1531639099121,532.675895690918,384.0296745300293,716.589732170105,103.47,94.88,223.57,16.47,521.3389549255371,509.7290725708008,509.7290725708008,11.609882354736328,0.0
30,521.5631103515625,365.9178864955902,457.25996017456055,438.08818101882935,511.6890335083008,517.1353805065155,511.5182876586914,534.2442154884338,385.0206470489502,716.7379832267761,103.75,94.15,222.05,17.11,521.9973220825195,511.1279754638672,511.1279754638672,10.869346618652344,0.0
31,522.3980140686035,368.1205701828003,457.5151062011719,439.2536222934723,511.6761589050293,517.5999283790588,510.9619903564453,535.5401086807251,386.24759674072266,716.4243578910828,102.97,96.37,219.71,17.95,522.7040634155273,511.6193733215332,511.6193733215332,11.08469009399414,0.0
32,523.850040435791,370.1107263565064,457.934045791626,439.8450493812561,511.7241668701172,518.1253087520599,512.3390579223633,536.7823469638824,385.3787040710449,716.6435480117798,102.12,95.24,220.16,18.67,523.6070365905762,512.2029991149902,512.2029991149902,11.404037475585938,0.0
33,524.4391250610352,371.2106680870056,458.2788562774658,440.7548975944519,511.8519401550293,518.9079558849335,512.1243667602539,537.7495193481445,548.8101768493652,755.230278968811,102.0,93.96,220.55,18.84,524.6604423522949,512.8203506469727,512.8203506469727,11.840091705322266,0.0
34,525.7848930358887,371.6013157367706,459.1212272644043,442.2461950778961,512.1146392822266,519.916455745697,514.0712928771973,540.8092975616455,408.9175987243652,743.277690410614,102.36,92.15,228.15,20.98,525.6391754150391,513.640811920166,513.640811920166,11.998363494873047,0.0
