Frame,Shoulder_X,Shoulder_Y,Elbow_X,Elbow_Y,Wrist_X,Wrist_Y,Hip_X,Hip_Y,Ankle_X,Ankle_Y,Elbow_Angle,Trunk_Lean_Angle,Stride_Length,Wrist_Hip_Distance,Mid_Sternum_X,Knee_X,Foot_X,Sternum_to_Knee_Dist,Toe_to_Knee_Dist
1,498.98855209350586,359.0273988246918,426.9837284088135,433.46030831336975,485.0115394592285,511.0505211353302,487.0418930053711,523.1906282901764,409.6868991851807,739.3999242782593,99.16,88.84,229.63,12.31,277.62686347961426,256.4091682434082,245.7283000946045,21.217695236206055,10.680868148803711
2,497.7880668640137,359.458955526352,427.029275894165,433.1620037555695,484.9889945983887,511.01312041282654,485.06458282470703,522.2002494335175,409.57408905029297,741.9498038291931,99.5,91.18,232.35,11.19,370.3168659210205,342.27920150756836,327.6042938232422,28.03766441345215,14.674907684326172
3,497.446174621582,359.6700346469879,428.0328369140625,432.5981283187866,485.54786682128906,510.82817673683167,483.86009216308594,520.7053792476654,409.3805122375488,742.1595311164856,100.09,92.43,233.64,10.02,463.56229305267334,428.92034339904785,409.4941463470459,34.64194965362549,19.426197052001953
4,497.5498580932617,359.6683609485626,429.3501663208008,432.0605170726776,487.408618927002,510.4237854480744,483.23341369628906,518.9996874332428,409.3799686431885,742.0992136001587,100.17,92.32,235.01,9.54,464.5271759033203,430.68328857421875,409.4512882232666,33.84388732910156,21.23200035095215
5,499.24856185913086,358.9371156692505,433.2057094573975,430.50429940223694,488.5936546325684,510.1025319099426,483.3296012878418,517.8819465637207,409.44926261901855,742.070631980896,102.47,92.66,236.05,9.39,466.0076322555542,432.91603660583496,409.41080474853516,33.09159564971924,23.505231857299805
6,499.8226547241211,358.19547414779663,435.798454284668,429.3308436870575,491.2343215942383,510.0895929336548,484.24055099487305,516.9248807430267,409.4726085662842,741.8094706535339,103.54,92.72,236.99,9.78,467.6764898300171,435.2647075653076,409.39763832092285,32.41178226470947,25.867069244384766
7,501.4288902282715,357.98365473747253,438.1930160522461,429.1891586780548,494.2606544494629,510.144921541214,484.665641784668,515.9403598308563,409.3716716766357,741.2798738479614,103.69,94.05,237.59,11.21,469.605185508728,437.8440341949463,409.2257709503174,31.76115131378174,28.618263244628906
8,502.39139556884766,357.4079990386963,439.7761917114258,429.085099697113,495.82786560058594,510.10655522346497,485.8772277832031,515.445556640625,409.3146800994873,740.9417223930359,104.18,93.13,238.14,11.29,471.25133228302,439.9851551055908,408.85997200012207,31.2661771774292,31.12518310546875
9,503.9401817321777,355.56506395339966,442.2467994689941,427.9154098033905,497.1727180480957,509.8513162136078,486.8507766723633,515.1099157333374,408.52063179016113,739.8738384246826,105.71,91.12,238.02,11.58,472.9956979751587,442.03872871398926,408.2168769836426,30.956969261169434,33.82185173034668
10,505.0044250488281,354.3536925315857,443.9113140106201,427.1110689640045,498.2647705078125,509.43453311920166,487.2541809082031,514.8828077316284,407.620267868042,738.3842468261719,106.55,90.16,237.26,12.28,474.5506010055542,443.89002799987793,407.3778133392334,30.66057300567627,36.51221466064453
11,506.9984436035156,352.8952896595001,446.06632232666016,426.5875232219696,499.5475959777832,508.9820873737335,488.13697814941406,514.7360372543335,406.2571334838867,737.1131372451782,107.43,90.66,236.97,12.78,476.0520429611206,445.59460258483887,406.3545970916748,30.45744037628174,39.24000549316406
