Frame,Left_Shoulder_X,Left_Shoulder_Y,Right_Shoulder_X,Right_Shoulder_Y,Right_Knee_X,Right_Knee_Y,Right_Foot_Index_X,Right_Foot_Index_Y,Hip_X,Hip_Y,Ankle_X,Ankle_Y,Wrist_X,Wrist_Y,Elbow_X,Elbow_Y
1,536.97,394.2,511.87,391.22,560.31,639.22,594.8,792.75,461.12,552.53,367.95,748.71,537.92,513.19,452.88,479.0
2,536.67,394.87,509.19,392.2,559.41,639.27,598.29,792.88,461.22,548.73,367.63,748.73,538.02,510.71,452.46,476.18
3,530.31,394.31,508.54,393.62,559.42,639.26,598.92,791.87,461.31,548.17,366.9,749.2,537.88,509.82,451.51,475.08
4,527.77,394.08,506.77,395.2,559.64,639.12,601.31,791.88,460.48,548.3,365.75,750.45,536.92,509.41,450.72,474.68
5,528.4,394.36,504.02,395.87,559.88,638.75,601.63,792.19,457.75,548.39,365.74,750.85,536.25,508.86,449.78,474.46
6,527.95,394.45,502.25,396.44,559.92,638.41,602.73,792.83,455.47,548.63,365.64,751.25,534.15,508.89,448.35,474.62
7,526.73,394.67,501.26,396.65,559.93,638.39,602.59,792.85,454.74,548.68,365.38,751.55,531.95,508.92,447.11,474.68
8,526.6,395.63,499.59,396.85,559.93,638.34,602.74,793.18,451.92,548.73,364.61,752.78,529.48,508.96,445.27,474.8
9,526.89,398.3,496.97,397.07,560.0,638.12,603.69,793.59,449.85,548.78,364.53,752.89,528.03,509.0,444.03,475.29
10,527.09,399.23,495.48,397.29,560.05,637.91,604.1,793.58,448.61,549.19,363.86,753.64,526.81,508.86,442.46,475.82
11,527.1,401.17,493.95,397.26,559.94,637.56,603.97,793.56,447.49,549.63,363.33,754.26,525.42,508.67,440.99,476.41
12,527.21,402.21,492.17,397.24,559.43,636.87,603.87,793.49,446.97,549.65,362.8,754.37,523.89,508.61,439.51,476.93
13,527.65,403.74,489.88,397.21,558.62,636.47,603.83,793.49,445.55,549.36,362.26,754.62,522.8,508.4,437.79,476.94
14,527.44,403.96,488.5,397.25,558.34,636.28,603.74,793.51,445.12,549.82,361.54,754.96,522.49,508.17,436.18,477.01
15,527.0,404.18,488.02,397.24,557.87,635.68,603.77,793.15,444.79,550.26,361.49,755.44,521.94,508.02,434.66,477.02
16,524.23,403.58,487.94,397.27,557.44,635.26,604.11,792.69,444.18,550.24,361.51,755.86,521.32,508.01,433.7,477.0
17,522.86,402.72,487.76,397.29,556.04,635.23,604.47,792.73,442.69,549.57,361.39,756.49,521.06,508.0,432.38,476.79
