Frame,Shoulder_X,Shoulder_Y,Elbow_X,Elbow_Y,Wrist_X,Wrist_Y,Hip_X,Hip_Y,Ankle_X,Ankle_Y,Elbow_Angle,Trunk_Lean_Angle,Stride_Length,Wrist_Hip_Distance,Mid_Sternum_X,Knee_X,Foot_X,Sternum_to_Knee_Dist,Toe_to_Knee_Dist
1,511.87259674072266,391.22398138046265,452.8821659088135,479.00386333465576,537.919979095459,513.1932413578033,461.120023727417,552.5263452529907,367.9511833190918,748.7136697769165,78.0,100.71,217.19,86.29,288.6458387374878,271.37131690979004,220.49533081054688,17.274521827697754,50.875986099243164
2,509.1866111755371,392.20473647117615,452.4618816375733,476.1781132221222,538.0206871032715,510.7064473628998,461.2187004089356,548.7327146530151,367.6269435882568,748.7287330627441,77.94,101.51,220.81,85.7,384.3949499130249,361.51622200012207,293.6463088989258,22.878727912902832,67.86991310119629
3,508.542594909668,393.6161148548126,451.5125370025635,475.0753712654114,537.8827857971191,509.81945157051086,461.312427520752,548.1663608551025,366.89852714538574,749.203999042511,76.92,105.16,222.1,85.64,479.7746114730835,451.4714412689209,366.79407691955566,28.303170204162598,84.67736434936523
4,506.7665863037109,395.20323157310486,450.72452545166016,474.68201994895935,536.9159889221191,509.4051790237427,460.4797840118408,548.3023810386658,365.7548904418945,750.4487156867981,76.75,109.88,223.24,85.76,478.35894298553467,450.56524085998535,366.332462310791,27.793702125549316,84.23277854919434
5,504.0205192565918,395.8727431297302,449.7760963439941,474.4553303718567,536.2482261657715,508.8622891902924,457.75403022766113,548.388512134552,365.7388401031494,750.8457684516907,77.08,110.41,222.39,87.88,477.0311393737793,449.4953155517578,365.88260650634766,27.535823822021484,83.61270904541016
6,502.2469139099121,396.44331336021423,448.3511638641357,474.6166491508484,534.1495513916016,508.8881027698517,455.47425270080566,548.6274003982544,365.64311027526855,751.2482929229736,77.19,111.51,221.64,88.14,475.51155281066895,448.2462501525879,365.42431640625,27.265302658081055,82.82193374633789
7,501.2582015991211,396.6546177864074,447.1122550964356,474.6750032901764,531.9529151916504,508.9222526550293,454.7412014007568,548.6794137954712,365.37766456604,751.5493011474609,77.22,111.46,221.68,86.85,473.86269092559814,446.9080410003662,365.1793556213379,26.954649925231934,81.72868537902832
8,499.59205627441406,396.84635281562805,445.26721000671387,474.79599237442017,529.4795036315918,508.96271109580994,451.9172859191895,548.7279510498047,364.6070766448975,752.7780532836914,77.21,110.01,221.94,87.16,472.2774324417114,445.44560050964355,364.8031883239746,26.83183193206787,80.64241218566895
9,496.9690132141113,397.0651245117188,444.03347969055176,475.2900552749634,528.0315971374512,508.99972558021545,449.85400199890137,548.7842774391174,364.530086517334,752.8865218162537,77.78,104.89,221.22,87.72,470.7115716934204,443.97240257263184,364.3396396636963,26.739169120788574,79.63276290893555
10,495.4801368713379,397.2942924499512,442.46389389038086,475.8184611797333,526.8117713928223,508.85697841644287,448.6136054992676,549.1913080215454,363.858003616333,753.6361455917358,77.36,103.65,221.32,87.99,469.04180431365967,442.4512538909912,363.8240432739258,26.590550422668457,78.62721061706543
11,493.95429611206055,397.2615587711334,440.9851741790772,476.41239881515503,525.4216575622559,508.6683654785156,447.4858474731445,549.6320056915283,363.32536697387695,754.2604994773865,77.12,100.24,221.26,88.05,467.32307624816895,440.9556770324707,363.3555965423584,26.367399215698242,77.6000804901123
12,492.1662712097168,397.23597049713135,439.5065116882324,476.930730342865,523.8858032226562,508.6078870296478,446.97157859802246,549.6513819694519,362.7996826171875,754.3678092956543,77.12,98.44,221.35,87.18,465.69019317626953,439.3843231201172,362.7572593688965,26.305870056152344,76.6270637512207
13,489.8826599121094,397.2123456001282,437.7893257141113,476.9420599937439,522.7985000610352,508.40205430984497,445.54850578308105,549.3622827529907,362.26484298706055,754.6240782737732,77.15,96.44,221.51,87.44,464.1634855270386,437.8235263824463,362.28420639038086,26.339959144592285,75.53931999206543
14,488.4969520568848,397.2464954853058,436.1767101287842,477.0114541053772,522.4881362915039,508.16606283187866,445.1248168945313,549.8215842247009,361.5384006500244,754.9613285064697,76.59,96.09,221.52,87.87,462.8336763381958,436.3666019439697,361.9206733703613,26.467074394226074,74.4459285736084
15,488.0170440673828,397.2372901439667,434.6599102020264,477.0213675498962,521.942081451416,508.01517248153687,444.78681564331055,550.2555227279663,361.4927387237549,755.442967414856,75.78,95.68,221.45,87.96,461.68050956726074,434.9414520263672,361.6379871368408,26.739057540893555,73.30346488952637
16,487.9408264160156,397.2657108306885,433.7005519866944,477.0006716251373,521.3162040710449,508.01230788230896,444.18368339538574,550.2374982833862,361.5077018737793,755.860812664032,75.27,96.1,221.62,87.93,460.66257762908936,433.5219097137451,361.44639015197754,27.14066791534424,72.07551956176758
17,487.7603530883789,397.2937774658203,432.3807621002197,476.7866635322571,521.0638618469238,507.99689054489136,442.6859092712402,549.5740056037903,361.38625144958496,756.4865827560425,74.53,97.7,222.31,88.72,459.77181243896484,432.2877960205078,361.38224029541016,27.48401641845703,70.90555572509766
18,486.80105209350586,397.290655374527,430.691614151001,476.7786490917206,521.363410949707,507.6072406768799,440.8846378326416,547.4497604370117,361.30685806274414,756.5571355819702,73.56,99.07,223.74,89.8,458.96806812286377,431.2378749847412,361.32949447631836,27.73019313812256,69.90838050842285
19,485.7598686218262,397.1859526634216,430.00614166259766,476.7878866195679,521.4722442626953,506.95704102516174,439.78222846984863,546.7648315429688,361.2176513671875,756.5230178833008,73.25,100.78,223.99,90.87,458.0592441558838,430.1880798339844,361.3532295227051,27.871164321899414,68.8348503112793
20,485.2292060852051,397.18398928642273,429.41030502319336,476.8008577823639,520.5719375610352,505.95871210098267,440.2511501312256,546.8541169166565,361.2290096282959,756.5243697166443,72.7,101.8,224.07,90.13,457.08322620391846,429.13423347473145,361.4069938659668,27.94899272918701,67.72723960876465
21,484.1015625,397.0817005634308,428.45157623291016,476.7716646194458,520.2237510681152,504.7560954093933,440.5772209167481,547.1538376808167,361.6263771057129,756.42742395401,72.03,101.63,223.67,90.23,456.0992317199707,428.25678634643555,361.4777011871338,27.842445373535156,66.77908515930176
22,483.26940536499023,396.999785900116,427.1115303039551,476.7664182186127,518.2459259033203,504.02958154678345,440.4763412475586,547.2552251815796,361.6550731658936,756.412296295166,71.51,103.14,223.52,88.98,454.8798952102661,427.1239929199219,361.5831470489502,27.75590229034424,65.54084587097168
23,481.3483428955078,396.4705753326416,426.3043785095215,476.7265713214874,516.4483451843262,503.7711238861084,439.4592475891113,547.1189475059509,361.6603946685791,756.4001297950745,72.26,103.36,223.27,88.35,453.6594457626343,425.9681282043457,361.69348526000977,27.691317558288574,64.27464294433594
24,479.23047065734863,396.1102795600891,424.3421745300293,476.2957549095154,513.6936378479004,503.3103096485138,438.11445236206055,546.8615198135376,361.74488067626953,756.2802028656006,72.43,103.15,222.91,87.23,452.59696769714355,424.91809272766113,361.77844619750977,27.678874969482422,63.13964653015137
25,478.8040351867676,394.58531498909,423.6309814453125,475.81710934638977,512.1260833740234,503.2505393028259,437.6176071166992,546.6868114471436,361.78070068359375,756.2756967544556,73.04,101.82,222.89,86.25,451.5946168899536,424.03330421447754,361.9566650390625,27.561312675476074,62.07663917541504
26,478.7269592285156,392.9491782188416,423.2013988494873,474.8380279541016,510.62456130981445,502.402263879776,436.9836330413818,545.9713697433472,362.0511817932129,756.2599897384644,73.36,100.48,223.24,85.56,450.56302642822266,423.0310478210449,362.2009048461914,27.531978607177734,60.830142974853516
27,477.6698398590088,391.7854106426239,422.6875877380371,474.7935783863068,510.1617622375488,502.1042490005493,436.69684410095215,545.6881928443909,362.5461673736572,756.1452770233154,73.82,100.24,223.14,85.42,449.69694328308105,422.19298553466797,362.44978523254395,27.503957748413086,59.74320030212402
28,476.0437202453613,390.1288032531738,421.2930965423584,474.6200931072235,508.7055587768554,501.6758465766907,435.759859085083,545.2523875236511,362.8815937042236,756.1101937294006,74.25,97.49,223.1,84.97,448.67912578582764,421.3248596191406,362.6945972442627,27.35426616668701,58.63026237487793
29,474.7599506378174,390.0691294670105,420.1518630981445,474.42877650260925,507.21960067749023,500.9277677536011,435.3143119812012,545.2236127853394,362.9892826080322,756.2850952148438,74.01,99.76,223.11,84.45,447.4098300933838,420.30013275146484,362.88515281677246,27.109697341918945,57.41497993469238
30,472.9664897918701,389.9674844741821,419.2903518676758,474.6745204925537,507.29713439941406,500.1824569702149,433.712797164917,545.0353217124939,363.0047607421875,756.3535237312317,73.8,103.61,222.83,86.18,446.181547164917,419.2101516723633,362.99831771850586,26.97139549255371,56.21183395385742
31,471.15763664245605,389.0919470787048,418.0777645111084,474.8372554779053,506.6328048706055,499.589581489563,432.2407150268554,544.8981428146362,363.0039596557617,756.4936637878418,73.86,105.32,222.64,87.1,445.2328176498413,418.34012603759766,363.0622673034668,26.892691612243652,55.27785873413086
32,470.83691596984863,387.6825964450836,417.2376823425293,474.3659806251526,506.0404586791992,499.54854369163513,431.0331916809082,544.6149659156799,363.1119918823242,756.9730496406555,74.1,104.96,222.96,87.5,444.32422256469727,417.4706039428711,363.1050338745117,26.853618621826172,54.365570068359375
