Frame,Left_Shoulder_X,Left_Shoulder_Y,Right_Shoulder_X,Right_Shoulder_Y,Right_Knee_X,Right_Knee_Y,Right_Foot_Index_X,Right_Foot_Index_Y,Hip_X,Hip_Y,Ankle_X,Ankle_Y,Wrist_X,Wrist_Y,Elbow_X,Elbow_Y
1,621.12,392.28,589.87,389.99,590.64,673.76,608.59,815.24,553.77,551.07,513.29,749.26,618.77,518.53,538.48,475.07
2,620.88,393.08,589.84,391.58,591.8,672.56,605.67,814.97,557.37,551.11,537.26,764.1,618.78,517.92,538.1,474.86
3,618.15,393.11,590.97,392.47,593.64,672.01,622.1,814.9,562.93,551.11,518.58,753.92,619.26,517.32,538.15,474.78
4,618.26,393.5,591.25,392.55,594.91,672.02,631.88,815.26,566.73,551.64,510.77,752.92,619.96,516.78,538.15,474.78
5,618.52,394.42,591.44,393.22,595.03,672.0,635.19,815.49,566.94,552.38,511.25,752.82,619.91,516.46,537.69,474.95
6,618.97,397.14,591.74,393.19,593.62,671.16,565.08,807.57,566.58,551.71,583.89,790.51,619.91,516.1,537.84,474.89
7,619.63,399.07,591.73,393.14,593.43,670.01,571.33,806.23,565.8,551.47,587.13,794.78,619.91,515.94,537.84,474.88
8,619.73,400.18,591.57,393.12,593.28,669.96,564.47,806.14,565.13,551.43,588.8,795.32,620.14,515.84,537.84,474.8
9,621.49,401.67,591.56,392.93,592.91,670.0,557.82,804.08,564.83,550.53,588.61,797.09,620.21,515.61,537.89,474.52
10,622.28,401.67,591.56,392.86,592.72,670.01,561.62,804.66,564.72,549.93,587.57,796.83,620.25,515.54,538.03,474.22
11,622.28,401.42,591.71,392.85,592.69,670.07,563.69,804.98,564.24,549.61,586.46,796.74,620.34,515.53,538.08,474.07
12,622.42,401.22,591.93,392.84,593.16,670.05,561.46,805.27,563.91,549.53,586.41,797.43,620.63,515.56,538.32,474.06
13,622.77,401.09,591.96,392.82,594.41,669.77,565.93,805.45,563.71,549.49,586.17,796.97,621.12,515.58,538.63,474.07
14,623.36,401.08,592.13,393.11,595.07,669.39,556.33,803.63,563.53,549.5,587.22,798.07,621.72,515.67,538.72,474.21
15,624.54,401.38,592.18,393.33,595.2,669.27,552.18,801.46,563.63,549.77,587.79,799.35,622.41,515.86,538.96,474.43
16,626.15,401.51,592.28,393.32,595.55,669.24,553.59,800.64,564.22,550.2,587.28,799.21,622.52,516.17,539.31,474.45
17,627.18,401.68,592.53,393.34,595.51,669.12,551.29,799.3,564.14,550.26,588.21,799.57,622.72,516.55,539.88,474.54
18,627.62,401.79,592.96,393.36,595.58,669.08,553.63,799.49,564.3,550.44,588.41,799.05,623.01,516.84,540.45,474.67
