Frame,Shoulder_X,Shoulder_Y,Elbow_X,Elbow_Y,Wrist_X,Wrist_Y,Hip_X,Hip_Y,Ankle_X,Ankle_Y,Elbow_Angle,Trunk_Lean_Angle,Stride_Length,Wrist_Hip_Distance,Mid_Sternum_X,Knee_X,Foot_X,Sternum_to_Knee_Dist,Toe_to_Knee_Dist
1,589.8740386962891,389.9882125854492,538.4763336181641,475.06874084472656,618.7695121765137,518.5255801677704,553.7742233276367,551.0735106468201,513.2897186279297,749.2590379714966,87.29,98.45,202.28,72.69,354.1365394592285,334.814998626709,334.814998626709,19.32154083251953,0.0
2,589.8382186889648,391.5756511688232,538.0975914001465,474.8575973510742,618.7759780883789,517.9166758060455,557.3682403564453,551.1095595359802,537.2625160217285,764.1035199165344,86.24,98.73,213.94,69.8,472.38733291625977,448.1619186401367,448.1619186401367,24.225414276123047,0.0
3,590.9704399108887,392.472335100174,538.1502914428711,474.77680921554565,619.2581748962402,517.3168802261353,562.9325294494629,551.1109757423401,518.576774597168,753.9226698875427,84.99,98.68,207.61,65.69,590.6756629943848,561.5490760803223,561.5490760803223,29.1265869140625,0.0
4,591.2539672851562,392.545462846756,538.1512069702148,474.7790944576264,619.9574661254883,516.7825198173523,566.7346000671387,551.6396069526672,510.7694435119629,752.9205107688904,84.33,96.73,208.92,63.62,591.0480995178223,564.1100463867188,564.1100463867188,26.938053131103516,0.0
5,591.441650390625,393.2183539867401,537.6853179931641,474.94778394699097,619.9068260192871,516.459721326828,566.9357872009277,552.3814415931702,511.2466049194336,752.8238868713379,83.45,96.21,208.03,64.0,591.4257431030273,565.7955322265625,565.7955322265625,25.630210876464844,0.0
6,591.7362213134766,393.188066482544,537.8440475463867,474.8886573314667,619.9102592468262,516.1015498638153,566.5790748596191,551.7084860801697,583.8886070251465,790.5099749565125,83.26,90.76,239.43,64.13,591.544864654541,566.235408782959,566.235408782959,25.30945587158203,0.0
7,591.7264366149902,393.1411385536194,537.8444480895996,474.8753321170807,619.9118614196777,515.9370768070221,565.7956695556641,551.4697265625,587.1338081359863,794.7771334648132,83.19,87.3,244.24,64.74,591.6060447692871,565.855224609375,565.855224609375,25.75082015991211,0.0
8,591.566047668457,393.1191551685333,537.8441619873047,474.80159282684326,620.1440620422363,515.8359467983246,565.1319122314453,551.4263391494751,588.7994956970215,795.3170299530029,83.17,85.41,245.04,65.52,591.6300888061523,565.4116744995117,565.4116744995117,26.218414306640625,0.0
9,591.5598678588867,392.9288685321808,537.8921127319336,474.5195424556732,620.2059745788574,515.6102228164673,564.8336791992188,550.5303311347961,588.6059188842773,797.0878028869629,83.19,83.35,247.7,65.46,591.6252937316895,564.9441375732422,564.9441375732422,26.681156158447266,0.0
10,591.5618705749512,392.86089062690735,538.026008605957,474.2162811756134,620.2459716796875,515.541021823883,564.7180366516113,549.9310183525085,587.5748634338379,796.8250966072083,83.34,83.7,247.95,65.31,591.6657600402832,564.5677070617676,564.5677070617676,27.098052978515625,0.0
11,591.7122459411621,392.8526186943054,538.0817985534668,474.0669357776642,620.3427886962891,515.5330073833466,564.2413902282715,549.6130800247192,586.4558029174805,796.7406392097473,83.31,84.28,248.12,65.64,591.744701385498,564.282886505127,564.282886505127,27.461814880371094,0.0
12,591.928768157959,392.8357529640198,538.3240699768066,474.06429648399353,620.6332969665527,515.5575013160706,563.913516998291,549.5268201828003,586.4143753051758,797.4258899688721,83.33,84.77,248.92,66.11,591.8579063415527,564.0213317871094,564.0213317871094,27.83657455444336,0.0
13,591.9607543945312,392.8227174282074,538.6291122436523,474.0699291229248,621.1241912841797,515.5805790424347,563.7078094482422,549.493088722229,586.1713600158691,796.9728326797485,83.43,85.2,248.5,66.68,591.9820289611816,563.8035621643066,563.8035621643066,28.178466796875,0.0
14,592.1258926391602,393.1067633628845,538.7239837646484,474.2067539691925,621.7219161987305,515.6682872772217,563.5259056091309,549.5046758651733,587.2240447998047,798.0723237991333,83.18,86.05,249.69,67.32,592.0955772399902,563.7990074157715,563.7990074157715,28.29656982421875,0.0
15,592.1824836730957,393.3298480510712,538.9591598510742,474.4291305541992,622.4057006835938,515.8590567111969,563.6291885375977,549.7664165496826,587.7884101867676,799.3503856658936,83.13,86.38,250.75,67.86,592.2163009643555,563.8435478210449,563.8435478210449,28.372753143310547,0.0
16,592.2799873352051,393.3184540271759,539.3140983581543,474.4457387924194,622.5172233581543,516.1749994754791,564.2186164855957,550.1993250846863,587.2757720947266,799.2086362838745,83.5,86.54,250.07,67.5,592.4162178039551,563.9615020751953,563.9615020751953,28.454715728759766,0.0
