Frame,Shoulder_X,Shoulder_Y,Elbow_X,Elbow_Y,Wrist_X,Wrist_Y,Hip_X,Hip_Y,Ankle_X,Ankle_Y,Elbow_Angle,Trunk_Lean_Angle,Stride_Length,Wrist_Hip_Distance,Mid_Sternum_X,Knee_X,Foot_X,Sternum_to_Knee_Dist,Toe_to_Knee_Dist
1,589.8740386962891,389.9882125854492,538.4763336181641,475.06874084472656,618.7695121765137,518.5255801677704,553.7742233276367,551.0735106468201,513.2897186279297,749.2590379714966,87.29,98.45,202.28,72.69,338.5406913757324,322.9448432922363,313.82580184936523,15.595848083496094,9.119041442871094
2,589.8382186889648,391.5756511688232,538.0975914001465,474.8575973510742,618.7759780883789,517.9166758060455,557.3682403564453,551.1095595359802,537.2625160217285,764.1035199165344,86.24,98.73,213.94,69.8,451.48120880126953,430.5750846862793,415.9796905517578,20.906124114990234,14.595394134521484
3,590.9704399108887,392.472335100174,538.1502914428711,474.77680921554565,619.2581748962402,517.3168802261353,562.9325294494629,551.1109757423401,518.576774597168,753.9226698875427,84.99,98.68,207.61,65.69,564.3939056396484,538.1121482849121,518.2290115356445,26.281757354736328,19.883136749267578
4,591.2539672851562,392.545462846756,538.1512069702148,474.7790944576264,619.9574661254883,516.7825198173523,566.7346000671387,551.6396069526672,510.7694435119629,752.9205107688904,84.33,96.73,208.92,63.62,564.5168952941895,537.9856910705566,532.3487892150879,26.531204223632812,5.63690185546875
5,591.441650390625,393.2183539867401,537.6853179931641,474.94778394699097,619.9068260192871,516.459721326828,566.9357872009277,552.3814415931702,511.2466049194336,752.8238868713379,83.45,96.21,208.03,64.0,564.6804027557373,537.9350624084473,542.3230476379395,26.74534034729004,4.3879852294921875
6,591.7362213134766,393.188066482544,537.8440475463867,474.8886573314667,619.9102592468262,516.1015498638153,566.5790748596191,551.7084860801697,583.8886070251465,790.5099749565125,83.26,90.76,239.43,64.13,564.7093505859375,537.873836517334,556.3675918579102,26.835514068603516,18.493755340576172
7,591.7264366149902,393.1411385536194,537.8444480895996,474.8753321170807,619.9118614196777,515.9370768070221,565.7956695556641,551.4697265625,587.1338081359863,794.7771334648132,83.19,87.3,244.24,64.74,564.7140312194824,537.8220176696777,571.934886932373,26.892013549804688,34.11286926269531
8,591.566047668457,393.1191551685333,537.8441619873047,474.80159282684326,620.1440620422363,515.8359467983246,565.1319122314453,551.4263391494751,588.7994956970215,795.3170299530029,83.17,85.41,245.04,65.52,564.7601222991943,537.8901557922363,587.2005386352539,26.869966506958008,49.31038284301758
9,591.5598678588867,392.9288685321808,537.8921127319336,474.5195424556732,620.2059745788574,515.6102228164673,564.8336791992188,550.5303311347961,588.6059188842773,797.0878028869629,83.19,83.35,247.7,65.46,564.7814998626709,537.9377059936523,587.7139778137207,26.843793869018555,49.77627182006836
10,591.5618705749512,392.86089062690735,538.026008605957,474.2162811756134,620.2459716796875,515.541021823883,564.7180366516113,549.9310183525085,587.5748634338379,796.8250966072083,83.34,83.7,247.95,65.31,564.8496952056885,538.0336303710938,587.5700912475586,26.816064834594727,49.536460876464844
