Frame,Shoulder_X,Shoulder_Y,Elbow_X,Elbow_Y,Wrist_X,Wrist_Y,Hip_X,Hip_Y,Ankle_X,Ankle_Y,Elbow_Angle,Trunk_Lean_Angle,Stride_Length,Wrist_Hip_Distance,Mid_Sternum_X,Knee_X,Foot_X,Sternum_to_Knee_Dist,Toe_to_Knee_Dist
1,516.2973976135254,454.4529604911804,449.3436813354492,574.0815854072571,460.9266471862793,653.8318347930908,431.1436271667481,607.7858805656433,374.75475311279297,860.8053731918335,142.5,141.36,259.23,54.84,286.61699867248535,265.8870620727539,224.91267013549805,20.729936599731445,40.97439193725586
2,511.6748428344727,452.55476117134094,441.1878776550293,563.7585353851318,457.9824542999268,653.2957363128662,432.2545337677002,609.7955417633057,374.7956943511963,861.0120105743408,137.01,160.08,257.7,50.54,381.1669750213623,353.7300453186035,299.91856956481934,27.43692970275879,53.81147575378418
3,508.76243591308594,450.1032435894013,438.903751373291,559.0399289131165,454.02405738830566,653.0819535255432,436.8497371673584,611.0824227333069,375.012903213501,861.0753536224365,138.19,155.96,257.53,45.38,474.79633712768555,441.466609954834,374.92212867736816,33.32972717285156,66.54448127746582
4,506.2848472595215,451.85641050338745,439.2149162292481,560.7847595214844,454.0856266021729,653.3523845672607,436.7756366729736,613.2381463050842,375.0294971466065,861.3289189338684,139.25,150.46,255.66,43.69,472.12321186065674,439.4355983734131,374.95920753479004,32.68761348724365,64.47639083862305
5,497.6107978820801,450.3158032894135,438.68282318115234,538.1516253948212,450.71720123291016,650.9188914299011,437.1431064605713,613.0582880973816,375.01779556274414,861.7367219924927,140.05,174.71,256.32,40.22,470.2341613769531,438.3797607421875,374.98958015441895,31.854400634765625,63.390180587768555
6,499.7212028503418,446.367484331131,439.1886234283447,541.0924744606018,449.6700096130371,650.3410148620605,437.5991535186768,612.8233909606934,374.9401473999024,862.002968788147,141.94,163.39,256.94,39.41,468.0375509262085,437.4916248321533,374.82954597473145,30.545926094055176,62.662078857421875
7,498.06352615356445,445.7477331161499,435.90868949890137,545.4066896438599,448.9311218261719,649.963595867157,437.30509757995605,613.0671715736389,374.9475574493408,862.6540374755859,140.95,158.85,257.26,38.68,465.9792938232422,436.1480026245117,374.49440574645996,29.83129119873047,61.65359687805176
8,491.23701095581055,443.5037541389465,434.4630718231201,533.9627766609192,442.8313636779785,649.6636819839478,437.0587348937988,612.9723501205444,374.2127323150635,864.0236377716064,143.75,179.7,258.8,37.14,464.40632343292236,434.4807758331299,374.0225486755371,29.92554759979248,60.45822715759277
9,492.4203872680664,440.1622474193573,432.49680519104,530.4649078845978,438.9352226257324,649.7081637382507,436.4900493621826,610.9622383117676,373.353796005249,864.5177006721497,143.34,165.29,261.3,38.82,461.147686958313,430.2861042022705,373.5171203613281,30.86158275604248,56.76898384094238
10,490.217227935791,438.9182388782501,430.3466892242432,532.4240040779114,439.0205383300781,649.192214012146,432.16052055358887,609.3730616569519,372.6585102081299,864.6125221252441,143.12,155.44,262.08,40.41,457.43763256073,425.7236080169678,372.84977531433105,31.714024543762207,52.87383270263672
11,488.1081962585449,438.61806750297546,418.2152652740479,537.813892364502,433.815221786499,646.0701870918274,431.2478256225586,609.3565821647644,372.4130058288574,864.9415969848633,136.63,157.96,262.27,36.8,454.1759977340698,421.3821086883545,372.33456802368164,32.79388904571533,49.04754066467285
12,483.7754631042481,436.938511133194,413.0962085723877,540.2221512794495,431.79471015930176,645.9413766860962,430.7438564300537,608.8236379623413,371.6108322143554,865.0866937637329,135.59,169.56,263.0,37.13,451.1746530532837,417.7576732635498,372.0176010131836,33.41697978973389,45.74007225036621
13,480.3281593322754,434.5782744884491,412.7555751800537,528.1117522716522,430.76602935791016,644.0631651878357,429.8800849914551,608.8660597801208,371.6366958618164,865.969569683075,135.32,174.33,263.62,35.21,448.31263160705566,414.144567489624,371.84200859069824,34.16806411743164,42.30255889892578
14,480.5291175842285,434.6881592273712,414.3746280670166,526.4426243305206,427.9257488250733,640.9406232833862,430.3265190124512,608.5683989524841,371.7689609527588,865.4569673538208,137.46,165.41,263.48,32.46,445.770938873291,412.16031074523926,371.7179946899414,33.61062812805176,40.44231605529785
15,479.6625423431397,431.5881156921387,412.2811603546143,527.3079264163971,426.26970291137695,641.530601978302,428.4405040740967,608.5801148414612,371.7805480957031,865.7002329826355,137.87,157.95,263.29,33.02,444.13794136047363,411.19024658203125,371.70545768737793,32.94769477844238,39.48478889465332
16,472.6125526428223,427.98110246658325,408.293981552124,525.408890247345,423.066759109497,640.9641194343567,426.8490028381348,608.5737419128418,371.7929363250733,865.9551501274109,139.28,172.03,263.2,32.61,442.1190061569214,409.4747714996338,371.5117435455322,32.6442346572876,37.96302795410156
17,472.2958087921143,429.26164269447327,408.24588775634766,526.6169464588165,419.9381160736084,641.2595272064209,426.3808822631836,608.6595511436462,371.5481472015381,866.9972848892212,140.84,160.74,264.09,33.23,439.51429080963135,407.1785945892334,371.04254150390625,32.33569622039795,36.13605308532715
18,468.7161827087402,430.0565528869629,404.1781997680664,528.0237543582916,416.76212310791016,641.526997089386,424.8464870452881,608.482654094696,370.6681251525879,867.8998589515686,140.3,158.32,265.01,34.02,437.3458442687988,405.35572814941406,370.50640296936035,31.990116119384766,34.84932518005371
19,465.9628486633301,430.1424586772919,402.89374351501465,528.4093165397644,412.42724418640137,641.7237854003906,420.1028823852539,607.9808664321899,369.4229507446289,870.3019380569458,142.5,161.91,267.17,34.6,435.27678394317627,403.2937316894531,369.88525199890137,31.983052253723145,33.40847969055176
20,467.09240913391113,430.620299577713,403.1668281555176,528.1553971767426,409.9902820587158,641.8675947189331,419.5893573760986,609.5487356185913,369.0998554229736,871.3194179534912,143.32,142.29,266.6,33.71,432.1959800720215,400.2993221282959,369.30453300476074,31.896657943725586,30.994789123535156
21,462.23193168640137,430.7538414001465,397.98399925231934,528.2325482368469,407.2734260559082,641.9561076164246,419.0594673156738,609.3592214584351,368.6871814727783,871.6853141784668,141.94,151.55,267.12,34.66,429.5673294067383,397.8661594390869,368.9019069671631,31.701169967651367,28.964252471923828
22,456.4598178863525,426.657657623291,393.2738399505615,536.0178208351135,403.5732936859131,642.2968983650208,413.75081062316895,608.8809299468994,368.64455223083496,871.5902996063232,144.45,159.6,266.55,34.93,427.6785249710083,396.01123237609863,368.7510795593262,31.667292594909668,27.26015281677246
23,454.5954895019531,425.0847029685974,392.0123863220215,528.1448400020599,401.55335426330566,642.3154377937317,410.8367729187012,609.3041825294495,368.6549949645996,871.6300177574158,143.95,161.68,265.7,34.29,424.7953863143921,393.49416732788086,368.5832748413086,31.30121898651123,24.910892486572266
