Frame,Left_Shoulder_X,Left_Shoulder_Y,Right_Shoulder_X,Right_Shoulder_Y,Right_Knee_X,Right_Knee_Y,Right_Foot_Index_X,Right_Foot_Index_Y,Hip_X,Hip_Y,Ankle_X,Ankle_Y,Wrist_X,Wrist_Y,Elbow_X,Elbow_Y
0,1157.9,460.52,1232.86,464.29,1250.85,484.98,1278.02,510.41,1205.76,564.97,1228.66,497.52,1244.68,403.26,1240.39,459.44
2,452.95,324.41,425.19,339.36,534.84,683.0,654.36,835.15,467.86,550.76,432.54,815.08,545.81,529.98,467.82,458.01
3,452.21,325.17,424.9,339.43,534.91,681.89,657.45,827.56,468.67,550.0,433.07,812.27,545.65,530.07,467.74,457.94
4,446.67,325.39,424.83,339.38,534.95,680.63,659.17,825.1,469.82,549.76,433.25,811.41,545.65,530.08,467.74,457.73
5,447.17,325.93,424.19,339.39,534.95,679.36,660.12,823.9,469.83,549.48,433.48,810.18,545.27,530.07,467.67,457.56
6,447.52,326.47,424.18,339.87,535.02,679.08,660.21,821.46,469.92,549.5,433.55,809.8,545.22,530.33,467.7,457.65
7,447.43,326.48,425.05,340.26,535.06,678.68,660.07,821.26,469.93,549.48,433.6,809.8,545.27,530.62,467.76,457.83
8,449.53,326.74,425.08,340.36,535.08,677.93,660.01,821.28,469.72,549.33,433.65,809.85,545.28,531.0,467.75,457.81
9,451.25,327.08,425.61,340.31,535.08,676.98,659.8,821.2,469.7,549.23,433.85,809.83,545.29,531.31,467.75,457.75
10,451.47,327.34,426.5,340.14,535.32,676.21,660.0,821.44,469.7,549.06,433.87,809.76,545.39,531.62,467.82,457.72
11,454.28,327.79,426.89,340.1,535.63,675.67,660.03,821.69,469.67,549.04,433.88,809.79,545.39,532.04,468.01,457.72
12,456.87,328.1,427.24,339.89,536.07,675.46,660.0,821.87,469.48,548.73,433.86,809.89,545.4,532.58,468.24,457.72
13,457.08,328.15,428.67,339.42,536.52,675.51,659.97,822.0,469.37,548.41,433.84,809.93,545.57,532.93,468.38,457.76
14,459.02,328.23,429.22,338.96,536.97,675.37,660.05,821.72,469.07,547.97,433.84,810.05,545.61,533.37,468.4,457.76
15,461.74,328.22,429.52,338.2,537.28,675.19,660.04,821.23,468.56,547.32,433.82,810.31,545.51,533.46,468.25,457.31
16,462.65,328.29,430.53,338.12,537.65,674.96,660.13,821.3,468.5,547.26,433.74,810.54,545.43,533.53,468.18,457.22
17,462.67,328.27,432.52,338.03,538.08,674.69,660.14,821.39,468.5,547.08,433.54,810.62,545.4,533.78,468.24,457.22
18,462.77,328.23,433.96,337.67,538.31,674.11,660.76,821.46,468.54,546.77,433.23,810.74,545.36,533.97,468.24,457.16
19,466.12,328.32,435.95,336.88,538.36,673.53,661.08,821.33,468.63,546.33,432.96,810.84,545.21,534.05,468.15,456.74
20,467.89,328.48,438.12,336.65,538.49,673.45,661.73,820.84,469.11,546.23,432.58,810.92,545.24,534.41,468.31,456.76
21,473.59,328.94,439.02,336.51,538.7,673.23,661.84,820.81,469.08,545.61,432.03,811.21,545.25,534.81,468.71,456.71
22,475.24,329.35,440.77,336.37,538.73,673.23,661.37,820.84,469.15,545.53,431.94,811.42,545.2,534.87,469.22,456.63
23,478.28,329.91,444.1,336.37,539.02,673.24,663.22,820.03,469.64,545.5,431.7,811.51,545.28,535.07,470.58,456.47
24,479.61,330.28,446.05,336.39,539.2,673.39,664.98,820.63,470.71,545.5,431.67,811.72,545.32,535.43,471.45,456.3
25,479.64,330.34,447.29,336.34,539.28,673.56,666.55,821.93,471.39,545.39,431.67,811.62,546.09,535.89,472.69,456.11
26,483.77,330.53,448.35,336.32,539.72,673.87,666.83,823.06,471.65,545.4,431.68,811.6,546.41,536.66,474.28,456.09
27,483.44,330.29,449.8,336.05,540.26,674.05,667.05,824.21,471.92,545.3,431.61,811.4,546.5,536.74,475.2,455.96
28,482.39,329.6,452.12,335.79,540.84,674.05,667.23,824.19,473.19,545.3,431.3,811.37,547.07,536.81,476.17,455.95
29,485.69,329.78,453.77,335.78,541.52,674.6,667.49,823.98,475.36,545.73,430.93,811.55,547.52,537.06,476.54,455.96
30,490.88,329.9,454.81,335.77,541.9,675.05,667.42,823.9,475.3,545.74,429.92,812.52,547.99,537.52,477.09,456.09
31,495.16,330.74,455.56,335.84,542.13,675.07,667.4,823.49,475.49,545.94,429.34,812.93,549.08,538.33,477.9,456.32
32,498.86,331.53,457.48,335.82,542.22,675.03,668.21,822.55,475.58,545.93,428.84,813.11,549.65,538.96,479.39,456.33
