Frame,Shoulder_X,Shoulder_Y,Elbow_X,Elbow_Y,Wrist_X,Wrist_Y,Hip_X,Hip_Y,Ankle_X,Ankle_Y,Elbow_Angle,Trunk_Lean_Angle,Stride_Length,Wrist_Hip_Distance,Mid_Sternum_X,Knee_X,Foot_X,Sternum_to_Knee_Dist,Toe_to_Knee_Dist
1,605.9556198120117,402.9420590400696,569.1232681274414,496.8964397907257,576.3785362243652,607.8418207168579,572.7494430541992,583.1726002693176,508.7464141845703,810.0128102302551,154.85,179.57,235.7,24.93,359.7367057800293,342.36742401123047,342.36742401123047,17.369281768798828,0.0
2,596.7624092102051,397.78024435043335,557.9857635498047,496.11762285232544,574.5004463195801,607.6051211357117,570.1326370239258,576.4655113220215,508.4299850463867,809.1136479377747,150.05,152.57,240.69,31.44,478.3095588684082,455.87567138671875,455.87567138671875,22.433887481689453,0.0
3,595.9654998779297,391.75734400749207,556.1624336242676,494.2858564853668,572.6834678649902,606.8587803840637,568.9550399780273,575.7608199119568,507.9746818542481,808.8280248641968,150.43,141.74,240.91,31.32,596.770809173584,569.2748680114746,569.2748680114746,27.495941162109375,0.0
4,592.8642654418945,390.45536756515503,553.2084846496582,493.2381534576416,570.7498741149902,605.9021329879761,567.5412368774414,575.7486534118652,507.6423454284668,808.8085198402405,150.05,129.21,240.63,30.32,593.6138877868652,568.0629272460938,568.0629272460938,25.550960540771484,0.0
5,592.3062515258789,390.8106744289398,551.8271255493164,492.565906047821,569.5120811462402,604.857873916626,566.9959831237793,576.1104941368103,507.1958541870117,808.7856674194336,149.36,136.07,240.24,28.86,592.1781349182129,567.0277061462402,567.0277061462402,25.150428771972656,0.0
6,590.171012878418,391.0133528709412,549.6985816955566,492.654869556427,567.3940658569336,604.2480683326721,566.6897392272949,576.3610339164734,506.6829299926758,808.7961602210999,149.28,132.77,240.06,27.9,590.4794998168945,565.7971801757812,565.7971801757812,24.68231964111328,0.0
7,589.5836448669434,390.6459438800812,547.7359199523926,492.7077519893646,565.0205039978027,604.0476751327515,564.9565315246582,576.4087343215942,505.4684829711914,809.5210003852844,148.88,135.99,240.58,27.64,589.2228240966797,564.9076881408691,564.9076881408691,24.315135955810547,0.0
8,587.4723243713379,387.2937512397766,545.98388671875,491.8942058086395,560.2349853515625,603.1582975387573,562.8024101257324,575.616044998169,504.814395904541,809.4872045516968,151.07,122.72,240.95,27.66,587.700439453125,563.9311408996582,563.9311408996582,23.769298553466797,0.0
9,586.5808868408203,386.6565549373626,546.3982772827148,491.6429901123047,558.0082511901855,602.0192813873291,563.0937767028809,575.7563138008118,504.4895553588867,809.4454908370972,153.05,122.83,240.93,26.75,586.1836853027344,562.6424331665039,562.6424331665039,23.54125213623047,0.0
10,584.6943283081055,386.5606391429901,544.4167327880859,491.45978450775146,555.4892349243164,601.5439510345459,562.1132469177246,575.7163381576538,503.5572624206543,809.7043991088867,153.25,127.9,241.2,26.66,584.1478385925293,561.2656517028809,561.2656517028809,22.882186889648438,0.0
11,582.5872421264648,385.9379589557648,543.1411743164062,490.8924329280853,552.1897315979004,601.2297463417053,560.2462005615234,575.7211017608643,502.6999282836914,810.1221799850464,154.71,123.61,241.36,26.75,582.3176193237305,560.4097709655762,560.4097709655762,21.907848358154297,0.0
12,579.404411315918,383.8777649402618,541.263484954834,489.7405743598938,549.7565460205078,600.9806227684021,558.072624206543,574.1454434394836,502.181339263916,810.3352546691895,155.82,119.0,242.71,28.09,580.4608383178711,559.5554122924805,559.5554122924805,20.905426025390625,0.0
