Frame,Left_Shoulder_X,Left_Shoulder_Y,Right_Shoulder_X,Right_Shoulder_Y,Right_Knee_X,Right_Knee_Y,Right_Foot_Index_X,Right_Foot_Index_Y,Hip_X,Hip_Y,Ankle_X,Ankle_Y,Wrist_X,Wrist_Y,Elbow_X,Elbow_Y
1,687.99,361.2,685.39,381.92,650.95,705.63,719.18,900.85,593.77,562.22,494.84,816.84,651.0,603.33,624.24,491.51
2,686.42,361.11,685.15,381.52,651.37,703.1,718.03,900.7,594.03,560.96,496.63,816.83,650.44,604.74,624.73,491.72
3,685.59,361.12,685.06,380.67,650.35,700.16,716.15,900.48,594.03,559.84,497.96,816.78,643.02,604.75,624.7,490.68
4,684.96,361.16,684.97,380.39,646.41,697.17,714.45,901.11,593.7,557.54,498.88,816.81,637.66,604.74,624.4,489.03
5,677.04,359.53,685.87,380.37,646.69,697.69,713.18,901.39,595.04,558.01,499.23,816.89,635.15,604.83,624.4,488.48
6,674.3,358.7,686.15,380.27,647.19,697.76,712.72,901.66,595.29,558.36,499.17,817.23,632.59,604.75,623.96,487.43
7,674.68,358.73,685.89,380.18,645.7,696.79,711.72,902.1,594.29,558.49,499.18,817.58,627.02,604.71,622.48,486.62
8,675.25,359.48,685.73,380.17,648.64,698.09,711.6,902.71,594.35,560.64,499.17,818.43,622.15,604.7,620.85,486.52
9,673.58,359.78,686.01,380.55,651.06,699.6,711.72,903.26,594.37,562.98,499.33,819.44,618.1,604.76,620.9,486.59
10,671.5,359.96,686.25,381.42,654.83,702.73,711.7,903.35,594.7,565.92,499.59,820.83,615.13,606.0,620.59,487.18
11,668.55,360.53,686.41,382.15,657.44,704.88,711.74,903.34,594.74,568.3,499.77,821.53,611.61,606.26,620.57,487.44
12,667.44,361.35,686.35,382.63,658.12,705.0,711.71,903.17,594.67,570.41,499.85,822.11,609.37,606.24,620.49,487.25
13,666.25,361.81,686.19,383.48,661.01,705.07,711.75,903.2,594.86,571.5,499.98,822.13,607.11,605.94,620.28,486.68
14,665.09,362.4,685.99,383.93,662.0,705.15,711.76,903.29,595.21,572.07,500.14,822.2,604.32,605.93,619.47,486.27
