Frame,Shoulder_X,Shoulder_Y,Elbow_X,Elbow_Y,Wrist_X,Wrist_Y,Hip_X,Hip_Y,Ankle_X,Ankle_Y,Elbow_Angle,Trunk_Lean_Angle,Stride_Length,Wrist_Hip_Distance,Mid_Sternum_X,Knee_X,Foot_X,Sternum_to_Knee_Dist,Toe_to_Knee_Dist
1,685.3863143920898,381.92426919937134,624.2437362670898,491.5082573890686,650.9993362426758,603.3316540718079,593.7663459777832,562.2166085243225,494.838924407959,816.8436241149902,137.38,160.23,273.17,70.47,392.92697525024414,374.73571014404297,297.8851661682129,18.191265106201172,76.85054397583008
2,685.1467323303223,381.5210366249085,624.7336006164551,491.7185640335083,650.4360580444336,604.735758304596,594.0264701843262,560.9608840942383,496.6294097900391,816.826114654541,138.45,156.64,273.78,71.4,523.8641052246094,499.61558532714844,397.66200256347656,24.248519897460938,101.95358276367188
3,685.0581550598145,380.66815853118896,624.7012138366699,490.67710518836975,643.0226898193359,604.7488260269165,594.0304183959961,559.8434329032898,497.9574966430664,816.781632900238,142.12,154.61,274.31,66.46,654.8915576934814,624.4957466125488,497.5086250305176,30.395811080932617,126.98712158203125
4,684.971923828125,380.3851103782654,624.3993759155273,489.0273213386536,637.6639938354492,604.739363193512,593.7024307250977,557.5427412986755,498.8841819763184,816.8101501464844,144.32,152.71,276.06,64.5,654.9391765594482,624.4382514953613,498.37449645996094,30.500925064086914,126.06375503540039
5,685.8737182617188,380.3691780567169,624.400806427002,488.482049703598,635.1474952697754,604.8327684402466,595.0425338745117,558.0103468894958,499.2331123352051,816.8879127502441,145.1,129.96,276.04,61.65,654.7883548736572,623.9879264831543,498.88426208496094,30.80042839050293,125.10366439819336
6,686.1499786376953,380.27268290519714,623.9562606811523,487.4284887313843,632.5938034057617,604.7518515586853,595.2898979187012,558.3621454238892,499.1682815551758,817.2321152687073,145.66,124.2,276.14,59.53,654.4702949523926,623.2180709838867,499.12588119506836,31.25222396850586,124.09218978881836
7,685.8901405334473,380.17850518226624,622.4819755554199,486.62134766578674,627.0196723937988,604.7056317329407,594.2857933044434,558.490891456604,499.1782379150391,817.5768327713013,147.02,125.22,275.99,56.63,654.223503112793,622.5172576904297,499.2151222229004,31.70624542236328,123.3021354675293
8,685.7268333435059,380.17119884490967,620.851936340332,486.5237259864807,622.1501541137695,604.7000956535339,594.3526268005371,560.6446838378906,499.1655921936035,818.432285785675,147.99,126.3,274.8,52.09,653.880500793457,621.7554016113281,499.28565216064453,32.125099182128906,122.4697494506836
9,686.0080718994141,380.5535101890564,620.8953094482422,486.5891289710999,618.0954551696777,604.7551345825195,594.3656730651855,562.9823899269104,499.3303871154785,819.439594745636,149.8,122.43,273.5,48.04,653.5677909851074,621.0783805847168,499.4061813354492,32.489410400390625,121.67219924926758
10,686.2529754638672,381.4182329177856,620.5915260314941,487.17920422554016,615.1330947875977,605.9950876235962,594.6969795227051,565.9244298934937,499.5857620239258,820.8284425735474,150.8,119.1,272.07,44.98,653.4149265289307,620.680778503418,499.5414047241211,32.734148025512695,121.13937377929688
