Frame,Left_Shoulder_X,Left_Shoulder_Y,Right_Shoulder_X,Right_Shoulder_Y,Right_Knee_X,Right_Knee_Y,Right_Foot_Index_X,Right_Foot_Index_Y,Hip_X,Hip_Y,Ankle_X,Ankle_Y,Wrist_X,Wrist_Y,Elbow_X,Elbow_Y
1,612.61,504.1,579.21,503.29,615.1,682.55,671.42,792.83,572.32,616.02,504.96,765.19,633.46,605.31,577.62,576.08
2,609.44,498.85,579.01,503.59,613.19,674.91,668.86,790.73,557.02,614.02,503.54,764.05,633.56,606.1,577.76,578.14
3,606.38,497.33,579.07,503.81,616.61,677.88,666.73,788.77,552.12,613.35,503.57,763.12,634.24,607.07,578.26,578.85
4,606.45,497.68,579.42,503.91,618.95,677.93,665.05,787.98,550.82,613.45,501.41,762.69,634.34,607.45,578.13,578.78
5,608.16,499.36,580.12,504.11,616.69,674.38,665.34,788.19,548.81,613.83,500.93,763.05,634.7,608.29,578.07,579.22
6,614.18,499.45,580.11,504.15,613.79,669.07,665.16,788.37,544.67,613.27,500.23,762.76,634.89,608.4,578.07,579.17
7,619.37,502.4,579.16,504.35,611.48,661.06,664.17,785.9,541.24,612.5,500.32,762.84,636.07,609.03,578.1,579.47
8,619.85,502.39,578.51,506.06,610.95,660.81,665.35,785.65,539.67,611.46,500.35,762.88,637.09,610.21,578.47,582.38
9,622.16,502.5,577.7,506.3,610.08,658.96,665.49,785.9,538.61,611.29,498.83,762.55,637.26,611.18,578.43,582.89
10,621.36,504.44,576.05,507.48,609.37,655.47,665.6,786.11,536.57,611.05,508.19,762.58,637.42,611.44,578.26,582.71
11,620.84,506.72,575.1,508.8,609.06,657.09,665.32,786.66,535.32,611.01,510.5,762.59,638.03,611.94,578.26,584.2
12,620.27,509.05,574.67,508.81,609.13,657.1,665.25,787.08,534.44,610.88,511.2,764.02,638.05,612.19,578.26,584.12
13,619.97,509.25,574.83,509.15,609.5,657.98,666.27,787.49,535.06,610.94,511.71,764.64,638.01,612.15,578.14,584.72
14,619.83,509.05,574.93,509.68,610.81,658.64,666.78,787.64,535.33,611.42,511.85,765.8,637.99,612.12,577.99,584.94
15,619.67,509.05,574.68,510.61,610.83,659.14,666.83,788.47,535.03,611.99,511.71,766.24,637.96,612.16,577.87,585.53
16,619.47,508.86,574.15,511.18,611.33,660.43,667.33,790.03,534.78,612.42,511.68,767.91,638.03,612.15,577.86,585.99
17,619.4,509.07,573.03,511.4,611.34,660.56,667.44,790.7,534.24,612.76,512.46,767.55,638.03,612.12,577.84,586.18
18,619.38,509.43,572.52,511.86,611.28,660.69,667.57,791.54,533.62,613.23,513.46,765.88,637.91,612.1,577.77,586.84
19,618.79,510.13,571.97,512.16,611.7,661.05,667.57,792.29,532.68,613.9,513.12,765.9,637.91,612.09,577.77,587.56
20,617.46,510.62,571.51,512.06,612.2,661.42,667.44,793.2,532.49,614.3,504.29,766.33,637.9,612.08,577.65,587.65
21,614.18,511.31,570.99,512.25,612.48,661.81,667.49,793.48,532.34,614.91,501.85,766.73,637.87,612.09,577.61,588.41
22,612.23,511.56,570.02,512.41,612.49,664.03,667.36,794.18,532.06,615.35,500.57,766.98,637.86,612.25,577.61,589.14
23,611.74,512.2,569.05,512.85,612.49,664.0,666.83,794.44,531.75,615.88,516.24,766.41,637.85,612.47,577.62,589.61
24,611.3,512.71,568.39,513.29,612.49,663.99,665.5,794.94,531.36,616.46,519.42,766.43,637.85,612.49,577.6,589.81
25,610.17,513.03,568.26,513.43,612.66,663.98,665.47,795.39,531.39,617.38,525.9,766.61,637.84,612.44,577.59,589.98
26,610.38,513.21,567.85,513.41,612.39,662.65,665.35,795.37,531.26,617.69,524.77,766.25,637.83,612.4,577.49,589.95
27,610.65,513.16,567.84,513.39,612.31,661.03,665.36,795.22,531.18,617.97,522.91,766.25,637.89,612.36,577.42,589.92
28,610.79,513.11,567.79,513.38,612.36,661.04,665.31,795.01,531.18,618.29,527.92,768.29,637.94,612.35,577.07,589.7
29,610.96,513.59,567.62,513.37,613.28,661.07,665.25,794.32,530.96,618.68,526.48,769.82,638.07,612.36,577.04,589.65
30,610.98,514.52,567.68,513.32,613.69,661.11,665.32,793.82,530.96,618.81,525.38,769.92,638.13,612.36,577.01,589.6
31,611.04,515.41,567.66,513.32,614.13,664.08,665.38,793.96,530.9,618.81,524.94,769.8,638.14,612.27,577.01,589.63
32,611.07,515.42,567.73,513.31,614.25,667.07,665.19,794.0,530.96,618.79,501.88,769.77,638.8,611.79,577.1,589.66
33,611.18,515.33,567.75,513.3,614.24,667.16,665.2,794.01,530.99,618.76,496.57,769.66,639.74,611.57,577.19,589.66
34,611.54,515.31,567.78,513.29,614.22,667.53,665.99,794.18,531.1,618.74,495.73,769.55,640.39,611.43,577.27,589.66
35,611.76,515.29,567.8,513.28,613.99,667.29,666.41,793.85,531.11,618.73,494.8,769.77,640.75,611.33,577.48,589.71
36,611.91,515.26,567.75,513.2,613.43,667.17,666.49,793.84,531.16,618.64,495.47,769.79,641.37,611.32,577.56,589.69
37,611.96,515.35,567.59,512.96,613.43,667.04,666.55,794.05,531.21,618.64,497.14,769.85,641.97,611.31,577.63,589.69
38,612.04,515.32,567.42,512.93,613.43,667.32,665.48,794.05,531.37,618.68,497.13,769.82,642.28,611.33,577.61,589.64
39,611.96,515.42,567.43,512.83,613.43,667.24,665.82,794.31,531.6,618.68,497.19,769.79,642.32,611.32,577.59,589.27
40,611.73,515.45,567.43,512.81,613.35,667.4,665.91,794.59,531.65,618.72,497.2,769.71,642.31,611.33,577.58,588.84
41,611.25,516.03,567.38,512.79,613.35,668.0,665.11,794.56,531.66,618.79,497.43,769.21,642.45,611.34,577.63,588.83
42,611.27,516.66,567.25,512.79,613.36,668.02,665.6,794.89,531.65,618.9,497.77,769.21,641.98,611.31,577.43,588.77
43,611.09,517.5,567.09,512.8,613.27,669.44,665.84,795.32,531.63,618.91,503.5,769.0,641.18,611.24,577.04,588.58
44,610.73,517.69,566.97,513.2,613.31,669.35,665.93,796.64,531.57,619.03,506.08,769.14,640.94,611.34,576.79,588.57
45,610.67,518.08,566.38,513.47,613.25,668.57,666.01,797.15,531.31,619.03,509.74,770.26,640.94,611.55,576.72,588.57
46,610.65,518.15,566.25,513.63,613.26,668.4,666.05,798.06,531.12,619.05,516.4,774.02,640.98,612.02,576.52,588.55
47,610.53,518.2,566.06,513.98,613.19,667.52,666.06,798.24,530.98,619.22,519.77,776.6,640.98,612.61,576.36,588.31
48,610.11,518.18,565.96,514.46,611.82,667.79,665.04,797.92,531.18,619.45,518.97,778.63,640.98,613.29,576.29,588.31
49,609.54,518.16,565.88,514.75,611.7,667.57,665.07,797.5,531.0,619.43,524.1,777.66,640.97,613.91,576.29,588.37
50,608.83,518.11,565.87,514.88,611.68,668.0,665.09,797.53,531.0,619.52,527.32,779.51,640.98,614.43,576.23,588.36
51,608.24,518.09,565.68,515.28,611.19,668.39,665.11,797.21,530.99,619.81,525.84,782.21,641.01,614.97,576.06,588.43
52,608.09,518.08,565.39,515.64,610.45,669.29,662.93,797.13,530.95,619.96,530.68,782.68,640.93,615.14,575.74,588.78
53,607.73,517.68,565.15,516.0,610.0,670.19,662.9,796.68,530.94,620.38,528.71,781.86,640.84,615.5,575.11,588.96
54,607.58,517.38,564.41,516.42,609.54,670.97,660.72,796.65,530.82,620.93,529.14,781.54,640.85,615.81,575.06,589.54
55,606.85,517.06,563.28,517.4,609.54,671.13,660.49,796.64,530.12,621.57,527.85,779.78,640.91,616.09,575.47,592.18
56,606.31,516.29,562.62,518.04,609.19,671.14,660.7,796.79,529.4,621.96,534.65,779.6,640.96,616.42,575.97,592.99
57,605.78,516.0,562.39,518.27,608.82,671.19,660.73,796.88,528.8,622.13,538.15,780.62,640.99,616.65,576.28,593.44
58,605.74,515.64,561.44,518.66,608.55,671.15,660.91,797.02,527.94,622.38,542.4,782.38,641.0,616.86,576.3,593.82
59,605.78,515.33,560.52,518.89,608.18,671.07,661.5,797.29,527.12,622.44,538.91,782.01,641.08,617.04,576.4,594.62
60,605.69,515.34,560.08,518.88,608.07,670.98,662.1,797.27,526.42,622.43,533.37,781.28,639.96,616.94,576.36,595.35
61,605.48,515.44,559.54,519.06,607.65,671.0,662.19,797.39,525.92,622.46,529.78,781.2,639.6,616.92,576.35,596.13
62,605.46,515.48,559.31,519.06,606.96,672.89,661.76,797.41,525.74,622.77,526.09,779.81,639.15,616.83,576.31,596.46
63,605.54,515.52,558.64,519.04,606.77,672.89,661.63,797.46,525.51,622.86,526.08,779.76,639.14,616.84,575.9,596.3
64,605.55,515.44,558.61,519.02,606.52,672.79,661.65,797.47,525.33,622.91,526.25,780.62,639.15,616.91,575.69,596.16
65,605.3,515.5,558.4,519.0,605.8,673.61,661.64,797.5,525.17,622.93,526.42,780.56,639.12,616.93,575.2,595.85
66,604.88,515.45,558.05,519.02,605.35,673.51,661.63,797.52,524.98,623.01,529.44,780.18,639.14,616.96,575.16,595.76
67,604.45,515.29,557.93,519.02,605.4,674.15,661.9,797.76,524.82,623.11,529.74,779.74,639.15,617.1,575.1,595.67
68,604.44,515.41,557.48,519.07,605.4,674.42,662.24,798.03,524.48,623.13,523.51,776.14,639.27,617.12,575.11,595.64
69,604.4,515.48,557.32,519.08,605.36,674.43,661.37,797.99,524.43,623.02,522.44,775.57,639.45,617.12,575.11,595.68
70,604.41,515.26,557.3,519.08,605.28,674.38,659.82,797.75,524.32,623.02,522.15,775.15,639.63,617.13,575.11,595.65
71,604.29,514.96,557.19,519.53,604.7,670.79,659.05,797.67,524.03,622.96,521.37,773.8,639.87,617.19,575.14,595.81
72,603.26,514.96,557.18,519.56,604.22,670.95,658.46,797.67,523.48,622.98,517.03,772.79,640.03,617.3,575.32,596.17
73,602.85,514.96,557.07,519.56,603.37,670.96,658.09,797.69,523.1,622.95,517.76,771.72,640.03,617.45,575.33,596.25
74,602.0,515.05,557.0,519.55,603.12,669.51,657.68,797.7,522.64,622.9,516.28,770.27,640.01,617.5,575.35,596.3
75,601.53,515.13,556.64,519.79,602.37,669.68,658.28,797.85,522.28,622.89,524.94,770.61,639.97,617.57,575.4,596.61
76,600.98,515.54,556.16,519.91,601.89,669.78,658.14,797.85,521.84,622.9,525.05,770.85,639.97,617.61,575.42,597.26
77,600.63,516.38,555.67,520.05,602.24,669.88,657.8,797.87,521.69,622.94,524.84,770.53,639.97,617.67,575.42,597.46
78,600.15,516.51,555.57,520.39,602.39,669.96,657.32,797.87,521.57,623.17,524.66,770.27,639.78,617.73,575.42,597.91
79,599.69,516.64,555.33,520.4,602.44,670.08,656.82,797.87,521.19,623.2,524.74,770.26,639.56,617.73,575.37,597.97
80,599.42,516.89,555.01,520.39,601.99,669.99,656.43,797.88,520.81,623.19,513.92,766.62,639.14,617.72,574.89,597.95
81,599.44,516.96,554.29,520.39,601.59,669.8,656.17,797.77,520.35,623.26,515.48,765.66,638.89,617.72,574.66,597.74
82,599.48,517.21,553.57,520.4,601.49,669.76,655.78,797.77,520.16,623.24,514.56,764.38,638.75,617.74,574.56,597.69
83,599.5,517.36,553.43,520.17,601.16,669.32,655.8,797.98,519.81,623.17,515.24,764.52,638.44,617.77,574.42,597.63
84,599.54,517.48,553.38,519.62,600.71,668.81,655.83,798.14,519.55,623.06,515.75,764.1,638.34,617.78,573.7,597.53
85,599.56,517.48,553.07,519.62,600.65,668.85,655.88,798.23,519.34,623.06,518.09,764.47,638.3,617.78,573.69,597.83
86,599.2,517.52,552.66,519.69,600.52,668.89,655.38,798.11,518.96,623.04,520.33,766.66,638.22,617.61,573.73,597.97
87,599.08,517.71,552.13,519.71,600.18,668.9,655.4,798.11,518.83,623.04,519.96,767.3,638.22,617.39,573.73,597.99
88,599.02,517.81,551.35,520.12,600.08,668.92,655.44,798.16,518.6,623.08,521.06,768.36,638.22,617.3,573.74,598.41
89,598.93,517.93,550.68,520.33,599.06,670.03,655.29,798.41,518.25,623.17,527.42,768.59,638.09,617.27,573.61,598.43
90,598.92,518.36,549.72,520.47,598.9,669.66,654.36,798.43,517.58,623.27,526.7,768.62,637.79,617.21,573.26,598.45
91,598.45,519.07,549.64,520.76,598.28,670.64,654.31,798.26,516.94,623.34,523.26,768.28,637.48,617.22,573.26,599.01
92,597.65,519.32,549.43,521.08,597.47,670.88,654.35,798.22,516.7,623.34,523.26,768.43,637.25,617.31,573.27,599.57
93,597.32,519.61,549.17,521.29,597.08,671.8,654.27,798.19,516.61,623.54,524.52,769.89,637.05,617.55,573.17,599.82
94,597.31,519.84,548.91,521.32,596.81,670.04,654.3,798.01,516.34,623.56,530.41,769.87,636.77,617.61,572.88,599.95
95,597.09,520.16,548.8,521.3,596.7,669.65,654.32,798.01,516.12,623.7,533.18,769.83,636.28,617.6,572.37,600.03
96,596.74,520.44,548.31,521.39,596.61,668.78,653.94,797.98,515.69,623.71,531.98,768.85,636.18,617.76,572.04,600.39
97,596.39,520.47,547.96,521.55,596.19,668.77,654.0,798.28,515.44,623.78,532.43,770.37,636.04,618.02,571.66,600.62
98,596.24,520.47,547.66,521.72,596.23,668.91,654.01,798.59,515.28,623.89,532.37,770.61,635.84,618.22,571.22,600.8
99,596.04,520.46,547.52,521.81,596.24,669.0,654.03,799.0,515.05,624.01,532.43,770.79,635.51,618.32,570.28,600.92
100,596.04,520.45,547.34,521.92,596.13,670.64,653.83,799.19,514.91,624.25,532.38,771.19,635.4,618.52,570.13,601.1
101,595.86,520.52,547.37,522.04,596.14,673.17,653.76,799.81,514.87,624.77,532.93,774.01,635.33,618.65,570.0,601.59
102,595.83,520.68,547.23,522.21,596.33,672.98,653.29,800.38,514.76,625.12,530.74,775.18,635.18,618.86,569.92,601.72
