Frame,Shoulder_X,Shoulder_Y,Elbow_X,Elbow_Y,Wrist_X,Wrist_Y,Hip_X,Hip_Y,Ankle_X,Ankle_Y,Elbow_Angle,Trunk_Lean_Angle,Stride_Length,Wrist_Hip_Distance,Mid_Sternum_X,Knee_X,Foot_X,Sternum_to_Knee_Dist,Toe_to_Knee_Dist
1,579.2091751098633,503.2923495769501,577.6241683959961,576.0781145095825,633.4620094299316,605.3117680549622,572.3220634460449,616.0209274291992,504.9629974365234,765.192711353302,116.39,92.1,163.67,62.07,347.457275390625,336.29284286499023,336.29284286499023,11.164432525634766,0.0
2,579.0119361877441,503.5944199562073,577.7590370178223,578.139853477478,633.559398651123,606.0960245132446,557.0180511474609,614.017059803009,503.5424423217773,764.0483522415161,115.65,110.13,159.28,76.95,463.34129333496094,446.4561195373535,446.4561195373535,16.885173797607422,0.0
3,579.0652656555176,503.8086211681366,578.2635498046875,578.8538789749146,634.2424392700195,607.0662546157837,552.1240997314453,613.3455204963684,503.5746574401856,763.1247282028198,116.14,117.16,157.45,82.36,579.365650177002,556.2177314758301,556.2177314758301,23.147918701171875,0.0
4,579.4200897216797,503.9105880260468,578.1265640258789,578.7783694267273,634.3442344665527,607.4508190155029,550.8163833618164,613.4478735923767,501.408576965332,762.6875710487366,116.03,117.61,157.21,83.74,579.5467071533203,550.6881294250488,550.6881294250488,28.858577728271484,0.0
5,580.1217842102051,504.10637855529785,578.0723762512207,579.2242813110352,634.7034645080566,608.2949423789978,548.8080596923828,613.8339185714722,500.925235748291,763.0474162101746,115.61,115.54,156.71,86.07,579.5772285461426,547.5318832397461,547.5318832397461,32.045345306396484,0.0
6,580.1144599914551,504.14612889289856,578.0696296691895,579.1720747947693,634.8886871337891,608.3953642845154,544.6740531921387,613.2653760910034,500.2327537536621,762.759153842926,115.66,115.85,155.96,90.35,579.4666328430176,545.0415115356445,545.0415115356445,34.42512130737305,0.0
7,579.1645431518555,504.3481957912445,578.1030464172363,579.4739198684692,636.0736656188965,609.0333008766174,541.2368202209473,612.4962472915649,500.31938552856445,762.843804359436,116.21,112.1,155.82,94.9,579.1222801208496,542.6005210876465,542.6005210876465,36.521759033203125,0.0
8,578.5122871398926,506.0605502128601,578.4657096862793,582.3839020729065,637.0940208435059,610.2075934410095,539.6722412109375,611.4604210853577,500.3511428833008,762.876763343811,115.35,115.3,156.44,97.43,578.3074493408203,540.1534881591797,540.1534881591797,38.153961181640625,0.0
9,577.6983261108398,506.3045561313629,578.4299468994141,582.8854322433472,637.2572708129883,611.1759567260742,538.6114311218262,611.2928581237793,498.82524490356445,762.5547051429749,116.23,115.31,156.41,98.65,577.3036193847656,538.2832260131836,538.2832260131836,39.02039337158203,0.0
10,576.0476303100586,507.4821317195892,578.2636642456055,582.7071833610535,637.415885925293,611.4414310455322,536.5728950500488,611.0544204711914,508.1937789916992,762.581033706665,117.6,114.7,154.16,100.84,576.4048347473145,536.9242858886719,536.9242858886719,39.48054885864258,0.0
11,575.0953102111816,508.79534125328064,578.261775970459,584.2028903961182,638.0335807800293,611.9439911842346,535.3227424621582,611.0075569152832,510.5032539367676,762.5895953178406,117.3,113.86,153.6,102.72,575.668041229248,536.0024871826172,536.0024871826172,39.66555404663086,0.0
12,574.6706199645996,508.8140094280243,578.2586288452148,584.1221022605896,638.0499458312988,612.1913766860962,534.4421195983887,610.8822226524353,511.2036895751953,764.0160369873047,117.88,111.21,154.89,103.62,575.1141815185547,535.347038269043,535.347038269043,39.76714324951172,0.0
13,574.8283195495605,509.153094291687,578.1428718566895,584.719226360321,638.0112075805664,612.1503710746765,535.0632476806641,610.940351486206,511.706428527832,764.6381378173828,117.13,111.22,155.46,102.96,574.8403358459473,535.0389633178711,535.0389633178711,39.80137252807617,0.0
14,574.929027557373,509.6775412559509,577.9919815063477,584.9411201477051,637.9911231994629,612.1193432807922,535.3341865539551,611.4220547676086,511.85096740722656,765.7950496673584,116.7,112.07,156.15,102.66,574.6512222290039,534.9301643371582,534.9301643371582,39.7210578918457,0.0
15,574.6784019470215,510.6145226955414,577.8654098510742,585.5292963981628,637.9572486877441,612.1566796302795,535.0325202941895,611.9918847084045,511.7120933532715,766.2372279167175,116.33,113.35,156.0,102.92,574.3237152099609,534.8901672363281,534.8901672363281,39.43354797363281,0.0
16,574.1497421264648,511.18119835853577,577.8591728210449,585.9886622428894,638.0315208435059,612.153525352478,534.7787475585938,612.4165534973145,511.6841697692871,767.9051971435547,116.34,114.19,157.19,103.25,573.861156463623,534.6011123657227,534.6011123657227,39.26004409790039,0.0
17,573.0330848693848,511.3993585109711,577.8381729125977,586.1757946014404,638.034782409668,612.1233987808228,534.2421340942383,612.7612066268921,512.4614524841309,767.552239894867,117.0,113.82,156.32,103.79,573.2690277099609,534.0699920654297,534.0699920654297,39.19903564453125,0.0
18,572.5155258178711,511.8587565422058,577.7729415893555,586.8443727493286,637.9125022888184,612.1041512489319,533.6179733276367,613.2253360748291,513.4567451477051,765.876739025116,116.79,113.96,153.98,104.3,572.6357688903809,533.5622634887695,533.5622634887695,39.07350540161133,0.0
19,571.9683837890625,512.1624684333801,577.7703094482422,587.5617456436157,637.906665802002,612.0948815345764,532.6785850524902,613.9002227783203,513.1212043762207,765.9022951126099,116.59,113.6,153.26,105.24,572.0036201477051,533.0749168395996,533.0749168395996,38.92870330810547,0.0
20,571.5121078491211,512.0573151111603,577.6461982727051,587.6525115966797,637.8975677490234,612.0838737487793,532.4938774108887,614.300365447998,504.2856788635254,766.3252258300781,116.71,112.68,154.62,105.43,571.4013977050781,532.6380157470703,532.6380157470703,38.76338195800781,0.0
21,570.9889984130859,512.2536528110504,577.6130104064941,588.4069633483887,637.8670120239258,612.0910835266113,532.3420143127441,614.9110078811646,501.8510055541992,766.7313551902771,116.43,111.88,154.85,105.56,570.7076225280762,532.2652015686035,532.2652015686035,38.442420959472656,0.0
22,570.02197265625,512.4107551574707,577.6116943359375,589.1443562507629,637.8604316711426,612.2514367103577,532.0576286315918,615.3537011146545,500.5696678161621,766.9800925254822,116.63,111.39,154.86,105.85,569.9928131103516,532.0017700195312,532.0017700195312,37.99104309082031,0.0
23,569.0466499328613,512.8516137599945,577.6191902160645,589.6110606193542,637.851734161377,612.4737167358398,531.7539024353027,615.8829760551453,516.2397193908691,766.4110350608826,117.16,110.77,151.33,106.15,569.3419418334961,531.7806701660156,531.7806701660156,37.56127166748047,0.0
24,568.3943367004395,513.2902193069458,577.5967025756836,589.8063039779663,637.8453254699707,612.4941229820251,531.3614273071289,616.4611101150513,519.4181442260742,766.4286732673645,117.49,110.53,150.44,106.56,568.7137985229492,531.564022064209,531.564022064209,37.149776458740234,0.0
25,568.2577514648438,513.4296190738678,577.5933837890625,589.9794030189514,637.8366851806641,612.4374103546143,531.3883781433105,617.3810005187988,525.9021377563477,766.6141319274902,117.4,110.07,149.33,106.56,568.2776069641113,531.3889846801758,531.3889846801758,36.88862228393555,0.0
26,567.8482818603516,513.4099853038788,577.4893569946289,589.9476027488708,637.8313636779785,612.3978853225708,531.2587738037109,617.6921796798706,524.7703170776367,766.254608631134,117.59,109.61,148.7,106.7,568.0253677368164,531.2744979858398,531.2744979858398,36.75086975097656,0.0
27,567.8410148620605,513.3862960338593,577.4191474914551,589.9177980422974,637.8888130187988,612.3612570762634,531.1824417114258,617.965829372406,522.9101371765137,766.2535786628723,117.5,109.62,148.52,106.85,567.8708610534668,531.1938514709473,531.1938514709473,36.67700958251953,0.0
28,567.7854537963867,513.3765113353729,577.0706176757812,589.6984148025513,637.9420280456543,612.3481893539429,531.181468963623,618.2934236526489,527.9170417785645,768.2876372337341,117.35,109.59,150.03,106.93,567.7551155090332,531.1074485778809,531.1074485778809,36.647666931152344,0.0
29,567.6218032836914,513.369687795639,577.038631439209,589.6545767784119,638.0707740783691,612.35919713974,530.958194732666,618.6804986000061,526.4782905578613,769.8167538642883,117.44,108.9,151.2,107.3,567.7173156738281,531.0349960327148,531.0349960327148,36.68231964111328,0.0
30,567.6790237426758,513.317996263504,577.0087623596191,589.6046233177185,638.1341743469238,612.3606133460999,530.9563636779785,618.8141369819641,525.3779411315918,769.9225831031799,117.39,107.61,151.21,107.37,567.6952629089355,530.9914054870605,530.9914054870605,36.703857421875,0.0
31,567.6592826843262,513.3198952674866,577.0072174072266,589.6307587623596,638.1356048583984,612.2730660438538,530.8965110778809,618.8098239898682,524.9380874633789,769.7965407371521,117.31,106.46,151.1,107.44,567.6879043579102,530.9534797668457,530.9534797668457,36.73442459106445,0.0
