Frame,Left_Shoulder_X,Left_Shoulder_Y,Right_Shoulder_X,Right_Shoulder_Y,Right_Knee_X,Right_Knee_Y,Right_Foot_Index_X,Right_Foot_Index_Y,Hip_X,Hip_Y,Ankle_X,Ankle_Y,Wrist_X,Wrist_Y,Elbow_X,Elbow_Y
1,460.92,471.51,399.2,471.3,444.02,682.45,463.75,802.31,424.44,606.4,402.66,759.9,387.69,563.36,329.21,520.47
2,465.49,471.77,399.3,470.54,455.48,687.59,503.88,805.4,415.01,605.49,391.95,756.6,387.64,563.38,329.4,519.42
3,466.65,471.68,399.61,470.27,453.89,687.27,514.27,805.22,406.69,605.25,383.86,753.68,387.75,563.52,329.34,519.28
4,469.78,471.69,399.9,470.17,454.05,689.21,511.71,805.09,404.66,604.65,382.81,752.13,387.91,563.52,329.3,519.19
5,471.73,471.54,400.06,469.96,458.43,690.16,510.22,804.97,402.41,603.73,384.36,752.41,387.87,563.48,329.24,519.22
6,473.23,471.35,400.07,469.88,456.94,689.76,516.0,804.18,401.77,603.24,382.24,752.8,387.87,563.7,329.1,519.23
7,473.28,470.5,400.07,469.88,456.53,683.71,512.86,804.14,401.51,603.05,379.74,752.54,388.12,564.4,329.1,519.24
8,473.79,469.84,399.79,470.31,455.91,681.02,512.04,803.65,400.59,602.77,380.3,752.31,388.8,564.75,328.97,519.25
9,473.78,469.85,399.37,470.54,460.2,682.03,513.13,803.45,398.71,602.75,379.95,751.63,389.3,565.09,328.9,519.25
10,473.56,469.87,399.0,470.62,460.72,683.06,512.16,803.3,397.78,602.72,379.5,750.53,389.49,565.41,328.87,519.19
11,473.25,469.66,398.98,470.6,459.84,689.48,510.37,803.75,398.18,602.53,379.55,748.35,389.83,565.99,328.87,519.19
12,473.07,469.62,398.97,470.59,459.44,691.43,509.27,804.07,398.27,602.38,380.11,746.67,389.82,566.38,328.86,519.19
13,473.1,470.1,398.98,470.59,459.64,690.96,508.93,804.53,398.0,602.15,380.52,746.51,389.86,566.81,328.86,519.19
14,473.04,470.8,398.96,470.58,459.5,691.48,508.81,805.46,397.49,602.15,380.7,746.91,389.89,567.37,328.85,519.22
15,473.1,471.44,399.19,470.62,459.34,691.9,509.31,806.08,397.45,602.14,380.82,747.13,390.0,567.91,328.82,519.3
16,473.05,471.44,399.5,470.62,459.28,692.68,510.0,806.38,397.59,602.14,380.96,747.24,390.01,568.25,328.63,519.37
17,473.06,471.59,400.03,470.63,460.06,692.41,511.44,806.32,397.36,602.15,380.83,747.43,389.81,568.3,328.53,519.48
18,473.23,471.71,400.3,470.63,460.14,692.39,512.56,805.43,397.2,602.16,380.73,747.78,389.49,568.36,328.51,519.62
19,473.49,472.19,400.57,470.69,460.35,692.48,512.75,805.29,397.03,602.22,380.66,747.93,389.25,568.44,328.51,519.8
20,474.04,472.46,400.67,470.76,460.29,692.74,513.24,806.26,396.83,602.29,380.51,748.04,389.24,568.66,328.51,520.11
21,474.16,472.45,400.71,470.92,460.24,693.75,513.42,806.38,396.89,602.51,380.55,748.06,389.18,568.88,328.52,520.44
22,474.35,472.48,400.71,471.09,460.27,694.97,513.21,806.41,396.88,602.77,380.64,747.99,389.11,569.08,328.52,520.65
23,474.73,472.51,400.72,471.32,460.55,695.19,513.23,805.83,396.92,602.77,380.76,748.03,389.11,569.38,328.52,520.81
24,475.05,472.55,400.71,471.6,460.64,695.2,513.2,805.83,396.95,602.81,380.77,748.01,389.09,569.64,328.53,520.88
25,475.22,472.55,400.8,471.7,460.63,695.13,513.18,806.41,396.96,602.81,380.96,748.03,389.1,569.82,328.57,520.93
26,475.46,472.64,400.94,471.7,460.3,695.08,513.25,806.53,396.99,602.77,381.13,748.04,389.17,569.92,328.59,520.97
27,475.56,472.84,401.05,471.71,460.26,694.99,513.55,806.56,397.01,602.73,381.25,748.02,389.32,569.97,328.62,520.98
28,475.61,472.97,401.18,471.68,460.27,694.78,513.55,806.59,397.1,602.68,381.54,748.03,389.55,569.98,328.65,520.98
29,475.6,473.21,401.16,471.69,460.31,694.38,513.72,805.89,397.12,602.53,381.57,748.23,389.69,569.87,328.97,520.98
30,475.56,473.45,401.16,471.71,460.52,694.03,513.74,805.22,397.14,602.53,381.53,748.46,389.81,569.73,329.13,520.98
31,475.55,473.46,401.16,471.67,460.51,693.97,513.73,804.81,397.22,602.57,381.62,748.98,389.96,569.44,329.16,520.96
32,475.58,473.47,401.21,471.52,460.51,693.53,513.74,804.41,397.4,602.62,381.76,749.33,390.33,569.26,329.21,520.96
33,475.61,473.47,401.13,471.39,460.5,693.5,513.73,804.15,397.83,602.8,382.02,749.48,390.61,568.94,329.25,520.96
34,475.74,473.47,401.14,471.15,459.77,691.32,513.98,804.07,397.9,602.8,382.08,749.66,390.97,568.64,329.33,520.95
35,475.76,473.48,401.31,471.05,457.71,679.31,514.12,803.79,397.94,602.85,382.44,749.62,391.27,568.45,329.46,520.94
36,475.8,472.79,401.57,471.05,456.43,675.59,521.19,816.67,398.08,602.95,382.58,749.35,391.79,568.41,329.89,520.95
37,475.83,471.68,401.85,471.01,456.64,678.34,517.69,811.81,398.27,603.06,382.63,749.45,392.32,568.33,330.08,520.94
38,476.04,470.83,402.04,470.97,456.09,674.67,521.16,822.71,398.68,603.09,382.78,749.32,392.63,568.24,330.25,520.91
39,476.17,470.86,402.3,470.93,455.72,673.94,522.83,823.79,399.08,603.18,382.99,748.8,392.81,568.16,330.38,520.87
40,476.38,470.9,402.31,470.94,455.76,671.76,523.74,823.79,399.23,603.2,383.54,748.37,393.04,568.11,330.52,520.86
41,476.6,470.93,402.3,470.94,455.79,669.71,524.22,825.4,399.28,603.21,383.75,748.02,393.27,568.07,330.73,520.89
42,477.11,470.96,402.26,470.94,456.04,670.04,517.89,813.38,399.52,603.24,384.31,747.71,393.61,568.08,330.95,520.97
