Frame,Shoulder_X,Shoulder_Y,Elbow_X,Elbow_Y,Wrist_X,Wrist_Y,Hip_X,Hip_Y,Ankle_X,Ankle_Y,Elbow_Angle,Trunk_Lean_Angle,Stride_Length,Wrist_Hip_Distance,Mid_Sternum_X,Knee_X,Foot_X,Sternum_to_Knee_Dist,Toe_to_Knee_Dist
1,399.2045974731445,471.3029193878174,329.2050361633301,520.4681968688965,387.68860816955566,563.3628344535828,424.4361877441406,606.3996076583862,402.6606559753418,759.9044036865234,71.34,79.23,155.04,56.59,239.6224708557129,249.22722244262695,249.22722244262695,-9.604751586914062,0.0
2,399.29944038391113,470.5389726161957,329.3950939178467,519.4193029403687,387.6446342468262,563.3825325965881,415.01063346862793,605.4903388023376,391.9537353515625,756.6013598442078,72.01,82.29,152.86,50.22,319.6022129058838,330.15882682800293,330.15882682800293,-10.55661392211914,0.0
3,399.6083164215088,470.269957780838,329.3409061431885,519.276909828186,387.7506923675537,563.5242819786072,406.6892910003662,605.2511286735535,383.8645648956299,753.6757349967957,72.04,85.79,150.17,45.82,399.6133346557617,410.6411018371582,410.6411018371582,-11.027767181396484,0.0
4,399.8987102508545,470.1650619506836,329.2980766296387,519.1858541965485,387.9085350036621,563.520998954773,404.6580219268799,604.6495628356934,382.80630111694336,752.1308469772339,71.88,86.72,149.09,44.41,399.7859859466553,406.10721588134766,406.10721588134766,-6.321229934692383,0.0
5,400.0556087493897,469.9642825126648,329.2398262023926,519.221259355545,387.87394523620605,563.4803152084351,402.4113750457764,603.7316036224365,384.3561458587647,752.4079728126526,71.87,87.73,149.77,42.8,399.9399604797363,403.40784645080566,403.40784645080566,-3.467885971069336,0.0
6,400.0678539276123,469.8796319961548,329.09703254699707,519.2296278476715,387.87285804748535,563.7048482894897,401.7667579650879,603.2361888885498,382.2381591796875,752.7997469902039,71.93,88.12,150.83,41.9,399.9770393371582,402.1875171661377,402.1875171661377,-2.210477828979492,0.0
7,400.0693130493164,469.88240003585815,329.0962600708008,519.2429208755493,388.1184196472168,564.4027161598206,401.513786315918,603.0540132522583,379.74303245544434,752.5416111946106,72.24,88.89,151.06,40.91,399.8704662322998,400.9977264404297,400.9977264404297,-1.1272602081298828,0.0
8,399.79371070861816,470.31434297561646,328.96531105041504,519.2489075660706,388.8007164001465,564.7501373291016,400.5876445770264,602.7652359008789,380.2980709075928,752.3061990737915,71.89,90.03,150.91,39.8,399.65971755981445,400.0716133117676,400.0716133117676,-0.411895751953125,0.0
9,399.3658447265625,470.5447018146515,328.8987922668457,519.246654510498,389.3043994903565,565.0862288475037,398.70906829833984,602.7511382102966,379.95240211486816,751.6264200210571,71.84,90.82,150.05,38.82,399.44177055358887,399.35423469543457,399.35423469543457,0.08753585815429688,0.0
10,399.0018653869629,470.6208229064941,328.8728427886963,519.1945123672485,389.4934272766113,565.4077076911926,397.7808094024658,602.7221703529358,379.50276374816895,750.5316281318665,72.03,91.11,148.94,38.22,399.2212257385254,398.7056407928467,398.7056407928467,0.5155849456787109,0.0
11,398.9781188964844,470.59977293014526,328.87081146240234,519.1932892799377,389.82876777648926,565.9920859336853,398.1798648834229,602.5262188911438,379.5480537414551,748.3472585678101,72.24,91.07,147.01,37.48,399.0583019256592,398.1888313293457,398.1888313293457,0.8694705963134766,0.0
