Frame,Shoulder_X,Shoulder_Y,Elbow_X,Elbow_Y,Wrist_X,Wrist_Y,Hip_X,Hip_Y,Ankle_X,Ankle_Y,Elbow_Angle,Trunk_Lean_Angle,Stride_Length,Wrist_Hip_Distance,Mid_Sternum_X,Knee_X,Foot_X,Sternum_to_Knee_Dist,Toe_to_Knee_Dist
1,399.2045974731445,471.3029193878174,329.2050361633301,520.4681968688965,387.68860816955566,563.3628344535828,424.4361877441406,606.3996076583862,402.6606559753418,759.9044036865234,71.34,79.23,155.04,56.59,218.60533905029297,197.58820724487305,235.69579124450684,21.017131805419922,38.10758399963379
2,399.29944038391113,470.5389726161957,329.3950939178467,519.4193029403687,387.6446342468262,563.3825325965881,415.01063346862793,605.4903388023376,391.9537353515625,756.6013598442078,72.01,82.29,152.86,50.22,291.5250177383423,263.4478225708008,312.2570514678955,28.077195167541504,48.80922889709473
3,399.6083164215088,470.269957780838,329.3409061431885,519.276909828186,387.7506923675537,563.5242819786072,406.6892910003662,605.2511286735535,383.8645648956299,753.6757349967957,72.04,85.79,150.17,45.82,364.4545612335205,329.2957878112793,389.12828063964844,35.15877342224121,59.83249282836914
4,399.8987102508545,470.1650619506836,329.2980766296387,519.1858541965485,387.9085350036621,563.520998954773,404.6580219268799,604.6495628356934,382.80630111694336,752.1308469772339,71.88,86.72,149.09,44.41,364.530086517334,329.2741870880127,385.0437812805176,35.25589942932129,55.76959419250488
5,400.0556087493897,469.9642825126648,329.2398262023926,519.221259355545,387.87394523620605,563.4803152084351,402.4113750457764,603.7316036224365,384.3561458587647,752.4079728126526,71.87,87.73,149.77,42.8,364.5771903991699,329.2144203186035,382.60164070129395,35.362770080566406,53.38722038269043
6,400.0678539276123,469.8796319961548,329.09703254699707,519.2296278476715,387.87285804748535,563.7048482894897,401.7667579650879,603.2361888885498,382.2381591796875,752.7997469902039,71.93,88.12,150.83,41.9,364.5581703186035,329.1393013000488,381.8883419036865,35.41886901855469,52.749040603637695
7,400.0693130493164,469.88240003585815,329.0962600708008,519.2429208755493,388.1184196472168,564.4027161598206,401.513786315918,603.0540132522583,379.74303245544434,752.5416111946106,72.24,88.89,151.06,40.91,364.464955329895,329.05944442749023,381.3175621032715,35.405510902404785,52.25811767578125
8,399.79371070861816,470.31434297561646,328.96531105041504,519.2489075660706,388.8007164001465,564.7501373291016,400.5876445770264,602.7652359008789,380.2980709075928,752.3061990737915,71.89,90.03,150.91,39.8,364.3228826522827,328.986047744751,380.34688568115234,35.33683490753174,51.36083793640137
9,399.3658447265625,470.5447018146515,328.8987922668457,519.246654510498,389.3043994903565,565.0862288475037,398.70906829833984,602.7511382102966,379.95240211486816,751.6264200210571,71.84,90.82,150.05,38.82,364.19128704071045,328.94080352783203,379.80886459350586,35.25048351287842,50.86806106567383
10,399.0018653869629,470.6208229064941,328.8728427886963,519.1945123672485,389.4934272766113,565.4077076911926,397.7808094024658,602.7221703529358,379.50276374816895,750.5316281318665,72.03,91.11,148.94,38.22,364.05777168273926,328.8943176269531,379.88288497924805,35.16345405578613,50.98856735229492
11,398.9781188964844,470.59977293014526,328.87081146240234,519.1932892799377,389.82876777648926,565.9920859336853,398.1798648834229,602.5262188911438,379.5480537414551,748.3472585678101,72.24,91.07,147.01,37.48,363.96533489227295,328.8723678588867,379.9278373718262,35.09296703338623,51.05546951293945
12,398.966588973999,470.59114694595337,328.86383056640625,519.1904890537262,389.8184108734131,566.3820576667786,398.2708168029785,602.3766160011292,380.1131343841553,746.6710495948792,72.48,91.05,145.43,36.97,363.9206428527832,328.86316680908203,380.0771141052246,35.05747604370117,51.21394729614258
13,398.9790916442871,470.5851924419403,328.855562210083,519.1907465457916,389.858751296997,566.8076920509338,398.0035972595215,602.1507954597473,380.5228328704834,746.5111470222473,72.7,90.8,145.41,36.27,363.93421840667725,328.8531074523926,380.3400936126709,35.08111095428467,51.48698616027832
14,398.9649295806885,470.58435559272766,328.85278701782227,519.2158198356628,389.89394187927246,567.3719215393066,397.4853229522705,602.1460318565369,380.6987857818604,746.9123840332031,73.02,90.48,145.74,35.59,363.9626741409302,328.8057518005371,380.62336349487305,35.156922340393066,51.81761169433594
15,399.1879177093506,470.6224322319031,328.822546005249,519.3026268482208,389.9967670440674,567.912654876709,397.4509620666504,602.1381139755249,380.8176612854004,747.1262955665588,73.15,90.12,145.94,35.03,364.03503227233887,328.7381114959717,380.7667808532715,35.29692077636719,52.028669357299805
16,399.499454498291,470.6234622001648,328.634033203125,519.3691563606262,390.0068950653076,568.249261379242,397.5902652740479,602.1415257453918,380.9644031524658,747.239978313446,73.06,90.19,146.05,34.73,364.1321840286255,328.6691722869873,380.80753898620605,35.463011741638184,52.13836669921875
17,400.0283718109131,470.6299960613251,328.5256290435791,519.4832253456116,389.8050785064697,568.2954168319702,397.3580932617188,602.1465468406677,380.83022117614746,747.4318742752075,72.88,90.41,146.22,34.68,364.2586727142334,328.6011486053467,380.79948806762695,35.65752410888672,52.19833946228027
18,400.2953052520752,470.6264233589173,328.51086616516113,519.6229791641235,389.4862461090088,568.3613348007202,397.2036552429199,602.1605157852173,380.72662353515625,747.7845096588135,72.95,90.49,146.55,34.67,364.3755855560303,328.5387439727783,380.73867988586426,35.83684158325195,52.19993591308594
19,400.5699348449707,470.6896376609802,328.51266860961914,519.7964000701904,389.2509841918945,568.4358787536621,397.03139305114746,602.2219920158386,380.6585311889648,747.9327607154846,72.96,90.37,146.63,34.67,364.48505115509033,328.5150547027588,380.65551567077637,35.96999645233154,52.14046096801758
20,400.66906929016113,470.7606732845306,328.5105228424072,520.1122462749481,389.236536026001,568.6574506759644,396.82740211486816,602.2903561592102,380.5136203765869,748.038010597229,73.01,90.35,146.66,34.48,364.5523910522461,328.5131778717041,380.61826515197754,36.03921318054199,52.10508728027344
21,400.71255683898926,470.9155869483948,328.51558685302734,520.4406130313873,389.184923171997,568.8759970664978,396.8852233886719,602.5063276290894,380.5485820770264,748.0580949783325,73.05,90.47,146.47,34.5,364.59568977355957,328.515718460083,380.6245651245117,36.07997131347656,52.10884666442871
22,400.71115493774414,471.0882675647736,328.51624488830566,520.6547820568085,389.11251068115234,569.0794801712036,396.8824195861816,602.7701926231384,380.6439685821533,747.98992395401,73.1,90.58,146.12,34.58,364.61081886291504,328.5187168121338,380.64715003967285,36.09210205078125,52.12843322753906
23,400.7155895233154,471.3152468204498,328.52356910705566,520.8092772960663,389.1078758239746,569.3839001655579,396.9243049621582,602.7745056152344,380.7581233978272,748.0298352241516,73.16,90.73,146.15,34.29,364.6297359466553,328.5301094055176,380.7370204925537,36.099626541137695,52.20691108703613
24,400.7062339782715,471.5979731082916,328.52766036987305,520.8759677410126,389.0939998626709,569.6354055404663,396.9547462463379,602.8089451789856,380.7714557647705,748.014771938324,73.16,90.91,146.1,34.09,364.66010570526123,328.5450038909912,380.85331535339355,36.11510181427002,52.308311462402344
25,400.8012771606445,471.70209646224976,328.5674858093262,520.934032201767,389.10189628601074,569.8150706291199,396.96473121643066,602.8122925758362,380.9629726409912,748.0257153511047,73.2,91.03,146.09,33.92,364.7047462463379,328.566255569458,380.97453117370605,36.13849067687988,52.40827560424805
26,400.9417819976807,471.7047035694122,328.5900592803955,520.9679567813873,389.1664409637451,569.9187755584717,396.9892501831055,602.7705144882202,381.1300563812256,748.0412292480469,73.19,91.01,146.13,33.77,364.76392936706543,328.592004776001,381.1315040588379,36.17192459106445,52.539499282836914
27,401.0513019561768,471.71255707740784,328.62250328063965,520.9817969799042,389.3176174163818,569.9695658683777,397.0067310333252,602.7297019958496,381.2500476837158,748.0153512954712,73.13,90.9,146.14,33.65,364.85377407073975,328.68146324157715,381.2903881072998,36.1723108291626,52.608924865722656
28,401.178674697876,471.6845870018005,328.6523151397705,520.9774196147919,389.5467281341553,569.9822473526001,397.1040916442871,602.6757574081421,381.5429878234863,748.0293846130371,73.03,90.79,146.18,33.56,364.94581031799316,328.79466247558594,381.4042510986328,36.15114784240723,52.609588623046875
29,401.1573886871338,471.6939854621887,328.9749526977539,520.9806382656097,389.68554496765137,569.8661184310913,397.1157360076904,602.5252532958984,381.5658760070801,748.2320952415466,73.17,90.6,146.53,33.49,365.0254240036011,328.909366607666,381.5018005371094,36.11605739593506,52.59243392944336
30,401.1556434631348,471.70666694641113,329.1334819793701,520.9819900989532,389.8075675964356,569.7277164459229,397.1362209320069,602.5254464149475,381.53228759765625,748.4648036956787,73.16,90.42,146.77,33.61,365.09967613220215,329.0270118713379,381.6045742034912,36.07266426086426,52.57756233215332
31,401.1643981933594,471.6681718826294,329.1635799407959,520.9562408924103,389.9608039855957,569.4417071342468,397.2240257263184,602.5678038597107,381.6178035736084,748.9801740646362,72.97,90.34,147.24,33.91,365.15491104125977,329.1463680267334,381.70079612731934,36.00854301452637,52.55442810058594
32,401.2055969238281,471.522399187088,329.210729598999,520.9553718566895,390.3281307220459,569.2607545852661,397.39514350891113,602.6197528839111,381.763916015625,749.3258571624756,72.8,90.16,147.54,34.1,365.1888198852539,329.2171268463135,381.8045768737793,35.97169303894043,52.58745002746582
33,401.1342430114746,471.3943612575531,329.24909591674805,520.9561121463776,390.6059074401856,568.9358639717102,397.8329372406006,602.7993535995483,382.02409744262695,749.4831848144531,72.61,89.84,147.53,34.63,365.23751735687256,329.2830104827881,381.9855365753174,35.95450687408447,52.7025260925293
34,401.1426830291748,471.1520290374756,329.3287467956543,520.9475183486938,390.9742641448975,568.6417436599731,397.9006290435791,602.7992248535156,382.0847797393799,749.6629786491394,72.47,89.63,147.71,34.85,365.3506736755371,329.42782974243164,382.17721366882324,35.92284393310547,52.7493839263916
35,401.3131999969482,471.0482919216156,329.4629001617432,520.9448790550232,391.269006729126,568.449718952179,397.9426288604736,602.8505301475525,382.4370861053467,749.6157932281494,72.32,89.59,147.58,35.04,365.5019130706787,329.6018314361572,382.3494758605957,35.900081634521484,52.74764442443848
36,401.5718650817871,471.0463607311249,329.8876762390137,520.9543418884277,391.7915439605713,568.4071040153503,398.076524734497,602.9501795768738,382.5761890411377,749.3514776229858,72.32,90.18,147.22,35.11,365.69261741638184,329.80166244506836,382.5007438659668,35.89095497131348,52.69908142089844
37,401.8479824066162,471.0109555721283,330.0807380676269,520.9389567375183,392.3170280456543,568.3250284194946,398.27479362487793,603.0610299110413,382.6252269744873,749.4529294967651,72.11,91.03,147.23,35.24,365.9135856628418,330.01159858703613,382.6823329925537,35.901987075805664,52.67073440551758
38,402.0421314239502,470.9730398654938,330.2482509613037,520.9068667888641,392.629508972168,568.2446908950806,398.6772537231445,603.0907702445984,382.7804374694824,749.3177461624146,72.01,91.57,147.09,35.37,366.11867809295654,330.2233657836914,382.9032325744629,35.89531230926514,52.679866790771484
39,402.3026847839356,470.9303605556488,330.3784275054932,520.8658289909363,392.8147315979004,568.1584310531616,399.08114433288574,603.1763863563538,382.99272537231445,748.8028907775879,71.91,91.45,146.51,35.57,366.2757911682129,330.39173126220703,383.13844871520996,35.88405990600586,52.74671745300293
