Frame,Left_Shoulder_X,Left_Shoulder_Y,Right_Shoulder_X,Right_Shoulder_Y,Right_Knee_X,Right_Knee_Y,Right_Foot_Index_X,Right_Foot_Index_Y,Hip_X,Hip_Y,Ankle_X,Ankle_Y,Wrist_X,Wrist_Y,Elbow_X,Elbow_Y
1,598.18,365.15,575.25,365.99,624.23,666.1,678.78,809.81,562.04,558.59,509.65,778.55,596.56,520.49,532.76,460.91
2,599.63,365.2,575.29,367.23,624.04,666.64,677.62,811.93,561.42,558.63,509.52,777.97,596.79,522.98,534.32,463.17
3,599.65,365.0,576.2,367.82,623.56,667.28,677.19,812.42,561.17,558.73,509.32,777.91,596.8,524.51,535.77,463.89
4,599.54,364.94,578.32,367.96,623.59,667.89,677.2,813.25,560.53,558.74,509.41,777.5,597.33,525.9,537.97,463.92
5,598.76,364.76,580.92,368.07,623.59,667.94,677.21,814.67,560.5,558.6,509.46,776.52,598.08,526.3,541.25,463.87
6,599.77,364.76,582.01,368.06,623.61,668.03,677.14,814.72,560.55,558.51,509.7,775.13,600.32,526.23,541.66,463.86
7,600.11,364.46,584.15,368.14,624.1,668.39,677.27,815.31,562.9,558.63,508.47,774.76,603.39,525.9,542.51,463.83
8,600.35,364.46,585.26,368.43,624.42,668.5,677.27,815.31,564.36,558.87,508.4,773.88,605.98,525.81,543.45,463.88
9,600.53,364.27,587.79,368.43,624.84,668.5,677.24,815.25,566.35,559.23,507.97,770.74,608.7,525.14,545.22,463.87
10,601.56,364.22,588.32,368.44,625.29,668.24,677.21,815.2,567.52,559.23,507.02,767.31,610.29,524.32,545.78,463.86
11,602.53,364.16,588.93,368.45,625.41,668.24,677.06,815.26,567.67,559.25,505.81,765.3,610.86,523.5,546.98,463.85
12,604.59,363.95,589.45,368.45,625.91,668.32,676.87,815.24,567.5,559.24,504.66,762.5,611.22,523.08,547.63,463.84
13,604.76,363.5,590.93,368.45,626.01,668.58,676.49,814.76,569.73,560.11,501.92,759.16,611.26,521.65,547.77,463.83
14,605.12,362.67,592.69,368.23,626.14,668.53,676.11,812.7,570.96,560.19,499.69,756.92,610.99,520.47,547.77,463.07
15,606.44,362.39,592.86,368.13,626.14,668.44,675.93,811.4,571.56,560.21,496.96,756.52,610.98,519.02,547.63,462.83
16,606.84,361.22,594.18,367.41,626.21,668.17,675.78,810.98,571.5,559.46,494.62,754.76,611.98,519.08,547.83,462.28
17,606.78,359.85,595.7,366.44,626.67,667.89,675.03,810.92,572.5,557.88,491.88,754.45,611.8,519.15,547.77,461.46
18,607.06,359.2,596.33,366.21,626.78,667.47,674.95,809.5,572.42,557.23,489.55,753.78,611.97,519.08,548.0,461.32
19,608.23,358.52,597.18,366.17,627.24,666.51,674.48,808.9,572.32,556.15,488.35,751.84,612.85,518.49,548.11,461.2
20,609.22,357.98,597.47,366.04,627.36,665.63,674.55,807.62,573.24,555.7,485.68,748.81,613.58,517.86,548.35,460.61
21,609.49,357.27,598.22,365.73,627.93,664.77,674.09,805.9,574.36,555.22,484.22,746.39,613.98,517.89,548.93,460.49
22,609.56,356.18,600.26,365.12,628.19,664.39,672.86,804.19,575.04,554.96,482.04,743.83,614.31,517.61,549.44,459.92
23,609.81,355.73,600.39,364.44,628.23,663.97,672.75,802.07,575.09,554.28,480.49,742.19,614.51,516.7,549.56,458.84
24,610.55,355.77,600.41,364.29,628.25,663.84,672.78,801.13,575.64,553.81,478.63,740.16,615.95,516.57,549.78,458.58
25,611.18,355.5,600.62,364.11,628.36,663.85,673.02,801.26,576.12,553.16,477.27,739.62,616.85,516.47,549.83,458.55
26,611.42,355.02,600.91,363.85,629.0,663.86,673.04,800.69,576.05,552.85,475.77,739.18,616.73,516.43,549.81,458.46
27,611.99,354.7,601.37,363.47,629.29,663.8,673.08,799.76,577.47,552.61,474.28,737.69,617.54,516.45,550.01,457.81
28,612.68,354.22,601.49,362.92,629.68,663.2,673.38,799.35,577.81,551.99,473.54,737.07,617.81,516.17,550.43,456.38
29,613.82,353.95,601.44,361.95,629.9,661.75,674.33,797.96,578.17,551.51,472.56,736.49,618.64,515.74,550.43,455.65
30,614.81,353.6,601.38,360.9,629.97,660.93,675.31,798.03,578.09,549.86,471.83,736.24,617.93,514.72,550.42,454.13
31,615.92,353.52,601.32,359.85,630.0,660.56,676.11,798.01,577.66,549.04,471.52,735.34,617.85,514.75,550.38,453.87
32,616.59,353.49,601.3,359.25,630.15,660.61,676.63,797.65,577.8,548.79,471.2,735.03,616.99,513.86,550.37,452.71
33,617.26,353.48,601.27,358.92,630.2,660.6,676.64,796.98,577.8,548.49,471.01,734.57,616.5,513.42,550.27,452.23
34,617.95,353.43,601.41,358.23,630.26,660.21,677.11,796.13,577.81,548.03,471.12,734.02,615.5,511.74,550.03,451.37
35,618.16,352.8,601.52,357.68,630.43,659.74,677.34,795.47,577.88,547.14,471.16,733.88,614.95,511.54,550.02,450.92
36,618.19,351.79,601.61,357.2,630.48,658.76,677.34,794.96,578.41,546.94,471.31,733.34,614.5,510.69,549.89,450.68
37,618.18,350.84,602.05,357.18,630.68,658.03,677.39,795.05,578.68,546.64,471.36,733.15,613.88,509.59,549.23,450.19
38,618.13,350.29,602.54,357.21,631.39,658.08,677.37,794.64,579.16,546.85,471.44,732.87,613.53,509.25,548.83,450.26
39,618.08,349.52,602.88,357.24,631.96,658.13,678.0,794.65,579.7,546.89,471.56,732.52,613.45,508.74,548.37,450.32
40,618.08,349.16,603.17,357.14,632.44,658.07,678.32,794.46,580.28,546.92,472.19,732.33,613.68,509.56,548.16,450.41
41,618.06,348.79,603.48,356.69,632.76,657.88,679.33,794.4,580.35,546.74,473.44,732.26,613.74,510.13,548.1,450.44
42,618.23,348.17,603.48,356.58,633.27,657.74,679.93,794.28,580.32,546.4,474.2,731.97,613.72,511.48,548.06,450.45
43,618.41,347.56,603.51,356.27,633.68,657.35,680.84,794.01,580.24,545.59,475.49,731.85,613.7,512.06,547.89,450.46
44,618.55,347.51,603.19,355.86,634.04,657.29,680.92,793.53,580.07,544.86,476.79,731.8,613.0,512.15,547.8,450.29
45,619.09,347.52,602.51,355.57,634.14,656.49,680.88,792.82,577.94,543.58,477.55,731.78,611.81,512.5,547.43,450.16
46,619.1,347.44,602.09,355.18,634.24,656.41,680.85,792.48,577.69,542.73,477.88,731.79,608.8,512.57,546.64,450.0
47,619.09,347.12,601.69,354.79,634.67,656.02,681.87,792.29,577.64,542.53,478.85,731.8,607.34,512.31,545.45,449.97
48,619.1,346.99,601.34,354.47,635.06,655.26,682.5,792.31,577.55,542.38,479.17,731.74,607.05,512.37,544.53,449.91
49,619.5,347.05,600.6,354.26,636.45,655.15,682.86,792.56,577.66,542.44,479.65,731.36,606.97,512.41,544.23,449.71
50,619.55,347.08,599.92,354.27,637.14,655.39,683.26,793.52,577.55,542.48,479.83,731.34,606.82,513.11,544.19,449.58
51,619.93,347.27,599.21,354.39,637.51,656.0,683.85,793.61,577.55,542.52,480.26,731.21,606.6,514.42,544.14,449.58
52,619.93,347.25,599.08,354.39,638.07,655.8,684.82,793.57,577.57,542.32,480.81,731.19,605.87,514.94,543.97,449.29
53,619.98,347.3,598.03,354.54,638.43,655.24,686.96,793.59,577.52,541.89,481.33,731.19,604.46,514.92,543.34,449.03
54,619.97,347.31,597.54,354.6,638.5,654.83,687.55,793.66,577.71,541.5,481.65,731.3,603.99,514.88,543.09,448.73
55,620.0,347.31,596.64,354.67,638.97,654.74,688.51,793.7,577.69,541.29,482.15,731.41,604.14,515.02,542.89,448.76
56,620.0,347.3,595.6,354.68,639.24,654.9,689.71,793.83,578.65,541.29,482.63,732.36,604.05,515.0,541.95,448.35
57,619.98,347.3,594.68,354.67,639.85,654.98,690.62,794.33,578.75,541.08,483.34,732.89,603.98,514.99,540.91,448.28
58,619.74,347.56,594.08,354.69,640.47,654.97,692.05,795.56,579.32,541.21,483.88,732.9,604.01,515.36,539.88,448.26
59,619.2,347.9,593.6,354.7,640.97,654.95,693.24,796.52,579.47,541.22,484.76,733.08,603.54,515.26,538.36,447.94
