Frame,Shoulder_X,Shoulder_Y,Elbow_X,Elbow_Y,Wrist_X,Wrist_Y,Hip_X,Hip_Y,Ankle_X,Ankle_Y,Elbow_Angle,Trunk_Lean_Angle,Stride_Length,Wrist_Hip_Distance,Mid_Sternum_X,Knee_X,Foot_X,Sternum_to_Knee_Dist,Toe_to_Knee_Dist
1,361.0530281066895,365.7169461250305,340.9212112426758,471.0747814178467,440.6183052062988,524.1027295589447,413.4519481658936,575.9469223022461,361.3843059539795,796.7046546936035,107.19,64.18,226.81,58.53,217.08230781555176,248.79391479492188,248.79391479492188,-31.711606979370117,0.0
2,361.88358306884766,365.5149435997009,341.53956413269043,469.3275690078736,442.8452396392822,525.3286170959473,414.7042751312256,573.45858335495,361.1760234832764,795.2863883972168,107.85,64.23,228.19,55.75,289.5904655456543,331.95169258117676,331.95169258117676,-42.36122703552246,0.0
3,362.4749279022217,365.20025610923767,341.76172256469727,467.7291226387024,443.5513687133789,525.3892242908478,415.81335067749023,572.2901487350464,360.7960796356201,795.0035977363586,108.11,63.93,229.41,54.49,362.1065368652344,414.8090400695801,414.8090400695801,-52.7025032043457,0.0
4,362.5407886505127,365.1963937282562,342.7380180358887,466.985228061676,444.61835861206055,525.3834307193756,415.7888889312744,571.4769244194031,360.70040702819824,795.0367498397827,108.81,64.16,230.25,54.37,362.4568748474121,414.88635635375977,414.88635635375977,-52.429481506347656,0.0
5,362.5803565979004,365.1076877117157,343.7157726287842,466.8166673183441,445.6735038757324,525.8309841156006,414.2867374420166,570.7933473587036,359.6351909637451,795.1897644996643,109.56,64.62,230.96,54.83,362.7165641784668,414.6701374053955,414.6701374053955,-51.95357322692871,0.0
6,362.8047180175781,364.6717536449432,343.7518501281738,466.4426922798157,445.9650707244873,525.8264136314392,413.838529586792,569.8880052566528,359.3496322631836,795.2058577537537,109.55,64.44,231.81,54.53,362.8565311431885,414.1930332183838,414.1930332183838,-51.33650207519531,0.0
7,363.1820297241211,364.44902300834656,343.88946533203125,466.2932825088501,446.002779006958,525.809451341629,413.6231803894043,569.315664768219,358.85616302490234,795.2625060081482,109.51,64.44,232.49,54.23,362.97857093811035,413.5349979400635,413.5349979400635,-50.556427001953125,0.0
8,363.1747627258301,364.4112682342529,343.8805961608887,466.2581670284271,445.8924007415772,525.2985870838165,413.4278297424317,569.0658330917358,358.3992004394531,795.2240109443665,109.33,65.01,232.76,54.49,363.0457878112793,413.0357723236084,413.0357723236084,-49.9899845123291,0.0
9,363.15098762512207,364.2782735824585,343.51999282836914,466.2586176395416,445.4034233093262,524.9197840690613,412.4987125396729,568.540678024292,357.8895378112793,795.1264214515686,109.04,65.41,233.07,54.64,362.9568328857422,412.5285930633545,412.5285930633545,-49.571760177612305,0.0
10,362.9164409637451,364.2231380939484,343.17017555236816,466.266793012619,445.2674388885498,524.5254993438721,411.7906093597412,568.4349131584167,357.41698265075684,795.160539150238,108.76,65.45,233.15,55.22,362.62114906311035,412.0019989013672,412.0019989013672,-49.380849838256836,0.0
11,362.3599433898926,364.19304370880127,342.9223823547363,466.2788951396942,445.2026653289795,524.5563340187073,411.30263328552246,568.4840941429138,356.0958766937256,795.755603313446,108.89,65.42,233.88,55.49,362.24910163879395,411.5170726776123,411.5170726776123,-49.26797103881836,0.0
12,361.5036106109619,364.30508494377136,342.7287483215332,466.69020652771,445.1882743835449,524.5560443401337,410.9902095794678,568.5317301750183,354.80956077575684,796.007559299469,109.07,65.79,234.31,55.71,361.75330352783203,411.19463539123535,411.19463539123535,-49.44133186340332,0.0
13,361.3145256042481,364.4064724445343,342.6261806488037,467.0405244827271,445.1065921783447,524.9660038948059,411.0031986236572,568.6918258666992,354.4185733795166,796.5997910499573,109.16,65.51,234.83,55.45,361.2069511413574,410.80721282958984,410.80721282958984,-49.60026168823242,0.0
