Frame,Shoulder_X,Shoulder_Y,Elbow_X,Elbow_Y,Wrist_X,Wrist_Y,Hip_X,Hip_Y,Ankle_X,Ankle_Y,Elbow_Angle,Trunk_Lean_Angle,Stride_Length,Wrist_Hip_Distance,Mid_Sternum_X,Knee_X,Foot_X,Sternum_to_Knee_Dist,Toe_to_Knee_Dist
1,407.92943000793457,401.13314509391785,427.0013523101807,490.5342936515808,488.9453887939453,540.7183384895325,444.6901988983154,560.162787437439,406.215934753418,748.1294202804565,141.06,86.97,191.86,48.34,249.60705757141113,255.22799491882324,243.71495246887207,5.620937347412109,11.513042449951172
2,406.4168643951416,400.4354703426361,425.4744243621826,489.8653292655945,488.6379432678223,540.7134461402893,445.43017387390137,559.2170834541321,406.1813449859619,748.158130645752,140.86,83.67,192.97,47.0,332.3608274459839,339.778844833374,324.9049644470215,7.418017387390137,14.873880386352539
3,405.58430671691895,399.2063641548157,423.6641979217529,488.5485148429871,488.2438087463379,540.4761672019958,445.4930019378662,558.2882452011108,406.17748260498047,748.1651473045349,140.24,81.43,193.9,46.31,414.84033966064453,423.9363384246826,406.06336212158203,9.095998764038086,17.872976303100586
4,404.7834491729736,398.45937967300415,422.7542495727539,487.8329765796661,487.9853439331055,540.3078317642212,444.8569679260254,556.8975305557251,405.9500598907471,748.1710052490234,140.18,80.25,195.19,46.21,413.59440422058105,422.39366912841797,405.84276580810547,8.799264907836914,16.5509033203125
5,404.0076541900635,396.9997537136078,420.78746795654297,486.6862678527832,487.77734756469727,539.82062458992,443.8363838195801,556.2002420425415,405.79198837280273,748.0644679069519,139.02,78.86,195.6,46.89,412.5340805053711,421.0675849914551,405.44224548339844,8.533504486083984,15.62533950805664
6,403.1834220886231,396.17671251297,419.2880058288574,485.87748527526855,487.265625,538.90784740448,443.67902755737305,556.1073517799377,405.1129531860352,747.7053308486938,138.14,77.72,195.44,46.86,411.68953227996826,420.0523052215576,405.0150661468506,8.362772941589355,15.037239074707031
7,402.4440479278565,395.5448591709137,418.84400367736816,484.6502137184143,487.05413818359375,538.7501335144043,443.5155200958252,555.3772974014282,404.1787433624268,747.6920056343079,138.85,76.71,196.3,46.61,411.018648147583,419.2195472717285,404.6110439300537,8.200899124145508,14.608503341674805
8,402.21522331237793,395.098979473114,418.5877990722656,484.00384426116943,486.9926834106445,538.6900734901428,443.5194396972656,555.3850865364075,404.0415859222412,747.6473951339722,139.08,76.2,196.27,46.57,410.63725090026855,418.8079833984375,404.1817817687988,8.170732498168945,14.626201629638672
9,402.2383975982666,395.0128483772278,418.5904598236084,484.0675413608551,486.99520111083984,538.6226749420166,443.5445022583008,555.4395461082458,403.9299488067627,747.6098656654358,138.98,76.27,196.21,46.59,410.4767360687256,418.6676731109619,403.81442642211914,8.190937042236328,14.853246688842773
10,402.251501083374,395.095020532608,418.7296485900879,484.1891419887543,487.1056938171387,538.6158514022827,443.55969429016113,555.4660034179688,403.6456775665283,747.6479744911194,139.0,76.37,196.28,46.69,410.3906593322754,418.54309844970703,403.59276580810547,8.15243911743164,14.950332641601562
11,402.2798252105713,395.1489651203156,418.5864543914795,484.20230627059937,487.1075820922852,538.5281431674957,443.57102394104,555.511064529419,403.2761764526367,747.7555418014526,138.79,76.43,196.42,46.73,410.33953285217285,418.45396614074707,403.3256721496582,8.114433288574219,15.128293991088867
