Frame,Left_Shoulder_X,Left_Shoulder_Y,Right_Shoulder_X,Right_Shoulder_Y,Right_Knee_X,Right_Knee_Y,Right_Foot_Index_X,Right_Foot_Index_Y,Hip_X,Hip_Y,Ankle_X,Ankle_Y,Wrist_X,Wrist_Y,Elbow_X,Elbow_Y
1,594.42,413.35,572.1,460.31,712.8,488.32,764.12,518.62,659.88,494.48,619.56,623.4,583.16,630.3,560.36,560.44
2,590.58,435.08,572.06,476.12,673.65,530.89,696.16,603.57,630.91,510.41,625.25,590.56,583.81,632.43,560.66,561.12
3,576.55,441.14,567.58,475.93,662.08,535.13,688.19,621.19,616.9,508.52,571.13,680.78,581.53,610.95,557.89,558.71
4,571.27,447.67,566.6,468.09,616.97,582.34,602.02,716.98,612.06,507.43,555.44,692.29,582.61,612.81,556.52,557.36
5,567.55,463.1,569.18,466.67,630.36,546.34,657.35,682.91,608.37,506.32,554.86,697.72,582.62,616.08,558.83,552.14
6,563.48,479.51,574.42,466.38,642.9,537.52,677.27,649.75,615.06,508.16,543.97,703.03,581.19,611.54,560.4,550.75
7,563.56,463.22,571.8,466.06,653.76,539.53,683.89,630.91,620.32,509.24,542.75,691.16,566.34,601.2,536.24,547.05
8,566.85,460.76,570.46,462.5,656.94,534.64,689.48,638.56,622.06,509.96,482.18,703.96,558.52,595.91,527.15,539.27
9,567.05,455.35,569.16,453.4,620.11,563.53,599.68,703.2,620.37,509.86,581.68,678.16,557.88,592.66,525.64,539.21
10,575.95,441.37,569.88,450.27,631.1,581.62,630.95,728.87,616.06,505.97,562.75,675.36,551.7,593.65,521.27,535.23
11,576.4,441.48,565.3,451.17,637.06,601.53,651.12,719.85,612.76,515.1,567.92,643.49,556.96,597.29,522.8,535.58
12,576.51,440.66,564.69,451.66,628.98,600.8,629.71,757.08,612.17,525.11,586.9,631.04,555.69,596.18,524.15,532.33
13,575.5,440.42,564.08,453.53,612.17,626.27,619.15,764.66,607.75,533.63,635.59,571.97,554.02,597.99,522.51,534.74
14,571.11,440.8,564.43,457.11,577.74,652.93,603.61,768.45,601.45,549.5,715.88,465.33,567.08,601.8,525.37,535.24
15,571.02,446.39,564.64,458.24,581.29,643.64,613.4,748.41,604.56,551.14,651.1,551.65,568.01,601.53,528.15,534.69
16,574.72,445.89,561.86,459.2,571.6,652.29,575.22,776.96,589.72,559.03,801.26,435.44,567.93,597.37,528.78,532.22
17,574.81,447.27,562.11,457.01,578.95,651.2,601.43,753.51,589.06,569.48,544.9,643.86,566.87,594.9,528.22,530.83
18,578.35,446.32,557.21,453.97,581.34,659.12,616.27,764.32,572.99,578.18,459.77,719.76,560.18,592.69,523.94,527.75
19,581.25,444.52,557.92,452.57,583.12,653.92,617.93,768.04,569.04,577.37,455.89,719.74,560.34,591.65,522.82,525.94
20,589.02,446.32,555.04,451.84,581.1,655.67,619.61,767.93,548.99,579.25,457.72,725.13,557.93,592.19,522.37,526.25
21,594.57,448.57,554.79,449.46,580.6,655.71,619.38,773.13,536.67,574.71,455.0,728.82,555.75,589.95,522.77,524.53
22,594.05,449.65,556.88,445.24,580.01,656.53,619.47,773.34,529.29,573.95,453.84,726.48,554.52,589.72,523.25,522.9
23,594.2,449.69,559.44,444.77,580.24,656.54,619.38,774.07,523.68,571.45,455.04,730.39,554.42,589.16,524.77,520.95
24,597.19,450.17,559.48,445.31,578.93,655.77,619.85,772.57,520.32,570.19,453.09,732.75,553.84,587.82,524.81,520.36
25,598.84,450.38,559.09,445.94,578.68,655.07,620.16,772.43,520.02,569.46,454.27,732.54,553.55,586.42,524.92,519.84
26,599.12,450.57,559.11,446.31,579.38,653.69,619.94,771.01,519.58,567.94,453.21,732.25,552.56,583.43,525.06,518.5
27,600.79,451.66,558.64,446.57,580.07,653.5,619.73,770.5,518.94,567.68,452.99,732.57,551.89,583.52,524.86,519.08
28,601.26,452.23,558.14,446.76,580.5,653.79,620.35,769.75,519.25,567.84,453.31,732.97,550.74,581.29,524.34,518.97
29,600.89,452.07,557.59,446.85,580.52,653.64,620.45,769.29,519.1,568.14,453.26,732.69,550.93,582.36,522.69,519.29
30,600.5,451.74,557.07,446.99,580.26,653.69,621.3,769.01,519.3,568.04,453.67,731.75,551.22,582.95,521.92,519.72
31,600.43,451.71,556.88,447.1,579.88,653.91,621.17,768.8,519.22,568.41,453.72,732.32,550.57,583.17,521.99,519.91
32,600.1,451.63,556.92,447.16,579.17,653.84,621.19,768.79,519.45,568.42,453.5,732.3,549.3,583.03,521.94,519.8
33,600.05,451.51,556.54,447.18,578.85,654.24,621.2,768.81,519.55,568.37,453.13,732.5,549.05,583.12,521.73,519.84
34,599.91,451.45,556.57,447.1,578.95,654.14,621.36,768.82,519.67,568.32,453.15,732.15,548.38,582.55,521.64,519.62
35,598.8,451.15,556.59,446.84,579.02,654.26,621.94,768.81,519.78,568.3,453.06,732.01,548.54,582.41,521.63,519.55
36,598.83,450.59,556.0,446.79,579.1,654.12,622.53,768.8,520.04,568.01,453.53,731.98,548.24,581.51,521.31,519.09
37,598.93,450.51,555.44,446.77,579.18,653.99,622.87,768.74,520.38,568.05,453.96,732.43,547.1,580.55,520.85,518.88
38,599.76,450.02,555.0,446.75,579.34,653.92,623.15,768.72,520.55,568.06,454.2,732.61,546.41,580.2,520.89,518.67
39,599.94,449.17,553.78,446.86,579.49,652.32,623.64,768.61,520.21,568.05,454.41,732.49,546.57,580.33,520.54,518.69
40,600.08,448.66,553.24,446.89,579.55,652.35,623.8,768.6,520.17,568.12,454.55,732.35,546.7,580.47,520.32,518.71
41,600.48,447.76,552.49,446.89,579.59,651.78,624.78,768.42,520.0,568.06,454.55,732.3,547.09,580.54,520.03,518.77
42,600.52,447.77,551.77,446.86,579.46,651.8,625.19,768.7,518.34,567.21,454.6,732.19,547.82,580.59,519.87,518.79
43,600.5,447.75,550.8,446.87,579.39,651.8,625.16,768.76,517.89,567.14,454.38,732.2,548.91,581.17,519.51,518.89
44,600.23,447.61,549.33,447.11,579.35,650.76,625.13,768.82,517.34,567.14,454.3,732.21,549.18,581.93,519.28,519.51
45,599.83,447.48,548.49,447.17,579.04,650.57,625.03,768.7,517.12,566.88,454.2,732.18,549.57,582.09,519.15,519.64
46,598.25,447.26,548.72,447.17,578.94,650.66,624.45,768.62,517.16,567.8,454.07,732.15,549.57,582.1,519.03,519.64
47,597.74,447.26,548.44,447.18,578.28,650.67,624.02,768.22,517.22,568.03,454.05,732.13,549.6,582.03,518.9,519.65
48,597.77,447.27,547.35,447.18,577.72,650.68,622.94,768.37,517.0,568.03,453.99,732.21,549.33,581.89,518.55,519.62
49,597.95,447.41,547.12,447.18,577.2,651.17,622.61,768.47,516.82,568.02,453.89,732.35,549.17,581.66,518.52,519.16
50,597.96,447.59,547.26,446.89,576.63,651.3,622.02,768.53,516.87,568.09,453.84,732.55,548.79,581.61,518.69,518.75
51,596.77,447.56,547.07,446.86,576.54,652.54,621.05,769.7,516.82,568.07,453.52,732.6,548.56,581.46,518.62,518.58
52,596.45,447.47,546.99,446.85,575.94,652.59,620.14,770.52,516.86,568.06,453.32,732.59,547.92,581.19,518.57,518.47
53,595.08,447.47,546.43,446.85,575.51,652.69,619.72,771.01,516.7,568.08,452.89,732.59,547.76,581.19,518.18,518.47
54,594.22,447.47,546.51,446.59,574.53,652.68,619.46,771.15,516.33,567.98,452.5,732.59,546.8,580.78,518.25,518.23
55,593.35,447.47,546.54,446.51,574.53,653.59,619.21,771.15,516.35,568.22,452.43,732.54,546.8,580.78,518.14,518.25
56,592.68,447.51,546.58,446.42,574.52,654.4,619.0,771.24,516.34,568.62,452.36,732.53,546.82,580.8,518.1,518.25
57,591.63,447.14,547.38,446.28,574.53,655.13,619.01,771.36,516.65,568.91,452.17,732.57,546.64,580.67,517.85,518.25
