Frame,Shoulder_X,Shoulder_Y,Elbow_X,Elbow_Y,Wrist_X,Wrist_Y,Hip_X,Hip_Y,Ankle_X,Ankle_Y,Elbow_Angle,Trunk_Lean_Angle,Stride_Length,Wrist_Hip_Distance,Mid_Sternum_X,Knee_X,Foot_X,Sternum_to_Knee_Dist,Toe_to_Knee_Dist
1,572.1003341674805,460.3060448169708,560.3633308410645,560.441780090332,583.1629371643066,630.3024673461914,659.879264831543,494.4795227050781,619.562931060791,623.395049571991,155.24,85.84,135.07,155.99,339.0658206939697,335.7835578918457,363.1867904663086,3.2822628021240234,27.40323257446289
2,572.0643997192383,476.1180853843689,560.6625366210938,561.1210441589355,583.8090133666992,632.4345016479492,630.9062004089355,510.4064691066742,625.2455520629883,590.5574727058411,154.38,95.94,80.35,130.8,451.3777027130127,447.0876274108887,474.2743034362793,4.290075302124023,27.186676025390625
3,567.57568359375,475.9293115139008,557.8919219970703,558.710789680481,581.5261459350586,610.952582359314,616.8981742858887,508.5163486003876,571.1254692077637,680.7765126228333,148.99,108.99,178.24,108.37,564.178544998169,558.8538780212402,585.2464027404785,5.324666976928711,26.39252471923828
4,566.5984725952148,468.0850088596344,556.5203475952148,557.3581838607788,582.6079559326172,612.8087139129639,612.055778503418,507.4287664890289,555.4375648498535,692.2863435745239,148.36,117.97,193.33,109.42,564.4133205413818,558.8602180480957,570.1288032531738,5.553102493286133,11.268585205078125
5,569.1771697998047,466.67195677757263,558.8312530517578,552.1384334564209,582.6200294494629,616.0828542709351,608.3703231811523,506.3205850124359,554.8604965209961,697.7165293693542,152.69,159.91,198.74,112.74,561.9442234039307,553.975341796875,553.6293754577637,7.968881607055664,0.3459663391113281
6,574.416389465332,466.3771605491638,560.3950309753418,550.7453370094299,581.1873435974121,611.5439128875732,615.0607681274414,508.1561815738678,543.9749336242676,703.0322599411011,151.68,83.98,207.44,108.8,559.1586685180664,547.8270950317383,535.83984375,11.331573486328125,11.987251281738281
7,571.7978096008301,466.0642111301422,536.2381553649902,547.0542526245117,566.3389778137207,601.1992979049683,620.3194999694824,509.23542737960815,542.7484130859375,691.1592364311218,127.22,157.39,197.77,106.64,556.3262958526611,541.6507530212402,541.0874519348145,14.675542831420898,0.5633010864257812
8,570.461368560791,462.4984610080719,527.1506881713867,539.26518201828,558.52294921875,595.9076428413391,622.0584297180176,509.9570167064667,482.1778106689453,703.9625144004822,121.59,163.02,239.18,106.88,552.6399478912354,534.1380958557129,542.6663246154785,18.50185203552246,8.528228759765625
9,569.1564559936523,453.3967924118042,525.6386375427246,539.2144882678986,557.878589630127,592.6631784439087,620.3728866577148,509.8566913604736,581.6756057739258,678.1556296348572,122.01,89.36,172.69,103.74,547.9691963195801,526.6189155578613,547.4560203552246,21.35028076171875,20.83710479736328
10,569.8769760131836,450.2724802494049,521.2679672241211,535.2316975593567,551.7031288146973,593.6453819274902,616.0590934753418,505.96859335899353,562.7548599243164,675.3615188598633,122.7,106.06,177.58,108.76,546.0495471954346,524.2012596130371,556.2873115539551,21.84828758239746,32.08605194091797
11,565.3047752380371,451.1655592918396,522.799129486084,535.5808568000793,556.9571113586426,597.290825843811,612.7597618103027,515.0992941856384,567.923412322998,643.4893441200256,124.31,94.52,135.99,99.34,544.9480476379395,523.2739906311035,586.9694709777832,21.674057006835938,63.69548034667969
12,564.6895980834961,451.659300327301,524.1498756408691,532.3334312438965,555.6929397583008,596.1837387084961,612.1719360351562,525.109555721283,586.9048690795898,631.0375428199768,127.03,100.05,108.9,90.78,544.4482383728027,523.2200546264648,613.8113136291504,21.22818374633789,90.59125900268555
13,564.0827178955078,453.53355288505554,522.5143432617188,534.7387611865997,554.0167808532715,597.9860544204712,607.752571105957,533.6344742774963,635.5886077880859,571.9669318199158,126.42,110.36,47.37,83.84,544.6124382019043,524.5962982177734,631.4799842834473,20.01613998413086,106.88368606567383
14,564.4280433654785,457.1098601818085,525.3689575195312,535.2353024482727,567.0829582214355,601.8028593063354,601.4535713195801,549.5031309127808,715.8848190307617,465.33241868019104,121.36,135.89,142.05,62.58,544.865873336792,525.7920455932617,678.146656036377,19.073827743530273,152.35461044311523
15,564.6377563476562,458.24214935302734,528.1491851806641,534.6921229362488,568.0090141296387,601.5275359153748,604.5602416992188,551.14013671875,651.0982131958008,551.6510653495789,123.67,128.46,46.54,62.25,545.015058517456,526.6060981750488,669.7451019287109,18.408960342407227,143.1390037536621
16,561.8603897094727,459.2025625705719,528.7778663635254,532.2194266319275,567.927131652832,597.3736095428467,589.7217750549316,559.029757976532,801.2567710876465,435.4398429393768,124.63,120.4,244.99,44.11,544.4706115722656,526.8914451599121,634.5805835723877,17.579166412353516,107.68913841247559
17,562.1111869812012,457.012335062027,528.2201385498047,530.8262979984283,566.8682670593262,594.8978877067566,589.0637397766113,569.484965801239,544.8970985412598,643.8607120513916,124.24,114.03,86.5,33.74,543.5651779174805,526.3814163208008,582.5826187133789,17.183761596679688,56.201202392578125
18,557.2115135192871,453.9716112613678,523.9410781860352,527.746467590332,560.1779365539551,592.6941418647766,572.9902839660645,578.1842064857483,459.7660160064697,719.7620987892151,126.57,102.67,181.28,19.36,542.0278472900391,525.2262268066406,543.9067211151123,16.801620483398438,18.68049430847168
19,557.9238510131836,452.5664448738098,522.8188133239746,525.9375536441803,560.3378105163574,591.6480159759521,569.0353202819824,577.3720121383667,455.8949947357178,719.7405982017517,124.71,103.94,181.85,16.72,540.7196617126465,524.0247344970703,474.65612983703613,16.694927215576172,49.36860466003418
20,555.040397644043,451.835972070694,522.3732376098633,526.2546229362488,557.9348373413086,592.1877837181091,548.9946556091309,579.2504811286926,457.7187252044678,725.1343488693237,127.96,101.93,172.09,15.73,539.6990661621094,523.0300712585449,456.44373321533203,16.668994903564453,66.58633804321289
21,554.7859954833984,449.4570994377136,522.7704048156738,524.531421661377,555.754337310791,589.9474096298218,536.6732597351074,574.7103810310364,455.0038146972656,728.8179659843445,130.15,99.51,174.41,24.42,540.0048751831055,523.1963424682617,455.4980163574219,16.80853271484375,67.69832611083984
22,556.878547668457,445.2369010448456,523.2468223571777,522.9025268554688,554.5247268676758,589.7217178344727,529.2937088012695,573.9525175094604,453.83511543273926,726.4790368080139,131.5,95.33,170.17,29.75,540.3587894439697,523.5937385559082,454.9376792907715,16.765050888061523,68.65605926513672
23,559.4382476806641,444.7682976722717,524.7724342346191,520.9492886066437,554.4194984436035,589.1594839096069,523.6806106567383,571.4493083953857,455.03743171691895,730.3903412818909,132.04,97.71,173.13,35.48,541.018346786499,524.1039161682129,454.2488822937012,16.914430618286133,69.85503387451172
24,559.4760131835938,445.3088057041168,524.805793762207,520.3576040267944,553.8436889648438,587.8223276138306,520.3195381164551,570.1907515525818,453.0933094024658,732.7491617202759,131.92,100.07,175.91,37.88,541.6798324584961,524.561107635498,453.8897953033447,17.118724822998047,70.67131233215332
25,559.0850830078125,445.9366679191589,524.9241256713867,519.8369228839874,553.5514640808105,586.4185452461243,520.0169563293457,569.458315372467,454.2747402191162,732.5402069091797,131.93,101.17,175.83,37.58,542.0175590515137,524.8844833374023,453.7214012145996,17.133075714111328,71.16308212280273
26,559.1148948669434,446.3066518306732,525.0563621520996,518.5020196437836,552.5570869445801,583.4327960014343,519.5797348022461,567.9403352737427,453.2083797454834,732.2532320022583,131.79,101.93,177.21,36.44,541.8448104858398,524.7982406616211,453.37522315979004,17.04656982421875,71.42301750183105
27,558.6389350891113,446.5668797492981,524.8637008666992,519.082213640213,551.8857192993164,583.5235619544983,518.939094543457,567.6762127876282,452.9931449890137,732.571427822113,132.28,101.26,177.59,36.56,541.444953918457,524.3760566711426,453.407621383667,17.068897247314453,70.96843528747559
28,558.141975402832,446.7566514015198,524.3412208557129,518.9671146869659,550.7420539855957,581.2860202789307,519.2500877380371,567.8380465507507,453.3065414428711,732.9747247695923,131.96,100.58,177.82,34.24,540.9425067901611,523.7748527526855,453.28662300109863,17.167654037475586,70.48822975158691
29,557.5883674621582,446.8483507633209,522.6948738098145,519.2888832092285,550.9311676025391,582.3587965965271,519.1045188903809,568.1422090530396,453.2553005218506,732.6914191246033,130.16,100.73,177.24,34.86,540.411958694458,523.1605911254883,453.38799476623535,17.251367568969727,69.77259635925293
30,557.0666313171387,446.9907760620117,521.9181060791016,519.7206974029541,551.2160110473633,582.9497408866882,519.298267364502,568.0386972427368,453.6697483062744,731.7455863952637,129.35,101.09,176.37,35.23,539.9481182098389,522.5757637023926,453.4902992248535,17.37235450744629,69.08546447753906
31,556.8807220458984,447.09502816200256,521.9850540161133,519.9089884757996,550.5747413635254,583.1696391105652,519.2209053039551,568.4117388725281,453.715238571167,732.3233342170715,130.07,101.2,176.52,34.65,539.5268268585205,522.0532836914062,453.45423316955566,17.473543167114258,68.59905052185059
32,556.9246673583984,447.1611070632935,521.9395637512207,519.8044466972351,549.2952346801758,583.0298852920532,519.4505882263184,568.4203004837036,453.5046672821045,732.3043441772461,130.89,101.26,176.65,33.23,539.3193626403809,521.8420829772949,453.43410301208496,17.477279663085938,68.40797996520996
33,556.5414619445801,447.1767175197601,521.7288208007812,519.8426520824432,549.0532493591309,583.1196212768555,519.5502090454102,568.3676433563232,453.1262111663818,732.5016474723816,131.05,101.28,177.07,32.99,539.2429218292236,521.7844390869141,453.3126983642578,17.45848274230957,68.47174072265625
34,556.5697288513184,447.0963156223297,521.6388702392578,519.6244597434998,548.3810806274414,582.5504994392395,519.6708297729492,568.3230972290039,453.154649734497,732.1482396125793,131.26,101.2,176.81,32.04,539.0875854492188,521.64990234375,453.27476692199707,17.43768310546875,68.37513542175293
35,556.5904426574707,446.83892011642456,521.6298866271973,519.5468258857727,548.5366630554199,582.4060463905334,519.7831535339355,568.302948474884,453.0627250671387,732.0101594924927,131.15,101.02,176.78,32.03,538.8297500610352,521.4320526123047,453.365140914917,17.39769744873047,68.0669116973877
36,556.0000419616699,446.7862951755524,521.312370300293,519.0863656997681,548.243350982666,581.5055322647095,520.0358390808105,568.011724948883,453.5255813598633,731.982672214508,131.03,101.44,176.95,31.27,538.5921592712402,521.2651062011719,453.5789966583252,17.32705307006836,67.68610954284668
37,555.4355621337891,446.772358417511,520.8503150939941,518.8790845870972,547.1004867553711,580.5502367019653,520.3811073303223,568.0499625205994,453.9565372467041,732.4338626861572,131.32,101.21,177.3,29.5,538.2036209106445,521.0456428527832,453.82958793640137,17.157978057861328,67.21605491638184
38,555.0002861022949,446.7510509490967,520.8940887451172,518.6714494228363,546.4139556884766,580.1959919929504,520.5489921569824,568.058009147644,454.1954898834229,732.6082491874695,132.1,101.67,177.42,28.57,537.7377433776855,520.7842254638672,454.1271286010742,16.95351791381836,66.65709686279297
39,553.7816619873047,446.8626737594605,520.5415534973145,518.6865127086639,546.5719985961914,580.3349089622498,520.2060127258301,568.0498337745667,454.40760612487793,732.4918627738953,132.27,102.63,177.12,29.09,537.2577095031738,520.5271453857422,454.3329448699951,16.73056411743164,66.19420051574707
40,553.2387542724609,446.8941199779511,520.3227996826172,518.7111353874207,546.7030906677246,580.4704141616821,520.1718521118164,568.1212878227234,454.5504283905029,732.3450922966003,132.25,103.1,176.85,29.26,536.792724609375,520.3310852050781,454.4622573852539,16.461639404296875,65.86882781982422
41,552.4851036071777,446.8946993350983,520.026969909668,518.7700045108795,547.0918464660645,580.5437994003296,519.9979591369629,568.056013584137,454.5546627044678,732.2975206375122,132.04,103.98,176.8,29.83,536.2342700958252,520.0546875,454.49987411499023,16.179582595825195,65.55481338500977
42,551.7660140991211,446.86447620391846,519.8700141906738,518.7911510467529,547.8189468383789,580.5947828292847,518.3357048034668,567.2118902206421,454.6030998229981,732.1921420097351,131.75,104.46,176.86,32.38,535.6626605987549,519.8017845153809,454.47779273986816,15.860876083374023,65.3239917755127
43,550.7977294921875,446.8673086166382,519.5121002197266,518.8945984840393,548.9080238342285,581.1742687225342,517.8907012939453,567.1390199661255,454.3835735321045,732.1983861923218,131.25,104.29,176.86,34.05,535.0697364807129,519.566333770752,454.40833282470703,15.503402709960938,65.15800094604492
44,549.3300819396973,447.10999488830566,519.2770385742188,519.5145106315613,549.1795921325684,581.927239894867,517.3435592651367,567.1389555931091,454.2971992492676,732.2146725654602,131.86,104.36,176.71,35.1,534.5933532714844,519.3668518066406,454.3121109008789,15.22650146484375,65.05474090576172
45,548.4867668151855,447.1656131744385,519.1455459594727,519.6422266960144,549.5665740966797,582.0917129516602,517.1207427978516,566.8771505355835,454.20312881469727,732.1780443191528,131.99,104.33,176.87,35.84,534.1637535095215,519.1732978820801,454.20067405700684,14.990455627441406,64.97262382507324
46,548.7186813354492,447.1726620197296,519.0295600891113,519.6402633190155,549.5677757263184,582.100338935852,517.1598243713379,567.7953028678894,454.0735530853272,732.1452784538269,131.67,104.56,176.04,35.42,533.7228240966797,518.9812088012695,454.12149810791016,14.741615295410156,64.85971069335938
47,548.4377861022949,447.1762347221375,518.9022445678711,519.645026922226,549.602222442627,582.0326828956604,517.218074798584,568.0345773696899,454.0459156036377,732.1320176124573,131.62,104.38,175.84,35.28,533.4268455505371,518.8307418823242,454.0393123626709,14.59610366821289,64.79142951965332
48,547.3488807678223,447.1778118610382,518.5516548156738,519.6152222156525,549.3307113647461,581.8918991088867,516.9985771179199,568.0258870124817,453.9876937866211,732.2139000892639,132.02,104.0,175.86,35.18,533.2577476501465,518.7388916015625,453.967191696167,14.518856048583984,64.77169990539551
49,547.122631072998,447.18016147613525,518.5247039794922,519.1571116447449,549.1660308837891,581.6594481468201,516.8235397338867,568.0173897743225,453.8862705230713,732.3458647727966,132.21,103.81,175.97,35.1,533.0524463653564,518.6578674316406,453.8566703796387,14.39457893371582,64.80119705200195
50,547.2550392150879,446.8891954421997,518.6862945556641,518.7546515464783,548.7874031066895,581.6056323051453,516.8674850463867,568.0903887748718,453.8425254821777,732.5521159172058,132.73,103.28,176.12,34.66,532.8743648529053,518.5911026000977,453.7112102508545,14.283262252807617,64.87989234924316
51,547.0707893371582,446.8635427951813,518.624439239502,518.5794603824615,548.558292388916,581.4634323120117,516.8176460266113,568.066828250885,453.5209465026856,732.6021337509155,132.91,103.21,176.29,34.45,532.7447605133057,518.5166244506836,453.4922046661377,14.22813606262207,65.0244197845459
52,546.990795135498,446.8542087078095,518.5684204101562,518.4664857387543,547.9202270507812,581.1923575401306,516.8564987182617,568.0616784095764,453.3186149597168,732.5940871238708,133.28,103.25,176.37,33.72,532.6566581726074,518.4624824523926,453.2158012390137,14.194175720214844,65.2466812133789
53,546.4252281188965,446.8544661998749,518.1792640686035,518.4719252586365,547.7553749084473,581.1867570877075,516.7021751403809,568.0750679969788,452.8926658630371,732.5934433937073,133.23,103.05,176.46,33.71,532.5305614471436,518.3535575866699,452.93382453918457,14.177003860473633,65.41973304748535
54,546.5123176574707,446.5900540351868,518.2539939880371,518.2344210147858,546.7961311340332,580.7800483703613,516.3327598571777,567.9762554168701,452.5042533874512,732.5855898857117,133.95,102.91,176.55,33.04,532.4290351867676,518.2491760253906,452.7018928527832,14.179859161376953,65.54728317260742
